Candidate,Incumbent,State,Office,District,Stance,Source,URL,Note
Frank D. Lucas,Yes,Oklahoma,Representative,3,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Tom Cole,Yes,Oklahoma,Representative,4,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Stephanie Bice,Yes,Oklahoma,Representative,5,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Kevin Stitt,Yes,Oklahoma,Governor,N/A,Fully accepted,Public Radio Tulsa,https://www.publicradiotulsa.org/local-regional/2020-11-17/stitt-recognizes-biden-as-president-elect,
Gentner F. Drummond,No,Oklahoma,Attorney general,N/A,No comment,,,
Jo Rae Perkins,No,Oregon,Senator,N/A,Fully denied,CBS,https://www.cbsnews.com/news/candidates-in-dc-january-6-2021-running-for-state-federal-office/,
Christopher A. Mann,No,Oregon,Representative,1,Fully denied,Email to FiveThirtyEight,,
Cliff S. Bentz,Yes,Oregon,Representative,2,Accepted with reservations,Oregon Live via Malheur Enterprise,https://www.oregonlive.com/politics/2021/01/cliff-bentz-says-he-acted-on-principle-in-vote-to-throw-out-some-presidential-ballots.html,
Joanna Harbour,No,Oregon,Representative,3,No comment,,,
Alek Skarlatos,No,Oregon,Representative,4,Avoided answering,The News-Review,https://www.nrtoday.com/news/national/national_politics/skarlatos-defazio-may-square-off-again-in-2022/article_f64eb3b1-9144-52d0-ac8d-2e7e79f11f9b.html,
Lori Chavez-DeRemer,No,Oregon,Representative,5,Raised questions,Email to FiveThirtyEight,,
Mike Erickson,No,Oregon,Representative,6,Fully accepted,Oregon Live,https://www.oregonlive.com/politics/2022/04/leading-oregon-republican-candidates-for-congress-say-biden-was-in-fact-winner-of-2020-presidential-election.html,
Christine Drazan,No,Oregon,Governor,N/A,Fully accepted,Email to FiveThirtyEight,https://www.youtube.com/watch?v=VG6R9Kca31k&t=4425s,
Mehmet Oz,No,Pennsylvania,Senator,N/A,Raised questions,Politico,https://www.politico.com/news/2022/04/25/dr-oz-pennsylvania-debate-trump-00027712,
Brian Fitzpatrick,Yes,Pennsylvania,Representative,1,Accepted with reservations,Bucks County Courier Times,https://www.buckscountycouriertimes.com/story/news/2021/03/04/fitzpatrick-votes-against-reforms-elections-gerrymandering-ethics/6918404002/,
Aaron Bashir,No,Pennsylvania,Representative,2,Fully denied,Facebook,https://archive.ph/sLm1O,
Christian Nascimento,No,Pennsylvania,Representative,4,Accepted with reservations,Email to FiveThirtyEight,,
David Galluch,No,Pennsylvania,Representative,5,No comment,,,
Guy Louis Ciarrocchi,No,Pennsylvania,Representative,6,Raised questions,Twitter,https://archive.ph/oKYfL,
Lisa Scheller,No,Pennsylvania,Representative,7,No comment,,,
Jim Bognet,No,Pennsylvania,Representative,8,Fully denied,Campaign website,https://archive.ph/elL34,
Dan Meuser,Yes,Pennsylvania,Representative,9,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Scott Perry,Yes,Pennsylvania,Representative,10,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Lloyd K. Smucker,Yes,Pennsylvania,Representative,11,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Mike Doyle,No,Pennsylvania,Representative,12,No comment,,,
John Joyce,Yes,Pennsylvania,Representative,13,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Guy Reschenthaler,Yes,Pennsylvania,Representative,14,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
"Glenn ""GT"" Thompson",Yes,Pennsylvania,Representative,15,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Mike Kelly,Yes,Pennsylvania,Representative,16,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Jeremy Shaffer,No,Pennsylvania,Representative,17,No comment,,,
Douglas V. Mastriano,No,Pennsylvania,Governor,N/A,Fully denied,"WITF-TV (Harrisburg, Pa.)",https://www.witf.org/2022/06/09/how-doug-mastriano-promoted-election-lies-between-election-day-and-january-6/,
Allen R. Waters,No,Rhode Island,Representative,1,No comment,,,
Allan W. Fung,No,Rhode Island,Representative,2,Accepted with reservations,Email to ABC News,,
Ashley Kalus,No,Rhode Island,Governor,N/A,Avoided answering,"WJAR (Providence, R.I.)",https://turnto10.com/news/local/ashley-kalus-announces-run-for-rhode-island-governor,
Charles C. Calenda,No,Rhode Island,Attorney general,N/A,No comment,,,
Pat V. Cortellessa,No,Rhode Island,Secretary of state,N/A,Fully accepted,Email to FiveThirtyEight,,
Tim Scott,Yes,South Carolina,Senator,N/A,Accepted with reservations,"Congressional roll call, Twitter",https://www.senate.gov/legislative/LIS/roll_call_votes/vote1171/vote_117_1_00002.htm,
Nancy Mace,Yes,South Carolina,Representative,1,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Joe Wilson,Yes,South Carolina,Representative,2,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Jeff Duncan,Yes,South Carolina,Representative,3,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
William Timmons,Yes,South Carolina,Representative,4,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Ralph Norman,Yes,South Carolina,Representative,5,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Duke Buckner,No,South Carolina,Representative,6,No comment,,,
Russell Fry,No,South Carolina,Representative,7,Fully denied,The News & Observer,https://www.newsobserver.com/news/state/south-carolina/article259273459.html,
Henry McMaster,Yes,South Carolina,Governor,N/A,Raised questions,Post and Courier,https://www.postandcourier.com/opinion/commentary/mcmaster-it-s-time-for-sc-to-make-it-easier-to-vote-and-harder-to/article_83df6008-b743-11ec-a852-cb50175f293e.html,
Alan Wilson,Yes,South Carolina,Attorney general,N/A,Fully denied,Wilson press,https://archive.ph/JIqg4,
Mark Hammond,Yes,South Carolina,Secretary of state,N/A,No comment,,,
John R. Thune,Yes,South Dakota,Senator,N/A,Fully accepted,"Argus Leader
",https://www.argusleader.com/story/news/politics/2020/11/06/thune-no-evidence-shows-biden-benefitted-voter-fraud/6190130002/,
Dusty Johnson,Yes,South Dakota,Representative,At-Large,Accepted with reservations,South Dakota Public Broadcasting,https://www.sdpb.org/blogs/news-and-information/johnson-says-its-irresponsible-to-claim-elections-were-stolen/,
Kristi Noem,Yes,South Dakota,Governor,N/A,Raised questions,Twitter,https://archive.ph/nJ5RJ,
Marty Jackley,No,South Dakota,Attorney general,N/A,No comment,,,
Monae Johnson,No,South Dakota,Secretary of state,N/A,Raised questions,South Dakota War College,http://dakotawarcollege.com/why-does-monae-johnson-for-sos-want-my-thoughts-on-vaccination-and-abortion/,
Diana Lynn Harshbarger,Yes,Tennessee,Representative,1,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Tim Burchett,Yes,Tennessee,Representative,2,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Chuck Fleischmann,Yes,Tennessee,Representative,3,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Scott DesJarlais,Yes,Tennessee,Representative,4,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Andy Ogles,No,Tennessee,Representative,5,Fully denied,Williamson Home Page,https://www.williamsonhomepage.com/franklin/republican-party-candidates-pitch-themselves-at-williamson-gop-event-as-early-voting-kicks-off/article_830823b2-07a8-11ed-89a5-63246dd6a7e1.html,
John Rose,Yes,Tennessee,Representative,6,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Mark E. Green,Yes,Tennessee,Representative,7,Raised questions,"Congressional roll call, Leaf Chronicle ",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
David Kustoff,Yes,Tennessee,Representative,8,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Charlotte Bergmann,No,Tennessee,Representative,9,Fully denied,Twitter,https://archive.ph/d7ibb,
Bill Lee,Yes,Tennessee,Governor,N/A,Accepted with reservations,Associated Press,https://apnews.com/article/election-2020-joe-biden-donald-trump-coronavirus-pandemic-elections-5bdca3c9647cca16196f6cbaeea4163d,
Nathaniel Moran,No,Texas,Representative,1,Raised questions,Campaign website,https://nathanielmoran.com/,
Dan Crenshaw,Yes,Texas,Representative,2,Accepted with reservations,"Houston Chronicle, congressional roll call",https://archive.ph/YK1ea,
Keith Self,No,Texas,Representative,3,Fully denied,Dallas Morning News,https://www.dallasnews.com/news/politics/2022/01/27/rep-van-taylors-rivals-say-trump-won-jan-6-no-big-deal-and-hes-out-of-touch-for-disagreeing/,
Pat Fallon,Yes,Texas,Representative,4,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Lance Gooden,Yes,Texas,Representative,5,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Jake Ellzey,Yes,Texas,Representative,6,Raised questions,Roll Call,https://rollcall.com/2021/07/21/trump-backed-his-opponent-jake-ellzey-is-still-putting-up-a-fight-in-an-all-gop-texas-runoff/,
Johnny Teague,No,Texas,Representative,7,Raised questions,Campaign Corner podcast,https://podcasts.apple.com/us/podcast/johnny-teague-tx-07-2-23/id1615942878?i=1000555097051,
Morgan Luttrell,No,Texas,Representative,8,Fully denied,Houston Chronicle,https://archive.ph/MbInd#selection-2661.0-2661.343,
Jimmy I. Leon,No,Texas,Representative,9,No comment,,,
Michael McCaul,Yes,Texas,Representative,10,Accepted with reservations,"McCaul press, congressional roll call",https://mccaul.house.gov/media-center/press-releases/mccaul-teams-up-with-texas-leaders-to-restore-faith-in-us-election,
August Pfluger,Yes,Texas,Representative,11,Fully denied,"Twitter, congressional roll call",https://archive.ph/vYFCK,
Kay Granger,Yes,Texas,Representative,12,Fully accepted,Texas Tribune,https://www.texastribune.org/2020/11/20/kay-granger-donald-trump/,
Ronny Jackson,Yes,Texas,Representative,13,Fully denied,"Amarillo Pioneer, congressional roll call",https://www.amarillopioneer.com/blog/2021/1/3/3bcf0kb7ddzxmzsi8i8rori53861ge,
Randy Weber,Yes,Texas,Representative,14,Fully denied,"Weber press, congressional roll call",https://weber.house.gov/news/documentsingle.aspx?DocumentID=632,
Monica De La Cruz,No,Texas,Representative,15,Fully denied,New York Times,https://www.nytimes.com/2022/07/06/us/politics/mayra-flores-latina-republicans.html,
Irene Armendariz-Jackson,No,Texas,Representative,16,Fully denied,"KTSM-TV (El Paso, Texas)",https://www.ktsm.com/local/el-paso-news/pro-trump-rally-in-san-jacinto-plaza-largely-peaceful/?fbclid=IwAR356awGTo6KQ4xblbssN7Xj9FBNbKBIPxKVqcxZYrPthxGClTyaImqnM8w,
Pete Sessions,Yes,Texas,Representative,17,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Carmen Maria Montiel,No,Texas,Representative,18,Fully denied,Twitter,https://archive.ph/Kovlx,
Jodey C. Arrington,Yes,Texas,Representative,19,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Kyle Sinclair,No,Texas,Representative,20,No comment,,,
Chip Roy,Yes,Texas,Representative,21,Fully accepted,Washington Post,https://www.washingtonpost.com/politics/2021/01/04/chip-roy-just-spotlighted-gops-highly-convenient-interest-voter-fraud/,
Troy E. Nehls,Yes,Texas,Representative,22,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Tony Gonzales,Yes,Texas,Representative,23,Accepted with reservations,"Gonzales press, congressional roll call",https://gonzales.house.gov/media/press-releases/gonzales-joins-texas-freshmen-letter-ag-paxton-working-together-stop-voter,
Beth Van Duyne,Yes,Texas,Representative,24,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111,
Roger Williams,Yes,Texas,Representative,25,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Michael C. Burgess,Yes,Texas,Representative,26,Fully denied,"Denton Record-Chronicle, congressional roll call",https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Michael Cloud,Yes,Texas,Representative,27,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Cassy Garcia,No,Texas,Representative,28,No comment,,,
Robert Schafranek,No,Texas,Representative,29,No comment,,,
James Rodgers,No,Texas,Representative,30,Accepted with reservations,Email to FiveThirtyEight,,
John Carter,Yes,Texas,Representative,31,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Antonio Swad,No,Texas,Representative,32,No comment,,,
Patrick David Gillespie,No,Texas,Representative,33,Avoided answering,Email to FiveThirtyEight,,
Mayra Flores,Yes,Texas,Representative,34,Fully denied,CNN,https://www.cnn.com/2022/06/23/politics/mayra-flores-capitol-riot-qanon-kfile/index.html,
Dan McQueen,No,Texas,Representative,35,No comment,,,
Brian Babin,Yes,Texas,Representative,36,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Jenny Garcia Sharon,No,Texas,Representative,37,Fully denied,Twitter,https://archive.ph/wip/uX69q,
Wesley Hunt,No,Texas,Representative,38,No comment,,,
Greg Abbott,Yes,Texas,Governor,N/A,Raised questions,Reuters,https://www.reuters.com/world/us/texas-governor-defends-upcoming-2020-election-audits-that-trump-demanded-2021-09-26/,
Ken Paxton,Yes,Texas,Attorney general,N/A,Fully denied,Texas Tribune,https://www.texastribune.org/2020/12/08/texas-ken-paxton-election-georgia/,
Mike Lee,Yes,Utah,Senator,N/A,Accepted with reservations,Deseret News,https://www.deseret.com/utah/2022/6/10/23161788/mike-lee-2000-mules-raises-significant-questions-2020-election-donald-trump-voter-fraud,
Blake D. Moore,Yes,Utah,Representative,1,Accepted with reservations,"Moore press, congressional roll call",https://blakemoore.house.gov/media/press-releases/congressman-moore-statement-electoral-college-certification-vote,
Chris Stewart,Yes,Utah,Representative,2,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
John Curtis,Yes,Utah,Representative,3,Fully accepted,"Curtis press, congressional roll call",https://curtis.house.gov/press-releases/curtis-on-presidential-race-now-is-the-time-to-heal-the-wounds-and-come-together/,
Burgess Owens,Yes,Utah,Representative,4,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Gerald Malloy,No,Vermont,Senator,N/A,Fully accepted,Vermont Digger,https://vtdigger.org/2022/06/02/christina-nolan-sidesteps-questions-on-trump-in-senate-gop-primary-debate/,
Liam Madden,No,Vermont,Representative,At-Large,Fully accepted,"WCAX-TV (Burlington, Vt.) ",https://www.wcax.com/2022/06/29/primary-preview-meet-republicans-running-us-house/,
Phil Scott,Yes,Vermont,Governor,N/A,Fully accepted,"Vermont Digger, Politico",https://vtdigger.org/2020/11/27/scott-trump-bruised-confidence-in-integrity-of-elections/,
Mike Tagliavia,No,Vermont,Attorney general,N/A,No comment,,,
H. Brooke Paige,No,Vermont,Secretary of state,N/A,Fully denied,Facebook,https://archive.ph/vw01k,
Rob J. Wittman,Yes,Virginia,Representative,1,Accepted with reservations,"Twitter, congressional roll call",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Jen A. Kiggans,No,Virginia,Representative,2,Accepted with reservations,"Washington Post, campaign spokesman",https://www.washingtonpost.com/dc-md-va/2022/03/30/virginia-2nd-district-kiggans-bell/,Previously raised questions
Terry T. Namkung,No,Virginia,Representative,3,No comment,,,
Leon Benjamin Sr.,No,Virginia,Representative,4,Fully denied,"WVEC (Hampton, Va.), email to FiveThirtyEight",https://www.13newsnow.com/article/news/politics/elections/donald-mceachin-debate-leon-benjamin-election-fraud-claims/291-db527bc4-4530-4038-bb11-a7a5894188b3,
Bob Good,Yes,Virginia,Representative,5,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Ben L. Cline,Yes,Virginia,Representative,6,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Yesli I. Vega,No,Virginia,Representative,7,Accepted with reservations,Virginia Public Media,https://vpm.org/news/articles/32981/gop-congressional-primaries-in-virginia-clouded-by-2020-election,
Karina Lipsman,No,Virginia,Representative,8,Accepted with reservations,Campaign website,https://archive.ph/wip/38McH,
H. Morgan Griffith,Yes,Virginia,Representative,9,Accepted with reservations,"Griffith press, congressional roll call",https://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=402422,
Hung Cao,No,Virginia,Representative,10,Accepted with reservations,"YouTube, email to FiveThirtyEight",https://youtu.be/xVx_gLptPRM?t=1549,Previously raised questions
Jim Myles,No,Virginia,Representative,11,No comment,,,
Tiffany Smiley,No,Washington,Senator,N/A,Accepted with reservations,"Seattle Times, campaign website",https://www.seattletimes.com/seattle-news/politics/tiffany-smiley-says-patty-murrays-30-years-in-senate-is-enough-murray-says-smiley-would-be-vote-for-mitch-mcconnell/,
Vincent J. Cavaleri,No,Washington,Representative,1,No comment,,,
Dan Matthews,No,Washington,Representative,2,No comment,,,
Joe Kent,No,Washington,Representative,3,Fully denied,"CNN, Washington Post",https://www.cnn.com/2021/07/16/politics/impeachment-republicans-house-reelection/index.html,
Dan Newhouse,Yes,Washington,Representative,4,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202117,
Cathy McMorris Rodgers,Yes,Washington,Representative,5,Accepted with reservations,"McMorris Rodgers press, congressional roll call",https://mcmorris.house.gov/posts/mcmorris-rodgers-statement-on-electoral-college-vote,
Elizabeth Kreiselmaier,No,Washington,Representative,6,Avoided answering,Kitsap Sun,https://www.kitsapsun.com/story/news/2022/07/15/election-2022-primary-candidates-6th-district-congress/7782095001/,
Cliff Moon,No,Washington,Representative,7,No comment,,,
Matt Larkin,No,Washington,Representative,8,Fully accepted,Email To FiveThirtyEight,,
Doug Basler,No,Washington,Representative,9,Fully denied,Seattle Times,https://www.seattletimes.com/seattle-news/politics/washington-election-integrity-group-and-lawyer-fined-for-meritless-vote-fraud-lawsuit/,
Keith R. Swank,No,Washington,Representative,10,Fully denied,Twitter,https://archive.ph/HOyiM,
Carol Miller,Yes,West Virginia,Representative,1,Fully denied,"Miller op-ed, congressional roll call ",https://s3.amazonaws.com/wvmetro-uploads-prod/2021/01/CarolMiller-ObjectionStatement.pdf,
Alexander X. Mooney,Yes,West Virginia,Representative,2,Fully denied,"Twitter, congressional roll call",https://archive.ph/eO66z,
Ron Johnson,Yes,Wisconsin,Senator,N/A,Fully denied,Politico,https://www.politico.com/news/2022/06/21/jan-6-panel-trump-overturn-2020-election-00040816,
Bryan Steil,Yes,Wisconsin,Representative,1,Fully accepted,"WKOW (Madison, Wis.), congressional roll call",https://www.wkow.com/news/will-you-tell-this-gentleman-who-won-the-election-2020-election-looms-over-steil-town/article_673df23a-a969-11ec-b535-6fb21e539da3.html,
Erik Olsen,No,Wisconsin,Representative,2,No comment,,,
Derrick Van Orden,No,Wisconsin,Representative,3,Fully denied,Axios,https://www.axios.com/2022/08/10/wisconsin-primaries-derrick-van-orden-trump,
Tim Rogers,No,Wisconsin,Representative,4,No comment,,,
Scott Fitzgerald,Yes,Wisconsin,Representative,5,Fully denied,"Congressional roll call, WisPolitics",https://www.wispolitics.com/2022/sen-larson-open-records-regarding-wisconsins-fake-electors-suggest-congressman-scott-fitzgerald-played-significant-role-in-trying-to-overturn-a-free-and-fair-election/,
Glenn Grothman,Yes,Wisconsin,Representative,6,Accepted with reservations,"Grothman press, congressional roll call",https://archive.ph/F8j8q#selection-187.107-195.28,
Tom Tiffany,Yes,Wisconsin,Representative,7,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Mike Gallagher,Yes,Wisconsin,Representative,8,Accepted with reservations,"Gallagher press, congressional roll call",https://archive.ph/5T8lp,
Tim Michels,No,Wisconsin,Governor,N/A,Raised questions,"WDJT-TV (Milwaukee, Wis.)",https://www.cbs58.com/news/michels-unsure-if-2020-election-was-stolen-says-hes-focused-on-2022-after-winning-trump-endorsement,
Eric Toney,No,Wisconsin,Attorney general,N/A,Accepted with reservations,Email to FiveThirtyEight,,
Amy Lynn Loudenbeck,No,Wisconsin,Secretary of state,N/A,Accepted with reservations,NBC,https://www.nbcnews.com/politics/2022-election/candidates-say-trump-won-2020now-running-oversee-future-elections-rcna26241,
Harriet Hageman,No,Wyoming,Representative,At-Large,Fully denied,Casper Star-Tribune,https://trib.com/news/state-and-regional/hageman-says-2020-election-was-rigged/article_01a1e786-13f1-11ed-b6fc-d32f25c31359.html,
Mark Gordon,Yes,Wyoming,Governor,N/A,No comment,,,
Chuck Gray,No,Wyoming,Secretary of state,N/A,Fully denied,Bolts,https://boltsmag.org/wyoming-first-election-denier-secretary-of-state/,
