phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
paying, ,19,17,36,82.61,62.96,0.665772052,0.414529557
special, ,12,19,31,52.17,70.37,0.663290219,0.41540077
facing, ,10,8,18,43.48,29.63,0.661656826,0.41597563
weeks ago, ,10,8,18,43.48,29.63,0.661656826,0.41597563
environmental,energy/environment,10,8,18,43.48,29.63,0.661656826,0.41597563
large, ,10,8,18,43.48,29.63,0.661656826,0.41597563
gap, ,10,8,18,43.48,29.63,0.661656826,0.41597563
distinguished, ,10,8,18,43.48,29.63,0.661656826,0.41597563
millions dollars,economy/fiscal issues,10,8,18,43.48,29.63,0.661656826,0.41597563
saving, ,10,8,18,43.48,29.63,0.661656826,0.41597563
kids, ,18,16,34,78.26,59.26,0.659467652,0.416747945
safe, ,18,16,34,78.26,59.26,0.659467652,0.416747945
experience, ,11,9,20,47.83,33.33,0.652173913,0.41933652
tonight, ,11,9,20,47.83,33.33,0.652173913,0.41933652
politics, ,11,9,20,47.83,33.33,0.652173913,0.41933652
helped, ,11,9,20,47.83,33.33,0.652173913,0.41933652
unemployment rate,economy/fiscal issues,11,9,20,47.83,33.33,0.652173913,0.41933652
short, ,11,9,20,47.83,33.33,0.652173913,0.41933652
treat, ,11,9,20,47.83,33.33,0.652173913,0.41933652
went, ,11,9,20,47.83,33.33,0.652173913,0.41933652
second, ,15,23,38,65.22,85.19,0.651580642,0.419548125
deserve, ,16,14,30,69.57,51.85,0.64949007,0.420295052
veterans, ,15,13,28,65.22,48.15,0.646192777,0.421477159
friends, ,15,13,28,65.22,48.15,0.646192777,0.421477159
helping, ,13,11,24,56.52,40.74,0.644390768,0.422125295
matter, ,13,11,24,56.52,40.74,0.644390768,0.422125295
united, ,14,12,26,60.87,44.44,0.644370123,0.422132729
room, ,14,12,26,60.87,44.44,0.644370123,0.422132729
point, ,14,12,26,60.87,44.44,0.644370123,0.422132729
insurance, ,14,12,26,60.87,44.44,0.644370123,0.422132729
promise, ,14,12,26,60.87,44.44,0.644370123,0.422132729
investing, ,14,12,26,60.87,44.44,0.644370123,0.422132729
research, ,7,12,19,30.43,44.44,0.641495042,0.423169939
quality life, ,7,12,19,30.43,44.44,0.641495042,0.423169939
individual, ,7,12,19,30.43,44.44,0.641495042,0.423169939
cities, ,7,12,19,30.43,44.44,0.641495042,0.423169939
addressing, ,7,12,19,30.43,44.44,0.641495042,0.423169939
industries,economy/fiscal issues,7,12,19,30.43,44.44,0.641495042,0.423169939
willing, ,7,12,19,30.43,44.44,0.641495042,0.423169939
computer, ,5,9,14,21.74,33.33,0.596273292,0.440003477
pleased, ,5,9,14,21.74,33.33,0.596273292,0.440003477
review, ,5,9,14,21.74,33.33,0.596273292,0.440003477
reduction, ,5,9,14,21.74,33.33,0.596273292,0.440003477
restore, ,5,9,14,21.74,33.33,0.596273292,0.440003477
remarkable, ,5,9,14,21.74,33.33,0.596273292,0.440003477
stories, ,5,9,14,21.74,33.33,0.596273292,0.440003477
bold, ,5,9,14,21.74,33.33,0.596273292,0.440003477
challenging, ,5,9,14,21.74,33.33,0.596273292,0.440003477
news, ,5,9,14,21.74,33.33,0.596273292,0.440003477
budgets,economy/fiscal issues,5,9,14,21.74,33.33,0.596273292,0.440003477
status, ,5,9,14,21.74,33.33,0.596273292,0.440003477
immediate, ,5,9,14,21.74,33.33,0.596273292,0.440003477
economic growth,economy/fiscal issues,5,9,14,21.74,33.33,0.596273292,0.440003477
accountability, ,5,9,14,21.74,33.33,0.596273292,0.440003477
thought, ,5,9,14,21.74,33.33,0.596273292,0.440003477
road, ,10,16,26,43.48,59.26,0.594822247,0.440560421
results, ,10,16,26,43.48,59.26,0.594822247,0.440560421
individuals, ,10,16,26,43.48,59.26,0.594822247,0.440560421
recognized, ,10,16,26,43.48,59.26,0.594822247,0.440560421
drug,mental health/substance abuse,10,16,26,43.48,59.26,0.594822247,0.440560421
law enforcement officers,crime/justice,3,6,9,13.04,22.22,0.581320451,0.445795211
members house, ,3,6,9,13.04,22.22,0.581320451,0.445795211
enforcement officers,crime/justice,3,6,9,13.04,22.22,0.581320451,0.445795211
better place, ,3,6,9,13.04,22.22,0.581320451,0.445795211
continue invest, ,3,6,9,13.04,22.22,0.581320451,0.445795211
000 people, ,3,6,9,13.04,22.22,0.581320451,0.445795211
taxes,economy/fiscal issues,13,20,33,56.52,74.07,0.579758942,0.446406823
additional, ,13,20,33,56.52,74.07,0.579758942,0.446406823
average, ,8,13,21,34.78,48.15,0.528257036,0.467340561
attract, ,8,13,21,34.78,48.15,0.528257036,0.467340561
reason, ,8,13,21,34.78,48.15,0.528257036,0.467340561
non, ,8,13,21,34.78,48.15,0.528257036,0.467340561
tools, ,8,13,21,34.78,48.15,0.528257036,0.467340561
science, ,8,13,21,34.78,48.15,0.528257036,0.467340561
model, ,8,13,21,34.78,48.15,0.528257036,0.467340561
30, ,11,17,28,47.83,62.96,0.508166552,0.475933621
session, ,11,17,28,47.83,62.96,0.508166552,0.475933621
raise, ,14,21,35,60.87,77.78,0.507246377,0.476333314
focus, ,14,21,35,60.87,77.78,0.507246377,0.476333314
community, ,23,22,45,100,81.48,0.473251029,0.491495333
conversation, ,6,10,16,26.09,37.04,0.465378422,0.495121029
finish, ,6,10,16,26.09,37.04,0.465378422,0.495121029
return, ,6,10,16,26.09,37.04,0.465378422,0.495121029
society, ,6,10,16,26.09,37.04,0.465378422,0.495121029
efficient, ,6,10,16,26.09,37.04,0.465378422,0.495121029
school districts,education,6,10,16,26.09,37.04,0.465378422,0.495121029
partners, ,6,10,16,26.09,37.04,0.465378422,0.495121029
delivering, ,6,10,16,26.09,37.04,0.465378422,0.495121029
word, ,6,10,16,26.09,37.04,0.465378422,0.495121029
forward working, ,6,10,16,26.09,37.04,0.465378422,0.495121029
goes, ,6,10,16,26.09,37.04,0.465378422,0.495121029
universities,education,6,10,16,26.09,37.04,0.465378422,0.495121029
addiction,mental health/substance abuse,6,10,16,26.09,37.04,0.465378422,0.495121029
school students,education,6,10,16,26.09,37.04,0.465378422,0.495121029
seek, ,6,10,16,26.09,37.04,0.465378422,0.495121029
going, ,22,21,43,95.65,77.78,0.46140883,0.496966289
country, ,21,20,41,91.3,74.07,0.44966812,0.502492601
services, ,20,19,39,86.96,70.37,0.438044511,0.5080678
things, ,20,19,39,86.96,70.37,0.438044511,0.5080678
social, ,9,14,23,39.13,51.85,0.436953021,0.508596781
deliver, ,9,14,23,39.13,51.85,0.436953021,0.508596781
expansion, ,9,14,23,39.13,51.85,0.436953021,0.508596781
providing, ,9,14,23,39.13,51.85,0.436953021,0.508596781
laws, ,9,14,23,39.13,51.85,0.436953021,0.508596781
role, ,9,14,23,39.13,51.85,0.436953021,0.508596781
teacher,education,12,18,30,52.17,66.67,0.434782609,0.509651478
story, ,12,18,30,52.17,66.67,0.434782609,0.509651478
recognize, ,12,18,30,52.17,66.67,0.434782609,0.509651478
build, ,19,18,37,82.61,66.67,0.426556992,0.513683234
bring, ,19,18,37,82.61,66.67,0.426556992,0.513683234
worked, ,18,17,35,78.26,62.96,0.415228893,0.519327386
women, ,18,17,35,78.26,62.96,0.415228893,0.519327386
forever, ,4,7,11,17.39,25.93,0.411213585,0.521354179
pay raise,economy/fiscal issues,4,7,11,17.39,25.93,0.411213585,0.521354179
cases, ,4,7,11,17.39,25.93,0.411213585,0.521354179
allowed, ,4,7,11,17.39,25.93,0.411213585,0.521354179
million dollars,economy/fiscal issues,4,7,11,17.39,25.93,0.411213585,0.521354179
grants, ,4,7,11,17.39,25.93,0.411213585,0.521354179
computer science,education,4,7,11,17.39,25.93,0.411213585,0.521354179
recognizing, ,4,7,11,17.39,25.93,0.411213585,0.521354179
lt, ,4,7,11,17.39,25.93,0.411213585,0.521354179
related, ,4,7,11,17.39,25.93,0.411213585,0.521354179
remove, ,4,7,11,17.39,25.93,0.411213585,0.521354179
completed, ,4,7,11,17.39,25.93,0.411213585,0.521354179
understanding, ,4,7,11,17.39,25.93,0.411213585,0.521354179
ultimately, ,4,7,11,17.39,25.93,0.411213585,0.521354179
returned, ,4,7,11,17.39,25.93,0.411213585,0.521354179
turning, ,4,7,11,17.39,25.93,0.411213585,0.521354179
meaningful, ,4,7,11,17.39,25.93,0.411213585,0.521354179
departments, ,4,7,11,17.39,25.93,0.411213585,0.521354179
choice, ,4,7,11,17.39,25.93,0.411213585,0.521354179
test, ,4,7,11,17.39,25.93,0.411213585,0.521354179
study, ,4,7,11,17.39,25.93,0.411213585,0.521354179
culture, ,4,7,11,17.39,25.93,0.411213585,0.521354179
applaud, ,4,7,11,17.39,25.93,0.411213585,0.521354179
eliminating, ,4,7,11,17.39,25.93,0.411213585,0.521354179
words, ,4,7,11,17.39,25.93,0.411213585,0.521354179
professionals, ,4,7,11,17.39,25.93,0.411213585,0.521354179
prepared, ,4,7,11,17.39,25.93,0.411213585,0.521354179
constitutional officers, ,4,7,11,17.39,25.93,0.411213585,0.521354179
billions, ,4,7,11,17.39,25.93,0.411213585,0.521354179
heroes, ,4,7,11,17.39,25.93,0.411213585,0.521354179
post, ,4,7,11,17.39,25.93,0.411213585,0.521354179
judiciary, ,4,7,11,17.39,25.93,0.411213585,0.521354179
army, ,4,7,11,17.39,25.93,0.411213585,0.521354179
proven, ,4,7,11,17.39,25.93,0.411213585,0.521354179
face, ,17,16,33,73.91,59.26,0.404089201,0.524984944
costs,economy/fiscal issues,17,16,33,73.91,59.26,0.404089201,0.524984944
taking action, ,3,2,5,13.04,7.41,0.39452496,0.529930429
economic recovery,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
fair share,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
took oath office, ,3,2,5,13.04,7.41,0.39452496,0.529930429
national model, ,3,2,5,13.04,7.41,0.39452496,0.529930429
today year, ,3,2,5,13.04,7.41,0.39452496,0.529930429
15 000, ,3,2,5,13.04,7.41,0.39452496,0.529930429
education opportunity,education,3,2,5,13.04,7.41,0.39452496,0.529930429
150 000, ,3,2,5,13.04,7.41,0.39452496,0.529930429
brighter future, ,3,2,5,13.04,7.41,0.39452496,0.529930429
difference lives, ,3,2,5,13.04,7.41,0.39452496,0.529930429
homes businesses, ,3,2,5,13.04,7.41,0.39452496,0.529930429
funding education,education,3,2,5,13.04,7.41,0.39452496,0.529930429
day kindergarten,education,3,2,5,13.04,7.41,0.39452496,0.529930429
corporate tax,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
career technical education,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
stand thank, ,3,2,5,13.04,7.41,0.39452496,0.529930429
gas emissions,energy/environment,3,2,5,13.04,7.41,0.39452496,0.529930429
state thank, ,3,2,5,13.04,7.41,0.39452496,0.529930429
budget state,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
don believe, ,3,2,5,13.04,7.41,0.39452496,0.529930429
10 percent, ,3,2,5,13.04,7.41,0.39452496,0.529930429
federal tax,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
build stronger,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
school buildings,education,3,2,5,13.04,7.41,0.39452496,0.529930429
jobs today,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
goods services,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
technical education,education,3,2,5,13.04,7.41,0.39452496,0.529930429
ve learned, ,3,2,5,13.04,7.41,0.39452496,0.529930429
industry state, ,3,2,5,13.04,7.41,0.39452496,0.529930429
ve started, ,3,2,5,13.04,7.41,0.39452496,0.529930429
little bit, ,3,2,5,13.04,7.41,0.39452496,0.529930429
work want, ,3,2,5,13.04,7.41,0.39452496,0.529930429
good things, ,3,2,5,13.04,7.41,0.39452496,0.529930429
affordable accessible, ,3,2,5,13.04,7.41,0.39452496,0.529930429
government services, ,3,2,5,13.04,7.41,0.39452496,0.529930429
just want, ,3,2,5,13.04,7.41,0.39452496,0.529930429
want clear, ,3,2,5,13.04,7.41,0.39452496,0.529930429
let people, ,3,2,5,13.04,7.41,0.39452496,0.529930429
want talk, ,3,2,5,13.04,7.41,0.39452496,0.529930429
want work, ,3,2,5,13.04,7.41,0.39452496,0.529930429
hard earned, ,3,2,5,13.04,7.41,0.39452496,0.529930429
way ve, ,3,2,5,13.04,7.41,0.39452496,0.529930429
know work, ,3,2,5,13.04,7.41,0.39452496,0.529930429
included budget, ,3,2,5,13.04,7.41,0.39452496,0.529930429
believe state, ,3,2,5,13.04,7.41,0.39452496,0.529930429
students parents,education,3,2,5,13.04,7.41,0.39452496,0.529930429
state economy,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
deserve better, ,3,2,5,13.04,7.41,0.39452496,0.529930429
state college,education,3,2,5,13.04,7.41,0.39452496,0.529930429
know going, ,3,2,5,13.04,7.41,0.39452496,0.529930429
house representatives, ,3,2,5,13.04,7.41,0.39452496,0.529930429
new job,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
personal income,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
60 million, ,3,2,5,13.04,7.41,0.39452496,0.529930429
student debt,education,3,2,5,13.04,7.41,0.39452496,0.529930429
vast majority, ,3,2,5,13.04,7.41,0.39452496,0.529930429
tough times,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
going work, ,3,2,5,13.04,7.41,0.39452496,0.529930429
years ahead, ,3,2,5,13.04,7.41,0.39452496,0.529930429
children health,health care,3,2,5,13.04,7.41,0.39452496,0.529930429
year proposing, ,3,2,5,13.04,7.41,0.39452496,0.529930429
believe time, ,3,2,5,13.04,7.41,0.39452496,0.529930429
jobs state,economy/fiscal issues,3,2,5,13.04,7.41,0.39452496,0.529930429
percent state, ,3,2,5,13.04,7.41,0.39452496,0.529930429
people lives, ,3,2,5,13.04,7.41,0.39452496,0.529930429
real difference, ,3,2,5,13.04,7.41,0.39452496,0.529930429
past decade, ,3,2,5,13.04,7.41,0.39452496,0.529930429
rural urban, ,3,2,5,13.04,7.41,0.39452496,0.529930429
continue grow, ,3,2,5,13.04,7.41,0.39452496,0.529930429
protect state, ,3,2,5,13.04,7.41,0.39452496,0.529930429
history state, ,3,2,5,13.04,7.41,0.39452496,0.529930429
place home, ,3,2,5,13.04,7.41,0.39452496,0.529930429
health crisis,health care,3,2,5,13.04,7.41,0.39452496,0.529930429
opportunity make, ,3,2,5,13.04,7.41,0.39452496,0.529930429
equal opportunity, ,3,2,5,13.04,7.41,0.39452496,0.529930429
health challenges,health care,3,2,5,13.04,7.41,0.39452496,0.529930429
greenhouse gas emissions,energy/environment,3,2,5,13.04,7.41,0.39452496,0.529930429
police officers,crime/justice,3,2,5,13.04,7.41,0.39452496,0.529930429
crisis year, ,3,2,5,13.04,7.41,0.39452496,0.529930429
continue build, ,3,2,5,13.04,7.41,0.39452496,0.529930429
training, ,16,15,31,69.57,55.56,0.393174381,0.530635514
won, ,16,15,31,69.57,55.56,0.393174381,0.530635514
progress, ,16,15,31,69.57,55.56,0.393174381,0.530635514
generation, ,16,15,31,69.57,55.56,0.393174381,0.530635514
serve, ,16,23,39,69.57,85.19,0.388496635,0.533090695
doing, ,16,23,39,69.57,85.19,0.388496635,0.533090695
help students,education,2,4,6,8.7,14.81,0.387546967,0.533591646
know ve, ,2,4,6,8.7,14.81,0.387546967,0.533591646
program help, ,2,4,6,8.7,14.81,0.387546967,0.533591646
broadband access, ,2,4,6,8.7,14.81,0.387546967,0.533591646
work protect, ,2,4,6,8.7,14.81,0.387546967,0.533591646
work ethic, ,2,4,6,8.7,14.81,0.387546967,0.533591646
workforce training,economy/fiscal issues,2,4,6,8.7,14.81,0.387546967,0.533591646
work things, ,2,4,6,8.7,14.81,0.387546967,0.533591646
mental health care,mental health/substance abuse,2,4,6,8.7,14.81,0.387546967,0.533591646
bless united, ,2,4,6,8.7,14.81,0.387546967,0.533591646
medicaid program,health care,2,4,6,8.7,14.81,0.387546967,0.533591646
bless united states, ,2,4,6,8.7,14.81,0.387546967,0.533591646
fiscal year,economy/fiscal issues,2,4,6,8.7,14.81,0.387546967,0.533591646
spend money,economy/fiscal issues,2,4,6,8.7,14.81,0.387546967,0.533591646
believe best, ,2,4,6,8.7,14.81,0.387546967,0.533591646
jobs created,economy/fiscal issues,2,4,6,8.7,14.81,0.387546967,0.533591646
speaker mr, ,2,4,6,8.7,14.81,0.387546967,0.533591646
right direction, ,2,4,6,8.7,14.81,0.387546967,0.533591646
make investments, ,2,4,6,8.7,14.81,0.387546967,0.533591646
people want, ,2,4,6,8.7,14.81,0.387546967,0.533591646
god bless united, ,2,4,6,8.7,14.81,0.387546967,0.533591646
customer service, ,2,4,6,8.7,14.81,0.387546967,0.533591646
state investment, ,2,4,6,8.7,14.81,0.387546967,0.533591646
state need, ,2,4,6,8.7,14.81,0.387546967,0.533591646
given opportunity, ,2,4,6,8.7,14.81,0.387546967,0.533591646
tell story, ,2,4,6,8.7,14.81,0.387546967,0.533591646
parts state, ,2,4,6,8.7,14.81,0.387546967,0.533591646
great work, ,2,4,6,8.7,14.81,0.387546967,0.533591646
ve said, ,2,4,6,8.7,14.81,0.387546967,0.533591646
level playing, ,2,4,6,8.7,14.81,0.387546967,0.533591646
want know, ,2,4,6,8.7,14.81,0.387546967,0.533591646
substance use,mental health/substance abuse,2,4,6,8.7,14.81,0.387546967,0.533591646
look like, ,2,4,6,8.7,14.81,0.387546967,0.533591646
long way, ,2,4,6,8.7,14.81,0.387546967,0.533591646
rural, ,15,14,29,65.22,51.85,0.382530957,0.536251814
decades, ,15,14,29,65.22,51.85,0.382530957,0.536251814
ready, ,15,14,29,65.22,51.85,0.382530957,0.536251814
common, ,15,14,29,65.22,51.85,0.382530957,0.536251814
away, ,15,14,29,65.22,51.85,0.382530957,0.536251814
crisis, ,15,14,29,65.22,51.85,0.382530957,0.536251814
paid, ,14,13,27,60.87,48.15,0.37221924,0.54179707
offer, ,14,13,27,60.87,48.15,0.37221924,0.54179707
mental, ,13,19,32,56.52,70.37,0.372181965,0.541817306
think, ,13,19,32,56.52,70.37,0.372181965,0.541817306
directly, ,7,11,18,30.43,40.74,0.366434067,0.544954452
earn, ,7,11,18,30.43,40.74,0.366434067,0.544954452
constitutional, ,7,11,18,30.43,40.74,0.366434067,0.544954452
eliminate, ,7,11,18,30.43,40.74,0.366434067,0.544954452
changed, ,7,11,18,30.43,40.74,0.366434067,0.544954452
demand, ,7,11,18,30.43,40.74,0.366434067,0.544954452
include, ,7,11,18,30.43,40.74,0.366434067,0.544954452
hit, ,7,11,18,30.43,40.74,0.366434067,0.544954452
trust, ,7,11,18,30.43,40.74,0.366434067,0.544954452
putting, ,13,12,25,56.52,44.44,0.362318841,0.547221223
lieutenant governor, ,13,12,25,56.52,44.44,0.362318841,0.547221223
lieutenant, ,13,12,25,56.52,44.44,0.362318841,0.547221223
agree, ,13,12,25,56.52,44.44,0.362318841,0.547221223
leading, ,13,12,25,56.52,44.44,0.362318841,0.547221223
natural, ,13,12,25,56.52,44.44,0.362318841,0.547221223
protecting, ,13,12,25,56.52,44.44,0.362318841,0.547221223
available, ,10,15,25,43.48,55.56,0.362318841,0.547221223
classroom,education,12,11,23,52.17,40.74,0.352937058,0.552455223
month, ,12,11,23,52.17,40.74,0.352937058,0.552455223
reality, ,12,11,23,52.17,40.74,0.352937058,0.552455223
federal funds,economy/fiscal issues,4,3,7,17.39,11.11,0.34989648,0.554171736
save lives, ,4,3,7,17.39,11.11,0.34989648,0.554171736
budget ll,,4,3,7,17.39,11.11,0.34989648,0.554171736
career technical,economy/fiscal issues,4,3,7,17.39,11.11,0.34989648,0.554171736
new year, ,4,3,7,17.39,11.11,0.34989648,0.554171736
quality health,health care,4,3,7,17.39,11.11,0.34989648,0.554171736
quality health care,health care,4,3,7,17.39,11.11,0.34989648,0.554171736
10 000, ,4,3,7,17.39,11.11,0.34989648,0.554171736
number priority, ,4,3,7,17.39,11.11,0.34989648,0.554171736
democrats republicans, ,4,3,7,17.39,11.11,0.34989648,0.554171736
lead way, ,4,3,7,17.39,11.11,0.34989648,0.554171736
let say, ,4,3,7,17.39,11.11,0.34989648,0.554171736
state know, ,4,3,7,17.39,11.11,0.34989648,0.554171736
don need, ,4,3,7,17.39,11.11,0.34989648,0.554171736
don know, ,4,3,7,17.39,11.11,0.34989648,0.554171736
make real, ,4,3,7,17.39,11.11,0.34989648,0.554171736
national average, ,4,3,7,17.39,11.11,0.34989648,0.554171736
tools need, ,4,3,7,17.39,11.11,0.34989648,0.554171736
early education,education,4,3,7,17.39,11.11,0.34989648,0.554171736
best practices, ,4,3,7,17.39,11.11,0.34989648,0.554171736
best nation, ,4,3,7,17.39,11.11,0.34989648,0.554171736
going change, ,4,3,7,17.39,11.11,0.34989648,0.554171736
thank thank, ,4,3,7,17.39,11.11,0.34989648,0.554171736
90 percent, ,4,3,7,17.39,11.11,0.34989648,0.554171736
access quality, ,4,3,7,17.39,11.11,0.34989648,0.554171736
gets, ,11,10,21,47.83,37.04,0.344222069,0.557402243
includes, ,11,10,21,47.83,37.04,0.344222069,0.557402243
gone, ,11,10,21,47.83,37.04,0.344222069,0.557402243
tough, ,11,10,21,47.83,37.04,0.344222069,0.557402243
plan, ,17,24,41,73.91,88.89,0.339696006,0.560004746
history, ,17,24,41,73.91,88.89,0.339696006,0.560004746
young people, ,10,9,19,43.48,33.33,0.336384439,0.561923664
urban, ,10,9,19,43.48,33.33,0.336384439,0.561923664
hours, ,10,9,19,43.48,33.33,0.336384439,0.561923664
equal, ,10,9,19,43.48,33.33,0.336384439,0.561923664
greater, ,10,9,19,43.48,33.33,0.336384439,0.561923664
public schools,education,10,9,19,43.48,33.33,0.336384439,0.561923664
bridges, ,10,9,19,43.48,33.33,0.336384439,0.561923664
state better, ,5,4,9,21.74,14.81,0.330828413,0.565171695
state just, ,5,4,9,21.74,14.81,0.330828413,0.565171695
state time, ,5,4,9,21.74,14.81,0.330828413,0.565171695
30 years, ,5,4,9,21.74,14.81,0.330828413,0.565171695
good ideas, ,5,4,9,21.74,14.81,0.330828413,0.565171695
economic opportunity,economy/fiscal issues,5,4,9,21.74,14.81,0.330828413,0.565171695
staff, ,9,8,17,39.13,29.63,0.329733826,0.565815863
high quality, ,9,8,17,39.13,29.63,0.329733826,0.565815863
position, ,9,8,17,39.13,29.63,0.329733826,0.565815863
stood, ,9,8,17,39.13,29.63,0.329733826,0.565815863
hand, ,9,8,17,39.13,29.63,0.329733826,0.565815863
play, ,9,8,17,39.13,29.63,0.329733826,0.565815863
steps, ,9,8,17,39.13,29.63,0.329733826,0.565815863
hear, ,9,8,17,39.13,29.63,0.329733826,0.565815863
shared, ,9,8,17,39.13,29.63,0.329733826,0.565815863
aren, ,9,8,17,39.13,29.63,0.329733826,0.565815863
designed, ,8,7,15,34.78,25.93,0.324745035,0.56876991
form, ,8,7,15,34.78,25.93,0.324745035,0.56876991
connect, ,8,7,15,34.78,25.93,0.324745035,0.56876991
members legislature, ,8,7,15,34.78,25.93,0.324745035,0.56876991
ensuring, ,8,7,15,34.78,25.93,0.324745035,0.56876991
thrive, ,8,7,15,34.78,25.93,0.324745035,0.56876991
united states america, ,6,5,11,26.09,18.52,0.323378715,0.569584201
honest, ,6,5,11,26.09,18.52,0.323378715,0.569584201
wonderful, ,6,5,11,26.09,18.52,0.323378715,0.569584201
work state, ,6,5,11,26.09,18.52,0.323378715,0.569584201
task force, ,6,5,11,26.09,18.52,0.323378715,0.569584201
included, ,6,5,11,26.09,18.52,0.323378715,0.569584201
fastest, ,6,5,11,26.09,18.52,0.323378715,0.569584201
happens, ,6,5,11,26.09,18.52,0.323378715,0.569584201
door, ,6,5,11,26.09,18.52,0.323378715,0.569584201
raise family, ,6,5,11,26.09,18.52,0.323378715,0.569584201
rapidly, ,6,5,11,26.09,18.52,0.323378715,0.569584201
failed, ,6,5,11,26.09,18.52,0.323378715,0.569584201
percentage, ,6,5,11,26.09,18.52,0.323378715,0.569584201
foremost, ,6,5,11,26.09,18.52,0.323378715,0.569584201
overdose,mental health/substance abuse,6,5,11,26.09,18.52,0.323378715,0.569584201
people like, ,6,5,11,26.09,18.52,0.323378715,0.569584201
trade,economy/fiscal issues,6,5,11,26.09,18.52,0.323378715,0.569584201
parts, ,6,5,11,26.09,18.52,0.323378715,0.569584201
frankly, ,6,5,11,26.09,18.52,0.323378715,0.569584201
optimism, ,6,5,11,26.09,18.52,0.323378715,0.569584201
fulfill, ,6,5,11,26.09,18.52,0.323378715,0.569584201
neighborhoods, ,6,5,11,26.09,18.52,0.323378715,0.569584201
native, ,6,5,11,26.09,18.52,0.323378715,0.569584201
make state, ,6,5,11,26.09,18.52,0.323378715,0.569584201
showed, ,6,5,11,26.09,18.52,0.323378715,0.569584201
showing, ,6,5,11,26.09,18.52,0.323378715,0.569584201
madam, ,6,5,11,26.09,18.52,0.323378715,0.569584201
doors, ,6,5,11,26.09,18.52,0.323378715,0.569584201
listening, ,6,5,11,26.09,18.52,0.323378715,0.569584201
zip code, ,6,5,11,26.09,18.52,0.323378715,0.569584201
calls, ,6,5,11,26.09,18.52,0.323378715,0.569584201
create new, ,6,5,11,26.09,18.52,0.323378715,0.569584201
advocates, ,6,5,11,26.09,18.52,0.323378715,0.569584201
accessible, ,6,5,11,26.09,18.52,0.323378715,0.569584201
daughters, ,6,5,11,26.09,18.52,0.323378715,0.569584201
knows, ,7,6,13,30.43,22.22,0.322185061,0.570297453
happening, ,7,6,13,30.43,22.22,0.322185061,0.570297453
10 million, ,7,6,13,30.43,22.22,0.322185061,0.570297453
journey, ,7,6,13,30.43,22.22,0.322185061,0.570297453
similar, ,7,6,13,30.43,22.22,0.322185061,0.570297453
streets, ,7,6,13,30.43,22.22,0.322185061,0.570297453
earlier, ,7,6,13,30.43,22.22,0.322185061,0.570297453
replace, ,7,6,13,30.43,22.22,0.322185061,0.570297453
000 new, ,7,6,13,30.43,22.22,0.322185061,0.570297453
mr president, ,7,6,13,30.43,22.22,0.322185061,0.570297453
health services,health care,7,6,13,30.43,22.22,0.322185061,0.570297453
ranked, ,7,6,13,30.43,22.22,0.322185061,0.570297453
modern, ,7,6,13,30.43,22.22,0.322185061,0.570297453
online, ,7,6,13,30.43,22.22,0.322185061,0.570297453
listen, ,7,6,13,30.43,22.22,0.322185061,0.570297453
waiting, ,7,6,13,30.43,22.22,0.322185061,0.570297453
zip, ,7,6,13,30.43,22.22,0.322185061,0.570297453
sit, ,7,6,13,30.43,22.22,0.322185061,0.570297453
resources, ,14,20,34,60.87,74.07,0.318461684,0.572533586
growth,economy/fiscal issues,14,20,34,60.87,74.07,0.318461684,0.572533586
mr, ,11,16,27,47.83,59.26,0.300650086,0.583475162
right thing, ,5,8,13,21.74,29.63,0.297411123,0.585509984
incentives, ,5,8,13,21.74,29.63,0.297411123,0.585509984
born, ,5,8,13,21.74,29.63,0.297411123,0.585509984
cutting, ,5,8,13,21.74,29.63,0.297411123,0.585509984
driving, ,5,8,13,21.74,29.63,0.297411123,0.585509984
institutions, ,5,8,13,21.74,29.63,0.297411123,0.585509984
dangerous, ,5,8,13,21.74,29.63,0.297411123,0.585509984
remind, ,5,8,13,21.74,29.63,0.297411123,0.585509984
realize, ,5,8,13,21.74,29.63,0.297411123,0.585509984
superintendent,education,5,8,13,21.74,29.63,0.297411123,0.585509984
case, ,5,8,13,21.74,29.63,0.297411123,0.585509984
region, ,5,8,13,21.74,29.63,0.297411123,0.585509984
reducing, ,5,8,13,21.74,29.63,0.297411123,0.585509984
unfortunately, ,5,8,13,21.74,29.63,0.297411123,0.585509984
options, ,5,8,13,21.74,29.63,0.297411123,0.585509984
