Owner,Team,League,Recipient,Amount,Election Year,Party
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ADAM SMITH FOR CONGRESS COMMITTEE,"$3,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BENNET FOR COLORADO,"$3,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CHRIS COONS FOR DELAWARE,"$3,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MONTANANS FOR TESTER,"$3,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",HATCH ELECTION COMMITTEE INC,"$3,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SIMPSON FOR CONGRESS,"$3,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CARPER FOR SENATE,"$3,000 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PRAMILA FOR CONGRESS,"$2,700 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DAN NEWHOUSE FOR CONGRESS,"$2,700 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF JOHN BARRASSO,"$2,700 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",KAY GRANGER CAMPAIGN FUND,"$2,700 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ADAM SMITH FOR CONGRESS COMMITTEE,"$2,700 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BILL NELSON FOR US SENATE,"$2,700 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CITIZENS TO ELECT RICK LARSEN,"$2,700 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DELBENE FOR CONGRESS,"$2,700 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DENNY HECK FOR CONGRESS,"$2,700 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",TAMMY BALDWIN FOR SENATE,"$2,700 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",TEAM GRAHAM INC,"$2,500 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DAN NEWHOUSE FOR CONGRESS,"$2,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF ROY BLUNT,"$2,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SIMPSON FOR CONGRESS,"$2,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WALDEN FOR CONGRESS,"$2,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CITIZENS TO ELECT RICK LARSEN,"$2,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DELBENE FOR CONGRESS,"$2,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DENNY HECK FOR CONGRESS,"$2,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF SCHUMER,"$2,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SCHATZ FOR SENATE,"$2,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ALASKANS FOR DAN SULLIVAN,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BRADY FOR CONGRESS,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CATHY MCMORRIS RODGERS FOR CONGRESS,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CRAPO VICTORY COMMITTEE,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF DAVE JOYCE,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF ROY BLUNT,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",GREG PENCE FOR CONGRESS,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JEFF FORTENBERRY FOR UNITED STATES CONGRESS,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JIM RISCH FOR U S SENATE COMMITTEE,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MAKING AMERICA PROSPEROUS PAC,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PORTMAN FOR SENATE COMMITTEE,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",STEVE DAINES FOR MONTANA,"$2,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL","BEN CARDIN FOR SENATE, INC.","$2,000 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CORY BOOKER FOR SENATE,"$2,000 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",GARAMENDI FOR CONGRESS,"$2,000 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MARTIN HEINRICH FOR SENATE,"$2,000 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,"$2,000 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WYDEN FOR SENATE,"$2,000 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BOB CORKER FOR SENATE 2018 INC,"$1,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CARLOS CURBELO CONGRESS,"$1,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",COLLINS FOR SENATOR,"$1,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CORY GARDNER FOR SENATE,"$1,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF JIM BRIDENSTINE INC.,"$1,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JEFF FLAKE FOR US SENATE INC,"$1,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",RYAN COSTELLO FOR CONGRESS,"$1,000 ",2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BLUMENAUER FOR CONGRESS,"$1,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF BRADY WALKINSHAW,"$1,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WHITEHOUSE FOR SENATE,"$1,000 ",2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CARLOS CURBELO CONGRESS,"$1,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CULBERSON FOR CONGRESS,"$1,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DEBBIE DINGELL FOR CONGRESS,"$1,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MARTHA ROBY FOR CONGRESS,"$1,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ROBERT ADERHOLT FOR CONGRESS,"$1,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ROYCE CAMPAIGN COMMITTEE,"$1,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SANFORD FOR CONGRESS,"$1,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",VOLUNTEERS FOR SHIMKUS,"$1,000 ",2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DIANA DEGETTE FOR CONGRESS,"$1,000 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",VISCLOSKY FOR CONGRESS,"$1,000 ",2018,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",COMSTOCK FOR CONGRESS,$500 ,2016,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MIKE HONDA FOR CONGRESS,$500 ,2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",REED COMMITTEE; THE,$500 ,2016,Democrat
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SAWTOOTH POLITICAL ACTION COMMITTEE (SAWTOOTH PAC),$500 ,2018,Republican
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WALDEN FOR CONGRESS,$500 ,2018,Republican
Joe Ellis,Denver Broncos,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan
Joe Ellis,Denver Broncos,NFL,Stapleton Victory Fund,"$10,000 ",2018,Republican
Joe Ellis,Denver Broncos,NFL,Gridiron-PAC,"$5,000 ",2018,Bipartisan
Joe Ellis,Denver Broncos,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan
Joe Ellis,Denver Broncos,NFL,Colorado Republican Committee,"$2,000 ",2016,Republican
Joe Gibbs,Joe Gibbs Racing,NASCAR,"Pittenger for Congress, LLC","$5,000 ",2018,Republican
Joe Gibbs,Joe Gibbs Racing,NASCAR,The Pittenger Victory Fund,"$5,000 ",2018,Republican
Joel Glazer,Tampa Bay Buccaneers,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan
Joel Glazer,Tampa Bay Buccaneers,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan
Joel Glazer,Tampa Bay Buccaneers,NFL,Hillary Victory Fund,"$5,400 ",2016,Democrat
Joel Glazer,Tampa Bay Buccaneers,NFL,Charlie Crist for Congress,"$5,400 ",2018,Democrat
Joel Glazer,Tampa Bay Buccaneers,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan
John Fisher,Oakland Athletics,MLB,COTTON VICTORY,"$10,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,BOB CORKER FOR SENATE 2018 INC,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,COMSTOCK FOR CONGRESS,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,DAN CRENSHAW FOR CONGRESS,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,FRIENDS OF ANDY COLEMAN,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,HATCH ELECTION COMMITTEE INC,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,HELLER FOR SENATE,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,HURD VICTORY FUND,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,JEFF FLAKE FOR US SENATE INC,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,MIMI WALTERS VICTORY FUND,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,SASSE LEADERSHIP COMMITTEE,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,WINNING WOMEN FOR THE US SENATE,"$5,400 ",2018,Republican
John Fisher,Oakland Athletics,MLB,CARPER FOR SENATE,"$5,400 ",2018,Democrat
John Fisher,Oakland Athletics,MLB,DIANA DEGETTE FOR CONGRESS,"$5,400 ",2018,Democrat
John Fisher,Oakland Athletics,MLB,FEINSTEIN FOR SENATE 2024,"$5,400 ",2018,Democrat
John Fisher,Oakland Athletics,MLB,MORE CONSERVATIVES PAC (MCPAC),"$5,000 ",2018,Republican
John Fisher,Oakland Athletics,MLB,GAP INC. POLITICAL ACTION COMMITTEE; THE,"$5,000 ",2020,Bipartisan
John Fisher,Oakland Athletics,MLB,BRADY FOR CONGRESS,"$2,800 ",2020,Republican
John Fisher,Oakland Athletics,MLB,MAKING AMERICA PROSPEROUS PAC,"$2,700 ",2018,Republican
John Fisher,Oakland Athletics,MLB,CORY BOOKER FOR SENATE,"$2,700 ",2018,Democrat
John Fisher,Oakland Athletics,MLB,DOUG JONES FOR SENATE COMMITTEE,"$2,700 ",2018,Democrat
John Fisher,Oakland Athletics,MLB,KENNETH SHEETS FOR CONGRESS,"$1,000 ",2018,Republican
John Fisher,Oakland Athletics,MLB,VAN TAYLOR CAMPAIGN,"$1,000 ",2018,Republican
John Mara,New York Giants,NFL,GRIDIRON-PAC,"$10,000 ",2016,Bipartisan
John Mara,New York Giants,NFL,GRIDIRON-PAC,"$5,000 ",2018,Bipartisan
John Mara,New York Giants,NFL,GRIDIRON-PAC,"$5,000 ",2020,Bipartisan
John Mara,New York Giants,NFL,HATCH ELECTION COMMITTEE INC,"$1,000 ",2016,Republican
John Middleton,Philadelphia Phillies,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2018,Bipartisan
John Middleton,Philadelphia Phillies,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan
John Middleton,Philadelphia Phillies,MLB,Brier for Congress,"$2,800 ",2020,Democrat
John Middleton,Philadelphia Phillies,MLB,Cathy McMorris Rodgers for Congress,"$2,700 ",2016,Republican
John Middleton,Philadelphia Phillies,MLB,"Kasich for America, Inc.","$2,700 ",2016,Republican
John Middleton,Philadelphia Phillies,MLB,MCMORRIS RODGERS AMERICAN DREAM PROJECT; THE,"$2,700 ",2016,Republican
John P. McConnell,Columbus Blue Jackets,NHL,Stivers Victory Committee,"$10,400 ",2016,Republican
John P. McConnell,Columbus Blue Jackets,NHL,Stivers for Congress,"$5,400 ",2018,Republican
John P. McConnell,Columbus Blue Jackets,NHL,Portman Victory Committee,"$5,000 ",2016,Republican
John P. McConnell,Columbus Blue Jackets,NHL,Team Josh,"$5,000 ",2018,Republican
John P. McConnell,Columbus Blue Jackets,NHL,Ohio Republican Party State Central & Executive Committee,"$4,900 ",2016,Republican
John P. McConnell,Columbus Blue Jackets,NHL,Anthony Gonzalez for Congress,"$2,700 ",2018,Republican
John P. McConnell,Columbus Blue Jackets,NHL,Stivers for Congress,"$1,000 ",2020,Republican
John P. McConnell,Columbus Blue Jackets,NHL,Tiberi for Congress,$500 ,2016,Republican
John Rogers,Chicago Sky,WNBA,BLACK ECONOMIC ALLIANCE PAC,"$50,000 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,"$43,400 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,DSCC,"$35,000 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,DSCC,"$32,500 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,"$25,000 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,Hillary Action Fund,"$20,000 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,Hillary For America,"$20,000 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,ILLINOIS VOICES MATTER,"$15,000 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,DCCC,"$11,000 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000 ",2016,"Bipartisan, but mostly Republican"
John Rogers,Chicago Sky,WNBA,DCCC,"$10,000 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000 ",2018,"Bipartisan, but mostly Republican"
John Rogers,Chicago Sky,WNBA,DSCC,"$10,000 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),"$10,000 ",2020,"Bipartisan, but mostly Republican"
John Rogers,Chicago Sky,WNBA,"AMY MCGRATH FOR SENATE, INC.","$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,BEATTY FOR CONGRESS,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,CHUY GARCIA FOR CONGRESS,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,CITIZENS FOR RUSH,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,CORY BOOKER FOR SENATE,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,ELISSA SLOTKIN FOR CONGRESS,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,FRIENDS OF DICK DURBIN COMMITTEE,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,FRIENDS OF RAJA FOR CONGRESS,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,HICKENLOOPER FOR COLORADO,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,KAREN BASS FOR CONGRESS,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,KENNEDY FOR MASSACHUSETTS,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,LAUREN UNDERWOOD FOR CONGRESS,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,MAYA R. CUMMINGS FOR CONGRESS,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,MICHAEL BLAKE FOR CONGRESS,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,PETERS FOR MICHIGAN,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,WARNOCK FOR GEORGIA,"$5,600 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,FRIENDS OF MARK WARNER,"$5,500 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,ANDREA ZOPP FOR US SENATE,"$5,400 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,CATHERINE CORTEZ MASTO FOR SENATE,"$5,400 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,"$5,400 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,FRIENDS OF RAJA FOR CONGRESS,"$5,400 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,LON JOHNSON FOR CONGRESS,"$5,400 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,ROBIN KELLY FOR CONGRESS,"$5,400 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,RUSS FOR WISCONSIN,"$5,400 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,STRICKLAND FOR SENATE,"$5,400 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,FRIENDS OF RAJA FOR CONGRESS,"$5,400 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,KAINE FOR VIRGINIA,"$5,400 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,TERRI SEWELL FOR CONGRESS,"$5,400 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,ROBIN KELLY FOR CONGRESS,"$5,400 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,21ST CENTURY LEADERS,"$5,000 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,ILLINOIS SENATE VICTORY,"$5,000 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,PEAKS AND PALMS SENATE VICTORY,"$5,000 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,44 FUND,"$5,000 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,FEARLESS FOR THE PEOPLE PAC,"$5,000 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,PERIMETER PAC,"$5,000 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,RUST BELT RISING PAC,"$5,000 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,Unite The Country,"$5,000 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,JAIME HARRISON FOR US SENATE,"$3,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,MIKIE SHERRILL FOR CONGRESS,"$3,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,LAUREN UNDERWOOD FOR CONGRESS,"$3,200 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,MCCASKILL FOR MISSOURI,"$3,000 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,PEMBERTON FOR MA,"$3,000 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,CLAIRE RUSSO FOR CONGRESS,"$2,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,DEVAL FOR ALL,"$2,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,DR. AL GROSS FOR U.S. SENATE,"$2,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,JACKIE GORDON FOR CONGRESS,"$2,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,Kamala Harris For The People,"$2,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,LULU FOR TEXAS,"$2,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,MIKIE SHERRILL FOR CONGRESS,"$2,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,NICK COLVIN FOR CONGRESS,"$2,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,SCHAKOWSKY FOR CONGRESS,"$2,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,Sherman for Congress,"$2,800 ",2020,Democrat
John Rogers,Chicago Sky,WNBA,BENNET FOR COLORADO,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,CLYDE WILLIAMS FOR CONGRESS,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,ERIC LYNN FOR CONGRESS,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,EVAN BAYH COMMITTEE,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,FRIENDS OF CLYDE WILLIAMS,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,FRIENDS OF DICK DURBIN,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,GLENN IVEY FOR CONGRESS,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,KATIE MCGINTY FOR SENATE,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,O'MALLEY FOR PRESIDENT,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,SCHAKOWSKY FOR CONGRESS,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,TAMMY FOR ILLINOIS,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,WILL JAWANDO FOR CONGRESS,"$2,700 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,TIM SCOTT FOR SENATE,"$2,700 ",2018,Republican
John Rogers,Chicago Sky,WNBA,ALEJANDRA CAMPOVERDI FOR CONGRESS,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,BILL FOSTER FOR CONGRESS,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,COMMITTEE TO ELECT DAN KOH,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,DOUG JONES FOR SENATE COMMITTEE,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,ELISSA SLOTKIN FOR CONGRESS,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,FRIENDS OF DICK DURBIN COMMITTEE,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,HEIDI JOE VICTORY FUND,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,KAREN BASS FOR CONGRESS,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,KIND FOR CONGRESS COMMITTEE,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,Lisa Blunt Rochester for Congress,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,MANCHIN FOR WEST VIRGINIA,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,MENENDEZ FOR SENATE,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,MONTANA NORTH DAKOTA VICTORY FUND,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,ROBIN KELLY FOR CONGRESS,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,RUFUS GIFFORD FOR CONGRESS,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,TOM O'HALLERAN FOR CONGRESS,"$2,700 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,FRIENDS FOR HARRY REID,"$2,600 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,FRIENDS OF SCHUMER,"$2,600 ",2016,Democrat
John Rogers,Chicago Sky,WNBA,BETO FOR TEXAS,"$2,500 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,CONGRESSIONAL BLACK CAUCUS PAC,"$2,500 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,"$2,500 ",2018,Democrat
John Rogers,Chicago Sky,WNBA,Friends for Gregory Meeks,"$2,500 ",2020,Democrat
