RespondentID,Do you celebrate Thanksgiving?,What is typically the main dish at your Thanksgiving dinner?,What is typically the main dish at your Thanksgiving dinner? - Other (please specify),How is the main dish typically cooked?,How is the main dish typically cooked? - Other (please specify),What kind of stuffing/dressing do you typically have?,What kind of stuffing/dressing do you typically have? - Other (please specify),What type of cranberry saucedo you typically have?,What type of cranberry saucedo you typically have? - Other (please specify),Do you typically have gravy?,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Brussel sprouts,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Carrots,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Cauliflower,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Corn,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Cornbread,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Fruit salad,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Green beans/green bean casserole,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Macaroni and cheese,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Mashed potatoes,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Rolls/biscuits,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Squash,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Vegetable salad,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Yams/sweet potato casserole,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Other (please specify),Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Other (please specify),Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Apple,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Buttermilk,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Cherry,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Chocolate,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Coconut cream,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Key lime,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Peach,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Pecan,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Pumpkin,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Sweet Potato,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - None,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Other (please specify),Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Other (please specify),Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Apple cobbler,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Blondies,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Brownies,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Carrot cake,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Cheesecake,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Cookies,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Fudge,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Ice cream,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Peach cobbler,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - None,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Other (please specify),Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Other (please specify),Do you typically pray before or after the Thanksgiving meal?,How far will you travel for Thanksgiving?,Will you watch any of the following programs on Thanksgiving? Please select all that apply. - Macy's Parade,"What's the age cutoff at your ""kids' table"" at Thanksgiving?",Have you ever tried to meet up with hometown friends on Thanksgiving night?,"Have you ever attended a ""Friendsgiving?""",Will you shop any Black Friday sales on Thanksgiving Day?,Do you work in retail?,Will you employer make you work on Black Friday?,How would you describe where you live?,Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
4336876798,Yes,Turkey,,Other (please specify),Smoked,Bread-based,,Canned,,Yes,,,,,,,,,,Rolls/biscuits,,,Yams/sweet potato casserole,Other (please specify),Green beans with almonds & brocolli rice casserole,Apple,,,,,,,Pecan,,,,,,,,Brownies,,,,,,,,Other (please specify),pie-spple & pecan,No,Thanksgiving is local--it will take place in the town I live in,,10 or younger,Yes,No,Yes,No,,Suburban,60+,Female,"$25,000 to $49,999",South Atlantic
4336876529,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,,,,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,,,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,Yes,Yes,No,No,,Rural,30 - 44,Female,"$75,000 to $99,999",East North Central
4336876457,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,Carrots,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,,,,,Pecan,Pumpkin,Sweet Potato,,,,,,,,,,,,,None,,,Yes,Thanksgiving is local--it will take place in the town I live in,,10 or younger,No,No,No,No,,Rural,45 - 59,Female,"$10,000 to $24,999",South Atlantic
4336876402,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,No,,,Cauliflower,Corn,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,Other (please specify),Peas,Apple,Buttermilk,Cherry,Chocolate,Coconut cream,,,Pecan,Pumpkin,,,Other (please specify),Mincemeat ,,,,,Cheesecake,Cookies,Fudge,,,,,,Yes,Thanksgiving is out of town and far away--I have to drive several hours or fly,Macy's Parade,10 or younger,No,No,No,No,,Rural,45 - 59,Female,"$125,000 to $149,999",South Atlantic
4336875194,Yes,Turkey,,Baked,,Bread-based,,Homemade,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,Other (please specify),blueberry,,,,,,,,,,None,,,Yes,Thanksgiving is local--it will take place in the town I live in,,10 or younger,Yes,No,No,No,,Suburban,60+,Female,Prefer not to answer,West North Central
4336874555,Yes,Turkey,,Roasted,,Other (please specify),cornbread,Homemade,,No,Brussel sprouts,,,,,,Green beans/green bean casserole,,Mashed potatoes,,Squash,,Yams/sweet potato casserole,,,,,,,,,,Pecan,,,,,,,,,,Cheesecake,,,,,,,,No,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,21 or older,Yes,No,No,No,,Urban,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic
4336874265,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,,,,,Pecan,,,,,,,,,,,,,Ice cream,,,,,No,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,10 or younger,No,No,No,No,,Rural,60+,Male,"$50,000 to $74,999",East North Central
4336871606,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,,Carrots,,,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,No,Yes,Yes,Yes,Suburban,30 - 44,Female,"$0 to $9,999",Middle Atlantic
4336871204,Yes,Other (please specify),Chicken Dressing,Baked,,Bread-based,,Canned,,Yes,,,,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,,,,Yams/sweet potato casserole,,,Apple,Buttermilk,,,,,,Pecan,,Sweet Potato,,,,Apple cobbler,,,,Cheesecake,,,,Peach cobbler,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,21 or older,Yes,Yes,Yes,No,,Urban,45 - 59,Female,"$10,000 to $24,999",East South Central
4336870813,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,Carrots,,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,Apple,,,,,Key lime,,Pecan,Pumpkin,,,,,,,Brownies,,Cheesecake,Cookies,,,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,Yes,No,Yes,No,,Suburban,18 - 29,Female,"$50,000 to $74,999",South Atlantic
4336870370,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,Other (please specify),Rice,Apple,,,,,,,,,Sweet Potato,,,,,,,,,,,,,None,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,No,No,No,,Suburban,60+,Female,"$75,000 to $99,999",South Atlantic
4336870006,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,,,,,Cornbread,Fruit salad,,,Mashed potatoes,,,,,,,,,,,,,,,Pumpkin,Sweet Potato,,,,Apple cobbler,,,,Cheesecake,Cookies,,,Peach cobbler,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,Yes,Yes,Yes,No,,Rural,45 - 59,Female,"$200,000 and up",West South Central
4336869926,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,Cherry,,,,,,,Sweet Potato,,,,,,Brownies,,,Cookies,,Ice cream,Peach cobbler,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,13,No,No,No,No,,Urban,30 - 44,Female,"$10,000 to $24,999",East North Central
4336868990,Yes,Turkey,,Baked,,Bread-based,,Other (please specify),wine,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,,Pumpkin,,,,,,,,,,Cookies,,,,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,10 or younger,Yes,Yes,Yes,No,,Suburban,18 - 29,Female,"$25,000 to $49,999",East North Central
4336867812,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,,Carrots,,Corn,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,,,Cherry,,,,,Pecan,Pumpkin,Sweet Potato,,,,Apple cobbler,,Brownies,,,Cookies,Fudge,Ice cream,Peach cobbler,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,11,Yes,No,No,No,,Urban,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
4336867797,Yes,Turkey,,Roasted,,Bread-based,,None,,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,,,,,,,,,,,,Other (please specify),Chess,Apple cobbler,,,,,,,,,None,,,No,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,No,No,No,,Rural,45 - 59,Female,"$100,000 to $124,999",East North Central
4336867715,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,Other (please specify),creamed onions,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,,Other (please specify),pies,Yes,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,Yes,Yes,No,No,,Urban,45 - 59,Female,"$25,000 to $49,999",East South Central
4336866361,Yes,Turkey,,Baked,,Bread-based,,None,,Yes,,Carrots,,Corn,Cornbread,,,,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,,,,,,Pumpkin,,,,,,,Brownies,,,,,Ice cream,,,,,No,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,No,No,No,Yes,Yes,Suburban,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
4336863649,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,Carrots,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,,Apple,,Cherry,Chocolate,,,,,Pumpkin,Sweet Potato,,,,,,,,Cheesecake,Cookies,,,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,15,No,No,No,No,,Suburban,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic
4336861802,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,,,,,Yams/sweet potato casserole,,,,,,,,,,Pecan,Pumpkin,Sweet Potato,,,,,,,,,,,Ice cream,,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Macy's Parade,10 or younger,Yes,No,Yes,No,,Urban,18 - 29,Female,"$25,000 to $49,999",South Atlantic
4336861435,Yes,Turkey,,Baked,,Bread-based,,Homemade,,Yes,,,,,,,,,Mashed potatoes,,,,Yams/sweet potato casserole,,,,,,,,,,Pecan,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is out of town and far away--I have to drive several hours or fly,,10 or younger,Yes,Yes,No,No,,Suburban,60+,Female,"$200,000 and up",Middle Atlantic
4336860680,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,Brussel sprouts,Carrots,,,,,,,,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,Ice cream,,,Other (please specify),Pumpkin pie,No,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,No,No,No,No,,Suburban,60+,Female,"$75,000 to $99,999",East North Central
4336860498,Yes,Turkey,,Roasted,,Bread-based,,Other (please specify),Cranberry Salad,Yes,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,,Rolls/biscuits,,,,,,Apple,,,,,,,,,,,,,Apple cobbler,,,,,,,,,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Macy's Parade,10 or younger,Yes,No,No,No,,Rural,60+,Male,"$25,000 to $49,999",South Atlantic
4336860029,Yes,Chicken,,Roasted,,Rice-based,,Homemade,,Yes,,,,,,Fruit salad,Green beans/green bean casserole,,,,,Vegetable salad,Yams/sweet potato casserole,,,,,,,,,,,,,None,,,,,,,,,,,,None,,,Yes,Thanksgiving is local--it will take place in the town I live in,,21 or older,Yes,Yes,No,No,,Rural,18 - 29,Male,"$10,000 to $24,999",
4336857693,Yes,Ham/Pork,,Baked,,None,,Canned,,Yes,,Carrots,Cauliflower,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,,,,,Pecan,,Sweet Potato,,,,,,,,,,Fudge,,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,No,No,No,No,,Suburban,45 - 59,Female,"$150,000 to $174,999",South Atlantic
4336857530,Yes,Turkey,,Roasted,,None,,Other (please specify),cdsb,No,,,,,,,Green beans/green bean casserole,,,,,,,,,,Buttermilk,,,,,,,,,,,,,,,,Cheesecake,,,,,,,,No,Thanksgiving is happening at my home--I won't travel at all,,11,No,No,No,No,,Rural,30 - 44,Female,Prefer not to answer,East North Central
4336857362,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,,Other (please specify),pies,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,No,No,No,,Rural,45 - 59,Female,Prefer not to answer,New England
4336856298,Yes,Turkey,,Other (please specify),on the grill,Bread-based,,Canned,,Yes,,,,,,,,,Mashed potatoes,,Squash,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,,Pecan,,,,,,,,,,Cheesecake,,,,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,No,No,No,No,,Suburban,60+,Male,Prefer not to answer,West North Central
4336855177,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,,,,,,,,Pecan,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,12,No,No,No,No,,Rural,60+,Female,"$50,000 to $74,999",South Atlantic
4336853880,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,,Pumpkin,,,Other (please specify),Pecan ,,,Brownies,,,,,,,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,13,No,Yes,No,No,,Rural,45 - 59,Female,Prefer not to answer,South Atlantic
4336852020,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,Male,"$50,000 to $74,999",West South Central
4336851292,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,Carrots,Cauliflower,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,,,,,,,,,,,,,Brownies,,,Cookies,,Ice cream,,,,,No,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Macy's Parade,16,No,No,Yes,No,,Suburban,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
4336851260,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,,,,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,,Buttermilk,,,,,,Pecan,Pumpkin,,,,,,,,,Cheesecake,,,,,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Macy's Parade,16,Yes,Yes,Yes,No,,Suburban,18 - 29,Female,"$150,000 to $174,999",West South Central
4336848038,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,Brussel sprouts,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,Other (please specify),asparagus,Apple,,,Chocolate,,,,,Pumpkin,Sweet Potato,,,,,,,,,,,Ice cream,,,,,No,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,Yes,No,No,,Suburban,30 - 44,Female,"$100,000 to $124,999",Middle Atlantic
4336847881,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 - 59,Female,"$10,000 to $24,999",East South Central
4336847523,Yes,Turkey,,Roasted,,Rice-based,,Homemade,,Yes,,Carrots,Cauliflower,Corn,,,,,Mashed potatoes,,,,,,,,,,,,,,,Pumpkin,,,,,,,,Carrot cake,,,Fudge,,,,,,No,Thanksgiving is local--it will take place in the town I live in,,10 or younger,Yes,No,Yes,Yes,No,Suburban,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
4336844557,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,,,Green beans/green bean casserole,,,,,,Yams/sweet potato casserole,,,,,,,,,,,Pumpkin,,,,,,,,,Cheesecake,,,,,,Other (please specify),German Chocolate cake,No,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,10 or younger,No,No,No,No,,Urban,60+,Female,"$25,000 to $49,999",East South Central
4336843665,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,No,No,No,,Urban,45 - 59,Female,"$125,000 to $149,999",West North Central
4336841567,Yes,Other (please specify),Both turkey and a vegetarian nut loaf,Baked,,Other (please specify),Either bread-based or none ,Homemade,,Yes,,,,,,,,,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,,Other (please specify),Chocolate Oreo pudding cake,No,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,21 or older,Yes,No,No,No,,Urban,30 - 44,Male,"$100,000 to $124,999",East North Central
4336841484,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,,,,Corn,,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,Apple,,,Chocolate,,,,,,,,,,,,,,,,Fudge,,,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,10 or younger,No,No,No,No,,Suburban,60+,Female,"$175,000 to $199,999",East North Central
4336840954,Yes,Turkey,,Baked,,Bread-based,,Homemade,,Yes,Brussel sprouts,Carrots,,Corn,,Fruit salad,,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,Other (please specify),Roasted root vegetables,Apple,,,,,,,,,Sweet Potato,,,,,,,Carrot cake,Cheesecake,Cookies,,,Peach cobbler,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,21 or older,No,Yes,No,No,,Suburban,60+,Female,"$75,000 to $99,999",South Atlantic
4336840612,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,Brussel sprouts,Carrots,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,,,Pumpkin,Sweet Potato,,,,,,,,,,,Ice cream,,,Other (please specify),PIES,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,Yes,No,Yes,No,,Urban,18 - 29,Female,"$10,000 to $24,999",South Atlantic
4336839687,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,,,,,,,,,,,,,,,Pumpkin,,,,,Apple cobbler,,,,,,,,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,11,Yes,No,No,No,,Rural,60+,Male,"$100,000 to $124,999",East North Central
4336838632,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,,,,,,,,,,,,,,,Ice cream,,,,,No,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Macy's Parade,10 or younger,No,No,No,No,,Suburban,45 - 59,Female,"$100,000 to $124,999",South Atlantic
4336838630,Yes,Turkey,,Other (please specify),Grilled,Bread-based,,None,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,,,Vegetable salad,,,,Apple,,,Chocolate,,,,Pecan,,,,,,,,Brownies,Carrot cake,,Cookies,,,,,,,No,Thanksgiving is happening at my home--I won't travel at all,,21 or older,No,No,No,No,,Rural,45 - 59,Female,"$200,000 and up",South Atlantic
4336838317,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,,,Green beans/green bean casserole,Macaroni and cheese,,Rolls/biscuits,,,Yams/sweet potato casserole,Other (please specify),Kale and Colored Greens,Apple,,,,,,,Pecan,Pumpkin,,,,,,,,,Cheesecake,,,Ice cream,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,Yes,No,No,,Suburban,30 - 44,Female,"$75,000 to $99,999",East North Central
4336837943,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,,Cauliflower,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,Other (please specify),broccoli,,,,,,,,,Pumpkin,,,,,,,,,,,,,,,Other (please specify),pumpkin pie,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,No,Yes,No,,Suburban,30 - 44,Female,"$50,000 to $74,999",East North Central
4336837306,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,Brussel sprouts,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,Cookies,,Ice cream,,,,,No,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,Yes,Yes,Yes,Yes,No,Urban,30 - 44,Female,Prefer not to answer,East North Central
4336836328,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,Carrots,,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,,Apple,,Cherry,,,,,Pecan,Pumpkin,,,,,,,,,,,,,,,Other (please specify),"PUMPKIN PIE, OF COURSE",Yes,Thanksgiving is happening at my home--I won't travel at all,,14,No,No,No,No,,Urban,30 - 44,Male,"$25,000 to $49,999",
4336836078,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,Carrots,,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,,,,,,,,,Pumpkin,,,Other (please specify),peanut butter,,,,,,Cookies,,,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,Yes,No,No,No,,Suburban,45 - 59,Female,"$200,000 and up",East South Central
4336835004,Yes,Ham/Pork,,Baked,,Bread-based,,Homemade,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,,,,None,,,,,Brownies,,Cheesecake,,,,,,,,No,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,16,No,No,No,No,,Suburban,18 - 29,Female,"$100,000 to $124,999",West North Central
4336834730,Yes,Turkey,,Baked,,Bread-based,,Homemade,,Yes,,Carrots,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,Brownies,Carrot cake,,Cookies,,,,,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,16,Yes,No,Yes,No,,Suburban,45 - 59,Female,"$50,000 to $74,999",New England
4336834473,Yes,Turkey,,Baked,,Rice-based,,Canned,,Yes,,Carrots,,Corn,,,,,,,,Vegetable salad,,,,,,,,,,,,,,None,,,,,,,,,,Ice cream,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,No,No,No,,Urban,45 - 59,Male,"$25,000 to $49,999",South Atlantic
4336833478,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,,,,,,,,,,,None,,,,,,,,,,,,None,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,10 or younger,Yes,Yes,No,No,,Suburban,30 - 44,Male,"$25,000 to $49,999",South Atlantic
4336832951,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,Carrots,,,,,Green beans/green bean casserole,,,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,Pecan,,,,,,,,,Carrot cake,,,,Ice cream,,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Macy's Parade,12,No,No,No,No,,Suburban,60+,Male,"$100,000 to $124,999",East South Central
