Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women
Aja Smith,Female,Black,,,No,No,California,6/7/22,Representative,39,"9,751",30%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bill Spinney,Male,White,,,No,No,California,6/7/22,Representative,39,"7,421",22%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emmanuel L. Suarez,Male,White,,,No,No,California,6/7/22,Representative,39,"1,600",5%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Young Kim,Female,Asian (Korean),,,Yes,No,California,6/7/22,Representative,40,"63,346",59%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes
Greg Raths,Male,White,,,No,Yes,California,6/7/22,Representative,40,"42,404",39%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Nick Taurus,Male,White,,,No,Yes,California,6/7/22,Representative,40,"2,193",2%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Ken Calvert,Male,White,,,Yes,No,California,6/7/22,Representative,41,"72,700",91%,Won,N/A,N/A,N/A,Fully denied,Yes,3/30/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Michael Lucio,Male,Latino (Mexican),,,No,Yes,California,6/7/22,Representative,41,"6,880",9%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Briscoe,Male,White,,,No,No,California,6/7/22,Representative,42,"24,319",100%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Omar Navarro,Male,Latino (Cuban / Mexican),,,No,No,California,6/7/22,Representative,43,"8,927",62%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Allison Pratt,Female,Black,,,No,No,California,6/7/22,Representative,43,"5,489",38%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paul Jones,Male,White,,,No,No,California,6/7/22,Representative,44,"20,569",100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Long K. Pham,Male,Asian,,,No,Yes,California,6/7/22,Representative,45,"11,732",15%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Michelle Steel,Female,Asian (Korean),,,Yes,No,California,6/7/22,Representative,45,"65,641",85%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes
Christopher J. Gonzales,Male,Latino,,,No,No,California,6/7/22,Representative,46,"11,823",42%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Nguyen,Male,Asian (Vietnamese),,,No,No,California,6/7/22,Representative,46,"9,162",33%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Felix Rocha Jr.,Male,White,,,No,No,California,6/7/22,Representative,46,"7,084",25%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Baugh,Male,White,,,No,No,California,6/7/22,Representative,47,"51,776",64%,Won,N/A,N/A,N/A,Avoided answering,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
Brian Burley,Male,White,,,No,No,California,6/7/22,Representative,47,"11,952",15%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A
Amy Phan West,Female,Asian (Vietnamese),,,No,No,California,6/7/22,Representative,47,"13,949",17%,Lost,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A
Errol Webber,Male,Black,,,No,No,California,6/7/22,Representative,47,"3,342",4%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A
Darrell Issa,Male,White,,,Yes,No,California,6/7/22,Representative,48,"101,280",100%,Won,N/A,N/A,N/A,Fully denied,Yes,6/5/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lisa A. Bartlett,Female,Asian,,,No,No,California,6/7/22,Representative,49,"20,163",22%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian Maryott,Male,White,,,No,No,California,6/7/22,Representative,49,"35,805",39%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josiah O'Neil,Male,White,,,No,No,California,6/7/22,Representative,49,"14,746",16%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christopher Rodriguez,Male,White,,,No,No,California,6/7/22,Representative,49,"18,248",20%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Renee Taylor,Female,White,,,No,No,California,6/7/22,Representative,49,"2,597",3%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Chiddick,Male,White,,,No,No,California,6/7/22,Representative,50,"9,333",15%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Corey Gustafson,Male,White,,,No,No,California,6/7/22,Representative,50,"51,312",85%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stan Caplan,Male,White,,,No,No,California,6/7/22,Representative,51,"56,183",100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Geffeney,Male,White,,,No,No,California,6/7/22,Representative,52,"29,348",100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ronald A. Anderson,Male,White,,,No,No,California,6/7/22,Governor,N/A,"53,554",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shawn Collins,Male,Black,,,No,No,California,6/7/22,Governor,N/A,"173,083",7%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian Dahle,Male,White,,,No,No,California,6/7/22,Governor,N/A,"1,252,800",52%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ron Jones,Male,White,,,No,No,California,6/7/22,Governor,N/A,"38,337",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jenny Rae Le Roux,Female,White,,,No,No,California,6/7/22,Governor,N/A,"246,665",10%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Lozano,Male,White,,,No,No,California,6/7/22,Governor,N/A,"66,542",3%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel R. Mercuri,Male,White,,,No,No,California,6/7/22,Governor,N/A,"36,396",1%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cristian Raul Morales,Male,Latino (Guatemalan),,,No,No,California,6/7/22,Governor,N/A,"22,304",1%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert C. Newman II,Male,White,,,No,No,California,6/7/22,Governor,N/A,"82,849",3%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lonnie Sortor,Male,White,,,No,No,California,6/7/22,Governor,N/A,"21,044",1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Trimino,Male,Latino (Cuban),,,No,No,California,6/7/22,Governor,N/A,"246,322",10%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Major Williams,Male,Black,,,No,No,California,6/7/22,Governor,N/A,"92,580",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leo S. Zacky,Male,White,,,No,No,California,6/7/22,Governor,N/A,"94,521",4%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edwin Thelander,Male,White,,,No,No,Maine,6/14/22,Representative,1,"22,346",82%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elizabeth M. Caruso,Female,White,,,No,No,Maine,6/14/22,Representative,2,"14,699",38%,Lost,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Bruce Poliquin,Male,White,,,No,No,Maine,6/14/22,Representative,2,"22,149",58%,Won,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Paul LePage,Male,White,,,No,No,Maine,6/14/22,Governor,N/A,"59,713",91%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sam Brown,Male,White,,,No,No,Nevada,6/14/22,Senator,N/A,"78,206",34%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
"William ""Bill"" Conrad",Male,White,,,No,No,Nevada,6/14/22,Senator,N/A,"3,440",2%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
"William ""Bill"" Hockstedler",Male,White,,,No,No,Nevada,6/14/22,Senator,N/A,"2,836",1%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Adam Paul Laxalt,Male,White,,,No,No,Nevada,6/14/22,Senator,N/A,"127,757",56%,Won,N/A,N/A,N/A,Fully denied,Yes,8/20/21,Yes,N/A,N/A,N/A,N/A,N/A,N/A
Sharelle Mendenhall,Female,White,,,No,No,Nevada,6/14/22,Senator,N/A,"6,946",3%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Tyler T. Perkins,Male,White,,,No,No,Nevada,6/14/22,Senator,N/A,850,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Carlo Poliak,Male,White,,,No,No,Nevada,6/14/22,Senator,N/A,332,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Paul Rodriguez,Male,Asian (Filipino),,,No,No,Nevada,6/14/22,Senator,N/A,"1,844",1%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Jane Adams,Female,Black,White,,No,No,Nevada,6/14/22,Representative,1,"2,081",5%,Lost,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
David Brog,Male,White,,,No,No,Nevada,6/14/22,Representative,1,"7,226",18%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
Cresent Hardy,Male,White,,,No,No,Nevada,6/14/22,Representative,1,"4,790",12%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
Mark Robertson,Male,White,,,No,No,Nevada,6/14/22,Representative,1,"12,375",30%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
Carolina Andrea Serrano,Female,Latino (Colombian),,,No,No,Nevada,6/14/22,Representative,1,"7,050",17%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A
Morgun Sholty,Male,White,,,No,No,Nevada,6/14/22,Representative,1,"1,998",5%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
Cynthia Dianne Steel,Female,White,,,No,No,Nevada,6/14/22,Representative,1,"4,782",12%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
Jessie Turner,Male,Black,,,No,No,Nevada,6/14/22,Representative,1,845,2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
Mark E. Amodei,Male,White,,,Yes,No,Nevada,6/14/22,Representative,2,"49,779",55%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joel Beck,Male,White,,,No,Yes,Nevada,6/14/22,Representative,2,"6,744",7%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian Nadell,Male,White,,,No,Yes,Nevada,6/14/22,Representative,2,"1,614",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catherine Marie Sampson,Female,White,,,No,Yes,Nevada,6/14/22,Representative,2,"3,010",3%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Danny Tarkanian,Male,White,,,No,Yes,Nevada,6/14/22,Representative,2,"29,563",33%,Lost,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
April Becker,Female,White,,,No,No,Nevada,6/14/22,Representative,3,"28,260",65%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes
Clark Bossert,Male,White,,,No,No,Nevada,6/14/22,Representative,3,"4,553",10%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,No,N/A,No,No,No,No
Albert M. Goldberg,Male,White,,,No,No,Nevada,6/14/22,Representative,3,"1,920",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,No,N/A,No,No,No,No
John Kovacs,Male,White,,,No,No,Nevada,6/14/22,Representative,3,"4,857",11%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,No,N/A,No,No,No,No
Noah V. Malgeri,Male,White,,,No,No,Nevada,6/14/22,Representative,3,"3,981",9%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,No,N/A,No,No,No,No
"Ann ""Annie"" Black",Female,White,,,No,No,Nevada,6/14/22,Representative,4,"18,249",42%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A
Chance Bonaventura,Male,White,,,No,No,Nevada,6/14/22,Representative,4,"4,748",11%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
Sam Peters,Male,White,,,No,No,Nevada,6/14/22,Representative,4,"20,956",48%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
Seven Achilles Evans,Male,Unknown,,,No,No,Nevada,6/14/22,Governor,N/A,475,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Gary ""Radar"" Evertsen",Male,White,,,No,No,Nevada,6/14/22,Governor,N/A,558,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joey Gilbert,Male,White,,,No,No,Nevada,6/14/22,Governor,N/A,"61,738",27%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Eddie ""Mr. Fix It Now"" Hamilton",Male,Unknown,,,No,No,Nevada,6/14/22,Governor,N/A,"1,293",1%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tom Heck,Male,White,,,No,No,Nevada,6/14/22,Governor,N/A,"4,315",2%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dean Heller,Male,White,,,No,No,Nevada,6/14/22,Governor,N/A,"32,087",14%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John J. Lee,Male,White,,,No,No,Nevada,6/14/22,Governor,N/A,"17,846",8%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Lombardo,Male,White,,,No,No,Nevada,6/14/22,Governor,N/A,"87,761",38%,Won,N/A,N/A,N/A,Raised questions,Yes,4/27/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stanleigh Harold Lusak,Male,White,,,No,No,Nevada,6/14/22,Governor,N/A,229,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guy Nohra,Male,Middle Eastern (Lebanese),,,No,No,Nevada,6/14/22,Governor,N/A,"8,348",4%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edward E. O'Brien,Male,White,,,No,No,Nevada,6/14/22,Governor,N/A,422,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fred Simon,Male,White,,,No,No,Nevada,6/14/22,Governor,N/A,"6,856",3%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"William ""Dock"" Walls",Male,Black,,,No,No,Nevada,6/14/22,Governor,N/A,833,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amber Whitley,Female,White,,,No,No,Nevada,6/14/22,Governor,N/A,"1,238",1%,Lost,N/A,N/A,N/A,Avoided answering,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barak Zilberberg,Male,White,,,No,No,Nevada,6/14/22,Governor,N/A,352,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim Scott,Male,Black,,,Yes,No,South Carolina,6/14/22,Senator,N/A,1,100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,3/2/21,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Katie Arrington,Female,White,,,No,Yes,South Carolina,6/14/22,Representative,1,"33,589",45%,Lost,N/A,N/A,N/A,Fully denied,Yes,2/9/22,N/A,N/A,N/A,N/A,No,N/A,No
Nancy Mace,Female,White,,,Yes,No,South Carolina,6/14/22,Representative,1,"39,470",53%,Won,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes
Lynz Piper-Loomis,Female,White,,,No,Yes,South Carolina,6/14/22,Representative,1,"1,221",2%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No
Joe Wilson,Male,White,,,Yes,No,South Carolina,6/14/22,Representative,2,1,100%,Won,N/A,N/A,N/A,Fully denied,Yes,6/12/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Duncan,Male,White,,,Yes,No,South Carolina,6/14/22,Representative,3,1,100%,Won,N/A,N/A,N/A,Fully denied,Yes,6/12/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
George Abuzeid,Male,Asian,,,No,Yes,South Carolina,6/14/22,Representative,4,"3,024",6%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Burns,Male,Black,,,No,Yes,South Carolina,6/14/22,Representative,4,"11,214",24%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Mike LaPierre,Male,White,,,No,Yes,South Carolina,6/14/22,Representative,4,"8,029",17%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William Timmons,Male,White,,,Yes,No,South Carolina,6/14/22,Representative,4,"24,800",53%,Won,N/A,N/A,N/A,Fully denied,Yes,4/18/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ralph Norman,Male,White,,,Yes,No,South Carolina,6/14/22,Representative,5,1,100%,Won,N/A,N/A,N/A,Fully denied,Yes,4/18/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Duke Buckner,Male,Black,,,No,No,South Carolina,6/14/22,Representative,6,"15,638",74%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A. Sonia Morris,Female,Black,,,No,No,South Carolina,6/14/22,Representative,6,"5,374",26%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barbara Arthur,Female,White,,,No,Yes,South Carolina,6/14/22,Representative,7,"10,481",12%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Garrett Barton,Male,White,,,No,Yes,South Carolina,6/14/22,Representative,7,"2,154",3%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Russell Fry,Male,White,,,No,Yes,South Carolina,6/14/22,Representative,7,"43,509",51%,Won,N/A,N/A,N/A,Fully denied,Yes,2/1/22,N/A,N/A,No,N/A,N/A,N/A,N/A
Mark McBride,Male,White,,,No,Yes,South Carolina,6/14/22,Representative,7,"1,676",2%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Tom Rice,Male,White,,,Yes,No,South Carolina,6/14/22,Representative,7,"20,927",25%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A
Ken Richardson,Male,White,,,No,Yes,South Carolina,6/14/22,Representative,7,"6,021",7%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Spencer A. Morris,Male,Unknown,,,No,Yes,South Carolina,6/14/22,Representative,7,444,1%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Henry McMaster,Male,White,,,Yes,No,South Carolina,6/14/22,Governor,N/A,"306,543",83%,Won,N/A,N/A,N/A,Raised questions,Yes,3/5/21,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Harrison Musselwhite,Male,White,,,No,Yes,South Carolina,6/14/22,Governor,N/A,"61,462",17%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
John Hoeven,Male,White,,,Yes,No,North Dakota,6/14/22,Senator,N/A,"59,529",78%,Won,N/A,N/A,N/A,Fully accepted,Yes,3/18/22,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Riley Kuntz,Male,White,,,No,Yes,North Dakota,6/14/22,Senator,N/A,"16,400",21%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Kelly Armstrong,Male,White,,,Yes,No,North Dakota,6/14/22,Representative,At-Large,"70,424",99%,Won,N/A,N/A,N/A,Fully accepted,Yes,6/12/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rob J. Wittman,Male,White,,,Yes,No,Virginia,6/21/22,Representative,1,1,100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,6/20/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Andrew G. ""Andy"" Baan",Male,White,,,No,No,Virginia,6/21/22,Representative,2,"1,237",3%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,No,N/A,No,No,No,No
Jarome Bell,Male,Black,,,No,No,Virginia,6/21/22,Representative,2,"11,330",27%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,No,N/A,No,No,No,No
Jen A. Kiggans,Female,White,,,No,No,Virginia,6/21/22,Representative,2,"23,300",56%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes
L. Tommy Altman III,Male,White,,,No,No,Virginia,6/21/22,Representative,2,"5,972",14%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,No,N/A,No,No,No,No
Ted W. Engquist,Male,White,,,No,No,Virginia,6/21/22,Representative,3,"4,116",40%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Terry T. Namkung,Male,Black,Asian,,No,No,Virginia,6/21/22,Representative,3,"6,293",60%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leon Benjamin Sr.,Male,Black,,,No,No,Virginia,6/21/22,Representative,4,1,100%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben L. Cline,Male,White,,,Yes,No,Virginia,6/21/22,Representative,6,"19,620",82%,Won,N/A,N/A,N/A,Fully denied,Yes,5/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Merritt D. Hale,Male,White,,,No,Yes,Virginia,6/21/22,Representative,6,"4,264",18%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bryce E. Reeves,Male,White,,,No,No,Virginia,6/21/22,Representative,7,"7,580",20%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Crystal L. Vanuch,Female,White,,,No,No,Virginia,6/21/22,Representative,7,"6,400",17%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
David L. Ross,Male,White,,,No,No,Virginia,6/21/22,Representative,7,"2,284",6%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Derrick M. Anderson,Male,White,,,No,No,Virginia,6/21/22,Representative,7,"8,966",24%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Gina R. Ciarcia,Female,White,,,No,No,Virginia,6/21/22,Representative,7,"1,565",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Yesli I. Vega,Female,Latino (Salvadoran),,,No,No,Virginia,6/21/22,Representative,7,"10,913",29%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A
H. Morgan Griffith,Male,White,,,Yes,No,Virginia,6/21/22,Representative,9,1,100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,2/9/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ron Hanks,Male,White,,,No,No,Colorado,6/28/22,Senator,N/A,"288,477",46%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
