Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee
Bob Hollister,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,11,"46,080",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Woodard,Male,Black,,,No,No,Pennsylvania,5/17/22,Representative,12,"5,454",5%,Lost,N/A,N/A,N/A,No,No,N/A,No,No,No,No,No,N/A
Steve Irwin,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,12,"47,014",41%,Lost,N/A,N/A,N/A,No,No,N/A,No,No,No,No,No,N/A
William Parker,Male,Black,,,No,No,Pennsylvania,5/17/22,Representative,12,"1,670",1%,Lost,N/A,N/A,N/A,No,No,N/A,No,No,No,No,No,N/A
Summer Lee,Female,Black,,,No,No,Pennsylvania,5/17/22,Representative,12,"48,002",42%,Won,N/A,N/A,N/A,Yes,Yes,N/A,Yes,Yes,Yes,Yes ,Yes,N/A
Jerry Dickinson,Male,Black,White,,No,No,Pennsylvania,5/17/22,Representative,12,"12,440",11%,Lost,N/A,N/A,N/A,No,No,N/A,No,No,No,No,No,N/A
Dan Pastore,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,16,"44,262",69%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rick Telesz,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,16,"19,788",31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Deluzio,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,17,"62,389",64%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sean Meloy,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,17,"35,638",36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh Shapiro,Male,White,,,No,No,Pennsylvania,5/17/22,Governor,N/A,"1,227,151",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taysha DeVaughan,Female,Native American (Comanche),,,No,No,Virginia,5/21/22,Representative,9,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Boyd,Male,Black,,,No,No,Alabama,5/24/22,Senator,N/A,"107,588",64%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandaun Dean,Male,Black,,,No,No,Alabama,5/24/22,Senator,N/A,"32,863",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lanny Jackson,Male,Black,,,No,No,Alabama,5/24/22,Senator,N/A,"28,402",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phyllis Harvey-Hall,Female,Black,,,No,No,Alabama,5/24/22,Representative,2,"16,884",69%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vimal Patel,Male,Asian,,,No,No,Alabama,5/24/22,Representative,2,"7,667",31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lin Veasey,Female,Unknown,,,No,No,Alabama,5/24/22,Representative,3,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhonda Gore,Female,White,,,No,No,Alabama,5/24/22,Representative,4,"3,823",46%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rick Neighbors,Male,White,,,No,No,Alabama,5/24/22,Representative,4,"4,500",54%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charlie Thompson,Male,White,,,No,No,Alabama,5/24/22,Representative,5,"6,739",43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kathy Warner-Stanton,Female,Black,,,No,No,Alabama,5/24/22,Representative,5,"9,010",57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Terrycina Sewell,Female,Black,,,Yes,No,Alabama,5/24/22,Representative,7,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yolanda Rochelle Flowers,Female,Black,,,No,No,Alabama,5/24/22,Governor,N/A,"56,991",34%,Made runoff,32529,55%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Malika Sanders-Fortier,Female,Black,,,No,No,Alabama,5/24/22,Governor,N/A,"54,699",33%,Made runoff,26469,45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patricia Salter Jamieson,Female,Black,,,No,No,Alabama,5/24/22,Governor,N/A,"19,691",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arthur Kennedy,Male,Black,,,No,No,Alabama,5/24/22,Governor,N/A,"15,630",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Chad ""Chig"" Martin",Male,White,,,No,No,Alabama,5/24/22,Governor,N/A,"9,352",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Doug ""New Blue"" Smith",Male,White,,,No,No,Alabama,5/24/22,Governor,N/A,"11,861",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jack E. Foster,Male,Black,,,No,No,Arkansas,5/24/22,Senator,N/A,"13,891",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Natalie James,Female,Black,,,No,No,Arkansas,5/24/22,Senator,N/A,"49,722",54%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Whitfield,Male,White,,,No,No,Arkansas,5/24/22,Senator,N/A,"28,319",31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Monte Hodges,Male,Black,,,No,No,Arkansas,5/24/22,Representative,1,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quintessa Hathaway,Female,Black,,,No,No,Arkansas,5/24/22,Representative,2,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lauren Mallett-Hays,Female,White,,,No,No,Arkansas,5/24/22,Representative,3,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John White,Male,White,,,No,No,Arkansas,5/24/22,Representative,4,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Anthony ""Tony"" Bland",Male,Black,,,No,No,Arkansas,5/24/22,Governor,N/A,"9,055",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Supha Xayprasith-Mays,Female,Asian,,,No,No,Arkansas,5/24/22,Governor,N/A,"4,725",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"James ""Rus"" Russell III",Male,White,,,No,No,Arkansas,5/24/22,Governor,N/A,"6,421",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Jones,Male,Black,,,No,No,Arkansas,5/24/22,Governor,N/A,"66,540",70%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jay Martin,Male,White,,,No,No,Arkansas,5/24/22,Governor,N/A,"7,731",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamara Johnson-Shealey,Female,Black,,,No,Yes,Georgia,5/24/22,Senator,N/A,"28,984",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Raphael Warnock,Male,Black,,,Yes,No,Georgia,5/24/22,Senator,N/A,"702,610",96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joyce Marie Griggs,Female,Black,,,No,No,Georgia,5/24/22,Representative,1,"21,891",49%,Made runoff,7918,38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wade Herring,Male,White,,,No,No,Georgia,5/24/22,Representative,1,"17,118",38%,Made runoff,12880,62%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michelle L. Munroe,Female,White,,,No,No,Georgia,5/24/22,Representative,1,"6,043",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sanford Bishop,Male,Black,,,Yes,No,Georgia,5/24/22,Representative,2,"54,991",94%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe O'Hara,Male,Unknown,,,No,Yes,Georgia,5/24/22,Representative,2,"3,812",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Val Almonord,Male,Black,,,No,No,Georgia,5/24/22,Representative,3,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Henry C. ""Hank"" Johnson Jr.",Male,Black,,,Yes,No,Georgia,5/24/22,Representative,4,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charlotte Macbagito,Female,Black,White,,No,Yes,Georgia,5/24/22,Representative,5,"3,791",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Valencia Stovall,Female,Black,,,No,Yes,Georgia,5/24/22,Representative,5,"8,701",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nikema Williams,Female,Black,,,Yes,No,Georgia,5/24/22,Representative,5,"78,440",86%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bob Christian,Male,White,,,No,No,Georgia,5/24/22,Representative,6,"18,776",56%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wayne C. White,Male,White,,,No,No,Georgia,5/24/22,Representative,6,"15,025",44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carolyn Bourdeaux,Female,White,,,Yes,Yes,Georgia,5/24/22,Representative,7,"16,310",31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lucy McBath,Female,Black,,,Yes,Yes,Georgia,5/24/22,Representative,7,"33,607",63%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Donna McLeod,Female,Black,,,No,Yes,Georgia,5/24/22,Representative,7,"3,352",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darrius Butler,Male,Black,,,No,No,Georgia,5/24/22,Representative,8,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Michael ""Mike"" Ford",Male,White,,,No,No,Georgia,5/24/22,Representative,9,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jessica Allison Fore,Female,White,,,No,No,Georgia,5/24/22,Representative,10,"7,257",19%,Made runoff,5024,36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tabitha Johnson-Green,Female,Black,,,No,No,Georgia,5/24/22,Representative,10,"15,821",42%,Made runoff,9070,64%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phyllis Hatcher,Female,Black,,,No,No,Georgia,5/24/22,Representative,10,"7,120",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Femi Oduwole,Male,Black,,,No,No,Georgia,5/24/22,Representative,10,"4,427",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paul Walton,Male,Black,,,No,No,Georgia,5/24/22,Representative,10,"3,077",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antonio Daza,Male,Latino (Venezuelan),,,No,No,Georgia,5/24/22,Representative,11,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Elizabeth ""Liz"" Johnson",Female,Black,,,No,No,Georgia,5/24/22,Representative,12,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Baker,Male,Black,,,No,Yes,Georgia,5/24/22,Representative,13,"11,581",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shastity Driscoll,Female,Black,,,No,Yes,Georgia,5/24/22,Representative,13,"10,906",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vincent Fort,Male,Black,,,No,Yes,Georgia,5/24/22,Representative,13,"9,108",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Scott,Male,Black,,,Yes,No,Georgia,5/24/22,Representative,13,"60,544",66%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wendy Davis,Female,White,,,No,No,Georgia,5/24/22,Representative,14,"5,141",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marcus Flowers,Male,Black,,,No,No,Georgia,5/24/22,Representative,14,"20,082",75%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Holly McCormack,Female,White,,,No,No,Georgia,5/24/22,Representative,14,"1,662",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stacey Abrams,Female,Black,,,No,No,Georgia,5/24/22,Governor,N/A,1,100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melanie Ann Stansbury,Female,White,,,Yes,No,New Mexico,6/7/22,Representative,1,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gabriel Vasquez,Male,Latino (Mexican),,,No,No,New Mexico,6/7/22,Representative,2,"24,010",76%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Darshan Nilesh Patel,Male,Asian (Indian),,,No,No,New Mexico,6/7/22,Representative,2,"7,534",24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teresa Leger Fernandez,Female,Latino,,,Yes,No,New Mexico,6/7/22,Representative,3,1,100%,Won,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
Michelle Lujan Grisham,Female,Latino (Mexican),,,Yes,No,New Mexico,6/7/22,Governor,N/A,1,100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Hunter Avery,Male,White,,,No,No,Mississippi,6/7/22,Representative,1,"2,203",21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dianne Black,Female,Black,,,No,No,Mississippi,6/7/22,Representative,1,"8,268",79%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jerry Kerner,Male,White,,,No,Yes,Mississippi,6/7/22,Representative,2,"1,927",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bennie G. Thompson,Male,Black,,,Yes,No,Mississippi,6/7/22,Representative,2,"49,907",96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shuwaski A. Young,Male,Black,,,No,No,Mississippi,6/7/22,Representative,3,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Johnny L. DuPree ,Male,Black,,,No,No,Mississippi,6/7/22,Representative,4,"9,952",85%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Sellers,Male,White,,,No,No,Mississippi,6/7/22,Representative,4,"1,766",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cora Neumann,Female,White,,,No,No,Montana,6/7/22,Representative,1,"15,396",27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Monica Tranel,Female,White,,,No,No,Montana,6/7/22,Representative,1,"37,138",65%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Tom Winter,Male,White,,,No,No,Montana,6/7/22,Representative,1,"4,723",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Penny Ronning,Female,White,,,No,No,Montana,6/7/22,Representative,2,"21,983",58%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Sweeney,Male,White,,,No,No,Montana,6/7/22,Representative,2,"8,586",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Skylar Williams,Male,Native American,Latino,,No,No,Montana,6/7/22,Representative,2,"7,029",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Abby Finkenauer,Female,White,,,No,No,Iowa,6/7/22,Senator,N/A,"62,581",40%,Lost,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Franken,Male,White,,,No,No,Iowa,6/7/22,Senator,N/A,"86,527",55%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glenn Hurst,Male,White,,,No,No,Iowa,6/7/22,Senator,N/A,"7,571",5%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christina Bohannan,Female,White,,,No,No,Iowa,6/7/22,Representative,1,1,100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Liz Mathis,Female,White,,,No,No,Iowa,6/7/22,Representative,2,1,100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Cindy Axne,Female,White,,,Yes,No,Iowa,6/7/22,Representative,3,1,100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Melton,Male,White,,,No,No,Iowa,6/7/22,Representative,4,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deidre DeJear,Female,Black,,,No,No,Iowa,6/7/22,Governor,N/A,1,100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian L. Bengs,Male,White,,,No,No,South Dakota,6/7/22,Senator,N/A,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jamie Smith,Male,White,,,No,No,South Dakota,6/7/22,Governor,N/A,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Donald W. Norcross,Male,White,,,Yes,No,New Jersey,6/7/22,Representative,1,"44,985",77%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mario DeSantis,Male,White,,,No,Yes,New Jersey,6/7/22,Representative,1,"13,696",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim Alexander,Male,Black,,,No,No,New Jersey,6/7/22,Representative,2,"17,199",62%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carolyn Rush,Female,White,,,No,No,New Jersey,6/7/22,Representative,2,"10,667",38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andy Kim,Male,Asian (Korean),,,Yes,No,New Jersey,6/7/22,Representative,3,"39,433",93%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reuven Hendler,Male,White,,,No,Yes,New Jersey,6/7/22,Representative,3,"3,062",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matthew Jenkins,Male,White,,,No,No,New Jersey,6/7/22,Representative,4,"20,655",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh Gottheimer,Male,White,,,Yes,No,New Jersey,6/7/22,Representative,5,"31,142",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frank Pallone Jr.,Male,White,,,Yes,No,New Jersey,6/7/22,Representative,6,"30,534",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tom Malinowski,Male,White (Polish),,,Yes,No,New Jersey,6/7/22,Representative,7,"37,304",94%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roger Bacon,Male,White,,,No,Yes,New Jersey,6/7/22,Representative,7,"2,185",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert J. Menendez,Male,Latino (Cuban),,,No,No,New Jersey,6/7/22,Representative,8,"26,490",83%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Ocampo Grajales,Male,Latino (Colombian),,,No,No,New Jersey,6/7/22,Representative,8,"3,749",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ane Roseborough-Eberhard,Female,Black,,,No,No,New Jersey,6/7/22,Representative,8,"1,668",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bill Pascrell Jr.,Male,White,,,Yes,No,New Jersey,6/7/22,Representative,9,"19,524",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Donald M. Payne Jr.,Male,Black,,,Yes,No,New Jersey,6/7/22,Representative,10,"29,680",83%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Akil Khalfani,Male,Black,,,No,Yes,New Jersey,6/7/22,Representative,10,"2,169",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Imani Oakley,Female,Black,,,No,Yes,New Jersey,6/7/22,Representative,10,"3,764",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mikie Sherrill,Female,White,,,Yes,No,New Jersey,6/7/22,Representative,11,"37,948",100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bonnie Watson Coleman,Female,Black,,,Yes,No,New Jersey,6/7/22,Representative,12,"37,440",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Akinyemi Agbede,Male,Black,,,No,Yes,California,6/7/22,Senator,N/A,"70,971",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan O'Dowd,Male,White,,,No,Yes,California,6/7/22,Senator,N/A,"74,916",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alex Padilla,Male,Latino (Mexican),,,Yes,No,California,6/7/22,Senator,N/A,"3,725,544",91%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Douglas Howard Pierce,Male,White,,,No,Yes,California,6/7/22,Senator,N/A,"116,771",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Obaidul Huq Pirjada,Male,Asian (Indian),,,No,Yes,California,6/7/22,Senator,N/A,"27,889",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Timothy J. Ursich,Male,White,,,No,Yes,California,6/7/22,Senator,N/A,"58,348",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan O'Dowd,Male,White,,,No,Yes,California,6/7/22,Senator (unexpired term),N/A,"191,531",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alex Padilla,Male,Latino (Mexican),,,Yes,No,California,6/7/22,Senator (unexpired term),N/A,"3,740,582",90%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Timothy Ursich Jr.,Male,White,,,No,Yes,California,6/7/22,Senator (unexpired term),N/A,"226,447",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Max Steiner,Male,White,,,No,No,California,6/7/22,Representative,1,"55,549",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beth Hampson,Female,White,,,No,Yes,California,6/7/22,Representative,2,"14,262",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jared Huffman,Male,White,,,Yes,No,California,6/7/22,Representative,2,"145,245",91%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kermit Jones,Male,Black,,,No,No,California,6/7/22,Representative,3,"91,217",88%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Peterson,Male,White,,,No,No,California,6/7/22,Representative,3,"12,675",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew David Engdahl,Male,White,,,No,Yes,California,6/7/22,Representative,4,"8,634",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Thompson,Male,White,,,Yes,No,California,6/7/22,Representative,4,"115,041",93%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
