Pollster,Pollster Rating ID,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Methodology,Banned by 538,Historical Advanced Plus-Minus,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,Predictive Plus-Minus,# of Polls for Bias Analysis,Bias,Mean-Reverted Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
GQR Research (GQRR),126,52,no,partial,Online/Live,no,0.2,0.6,C+,D +2.3,52%,21%,4.5,5,-0.4,0.2,0.2,0.6,51,D +3.8,D +2.3,D +3.4,4.1,0.06
Strategic Research Associates,462,5,no,yes,Live,no,1,0.6,B/C°,D +0.4,80%,20%,5,5.5,-0.3,1,0.2,0.6,5,D +1.9,D +0.4,D +0.0,3.3,0.36
University of Alabama at Birmingham,344,2,no,yes*,Live*,no,6.7,0.7,B/C°,R +0.4,100%,100%,12,5.2,7,6.7,0.2,0.7,2,R +12.0,R +0.4,R +7.0,7,0
OnMessage Inc.,239,9,no,yes,Live,no,1.2,0.7,B/C°,R +1.5,78%,33%,7,5.7,1.5,1.2,0.4,0.7,9,R +5.4,R +1.5,R +4.6,6,0
Abacus Associates,6,2,no,yes*,Live*,no,4.8,0.7,B/C°,R +0.0,50%,100%,12.1,6.5,5.8,4.8,0.3,0.7,2,R +0.5,R +0.0,D +6.5,,0
WCIA-TV,373,2,no,yes*,Live*,no,9.6,0.7,B/C°,R +0.5,100%,100%,18.3,6.7,11.8,9.6,0.2,0.7,2,R +18.3,R +0.5,R +8.8,,0
St. Cloud State University,312,9,no,yes,Live,no,1.7,0.7,B/C°,D +0.4,67%,44%,6.5,5.7,1,1.7,0.3,0.7,9,D +1.9,D +0.4,D +1.2,5.8,0.05
Schapiro Group,300,2,no,yes*,Live*,no,5,0.7,B/C°,,100%,100%,20,8,12.2,5,0.3,0.7,0,,,,5,0.36
Hays Research Group,136,7,no,yes,Live,no,1.9,0.7,B/C°,D +0.8,71%,43%,7.7,5.4,2.5,1.9,0.3,0.7,3,D +11.9,D +0.8,D +2.7,9,0
University of Iowa,353,3,no,yes,Live,no,3.9,0.7,B/C°,R +0.4,67%,67%,15.9,7.6,8.4,3.9,0.3,0.7,1,R +6.6,R +0.4,R +2.8,12.1,0
RRH Elections,274,9,no,partial,IVR/Online/Live,no,-1,0.7,B/C°,D +0.5,83%,22%,4.2,5.6,-1.2,-1,-0.3,0.7,9,D +1.8,D +0.5,R +4.4,3.9,0.83
Greg Smith and Associates,128,5,no,yes*,Live*,no,2.7,0.7,B/C°,D +0.9,60%,40%,8.5,6.2,2.5,2.7,0.3,0.7,5,D +8.5,D +0.9,D +3.7,6.6,0.19
Jeffrey Stonecash,158,1,no,yes*,Live*,no,11.9,0.7,B/C°,R +0.4,0%,100%,17.3,4.8,12.7,11.9,0.3,0.7,1,R +17.3,R +0.4,R +16.5,22,0
Ohio University,237,2,no,yes*,Live*,no,6.2,0.7,B/C°,D +0.4,50%,50%,8.8,6,3,6.2,0.3,0.7,2,D +8.8,D +0.4,D +8.1,8.5,0
Rainmaker Media Group,276,1,no,yes*,Live*,no,11.1,0.7,B/C°,D +0.3,100%,100%,12.7,5.2,7.7,11.1,0.3,0.7,1,D +12.7,D +0.3,D +8.6,,0
Alaska Survey Research,155,8,no,yes,Live,no,1.5,0.7,B/C°,D +2.1,50%,50%,8,6,2.2,1.5,0.4,0.7,8,D +8.0,D +2.1,D +5.2,10.3,0
Southeastern Louisiana University,309,8,no,yes*,Live*,no,2.2,0.7,B/C°,D +0.2,88%,38%,6.6,5.1,1.7,2.2,0.3,0.7,8,D +1.4,D +0.2,R +1.3,4.9,0.15
1892 Polling,461,1,no,partial,IVR/Live,no,-2.2,0.7,B/C°,R +0.0,100%,0%,0.6,4,-3.2,-2.2,-0.1,0.7,1,R +0.6,R +0.0,R +4.3,7.6,0
East Tennessee State University,456,2,no,yes,Live,no,3.5,0.8,B/C°,D +1.0,75%,100%,9.9,5.9,4.2,3.5,0.3,0.8,2,D +9.9,D +1.0,D +3.9,,0
Hellenthal & Associates,137,5,no,yes,Live,no,2.4,0.8,B/C°,D +0.4,40%,40%,8.2,6.7,1.7,2.4,0.4,0.8,3,D +4.4,D +0.4,D +1.2,20,0
Consumer Logic,59,4,no,yes*,Live*,no,4.1,0.8,B/C°,D +0.4,50%,75%,8.8,5.2,3.8,4.1,0.3,0.8,4,D +5.4,D +0.4,D +2.3,3.1,1.17
DCCC Targeting and Analytics Department,68,1,no,partial,IVR/Live,no,-1.8,0.8,B/C°,D +0.2,100%,0%,4.5,6.2,-1.6,-1.8,-0.1,0.8,1,D +4.5,D +0.2,,,0
Multi-Quest International,220,2,no,partial,IVR/Live,no,-2.4,0.8,B/C°,R +0.1,50%,0%,3,5.8,-2.6,-2.4,-0.2,0.8,2,R +1.1,R +0.1,D +0.7,3.2,1.35
Star Tribune,315,13,no,yes,Live,no,2.1,0.8,B/C°,D +1.0,46%,54%,6.3,4.3,2.2,2.1,0.4,0.8,11,D +5.5,D +1.0,D +3.9,5.1,0
Magellan Strategies,179,16,no,partial,IVR/Live,no,0.5,0.8,B/C°,R +0.6,94%,44%,7,5.6,1.6,0.5,0.2,0.8,10,R +2.0,R +0.6,R +4.5,6.5,0
SoonerPoll.com,308,20,yes,partial,Online/Live,no,1.6,0.8,B/C°,D +2.1,80%,45%,8.6,6,2.7,1.6,0.7,0.8,16,D +5.4,D +2.1,D +1.7,5,0.28
Gravis Marketing,124,127,no,partial,IVR/Online/Live,no,0.4,0.8,C+,D +0.9,67%,31%,5,5,0.2,0.4,0.4,0.8,100,D +1.0,D +0.9,R +0.2,4.3,0
Rasmussen Reports/Pulse Opinion Research,277,716,no,no,IVR/Online,no,0.3,0.8,C+,R +1.5,78%,30%,5.3,5.5,-0.1,0.3,0.3,0.8,576,R +1.6,R +1.5,R +1.2,4.7,0.07
Research America Inc.,282,3,no,yes,Live,no,3.1,0.8,B/C°,D +0.1,100%,33%,14.4,7.4,7.2,3.1,0.4,0.8,1,D +1.7,D +0.1,R +1.6,11.9,0
St. Pete Polls,314,21,no,no,IVR,no,0.1,0.8,C+,R +0.5,50%,24%,3.8,4.5,-0.5,0.1,0,0.8,21,R +0.9,R +0.5,R +1.3,3.6,0
Dan Jones & Associates,70,35,no,partial,Online/Live/Mail,no,0.4,0.8,C+,D +1.0,97%,23%,7.9,6,2.1,0.4,0.2,0.8,31,D +2.1,D +1.0,R +2.6,10.5,0
OH Predictive Insights/MBQF,235,5,no,partial,IVR/Live,no,0.3,0.8,B/C°,R +1.0,60%,20%,5.2,6.1,-0.7,0.3,0.1,0.8,4,R +5.4,R +1.0,R +4.7,4.9,0.08
Massie & Associates,199,2,no,yes*,Live*,no,15.2,0.8,B/C°,R +0.6,0%,100%,23.9,7,17.1,15.2,0.4,0.8,2,R +23.9,R +0.6,,,0
IMGE Insights,145,2,no,partial,IVR/Live,no,0.2,0.8,B/C°,R +0.6,100%,50%,6.4,5.1,1.5,0.2,0,0.8,2,R +6.4,R +0.6,R +0.8,6.5,0
Arizona State University,15,8,no,yes,Live,no,2.1,0.8,B/C°,D +0.6,100%,50%,8,6,2.1,2.1,0.3,0.8,6,D +5.5,D +0.6,D +6.5,0.4,0.86
Hamilton Campaigns,130,8,no,yes,Live,no,2.4,0.8,B/C°,D +1.2,56%,38%,7,5.9,1.3,2.4,0.4,0.8,8,D +7.0,D +1.2,D +5.4,3.9,0.38
Capital Survey Research Center,44,11,no,no,Landline,no,-0.9,0.9,B/C°,D +0.0,36%,55%,7.8,7.2,0.8,-0.9,-0.2,0.9,4,D +0.6,D +0.0,D +1.1,8.7,0
Harris Insights & Analytics,133,169,yes,no,Online,no,0.8,0.9,C+,R +1.3,83%,49%,5.1,3.5,1.8,0.8,0.6,0.9,169,R +1.5,R +1.3,D +0.7,4,0
20/20 Insight,1,4,no,partial,IVR/Live,no,0.7,0.9,B/C°,D +0.2,50%,25%,8,5.8,2.5,0.7,0.1,0.9,3,D +1.9,D +0.2,D +4.3,5.1,0.01
CVOTER International,40,5,no,no,Online,no,-1.6,0.9,B/C°,R +0.3,100%,0%,2.1,3.3,-1.1,-1.6,-0.3,0.9,5,R +1.8,R +0.3,R +0.3,3.1,0.08
Millersville University,210,5,no,yes*,Live*,no,6.7,0.9,B/C°,R +0.7,80%,80%,14.1,5.3,9,6.7,0.5,0.9,5,R +10.5,R +0.7,R +6.3,5.8,0
R.L. Repass & Partners,268,1,no,partial,Online/Live,no,0.8,0.9,B/C°,,100%,100%,11.2,9.6,1.8,0.8,0,0.9,0,,,,,0
Sacred Heart University,453,1,no,partial,Online/Live,no,0.8,0.9,B/C°,R +0.3,0%,0%,5.6,5.6,0.1,0.8,0,0.9,1,R +5.6,R +0.3,R +8.8,6.4,0
Lucid,175,15,no,no,Online,no,0.1,0.9,B/C°,D +0.9,100%,13%,2.6,3.5,-0.8,0.1,0,0.9,15,D +2.0,D +0.9,D +1.6,3.9,0
Kimball Political Consulting,163,4,no,yes,Live,no,4.2,0.9,B/C°,R +1.0,75%,75%,8.1,4.9,3.4,4.2,0.5,0.9,4,R +8.1,R +1.0,R +4.5,6.5,0
Marketing Workshop,194,7,no,yes*,Live*,no,3.4,0.9,B/C°,D +0.2,57%,57%,9.7,5.5,4.4,3.4,0.3,0.9,7,D +1.6,D +0.2,D +0.7,2.6,1.83
Ed Renwick/Loyola University New Orleans,85,7,no,yes*,Live*,no,3.9,0.9,B/C°,D +0.2,86%,43%,8.1,5.1,3.2,3.9,0.5,0.9,7,D +1.7,D +0.2,D +5.6,6.4,0
Susquehanna Polling & Research Inc.,326,38,no,partial,IVR/Live,no,0.8,0.9,C,D +1.0,76%,29%,5.8,5.4,0.6,0.8,0.5,0.9,33,D +1.7,D +1.0,D +0.3,4.9,0
Momentum Analysis,214,3,no,yes,Live,no,7.1,0.9,B/C°,D +0.4,33%,100%,13.7,6.5,7.4,7.1,0.5,0.9,3,D +5.7,D +0.4,D +2.8,,0
Praecones Analytica,257,3,no,no,IVR,no,-5.4,0.9,B/C°,R +0.2,33%,0%,1.8,6.4,-4.4,-5.4,-0.7,0.9,3,R +1.8,R +0.2,R +5.3,5.1,0.77
University of Texas at Tyler,458,2,no,partial,Online/Live,no,-0.4,0.9,B/C°,R +0.4,100%,50%,4.1,4.8,-0.6,-0.4,0,0.9,2,R +4.1,R +0.4,R +0.9,1.9,1.76
Florida Atlantic University,97,6,no,no,IVR/Online,no,-0.8,0.9,B/C°,D +0.5,67%,0%,3.7,6.4,-2.5,-0.8,-0.2,0.9,4,D +2.9,D +0.5,D +0.4,4.5,0.25
Loras College,171,18,no,yes,Live,no,1,1,B/C°,D +1.7,72%,33%,8.1,6.5,1.8,1,0.5,1,14,D +4.3,D +1.7,R +0.6,3.4,0.56
Global Strategy Group,118,22,no,yes,Live,no,1.7,1,B/C°,D +1.9,68%,27%,6.9,5.8,1.2,1.7,0.7,1,22,D +4.6,D +1.9,D +5.1,5.6,0.05
Valley Research,368,6,no,yes*,Live*,no,5.3,1,B/C°,D +0.2,83%,50%,11.5,4.4,7.2,5.3,0.5,1,6,D +2.4,D +0.2,D +1.4,2,0.21
Harper Polling/Clarity Campaign Labs,513,1,no,partial,IVR/Live,no,2,1,B/C°,D +0.4,0%,0%,7,5.9,1.3,2,0.1,1,1,D +7.0,D +0.4,D +4.8,,0
"Schroth, Eldon & Associates",302,12,no,no,Landline,no,-0.6,1,B/C°,D +0.6,83%,0%,3,5.4,-2.2,-0.6,-0.2,1,10,D +2.2,D +0.6,D +0.2,3.5,0.49
Morning Consult,218,12,no,no,Online,no,0.2,1,B/C°,D +0.2,75%,25%,3,3.5,-0.4,0.2,0.1,1,12,D +0.6,D +0.2,R +0.6,3.6,0
Zogby Interactive/JZ Analytics,395,464,no,no,Online,no,0.5,1,C,R +0.8,78%,30%,5.6,5.7,0.1,0.5,0.5,1,364,R +1.0,R +0.8,D +0.0,5.1,0
University of Texas,363,4,no,no,Online,no,-5,1,B/C°,D +0.1,100%,0%,1.2,5.6,-4.3,-5,-0.6,1,4,D +1.1,D +0.1,D +2.8,,0
Alabama State University,8,4,no,no,Landline,no,-3,1,B/C°,,50%,50%,6.4,7.8,-1.3,-3,-0.3,1,0,,,,5,0.03
University of New Orleans,358,11,no,partial,IVR/Live,no,1.1,1,B/C°,R +0.3,82%,36%,6.5,5.7,0.9,1.1,0.3,1,9,R +1.2,R +0.3,D +1.9,9.4,0
IVR Polls,146,4,no,no,IVR,no,-2.1,1,B/C°,,100%,25%,4.1,8,-3.8,-2.1,-0.2,1,0,,,,8.1,0
Change Research,48,57,no,no,Online,no,0.6,1,C,D +1.1,78%,33%,5.5,4.8,0.8,0.6,0.4,1,56,D +1.5,D +1.1,D +1.7,5.9,0
TargetSmart/William & Mary,332,3,no,partial,Online/Live,no,1.9,1,B/C°,D +0.7,67%,33%,5.3,4.6,0.9,1.9,0.2,1,3,D +5.3,D +0.7,D +1.7,4.2,0.16
Dixie Strategies,81,11,no,partial,IVR/Live,no,1.2,1,B/C°,R +1.3,95%,55%,6.6,5.6,1.2,1.2,0.4,1,8,R +4.1,R +1.3,R +3.9,7.1,0
Hampton University,131,4,no,yes,Live,no,4.2,1.1,B/C°,R +0.9,50%,50%,7.5,4.6,3.1,4.2,0.7,1.1,4,R +5.8,R +0.9,R +6.7,5.7,0
Strategic National,318,2,no,no,IVR,no,-6.9,1.1,B/C°,D +0.1,25%,0%,0.7,5.1,-4.2,-6.9,-0.6,1.1,2,D +0.7,D +0.1,R +4.8,5.6,0
Master Image,200,2,no,no,IVR,no,-3.9,1.1,B/C°,,100%,0%,1.2,7.1,-5.8,-3.9,-0.3,1.1,0,,,,,0
ALG Research,14,14,no,partial,Online/Live,no,1.1,1.1,B/C°,D +1.5,64%,36%,6.6,5.9,0.8,1.1,0.4,1.1,13,D +4.7,D +1.5,D +6.7,5.2,0.12
Clout Research/Wenzel Strategies,55,15,no,yes,Live,no,2.1,1.1,B/C°,R +1.9,53%,40%,6.7,4.9,2,2.1,0.8,1.1,14,R +5.5,R +1.9,R +4.9,5.3,0
WPA Intelligence (WPAi),383,6,no,partial,Online/Live,no,1.6,1.1,B/C°,R +1.0,67%,50%,8.1,6.2,2.1,1.6,0.3,1.1,6,R +4.4,R +1.0,R +8.3,11.4,0
Western Kentucky University,379,5,no,yes,Live,no,3.3,1.1,B/C°,D +1.4,80%,80%,11.1,5.8,5.4,3.3,0.6,1.1,4,D +9.2,D +1.4,R +0.1,2,0.46
Ogden & Fry,425,2,no,no,IVR,no,-5.8,1.1,B/C°,R +0.0,100%,0%,0.7,4.4,-3.5,-5.8,-0.4,1.1,2,R +0.2,R +0.0,R +6.0,6,0
Columbus Dispatch,57,20,no,no,Mail,no,0.5,1.1,B/C°,D +1.3,93%,45%,4.9,4.3,0.8,0.5,0.2,1.1,17,D +3.6,D +1.3,D +3.3,5.6,0
OnPoint,240,4,no,no,IVR,no,-2.3,1.1,B/C°,D +0.1,100%,0%,1.7,5.3,-3.5,-2.3,-0.2,1.1,4,D +1.6,D +0.1,D +2.3,3.7,0.79
Marketing Resource Group (MRG),193,9,no,yes,Live,no,2.2,1.1,B/C°,D +0.2,33%,78%,10.4,7.3,3.3,2.2,0.6,1.1,5,D +1.0,D +0.2,D +2.0,5.6,0.66
M4 Strategies,177,2,no,no,Online,no,-4.4,1.1,B/C°,R +0.2,100%,50%,3.1,3.3,0,-4.4,-0.3,1.1,2,R +3.1,R +0.2,D +4.8,6.7,0
Target Insyght,330,5,no,partial,IVR/Live,no,1.8,1.1,B/C°,R +0.7,70%,20%,7.6,6.2,1.5,1.8,0.4,1.1,4,R +3.9,R +0.7,R +3.7,5.5,0.15
BK Strategies,20,3,no,no,IVR,no,-1,1.1,B/C°,D +0.5,67%,33%,3.8,3.7,0.2,-1,-0.1,1.1,3,D +3.6,D +0.5,R +2.9,2.9,0.59
Probolsky Research,259,2,no,partial,Online/Live,no,3.7,1.2,B/C°,R +0.8,50%,50%,9.1,5.1,4.3,3.7,0.3,1.2,2,R +9.1,R +0.8,R +5.6,5.6,0
The Polling Company Inc.,337,7,no,partial,IVR/Online/Live,no,1.4,1.2,B/C°,R +1.2,71%,57%,6.2,5.4,1,1.4,0.3,1.2,7,R +4.8,R +1.2,R +3.5,6.1,0
USC Dornsife/LA Times,343,6,yes,no,Online,no,3.5,1.2,B/C°,D +0.3,67%,83%,5.3,3.1,2.3,3.5,0.8,1.2,6,D +1.2,D +0.3,D +1.1,9,0
Forward Strategies,102,2,no,no,IVR,no,-2.8,1.2,B/C°,D +0.1,100%,0%,1.3,5.2,-3.7,-2.8,-0.2,1.2,2,D +1.3,D +0.1,D +3.4,3.4,1.1
Data for Progress,522,1,no,no,Text,no,-1.7,1.2,B/C°,,100%,0%,2.8,3.7,-0.7,-1.7,-0.1,1.2,0,,,,5.3,0
Victory Enterprises,525,1,no,partial,IVR/Live,no,9.4,1.2,B/C°,R +0.6,0%,100%,17.3,6.7,10.9,9.4,0.3,1.2,1,R +17.3,R +0.6,,,0
CSP Polling,39,1,no,no,Online,yes,-2.5,1.2,F,D +0.1,100%,0%,2.6,5.6,-2.8,-2.5,-0.1,1.2,1,D +2.6,D +0.1,R +2.6,4.1,0.8
RABA Research,269,2,no,partial,IVR/Online/Live,no,2.1,1.2,B/C°,D +0.3,100%,50%,5.3,5.8,-0.3,2.1,0.2,1.2,1,D +6.9,D +0.3,D +2.0,2.3,0.57
Riggs Research Services,289,1,no,yes*,Live*,no,25.4,1.2,B/C°,D +1.0,0%,100%,33.7,5.9,28,25.4,0.8,1.2,1,D +33.7,D +1.0,D +29.0,29,0
Pacific Market Research,459,2,no,no,Online,no,-0.1,1.2,B/C°,R +0.7,100%,50%,7.5,6.6,1.1,-0.1,0,1.2,2,R +7.5,R +0.7,R +0.9,,0
Craciun Research Group,61,1,no,yes,Live,no,16.9,1.2,B/C°,D +0.9,0%,100%,18.7,6.2,12.7,16.9,0.8,1.2,1,D +18.7,D +0.9,D +11.3,,0
Constituent Dynamics,58,7,no,no,IVR,no,0.3,1.2,B/C°,R +0.0,86%,57%,7.4,7.1,0.4,0.3,0.1,1.2,1,R +1.3,R +0.0,D +2.3,10.9,0
Purple Strategies,265,4,no,no,Online,no,-1.2,1.2,B/C°,R +0.4,88%,0%,3,4.8,-1.6,-1.2,-0.1,1.2,4,R +3.0,R +0.4,R +0.0,2,1.32
Roanoke College,292,15,yes,yes,Live,no,4.2,1.2,B/C°,D +0.5,77%,60%,8.9,5.9,3.2,4.2,1.6,1.2,12,D +1.6,D +0.5,D +1.5,5.4,0
Revily,284,1,no,no,IVR,no,-2.8,1.2,B/C°,R +0.0,100%,0%,0.5,4.8,-4.1,-2.8,-0.1,1.2,1,R +0.5,R +0.0,,2,1.58
AFL-CIO,526,1,no,no,IVR,no,-3.7,1.2,B/C°,R +0.0,100%,0%,1.2,4.9,-3.5,-3.7,-0.1,1.2,1,R +1.2,R +0.0,,,0
"University of California, Berkeley",457,1,no,no,Online,no,-0.9,1.2,B/C°,R +0.3,100%,100%,5.9,4.6,1.5,-0.9,0,1.2,1,R +5.9,R +0.3,D +2.7,3.9,0
Cranford & Associates,62,1,no,no,Online,no,-3.7,1.2,B/C°,D +0.1,100%,0%,2.5,5.5,-2.8,-3.7,-0.1,1.2,1,D +2.5,D +0.1,D +9.5,,0
Rivercity Polling,291,1,no,no,IVR,no,-3,1.2,B/C°,R +0.2,100%,0%,6.7,7.6,-0.8,-3,-0.1,1.2,1,R +6.7,R +0.2,R +11.5,,0
War Room Logistics,374,1,no,no,IVR,no,-1.3,1.2,B/C°,,100%,100%,4.5,7.1,-2.4,-1.3,0,1.2,0,,,,11.3,0
Diamond State Consulting Group,78,1,no,no,IVR,no,-1.5,1.2,B/C°,D +0.2,100%,0%,4.2,4.9,-0.6,-1.5,-0.1,1.2,1,D +4.2,D +0.2,R +5.0,5,0.62
Maine People's Resource Center,180,8,no,no,IVR/Online,no,0.8,1.3,B/C°,D +0.4,88%,38%,7,5.3,1.9,0.8,0.2,1.3,7,D +1.7,D +0.4,R +2.0,6.5,0
BIGresearch,19,1,no,no,Online,no,-2.9,1.3,B/C°,D +0.0,100%,0%,2,4,-1.8,-2.9,-0.1,1.3,1,D +2.0,D +0.0,,6.4,0
We Ask America,376,53,no,partial,IVR/Online/Live,no,1.2,1.3,C-,R +0.9,83%,45%,6.9,5.4,1.7,1.2,0.8,1.3,33,R +1.8,R +0.9,R +2.3,5.9,0
Triumph Campaigns,339,1,no,no,IVR,no,0.4,1.3,B/C°,R +0.2,100%,0%,4.2,4.2,0.2,0.4,0,1.3,1,R +4.2,R +0.2,R +5.0,,0
Rossman Group,294,1,no,no,IVR,no,0.2,1.3,C/D°,D +0.1,100%,0%,4.2,6.5,-2.2,0.2,0,1.3,1,D +4.2,D +0.1,D +4.7,,0
Singularis Group,306,1,no,no,IVR,no,-1.8,1.3,C/D°,R +0.0,100%,0%,0.8,4.1,-3.1,-1.8,-0.1,1.3,1,R +0.8,R +0.0,D +2.0,2,2.38
Critical Insights,64,17,no,partial,Online/Live,no,2,1.3,C/D°,D +0.3,88%,41%,8.6,6.4,2.4,2,0.7,1.3,15,D +0.9,D +0.3,R +1.8,11.3,0
People's Pundit Daily,251,3,no,no,Online,yes,1,1.3,F,R +0.4,33%,33%,3,2.8,0.4,1,0.1,1.3,3,R +3.0,R +0.4,R +4.8,7,0
TargetPoint,331,3,no,partial,IVR/Live,no,4.1,1.3,C/D°,,83%,100%,14,7.7,6.4,4.1,0.5,1.3,0,,,,,0
Trafalgar Group,338,44,no,partial,IVR/Online/Live,no,1.2,1.3,C-,R +0.9,77%,48%,5.5,4.6,1.1,1.2,0.8,1.3,31,R +1.4,R +0.9,R +2.7,4.7,0
BWD Global,527,1,no,no,IVR,no,0.8,1.3,C/D°,R +0.2,100%,0%,4.4,4.8,-0.2,0.8,0,1.3,1,R +4.4,R +0.2,R +5.3,,0
Liberty Opinion Research,169,1,no,no,IVR,no,0.6,1.3,C/D°,,100%,100%,5.7,6.9,-1,0.6,0,1.3,0,,,,2.5,0.51
Iona College,152,1,no,no,IVR,no,-1,1.3,C/D°,D +0.1,100%,0%,4.4,5.5,-0.9,-1,0,1.3,1,D +4.4,D +0.1,R +1.7,1.5,2.26
CrossTarget,66,2,no,no,IVR,no,1.5,1.3,C/D°,R +0.5,100%,50%,7.7,4.9,2.9,1.5,0.1,1.3,2,R +7.7,R +0.5,R +13.3,15.8,0
co/efficient,514,1,no,no,IVR/Text,no,0.4,1.4,C/D°,D +0.2,0%,0%,3.5,4.1,-0.4,0.4,0,1.4,1,D +3.5,D +0.2,R +0.5,3,1.04
Remington Research Group,279,38,no,partial,IVR/Live,no,1.4,1.4,C-,D +1.2,68%,37%,5,3.6,1.6,1.4,0.9,1.4,37,D +1.9,D +1.2,R +1.9,4.7,0
RAND (American Life Panel),270,4,no,no,Online,no,1.3,1.4,C/D°,D +0.2,100%,25%,2.7,2.6,0.3,1.3,0.2,1.4,4,D +1.4,D +0.2,D +3.8,4.3,0
TeleResearch Corporation,335,1,no,no,IVR,no,2.3,1.4,C/D°,,100%,100%,8.6,7.7,1.1,2.3,0.1,1.4,0,,,,11.3,0
McLaughlin & Associates,203,23,no,partial,Online/Live,no,1.7,1.4,C/D°,R +0.6,78%,35%,6,5.8,0.4,1.7,0.8,1.4,23,R +1.3,R +0.6,R +4.0,4.9,0.13
MarblePort,182,2,no,no,IVR,no,1.6,1.4,C/D°,R +0.5,100%,100%,5.6,4.2,1.5,1.6,0.1,1.4,2,R +5.6,R +0.5,R +7.2,6.3,0
Datamar,75,8,no,no,IVR,no,1.4,1.4,C/D°,R +0.3,69%,38%,6.3,5.9,0.6,1.4,0.2,1.4,5,R +2.9,R +0.3,R +3.3,5.9,0
Targoz Market Research,454,4,no,no,Online,no,1.4,1.4,C/D°,D +0.8,88%,50%,6.8,6,1,1.4,0.3,1.4,4,D +4.6,D +0.8,D +0.3,5.6,0
Great Lakes Strategies Group,125,1,no,no,IVR,no,3.1,1.4,C/D°,R +0.2,0%,100%,7.6,5,2.7,3.1,0.1,1.4,1,R +7.6,R +0.2,R +10.0,10,0
ResearchNow,283,2,no,no,Online,no,0.5,1.4,C/D°,,100%,100%,9.4,8.4,1.1,0.5,0,1.4,0,,,,1,1.6
New Frontier Strategy,229,1,no,no,IVR,no,4,1.4,C/D°,,0%,100%,21.6,7.5,14.3,4,0.1,1.4,0,,,,,0
Zata3,392,2,no,no,IVR,no,3.1,1.4,C/D°,R +0.2,100%,50%,10.2,5.8,4.5,3.1,0.2,1.4,2,R +4.0,R +0.2,D +0.0,,0
Merriman River Group,207,21,no,partial,IVR/Live,no,2.2,1.5,C/D°,R +2.3,81%,57%,7.7,5.1,2.8,2.2,0.9,1.5,20,R +5.5,R +2.3,R +3.2,8.5,0
Optimus,245,15,no,partial,IVR/Online/Live/Text,no,2,1.5,C/D°,R +1.3,87%,67%,7.2,4.4,3,2,0.8,1.5,13,R +3.4,R +1.3,R +2.1,4.7,0
GCR & Associates,110,1,no,no,IVR,no,6.1,1.5,C/D°,,100%,100%,18.3,7.8,10.7,6.1,0.2,1.5,0,,,,,0
Slingshot Strategies,451,1,no,no,IVR/Online,no,4.7,1.5,C/D°,D +0.5,100%,100%,9.3,5.8,3.7,4.7,0.2,1.5,1,D +9.3,D +0.5,D +9.0,9,0
Strategy Research,322,1,no,no,IVR,no,5.2,1.5,C/D°,R +0.4,0%,100%,8.6,3.2,5.6,5.2,0.3,1.5,1,R +8.6,R +0.4,R +4.7,3.8,0
Glascock Group,116,1,no,no,IVR,no,6.3,1.5,C/D°,R +0.5,0%,100%,12.1,4.4,7.9,6.3,0.3,1.5,1,R +12.1,R +0.5,,,0
GaPundit.com,111,2,no,no,IVR,no,3.8,1.5,C/D°,D +0.6,25%,100%,8.3,4.5,3.9,3.8,0.3,1.5,2,D +8.3,D +0.6,D +3.1,,0
Spry Strategies,508,1,no,partial,IVR/Online/Live,no,10,1.5,C/D°,,100%,100%,14.6,4.8,10,10,0.6,1.5,0,,,,19.4,0
ccAdvertising,396,30,no,yes,Live,no,2.8,1.6,C/D°,R +2.5,88%,70%,7.1,4.2,3.1,2.8,1.3,1.6,30,R +5.1,R +2.5,R +3.3,4.7,0
Baldwin Wallace University,401,2,no,no,Online,no,3.8,1.6,C/D°,D +0.8,50%,50%,8.3,4.5,3.9,3.8,0.4,1.6,2,D +8.3,D +0.8,D +3.5,,0
Google Surveys,122,24,yes,no,Online,no,2.8,1.6,D+,R +0.1,92%,38%,5.3,3.5,2.1,2.8,1.4,1.6,24,R +0.2,R +0.1,R +0.7,3.6,0
Indiana University-Purdue University Fort Wayne,150,3,no,yes,Live,no,9.7,1.6,C/D°,,0%,100%,23.5,8.9,14.7,9.7,1.2,1.6,0,,,,,0
Saguaro Strategies,298,2,no,no,Online,no,4.5,1.6,C/D°,D +0.4,0%,100%,5,2.9,2.2,4.5,0.4,1.6,2,D +5.0,D +0.4,D +4.1,2.7,0.24
Humphrey Institute,143,10,no,yes*,Live*,no,6.5,1.7,C/D°,D +0.6,40%,50%,13.1,6,7.3,6.5,1.3,1.7,8,D +3.8,D +0.6,D +3.0,6,0
Opinion Research Associates,242,14,no,yes,Live,no,5,1.8,C/D°,D +2.3,61%,43%,9.4,6.1,3.5,5,1.5,1.8,14,D +7.9,D +2.3,D +6.5,8.7,0
Zia Poll,393,3,no,no,IVR,no,4.8,1.8,C/D°,R +0.6,100%,33%,4.9,2.5,2.5,4.8,0.6,1.8,3,R +4.9,R +0.6,R +3.3,5.9,0
