StartDate,EndDate,Which of the following best describes your current relationship status?,"How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,Household Income,Education,Location (Census Region)
7/9/14 19:08,7/9/14 19:14,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Female,30-44,,Some college or Associate degree,Mountain
7/9/14 19:13,7/9/14 19:14,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
7/9/14 19:13,7/9/14 19:16,Married,6-10 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Strongly agree,Strongly agree,Strongly agree,Business and Financial Operations Occupations,,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England
7/9/14 19:13,7/9/14 19:16,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,Within 16-20 years of our relationship,Somewhat agree,Somewhat agree,Neither agree nor disagree,Other (please specify),retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific
7/9/14 19:13,7/9/14 19:14,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),"Writing and editing, self-employed",Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific
7/9/14 19:13,7/9/14 19:18,Married,More than 20 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Other (please specify),Occupational Health and Safety,Female,> 60,,Bachelor degree,East North Central
7/9/14 19:12,7/9/14 19:13,Married,16-20 years,Once a month or less,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 19:12,7/9/14 19:14,Married,6-10 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Office and Administrative Support Occupations,,Male,18-29,"$50,000 - $99,999",High school degree,West North Central
7/9/14 19:12,7/9/14 19:13,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Female,> 60,,Graduate degree,Middle Atlantic
7/9/14 19:12,7/9/14 19:14,Married,More than 20 years,Once a month or less,Other (please specify),Never,On the couch/chair,,,,,,,,,,,,Other (please specify),After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,,Female,45-60,"$150,000+",Graduate degree,West North Central
7/9/14 19:12,7/9/14 19:14,Married,More than 20 years,A few times per week,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,After 20 years of our relationship,Somewhat disagree,Strongly agree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,> 60,,Graduate degree,Middle Atlantic
7/9/14 19:12,7/9/14 19:15,"Single, but cohabiting with a significant other",1-5 years,Every night,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Somewhat agree,Other (please specify),retired,Male,> 60,,Some college or Associate degree,East North Central
7/9/14 19:12,7/9/14 19:13,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Female,30-44,"$150,000+",Some college or Associate degree,East North Central
7/9/14 19:12,7/9/14 19:13,In a domestic partnership or civil union,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain
7/9/14 19:12,7/9/14 19:13,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Female,> 60,"$150,000+",Graduate degree,West South Central
7/9/14 19:12,7/9/14 19:13,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,> 60,"$50,000 - $99,999",High school degree,West North Central
7/9/14 19:12,7/9/14 19:13,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Female,18-29,"$50,000 - $99,999",High school degree,East North Central
7/9/14 19:11,7/9/14 19:12,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Female,> 60,,Some college or Associate degree,New England
7/9/14 19:11,7/9/14 19:12,In a domestic partnership or civil union,11-15 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
7/9/14 19:11,7/9/14 19:12,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Human Resources,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central
7/9/14 19:11,7/9/14 19:12,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,45-60,"$50,000 - $99,999",Bachelor degree,West North Central
7/9/14 19:11,7/9/14 19:13,Married,More than 20 years,A few times per month,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,,After 20 years of our relationship,Somewhat disagree,Somewhat agree,Somewhat disagree,Other (please specify),retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,New England
7/9/14 19:11,7/9/14 19:11,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
7/9/14 19:11,7/9/14 19:12,In a domestic partnership or civil union,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Female,18-29,"$100,000 - $149,999",High school degree,Mountain
7/9/14 19:11,7/9/14 19:11,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,> 60,"$100,000 - $149,999",Graduate degree,New England
7/9/14 19:10,7/9/14 19:12,Married,More than 20 years,Once a year or less,On the couch/chair,,On the couch/chair,,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Other (please specify),Retired,Female,> 60,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 19:10,7/9/14 19:10,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,,,,,
7/9/14 19:10,7/9/14 19:11,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,18-29,"$25,000 - $49,999",Bachelor degree,West South Central
7/9/14 19:10,7/9/14 19:11,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),graduate student,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
7/9/14 19:09,7/9/14 19:11,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Semi-retired Job-Shop,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,West South Central
7/9/14 19:09,7/9/14 19:11,Married,6-10 years,Once a year or less,On the couch/chair,,On the couch/chair,,,,One of us is sick,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Computer and Mathematical Occupations,,Male,45-60,,Graduate degree,Mountain
7/9/14 19:09,7/9/14 19:10,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,45-60,"$150,000+",Bachelor degree,Pacific
7/9/14 19:09,7/9/14 19:10,In a domestic partnership or civil union,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Customer Service,Male,18-29,,Some college or Associate degree,
7/9/14 19:09,7/9/14 19:10,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
7/9/14 19:09,7/9/14 19:10,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 19:09,7/9/14 19:11,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly disagree,Strongly disagree,Other (please specify),retired,Female,> 60,,Bachelor degree,South Atlantic
7/9/14 19:09,7/9/14 19:10,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
7/9/14 19:09,7/9/14 19:09,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Female,> 60,"$50,000 - $99,999",Graduate degree,West South Central
7/9/14 19:08,7/9/14 19:09,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Protective Service Occupations,,,,,,
7/9/14 19:08,7/9/14 19:09,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Female,> 60,"$50,000 - $99,999",Graduate degree,West North Central
7/9/14 19:08,7/9/14 19:11,Married,More than 20 years,A few times per week,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,45-60,"$150,000+",Bachelor degree,West South Central
7/9/14 19:08,7/9/14 19:09,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired educator,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 19:08,7/9/14 19:08,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,45-60,"$100,000 - $149,999",High school degree,Middle Atlantic
7/9/14 19:08,7/9/14 19:10,Married,11-15 years,Once a year or less,On the couch/chair,,On the couch/chair,,,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,,Female,30-44,"$50,000 - $99,999",Bachelor degree,East South Central
7/9/14 19:08,7/9/14 19:10,Married,6-10 years,Once a month or less,Other (please specify),kids room,Other (please specify),master bedroom,,,,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central
7/9/14 19:07,7/9/14 19:08,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
7/9/14 19:07,7/9/14 19:08,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central
7/9/14 19:07,7/9/14 19:08,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Community and Social Service Occupations,,Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 19:07,7/9/14 19:10,Married,6-10 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Other (please specify),homemaker,Female,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
7/9/14 19:07,7/9/14 19:08,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Pastoral Care and Relgiouls Studies,Female,45-60,"$0 - $24,999",Graduate degree,Middle Atlantic
7/9/14 19:07,7/9/14 19:08,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Female,45-60,"$100,000 - $149,999",Graduate degree,East South Central
7/9/14 19:06,7/9/14 19:08,Married,6-10 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central
7/9/14 19:06,7/9/14 19:08,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired from medical device clinical trials but do consulting,Female,> 60,"$150,000+",Graduate degree,East North Central
7/9/14 19:06,7/9/14 19:07,Married,6-10 years,Every night,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly agree,Strongly disagree,"Education, Training, and Library Occupations",,Female,45-60,"$100,000 - $149,999",Graduate degree,West North Central
7/9/14 19:06,7/9/14 19:08,Married,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,,,,We've had an argument or fight,,,,,,After 20 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Other (please specify),homemaker,Female,45-60,,Bachelor degree,Middle Atlantic
7/9/14 19:05,7/9/14 19:07,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Legal Occupations,,Male,> 60,"$150,000+",Graduate degree,East South Central
7/9/14 19:05,7/9/14 19:06,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central
7/9/14 19:05,7/9/14 19:07,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,,After 20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Sales and Related Occupations,,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain
7/9/14 19:05,7/9/14 19:06,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,> 60,,Graduate degree,Middle Atlantic
7/9/14 19:02,7/9/14 19:05,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 19:05,7/9/14 19:06,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Investment management,Male,> 60,"$150,000+",Bachelor degree,South Atlantic
7/9/14 19:05,7/9/14 19:06,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
7/9/14 19:05,7/9/14 19:06,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired/volunteer,Female,> 60,,Graduate degree,New England
7/9/14 19:05,7/9/14 19:07,Married,11-15 years,Every night,Separate bedroom,,Separate bedroom,,,One of us makes frequent bathroom trips in the night,,,,,,,,,,Within 11-15 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Other (please specify),retired,Male,> 60,"$100,000 - $149,999",Graduate degree,West South Central
7/9/14 19:05,7/9/14 19:06,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Safety and Occupational Health,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central
7/9/14 18:42,7/9/14 19:06,Married,1-5 years,Once a month or less,On the couch/chair,,On the couch/chair,,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Food Preparation and Serving Related Occupations,,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
7/9/14 19:04,7/9/14 19:06,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired!,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
7/9/14 19:04,7/9/14 19:09,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,Other (please specify),After 20 years of our relationship,Strongly disagree,Strongly agree,Neither agree nor disagree,Other (please specify),disabled,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 19:04,7/9/14 19:05,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Production Occupations,,Female,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
7/9/14 19:03,7/9/14 19:05,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Commercial real estate,Male,> 60,"$150,000+",Graduate degree,Middle Atlantic
7/9/14 19:03,7/9/14 19:04,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Production Occupations,,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East South Central
7/9/14 18:59,7/9/14 19:06,Married,More than 20 years,A few times per month,Separate bedroom,,Separate bedroom,,,One of us makes frequent bathroom trips in the night,,,,,,Do not want to share the covers,,Night working/very different sleeping times,,Within 6-10 years of our relationship,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Male,45-60,"$50,000 - $99,999",Bachelor degree,East South Central
7/9/14 19:03,7/9/14 19:05,Married,11-15 years,A few times per week,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,We are no longer physically intimate,We have different temperature preferences for the room,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly agree,Strongly disagree,"Education, Training, and Library Occupations",,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 19:03,7/9/14 19:04,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Female,> 60,,High school degree,Middle Atlantic
7/9/14 19:03,7/9/14 19:03,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,,,,,
7/9/14 19:03,7/9/14 19:03,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,30-44,"$150,000+",Bachelor degree,New England
7/9/14 19:03,7/9/14 19:06,Married,16-20 years,Once a year or less,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Transportation and Materials Moving Occupations,,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain
7/9/14 19:03,7/9/14 19:05,"Single, but cohabiting with a significant other",Less than 1 year,Once a month or less,Separate bedroom,,Separate bedroom,,,,,,,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Office and Administrative Support Occupations,,Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central
7/9/14 19:03,7/9/14 19:03,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Support Occupations,,Female,30-44,,Some college or Associate degree,South Atlantic
7/9/14 19:02,7/9/14 19:04,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Female,> 60,"$50,000 - $99,999",High school degree,West North Central
7/9/14 19:02,7/9/14 19:03,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,> 60,"$50,000 - $99,999",Bachelor degree,New England
7/9/14 19:02,7/9/14 19:03,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central
7/9/14 19:02,7/9/14 19:04,Married,More than 20 years,A few times per month,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,"Education, Training, and Library Occupations",,Female,45-60,,Graduate degree,New England
7/9/14 19:02,7/9/14 19:22,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Homemaker,Female,45-60,"$50,000 - $99,999",High school degree,South Atlantic
7/9/14 19:02,7/9/14 19:03,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Female,45-60,"$0 - $24,999",Bachelor degree,South Atlantic
7/9/14 19:02,7/9/14 19:02,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 18:56,7/9/14 19:04,Married,6-10 years,Once a year or less,On the couch/chair,,Separate bedroom,,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
7/9/14 19:01,7/9/14 19:03,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),boatbuilder repair,Male,> 60,,Some college or Associate degree,New England
7/9/14 19:02,7/9/14 19:04,Married,16-20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,One of us snores,,,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,,Female,30-44,"$100,000 - $149,999",Bachelor degree,East South Central
7/9/14 18:59,7/9/14 19:03,Married,1-5 years,Every night,Other (please specify),With the baby in her room,Other (please specify),With the baby in her room,,,,,,,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,Other (please specify),Currently a stay-at-home mother,Female,30-44,,Graduate degree,Middle Atlantic
7/9/14 19:01,7/9/14 19:03,Married,More than 20 years,Once a month or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,One of us needs to sleep with a child,,,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Sales and Related Occupations,,Female,45-60,,High school degree,South Atlantic
7/9/14 19:01,7/9/14 19:04,"Single, but cohabiting with a significant other",11-15 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,We've had an argument or fight,,,,,,Within 6-10 years of our relationship,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific
7/9/14 19:01,7/9/14 19:02,Divorced,Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,30-44,"$0 - $24,999",Bachelor degree,Pacific
7/9/14 19:00,7/9/14 19:02,Married,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,One of us is sick,,We have different temperature preferences for the room,,,,,,,Within the first 1-5 years of our relationship,Somewhat agree,Neither agree nor disagree,Strongly disagree,Other (please specify),government,Female,45-60,"$150,000+",Some college or Associate degree,New England
7/9/14 19:00,7/9/14 19:02,Married,16-20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Somewhat disagree,Neither agree nor disagree,Strongly disagree,"Education, Training, and Library Occupations",,Female,> 60,"$50,000 - $99,999",Graduate degree,New England
7/9/14 19:00,7/9/14 19:00,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 18:59,7/9/14 19:01,Divorced,11-15 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Healthcare Support Occupations,,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
7/9/14 18:59,7/9/14 19:01,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,We have different temperature preferences for the room,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,45-60,"$100,000 - $149,999",Graduate degree,East South Central
7/9/14 18:59,7/9/14 19:01,Married,More than 20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 18:59,7/9/14 19:00,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,> 60,"$50,000 - $99,999",Graduate degree,New England
7/9/14 18:58,7/9/14 19:00,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,> 60,"$50,000 - $99,999",Graduate degree,Mountain
7/9/14 18:59,7/9/14 19:00,Married,More than 20 years,Once a year or less,Separate bedroom,,On the couch/chair,,One of us snores,,,,,,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,Other (please specify),interior design,Female,45-60,,Bachelor degree,New England
7/9/14 18:58,7/9/14 19:00,In a domestic partnership or civil union,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Production Occupations,,,,,,
7/9/14 18:58,7/9/14 19:00,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired1,Male,> 60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
7/9/14 18:58,7/9/14 19:01,Married,6-10 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,One of us needs to sleep with a child,,,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Food Preparation and Serving Related Occupations,,Male,30-44,"$0 - $24,999",High school degree,
7/9/14 18:58,7/9/14 19:00,Married,More than 20 years,Once a year or less,Separate bedroom,,Separate bedroom,,,,One of us is sick,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 18:58,7/9/14 19:01,Married,More than 20 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",,Female,> 60,,Bachelor degree,Pacific
7/9/14 18:58,7/9/14 19:02,Married,More than 20 years,Once a year or less,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,,Within 11-15 years of our relationship,Somewhat disagree,Strongly agree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,,Female,45-60,,Bachelor degree,Pacific
