RespondentID,Do you typically check a daily weather report?,How do you typically check the weather?,A specific website or app (please provide the answer),"If you had a smartwatch (like the soon to be released Apple Watch), how likely or unlikely would you be to check the weather on that device?",Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
3877982615,Yes,A specific website or app (please provide the answer),Weather.com,Very likely,60+,Female,"$25,000 to $49,999",South Atlantic
3877982204,No,Internet search,-,Somewhat unlikely,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
3877981227,Yes,Local TV News,-,Somewhat likely,45 - 59,Female,"$125,000 to $149,999",Pacific
3877981098,Yes,A specific website or app (please provide the answer),the weather channel,Very likely,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
3877980492,Yes,A specific website or app (please provide the answer),the weather channel,Somewhat likely,45 - 59,Female,Prefer not to answer,Pacific
3877980484,No,The default weather app on your phone,-,Somewhat unlikely,18 - 29,Female,"$0 to $9,999",Pacific
3877980051,Yes,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$25,000 to $49,999",West South Central
3877977794,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
3877976383,Yes,A specific website or app (please provide the answer),iPhone weather app,Very likely,18 - 29,Female,Prefer not to answer,East South Central
3877975104,Yes,The Weather Channel,-,Somewhat likely,-,-,-,-
3877973396,Yes,Radio weather,-,Very unlikely,60+,Male,Prefer not to answer,Middle Atlantic
3877969129,Yes,A specific website or app (please provide the answer),The Weather Channel for iPhone or iPad ,Very likely,45 - 59,Female,Prefer not to answer,South Atlantic
3877968802,Yes,Newspaper,-,Somewhat likely,60+,Female,"$100,000 to $124,999",Pacific
3877966982,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$200,000 and up",New England
3877965710,Yes,A specific website or app (please provide the answer),m.accuweather.com,Very likely,45 - 59,Female,"$100,000 to $124,999",Mountain
3877965544,Yes,Local TV News,-,Very unlikely,60+,Male,"$75,000 to $99,999",Mountain
3877961612,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$10,000 to $24,999",South Atlantic
3877960106,No,Internet search,-,Somewhat unlikely,18 - 29,Female,"$25,000 to $49,999",Pacific
3877958234,No,A specific website or app (please provide the answer),National Weather Service,Somewhat likely,45 - 59,Female,"$100,000 to $124,999",Mountain
3877957277,Yes,Internet search,-,Very likely,45 - 59,Female,Prefer not to answer,East South Central
3877955881,No,Local TV News,-,Very unlikely,45 - 59,Female,"$125,000 to $149,999",West South Central
3877955839,Yes,Local TV News,-,Very likely,18 - 29,Female,"$10,000 to $24,999",Middle Atlantic
3877955798,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$50,000 to $74,999",West North Central
3877954334,Yes,The default weather app on your phone,-,Very unlikely,45 - 59,Female,"$175,000 to $199,999",Middle Atlantic
3877953647,Yes,Internet search,-,Very likely,60+,Female,"$75,000 to $99,999",Pacific
3877950102,Yes,The default weather app on your phone,-,Very likely,60+,Female,Prefer not to answer,East North Central
3877949696,Yes,The default weather app on your phone,-,Very unlikely,30 - 44,Female,Prefer not to answer,South Atlantic
3877949284,Yes,The Weather Channel,-,Very likely,60+,Male,"$100,000 to $124,999",Mountain
3877948332,Yes,Local TV News,-,Very likely,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
3877946979,Yes,A specific website or app (please provide the answer),weather channel,Very unlikely,30 - 44,Female,"$150,000 to $174,999",Pacific
3877946354,Yes,Local TV News,-,Very unlikely,60+,Male,"$200,000 and up",Pacific
3877945582,Yes,Internet search,-,Very likely,45 - 59,Female,Prefer not to answer,South Atlantic
3877943483,No,Local TV News,-,Very unlikely,45 - 59,Female,"$75,000 to $99,999",South Atlantic
3877943300,Yes,Internet search,-,Very likely,18 - 29,Female,"$10,000 to $24,999",New England
3877942496,No,Local TV News,-,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",East North Central
3877941352,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East South Central
3877941272,No,-,-,-,-,-,-,-
3877941245,Yes,Internet search,-,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",Middle Atlantic
3877939977,Yes,The Weather Channel,-,Very likely,60+,Female,"$50,000 to $74,999",West South Central
3877939933,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$125,000 to $149,999",East North Central
3877939431,Yes,A specific website or app (please provide the answer),Google App,Very likely,18 - 29,Female,"$25,000 to $49,999",Pacific
3877937093,Yes,Internet search,-,Very likely,18 - 29,Female,Prefer not to answer,West South Central
3877936279,Yes,A specific website or app (please provide the answer),Accuweather,Very likely,60+,Female,Prefer not to answer,East North Central
3877934942,Yes,-,-,-,-,-,-,-
3877934726,Yes,Radio weather,-,Somewhat likely,45 - 59,Female,"$75,000 to $99,999",Pacific
3877934192,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$200,000 and up",Mountain
3877934039,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$175,000 to $199,999",West South Central
3877934025,Yes,A specific website or app (please provide the answer),Accuweather,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
3877933879,Yes,Local TV News,-,Very unlikely,60+,Male,Prefer not to answer,East South Central
3877933017,Yes,A specific website or app (please provide the answer),The Weather Channel app on my phone.,Very likely,45 - 59,Male,"$75,000 to $99,999",East North Central
3877930386,Yes,Internet search,-,Very likely,18 - 29,Female,"$10,000 to $24,999",Pacific
3877930133,Yes,Local TV News,-,Very likely,60+,Female,Prefer not to answer,South Atlantic
3877926515,Yes,Local TV News,-,Somewhat likely,18 - 29,Female,"$0 to $9,999",New England
3877926252,Yes,Radio weather,-,Very unlikely,60+,Male,"$200,000 and up",West South Central
3877922131,Yes,The Weather Channel,-,Somewhat likely,45 - 59,Female,"$0 to $9,999",East North Central
3877921800,Yes,Internet search,-,Somewhat likely,60+,Male,"$125,000 to $149,999",Pacific
3877921461,No,Local TV News,-,Very likely,45 - 59,Female,"$75,000 to $99,999",South Atlantic
3877920147,No,Internet search,-,Very unlikely,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
3877919152,Yes,Local TV News,-,Somewhat likely,60+,Female,"$125,000 to $149,999",East North Central
3877918818,No,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$150,000 to $174,999",Pacific
3877916763,Yes,A specific website or app (please provide the answer),weather channel,Very likely,60+,Male,"$125,000 to $149,999",West North Central
3877914049,Yes,Internet search,-,Very likely,45 - 59,Female,"$200,000 and up",East South Central
3877912517,Yes,Newsletter,-,Very likely,60+,Male,"$75,000 to $99,999",West South Central
3877911586,Yes,Local TV News,-,Somewhat likely,60+,Female,Prefer not to answer,New England
3877906211,Yes,A specific website or app (please provide the answer),WEatherbug,Somewhat likely,30 - 44,Female,Prefer not to answer,East North Central
3877905346,No,Local TV News,-,Very unlikely,45 - 59,Female,"$150,000 to $174,999",Mountain
3877904337,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$75,000 to $99,999",West South Central
3877903810,No,Local TV News,-,Very likely,45 - 59,Female,Prefer not to answer,East North Central
3877903803,Yes,Newspaper,-,Very likely,45 - 59,Female,Prefer not to answer,Pacific
3877903037,Yes,A specific website or app (please provide the answer),weatherbug,Somewhat likely,30 - 44,Female,Prefer not to answer,South Atlantic
3877902471,No,The Weather Channel,-,Very unlikely,18 - 29,Female,Prefer not to answer,South Atlantic
3877902073,Yes,A specific website or app (please provide the answer),DirecTv Weather App,Very unlikely,45 - 59,Male,Prefer not to answer,Pacific
3877901837,Yes,Internet search,-,Very unlikely,60+,Female,"$75,000 to $99,999",East North Central
3877897238,Yes,A specific website or app (please provide the answer),The Weather Channel app,Very likely,45 - 59,Female,"$75,000 to $99,999",South Atlantic
3877896109,Yes,Radio weather,-,Very unlikely,60+,Female,"$200,000 and up",Pacific
3877893918,Yes,Local TV News,-,Very likely,60+,Male,"$75,000 to $99,999",East South Central
3877893684,Yes,Internet search,-,Very likely,60+,Female,"$25,000 to $49,999",Pacific
3877893604,Yes,Internet search,-,Somewhat likely,18 - 29,Female,Prefer not to answer,West South Central
3877890420,Yes,Local TV News,-,Somewhat likely,45 - 59,Female,"$100,000 to $124,999",Pacific
3877890013,No,A specific website or app (please provide the answer),iphone,Very unlikely,30 - 44,Female,"$125,000 to $149,999",Pacific
3877889922,Yes,A specific website or app (please provide the answer),smart phone,Very unlikely,60+,Male,"$50,000 to $74,999",South Atlantic
3877885176,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$75,000 to $99,999",East North Central
3877885125,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$25,000 to $49,999",West North Central
3877885019,Yes,Local TV News,-,Somewhat likely,60+,Female,Prefer not to answer,West South Central
3877884613,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$50,000 to $74,999",Pacific
3877884192,No,Local TV News,-,Very unlikely,60+,Female,"$25,000 to $49,999",Pacific
3877880332,No,Local TV News,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",East North Central
3877877032,Yes,A specific website or app (please provide the answer),Weather app,Very likely,18 - 29,Female,"$125,000 to $149,999",Pacific
3877874628,Yes,A specific website or app (please provide the answer),accuweather,Very unlikely,60+,Female,Prefer not to answer,East North Central
3877873676,Yes,Radio weather,-,Very unlikely,45 - 59,Male,"$25,000 to $49,999",East South Central
3877871653,Yes,A specific website or app (please provide the answer),basic weather app on my iPhone,Very likely,45 - 59,Female,"$150,000 to $174,999",East North Central
3877871578,Yes,Local TV News,-,Very likely,18 - 29,Female,"$0 to $9,999",East North Central
3877871132,Yes,A specific website or app (please provide the answer),phone,Very unlikely,18 - 29,Female,"$0 to $9,999",West South Central
3877870133,Yes,The default weather app on your phone,-,Somewhat likely,60+,Female,"$50,000 to $74,999",West South Central
3877870026,Yes,The default weather app on your phone,-,Somewhat likely,60+,Male,"$100,000 to $124,999",Middle Atlantic
3877869125,Yes,The Weather Channel,-,Very likely,18 - 29,Female,"$25,000 to $49,999",South Atlantic
3877867553,Yes,A specific website or app (please provide the answer),Weather Bug,Somewhat likely,60+,Female,"$25,000 to $49,999",Mountain
3877865436,Yes,Local TV News,-,Very likely,45 - 59,Female,"$125,000 to $149,999",Pacific
3877864574,No,Newspaper,-,Somewhat likely,45 - 59,Female,"$125,000 to $149,999",Pacific
3877862817,Yes,Internet search,-,Very unlikely,45 - 59,Female,Prefer not to answer,Mountain
3877862354,Yes,A specific website or app (please provide the answer),WeatherBug,Very likely,45 - 59,Female,"$50,000 to $74,999",South Atlantic
3877861603,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$50,000 to $74,999",South Atlantic
3877860767,Yes,Local TV News,-,Somewhat likely,45 - 59,Male,"$10,000 to $24,999",West South Central
3877860097,No,Local TV News,-,Somewhat likely,60+,Female,"$25,000 to $49,999",Pacific
3877860035,No,The default weather app on your phone,-,Somewhat unlikely,30 - 44,Female,"$125,000 to $149,999",Mountain
3877859415,Yes,Local TV News,-,Somewhat likely,45 - 59,Female,"$10,000 to $24,999",West North Central
3877857384,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$50,000 to $74,999",South Atlantic
3877857065,No,Internet search,-,Somewhat unlikely,30 - 44,Female,"$75,000 to $99,999",-
3877856635,Yes,Local TV News,-,Very likely,30 - 44,Female,"$50,000 to $74,999",West South Central
3877856424,Yes,A specific website or app (please provide the answer),the weather channel app,Somewhat likely,18 - 29,Female,Prefer not to answer,Middle Atlantic
3877856090,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$25,000 to $49,999",East North Central
3877855838,No,The Weather Channel,-,Very likely,30 - 44,Female,"$100,000 to $124,999",Pacific
3877854283,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$75,000 to $99,999",South Atlantic
3877854113,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$50,000 to $74,999",West North Central
3877853409,Yes,A specific website or app (please provide the answer),weather bug,Very likely,45 - 59,Male,"$100,000 to $124,999",East North Central
3877851546,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$25,000 to $49,999",East South Central
3877851313,Yes,The Weather Channel,-,Somewhat likely,60+,Female,Prefer not to answer,Mountain
3877850546,Yes,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$0 to $9,999",Middle Atlantic
3877849360,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,Prefer not to answer,New England
3877849287,Yes,Local TV News,-,Very unlikely,45 - 59,Male,Prefer not to answer,Pacific
3877844428,Yes,Local TV News,-,Very likely,60+,Female,"$25,000 to $49,999",East North Central
3877840278,Yes,A specific website or app (please provide the answer),Bing,Very likely,60+,Female,"$25,000 to $49,999",Pacific
3877839221,Yes,The Weather Channel,-,Very likely,60+,Male,"$50,000 to $74,999",South Atlantic
3877838876,Yes,A specific website or app (please provide the answer),Weather Channel App,Somewhat likely,30 - 44,Female,"$175,000 to $199,999",East North Central
3877838258,Yes,The Weather Channel,-,Somewhat likely,18 - 29,Female,"$25,000 to $49,999",East North Central
3877835456,Yes,Local TV News,-,Somewhat likely,60+,Female,"$125,000 to $149,999",West South Central
3877834333,Yes,The default weather app on your phone,-,Very unlikely,60+,Female,"$50,000 to $74,999",East North Central
3877833661,Yes,Newspaper,-,Very likely,60+,Female,Prefer not to answer,South Atlantic
3877833303,Yes,Local TV News,-,Very likely,60+,Female,Prefer not to answer,Middle Atlantic
3877831288,No,Internet search,-,Somewhat likely,30 - 44,Female,Prefer not to answer,South Atlantic
3877829146,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,"$150,000 to $174,999",East North Central
3877828834,Yes,The Weather Channel,-,Very unlikely,30 - 44,Female,Prefer not to answer,West South Central
3877828401,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,Prefer not to answer,Middle Atlantic
3877828113,Yes,Newspaper,-,Somewhat likely,60+,Male,"$200,000 and up",East North Central
3877825838,Yes,Local TV News,-,Somewhat likely,60+,Female,"$125,000 to $149,999",Pacific
3877825768,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$100,000 to $124,999",South Atlantic
3877825397,Yes,The default weather app on your phone,-,Somewhat unlikely,60+,Female,"$150,000 to $174,999",Pacific
3877825092,Yes,Internet search,-,Somewhat unlikely,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
3877825091,Yes,The Weather Channel,-,Somewhat unlikely,45 - 59,Female,"$10,000 to $24,999",New England
3877823647,Yes,Local TV News,-,Very unlikely,60+,Female,"$10,000 to $24,999",West South Central
3877823634,No,Local TV News,-,Somewhat unlikely,60+,Male,"$50,000 to $74,999",Mountain
3877823022,Yes,The Weather Channel,-,Somewhat unlikely,60+,Female,"$10,000 to $24,999",Mountain
3877822759,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$0 to $9,999",East North Central
3877821639,No,Local TV News,-,Very likely,45 - 59,Female,"$100,000 to $124,999",West South Central
3877821152,Yes,The Weather Channel,-,Somewhat likely,18 - 29,Female,Prefer not to answer,New England
3877820317,No,Radio weather,-,Somewhat likely,30 - 44,Female,Prefer not to answer,South Atlantic
3877817207,Yes,A specific website or app (please provide the answer),weather.com,Very likely,60+,Female,"$150,000 to $174,999",New England
3877815508,Yes,The Weather Channel,-,Somewhat likely,60+,Female,"$100,000 to $124,999",Pacific
3877813621,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$0 to $9,999",Middle Atlantic
3877813587,No,Local TV News,-,Somewhat likely,18 - 29,Female,Prefer not to answer,South Atlantic
3877813322,Yes,Local TV News,-,Very likely,60+,Male,"$25,000 to $49,999",Pacific
3877812497,No,Local TV News,-,Somewhat likely,18 - 29,Female,Prefer not to answer,West North Central
3877806850,Yes,Local TV News,-,Very likely,45 - 59,Female,"$200,000 and up",Middle Atlantic
3877806666,No,A specific website or app (please provide the answer),Talk to my mother.,Somewhat unlikely,45 - 59,Female,Prefer not to answer,Pacific
3877804843,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$25,000 to $49,999",South Atlantic
3877803376,No,A specific website or app (please provide the answer),i look outside,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",Pacific
3877803055,Yes,Local TV News,-,Very unlikely,18 - 29,Female,"$50,000 to $74,999",East North Central
3877800395,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$0 to $9,999",Pacific
3877799311,Yes,A specific website or app (please provide the answer),The Weather Channel,Very likely,45 - 59,Female,"$100,000 to $124,999",South Atlantic
3877795231,Yes,The Weather Channel,-,Somewhat likely,60+,Male,"$100,000 to $124,999",Pacific
3877794938,Yes,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$0 to $9,999",West North Central
3877794732,Yes,Local TV News,-,Somewhat likely,45 - 59,Male,"$0 to $9,999",South Atlantic
3877793419,Yes,Local TV News,-,Somewhat unlikely,60+,Male,"$150,000 to $174,999",East North Central
3877792799,Yes,Internet search,-,Somewhat likely,60+,Male,"$100,000 to $124,999",East South Central
3877791725,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$50,000 to $74,999",East North Central
3877791459,Yes,A specific website or app (please provide the answer),weather.com,Very likely,30 - 44,Female,Prefer not to answer,East North Central
3877791359,No,Internet search,-,Somewhat unlikely,60+,Female,Prefer not to answer,Pacific
3877791126,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$0 to $9,999",Pacific
3877789580,Yes,Internet search,-,Very likely,45 - 59,Female,Prefer not to answer,West South Central
3877789311,Yes,Local TV News,-,Very likely,60+,Male,"$125,000 to $149,999",East North Central
3877788831,Yes,A specific website or app (please provide the answer),Weather.com,Somewhat likely,60+,Female,"$75,000 to $99,999",East North Central
3877788097,Yes,The Weather Channel,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3877785851,Yes,A specific website or app (please provide the answer),Weather Channel App in IPhone,Somewhat likely,60+,Female,Prefer not to answer,South Atlantic
3877783718,Yes,Newspaper,-,Very likely,60+,Male,Prefer not to answer,East North Central
3877783251,Yes,A specific website or app (please provide the answer),The Weather Channel app,Very unlikely,60+,Male,Prefer not to answer,East North Central
3877781305,Yes,Local TV News,-,Very unlikely,60+,Male,"$25,000 to $49,999",Middle Atlantic
3877781123,Yes,Radio weather,-,Very likely,45 - 59,Male,"$175,000 to $199,999",New England
3877779376,Yes,A specific website or app (please provide the answer),Weather Channel,Somewhat likely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3877778622,Yes,Local TV News,-,Somewhat likely,30 - 44,Female,"$25,000 to $49,999",West North Central
3877777746,Yes,A specific website or app (please provide the answer),The weather app on the iPhone ,Very likely,18 - 29,Female,"$75,000 to $99,999",New England
3877775605,Yes,Local TV News,-,Very likely,60+,Female,"$75,000 to $99,999",Mountain
3877775230,No,Local TV News,-,Very likely,45 - 59,Female,Prefer not to answer,East North Central
3877775208,Yes,Local TV News,-,Very likely,60+,Male,"$100,000 to $124,999",South Atlantic
3877771309,Yes,Local TV News,-,Very likely,30 - 44,Female,"$75,000 to $99,999",East North Central
3877771155,Yes,A specific website or app (please provide the answer),The weather channel iPad app,Very likely,60+,Female,"$50,000 to $74,999",West South Central
3877769359,No,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$25,000 to $49,999",South Atlantic
3877768869,Yes,A specific website or app (please provide the answer),weather underground,Somewhat likely,18 - 29,Female,"$150,000 to $174,999",Middle Atlantic
3877767444,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,Prefer not to answer,West North Central
3877767366,Yes,Internet search,-,Very likely,60+,Male,"$100,000 to $124,999",Middle Atlantic
3877764882,Yes,Local TV News,-,Somewhat likely,60+,Female,"$75,000 to $99,999",West South Central
3877762163,Yes,Local TV News,-,Very likely,45 - 59,Male,"$25,000 to $49,999",West South Central
3877760068,No,A specific website or app (please provide the answer),My husband usually informs me about the next day's weather.,Somewhat likely,30 - 44,Female,"$125,000 to $149,999",Pacific
3877755586,Yes,Local TV News,-,Somewhat likely,60+,Male,"$10,000 to $24,999",Pacific
3877755146,Yes,The Weather Channel,-,Somewhat likely,60+,Male,"$50,000 to $74,999",West North Central
3877754981,Yes,Local TV News,-,Very likely,45 - 59,Male,"$50,000 to $74,999",Middle Atlantic
3877754345,Yes,Local TV News,-,Very unlikely,60+,Female,Prefer not to answer,Middle Atlantic
3877754281,Yes,A specific website or app (please provide the answer),weather underground,Very likely,45 - 59,Female,"$175,000 to $199,999",Pacific
3877752751,Yes,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,"$10,000 to $24,999",Pacific
3877751637,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$75,000 to $99,999",Pacific
3877750962,Yes,Local TV News,-,Somewhat unlikely,45 - 59,Female,"$50,000 to $74,999",East South Central
3877750724,No,The Weather Channel,-,Very likely,30 - 44,Female,"$25,000 to $49,999",East South Central
3877748205,No,Internet search,-,Somewhat likely,18 - 29,Female,"$10,000 to $24,999",New England
3877747724,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$10,000 to $24,999",East North Central
3877746061,Yes,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$0 to $9,999",East South Central
3877744514,Yes,The Weather Channel,-,Very likely,18 - 29,Female,"$10,000 to $24,999",East North Central
3877744055,Yes,Newspaper,-,Very unlikely,60+,Male,Prefer not to answer,Pacific
3877743862,Yes,A specific website or app (please provide the answer),Weather.com,Very likely,45 - 59,Female,Prefer not to answer,South Atlantic
3877741292,No,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$50,000 to $74,999",East North Central
3877740013,No,A specific website or app (please provide the answer),Default iPhone app,Very likely,18 - 29,Female,"$200,000 and up",East North Central
3877739642,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$25,000 to $49,999",New England
3877739070,No,Local TV News,-,Somewhat unlikely,60+,Male,"$100,000 to $124,999",East North Central
3877737885,Yes,Internet search,-,Very unlikely,60+,Male,"$75,000 to $99,999",East North Central
3877735171,Yes,Internet search,-,Very likely,45 - 59,Male,"$200,000 and up",Mountain
3877732662,No,Local TV News,-,Somewhat likely,45 - 59,Female,"$10,000 to $24,999",East South Central
3877732160,Yes,A specific website or app (please provide the answer),Google now,Somewhat likely,30 - 44,Female,"$150,000 to $174,999",West South Central
3877731939,Yes,The Weather Channel,-,Somewhat unlikely,45 - 59,Male,"$100,000 to $124,999",Pacific
3877729075,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$100,000 to $124,999",-
3877728804,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$125,000 to $149,999",Pacific
3877728487,Yes,The Weather Channel,-,Very unlikely,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
3877728042,Yes,The default weather app on your phone,-,Somewhat unlikely,45 - 59,Female,Prefer not to answer,West South Central
3877727777,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$100,000 to $124,999",West North Central
3877726824,No,Local TV News,-,Very unlikely,45 - 59,Female,Prefer not to answer,South Atlantic
3877724934,No,The Weather Channel,-,Very unlikely,60+,Female,"$25,000 to $49,999",West North Central
3877723968,Yes,Internet search,-,Somewhat likely,60+,Male,Prefer not to answer,West North Central
3877723964,No,Internet search,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",Pacific
3877723322,Yes,A specific website or app (please provide the answer),Weather Underground,Very unlikely,45 - 59,Male,"$150,000 to $174,999",New England
3877722749,Yes,Local TV News,-,Very likely,18 - 29,Female,"$25,000 to $49,999",East North Central
3877721796,Yes,Local TV News,-,Very unlikely,45 - 59,Female,Prefer not to answer,South Atlantic
3877721262,Yes,A specific website or app (please provide the answer),Chrome app,Very likely,30 - 44,Female,"$75,000 to $99,999",East North Central
3877720994,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,"$200,000 and up",Middle Atlantic
3877720618,Yes,A specific website or app (please provide the answer),Accuweather,Somewhat likely,18 - 29,Female,Prefer not to answer,Middle Atlantic
3877719327,Yes,Local TV News,-,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",Middle Atlantic
3877715614,Yes,Internet search,-,Somewhat unlikely,30 - 44,Female,"$50,000 to $74,999",Mountain
3877714285,No,Local TV News,-,Somewhat likely,60+,Male,Prefer not to answer,East South Central
3877713514,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$0 to $9,999",Mountain
3877710759,Yes,Local TV News,-,Somewhat likely,60+,Male,"$75,000 to $99,999",Middle Atlantic
3877709429,No,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$50,000 to $74,999",South Atlantic
3877709396,Yes,Local TV News,-,Very unlikely,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
3877709203,No,Internet search,-,Somewhat likely,30 - 44,Female,"$75,000 to $99,999",South Atlantic
3877705805,Yes,The Weather Channel,-,Very likely,30 - 44,Female,"$100,000 to $124,999",South Atlantic
3877705747,No,The Weather Channel,-,Very likely,30 - 44,Female,"$25,000 to $49,999",East North Central
3877705621,No,Internet search,-,Very unlikely,18 - 29,Female,Prefer not to answer,Pacific
3877705489,Yes,The default weather app on your phone,-,Very likely,18 - 29,Male,"$50,000 to $74,999",Mountain
3877705171,Yes,The Weather Channel,-,Very likely,60+,Female,"$50,000 to $74,999",Pacific
3877705053,Yes,The Weather Channel,-,Somewhat likely,30 - 44,Female,"$10,000 to $24,999",East North Central
3877703334,Yes,The Weather Channel,-,Somewhat unlikely,18 - 29,Female,"$10,000 to $24,999",Mountain
3877702652,Yes,A specific website or app (please provide the answer),Apple Weather App,Very likely,18 - 29,Female,Prefer not to answer,West South Central
3877699575,Yes,Local TV News,-,Somewhat likely,45 - 59,Female,"$200,000 and up",West North Central
3877698507,No,The default weather app on your phone,-,Very unlikely,18 - 29,Female,Prefer not to answer,South Atlantic
3877696556,Yes,Radio weather,-,Very unlikely,60+,Male,Prefer not to answer,East North Central
3877694816,Yes,A specific website or app (please provide the answer),National Weather Service site,Somewhat unlikely,60+,Male,"$200,000 and up",East South Central
3877693629,Yes,The Weather Channel,-,Very unlikely,60+,Male,"$50,000 to $74,999",Middle Atlantic
3877693173,Yes,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$200,000 and up",Mountain
3877691632,Yes,Local TV News,-,Very unlikely,30 - 44,Female,"$100,000 to $124,999",East South Central
3877689877,No,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$75,000 to $99,999",West South Central
3877689618,Yes,The Weather Channel,-,Somewhat likely,60+,Female,"$75,000 to $99,999",Mountain
3877689598,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$150,000 to $174,999",South Atlantic
3877688523,Yes,The Weather Channel,-,Very likely,30 - 44,Female,"$125,000 to $149,999",Pacific
3877686918,No,Local TV News,-,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3877686413,Yes,The Weather Channel,-,Somewhat likely,18 - 29,Female,"$75,000 to $99,999",Mountain
3877685833,Yes,Local TV News,-,Very likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3877685611,No,Internet search,-,Very likely,18 - 29,Female,"$10,000 to $24,999",South Atlantic
3877685103,No,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",Mountain
3877684867,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$50,000 to $74,999",South Atlantic
3877682778,Yes,The Weather Channel,-,Very likely,18 - 29,Male,Prefer not to answer,West South Central
3877682733,No,Newspaper,-,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",South Atlantic
3877679711,Yes,Local TV News,-,Somewhat likely,60+,Male,"$50,000 to $74,999",East South Central
3877679528,Yes,Local TV News,-,Very likely,60+,Female,"$25,000 to $49,999",East South Central
3877675285,Yes,Local TV News,-,Somewhat likely,60+,Male,"$75,000 to $99,999",West North Central
3877674431,No,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$175,000 to $199,999",New England
