Member,Party,District,Congress,Resignation Date,Reason,Source,Category
John Reynolds,R,PA-19,61st,1/17/1911,Elected Pennsylvania lieutenant governor,U.S. Congress,C
John Tener,R,PA-24,61st,1/16/1911,Elected Pennsylvania governor,U.S. Congress,C
Eugene Foss,D,MA-14,61st,1/4/1911,Elected Massachusetts governor,U.S. Congress,C
Gordon Russell,D,TX-03,61st,6/14/1910,Appointed federal judge,U.S. Congress,C
Fountain Thompson,D,ND-SEN,61st,1/31/1910,Ill health but was suspected to be political maneuvering,Bismarck Tribune,E & F
William Lorimer,R,IL-06,61st,6/17/1909,Elected U.S. senator,U.S. Congress,C
Theodore Burton,R,OH-21,60th,3/4/1909,Elected U.S. senator,U.S. Congress,C
Philander Knox,R,PA-SEN,60th,3/4/1909,Appointed to Taft administration,U.S. Congress,C
William Kitchin,D,NC-05,60th,1/11/1909,Elected North Carolina governor,U.S. Congress,C
George Lilley,R,CT-AL,60th,1/6/1909,Seat vacated when he became Connecticut governor,U.S. Congress,C
Charles Brumm,R,PA-12,60th,1/4/1909,Elected Pennsylvania judge,U.S. Congress,C
Charles Littlefield,R,ME-02,60th,9/30/1908,Returned to his law practice,San Francisco Call,D
John Spooner,R,WI-SEN,60th,4/30/1907,Resumed practicing law,Sacramento Union,D
John Reyburn,R,PA-02,60th,3/31/1907,Elected Philadelphia mayor,U.S. Congress,C
William Alden Smith,R,MI-05,59th,2/9/1907,Elected U.S. senator,U.S. Congress,C
Charles Curtis,R,KS-01,59th,1/28/1907,Elected U.S. senator,U.S. Congress,C
John Little,D,AR-04,59th,1/14/1907,Elected Arkansas governor,U.S. Congress,C
Newton Gilbert,R,IN-12,59th,11/6/1906,Appointed federal judge,U.S. Congress,C
Malcolm Patterson,D,TN-10,59th,11/5/1906,Elected Tennessee governor,U.S. Congress,C
James Gillett,R,CA-01,59th,11/4/1906,Elected California governor,U.S. Congress,C
Tim Sullivan,D,NY-08,59th,7/27/1906,Bored with Congress; returned to exercise boss power in NY & run for State Senate in 1908,Brooklyn Daily Eagle,C & F
Ernest Wood,D,MO-12,59th,6/23/1906,His election was successfully contested & overturned,U.S. Congress,I
Joseph Burton,R,KS-SEN,59th,6/4/1906,Convicted of corruption,U.S. Senate,B
Claude Swanson,D,VA-05,59th,1/30/1906,Elected Virginia governor,U.S. Congress,C
Frank Brandegee,R,CT-03,59th,5/10/1905,Elected U.S. senator,U.S. Congress,C
Alston Dayton,R,WV-02,59th,3/16/1905,Appointed federal judge,U.S. Congress,C
Elmer Burkett,R,NE-01,58th,3/4/1905,Elected U.S. senator,U.S. Congress,C
Charles Fairbanks,R,IN-SEN,58th,3/3/1905,Elected vice president,U.S. Congress,C
James Hemenway,R,IN-01,58th,3/3/1905,Elected U.S. senator,U.S. Congress,C
Victor Metcalf,R,CA-03,58th,7/1/1904,Appointed to Roosevelt administration,U.S. Congress,C
William Lanning,R,NJ-04,58th,6/6/1904,Appointed federal judge,U.S. Congress,C
Charles Dick,R,OH-19,58th,3/23/1904,Elected U.S. senator,U.S. Congress,C
John Shafroth,D,CO-01,58th,2/15/1904,Agreed that his opponent had rightfully won the election,U.S. Congress,I
George Howell,D,PA-11,58th,2/10/1904,His election was successfully contested & overturned,U.S. Congress,I
George McClellan Jr.,D,NY-12,58th,12/21/1903,Elected New York City mayor,U.S. Congress,C
Thomas Ball,D,TX-08,58th,11/16/1903,Resumed practicing law,Texas State Historical Association,D
Joseph Gill,R,OH-16,58th,10/31/1903,Ill health,New York Times,E
Chester Long,R,KS-07,57th,3/4/1903,Elected U.S. senator,U.S. Congress,C
Heisler Ball,R,DE-AL,57th,3/3/1903,Elected U.S. senator,U.S. Congress,C
James Butler,D,MO-12,57th,2/26/1903,His election was successfully contested & overturned,U.S. Congress,I
S.W.T. Lanham,D,TX-08,57th,1/15/1903,Elected Texas governor,U.S. Congress,C
James Hall,D,PA-28,57th,11/29/1902,Elected to PA State Senate,U.S. Congress,C
George Ray,R,NY-26,57th,9/11/1902,Appointed federal judge,U.S. Congress,C
James Butler,D,MO-12,57th,6/28/1902,Election declared invalid,U.S. Congress,I
William Moody,R,MA-06,57th,5/1/1902,Appointed to Roosevelt administration,U.S. Congress,C
John Rhea,D,KY-03,57th,3/25/1902,His election was successfully contested & overturned,U.S. Congress,I
Nicholas Muller,D,NY-07,57th,11/22/1901,Ill health,New York Times,E
