Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
All Right Now,Free,1970,All Right Now by Free,1,1,97,97
Hemorrhage,Free,,Hemorrhage by Free,1,0,1,0
Wishing Well,Free,1973,Wishing Well by Free,1,1,1,1
Maggot Brain,Funkadelic,1971,Maggot Brain by Funkadelic,1,1,1,1
CARS,Gary Numan,1979,CARS by Gary Numan,1,1,1,1
Dream Weaver,Gary Wright,1975,Dream Weaver by Gary Wright,1,1,9,9
Love Is Alive,Gary Wright,,Love Is Alive by Gary Wright,1,0,2,0
A Trick of the Tail,Genesis,1976,A Trick of the Tail by Genesis,1,1,1,1
Abacab,Genesis,1981,Abacab by Genesis,1,1,35,35
Behind The Lines,Genesis,,Behind The Lines by Genesis,1,0,2,0
Carpet Crawlers,Genesis,,Carpet Crawlers by Genesis,1,0,1,0
Follow You Follow Me,Genesis,1978,Follow You Follow Me by Genesis,1,1,18,18
Home by the Sea/Second Home by the Sea,Genesis,1983,Home by the Sea/Second Home by the Sea by Genesis,1,1,1,1
Just A Job To Do,Genesis,,Just A Job To Do by Genesis,1,0,29,0
Land Of Confusion,Genesis,1986,Land Of Confusion by Genesis,1,1,17,17
Mama,Genesis,1983,Mama by Genesis,1,1,17,17
Man On The Corner,Genesis,1981,Man On The Corner by Genesis,1,1,12,12
Misunderstanding,Genesis,1980,Misunderstanding by Genesis,1,1,23,23
No Reply At All,Genesis,1981,No Reply At All by Genesis,1,1,18,18
That's All,Genesis,1983,That's All by Genesis,1,1,35,35
The Lamb Lies Down On Broadway,Genesis,1974,The Lamb Lies Down On Broadway by Genesis,1,1,23,23
Tonight Tonight (live),Genesis,1986,Tonight Tonight (live) by Genesis,1,1,1,1
Turn It On Again,Genesis,1980,Turn It On Again by Genesis,1,1,23,23
Give Me Love,George Harrison,1973,Give Me Love by George Harrison,1,1,3,3
GOT MY MIND SET ON YOU,George Harrison,1987,GOT MY MIND SET ON YOU by George Harrison,1,1,1,1
My Sweet Lord,George Harrison,1970,My Sweet Lord by George Harrison,1,1,6,6
Bad to the Bone,George Thorogood,1982,Bad to the Bone by George Thorogood,1,1,63,63
Delaware Slide,George Thorogood,,Delaware Slide by George Thorogood,1,0,1,0
Get A Haircut,George Thorogood,,Get A Haircut by George Thorogood,1,0,1,0
I Drink Alone,George Thorogood,1985,I Drink Alone by George Thorogood,1,1,33,33
It Wasn't Me,George Thorogood,,It Wasn't Me by George Thorogood,1,0,6,0
Move It On Over,George Thorogood,,Move It On Over by George Thorogood,1,0,14,0
"One Bourbon, One Scotch, One Beer",George Thorogood,,"One Bourbon, One Scotch, One Beer by George Thorogood",1,0,23,0
Who Do You Love,George Thorogood,,Who Do You Love by George Thorogood,1,0,37,0
Keep Your Hands To Yourself,Georgia Satellites,1986,Keep Your Hands To Yourself by Georgia Satellites,1,1,17,17
Baker Street,Gerry Rafferty,1978,Baker Street by Gerry Rafferty,1,1,16,16
Right Down the Line,Gerry Rafferty,1978,Right Down the Line by Gerry Rafferty,1,1,8,8
Found Out About You,Gin Blossoms,1993,Found Out About You by Gin Blossoms,1,1,1,1
Hey Jealousy,Gin Blossoms,1992,Hey Jealousy by Gin Blossoms,1,1,3,3
Smuggler's Blues,Glenn Frey,1984,Smuggler's Blues by Glenn Frey,1,1,3,3
You Belong to the City,Glenn Frey,1985,You Belong to the City by Glenn Frey,1,1,2,2
Marakesh Express,Gold Star Ballroom Orchestra,,Marakesh Express by Gold Star Ballroom Orchestra,1,0,2,0
Are You Receiving Me,Golden Earring,1973,Are You Receiving Me by Golden Earring,1,1,1,1
Radar Love,Golden Earring,1973,Radar Love by Golden Earring,1,1,66,66
Twilight Zone,Golden Earring,1983,Twilight Zone by Golden Earring,1,1,75,75
Sundown,Gordon Lightfoot,1974,Sundown by Gordon Lightfoot,1,1,7,7
Soulshine,Gov't Mule,,Soulshine by Gov't Mule,1,0,3,0
Bad Time,Grand Funk Railroad,1974,Bad Time by Grand Funk Railroad,1,1,1,1
Closer To Home (I'm Your Captain),Grand Funk Railroad,1970,Closer To Home (I'm Your Captain) by Grand Funk Railroad,1,1,8,8
Loco-Motion,Grand Funk Railroad,1974,Loco-Motion by Grand Funk Railroad,1,1,9,9
Shinin' On,Grand Funk Railroad,1974,Shinin' On by Grand Funk Railroad,1,1,1,1
Some Kind of Wonderful,Grand Funk Railroad,1975,Some Kind of Wonderful by Grand Funk Railroad,1,1,14,14
We're an American Band,Grand Funk Railroad,1973,We're an American Band by Grand Funk Railroad,1,1,25,25
Alabama Getaway,Grateful Dead,,Alabama Getaway by Grateful Dead,1,0,1,0
Black-Throated Wind,Grateful Dead,,Black-Throated Wind by Grateful Dead,1,0,1,0
Casey Jones,Grateful Dead,1970,Casey Jones by Grateful Dead,1,1,3,3
CHINA TOWN SHUFFLE ,Grateful Dead,,CHINA TOWN SHUFFLE  by Grateful Dead,1,0,1,0
Friend Of The Devil,Grateful Dead,1970,Friend Of The Devil by Grateful Dead,1,1,2,2
Hell in a Bucket,Grateful Dead,,Hell in a Bucket by Grateful Dead,1,0,1,0
Loser,Grateful Dead,,Loser by Grateful Dead,1,0,1,0
Me and Bobby McGee,Grateful Dead,,Me and Bobby McGee by Grateful Dead,1,0,1,0
NOT FADEAWAY/GOING /AWAY,Grateful Dead,,NOT FADEAWAY/GOING /AWAY by Grateful Dead,1,0,1,0
Scarlet Begonias,Grateful Dead,,Scarlet Begonias by Grateful Dead,1,0,2,0
Shakedown Street,Grateful Dead,,Shakedown Street by Grateful Dead,1,0,2,0
Sugar Magnolia,Grateful Dead,1970,Sugar Magnolia by Grateful Dead,1,1,3,3
Touch of Grey,Grateful Dead,1987,Touch of Grey by Grateful Dead,1,1,26,26
Truckin',Grateful Dead,1970,Truckin' by Grateful Dead,1,1,19,19
Turn On Your Lovelight,Grateful Dead,,Turn On Your Lovelight by Grateful Dead,1,0,1,0
U.S. Blues,Grateful Dead,,U.S. Blues by Grateful Dead,1,0,2,0
Uncle John's Band,Grateful Dead,1969,Uncle John's Band by Grateful Dead,1,1,9,9
Mista Bone,Great White,,Mista Bone by Great White,1,0,1,0
"Once Bitten, Twice Shy",Great White,1989,"Once Bitten, Twice Shy by Great White",1,1,12,12
Rock Me,Great White,,Rock Me by Great White,1,0,4,0
Rollin' Stoned,Great White,,Rollin' Stoned by Great White,1,0,1,0
Save Your Love,Great White,,Save Your Love by Great White,1,0,1,0
Basket Case,Green Day,1994,Basket Case by Green Day,1,1,5,5
Boulevard Of Broken Dreams,Green Day,2004,Boulevard Of Broken Dreams by Green Day,1,1,6,6
Brain Stew/Jaded,Green Day,1995,Brain Stew/Jaded by Green Day,1,1,1,1
Good Riddance (Time Of Your Life),Green Day,1997,Good Riddance (Time Of Your Life) by Green Day,1,1,10,10
Holiday (Live),Green Day,2004,Holiday (Live) by Green Day,1,1,4,4
Holiday / Boulevard of Broken Dreams,Green Day,2004,Holiday / Boulevard of Broken Dreams by Green Day,1,1,5,5
Longview,Green Day,1994,Longview by Green Day,1,1,2,2
When I Come Around,Green Day,1994,When I Come Around by Green Day,1,1,14,14
The Break Up Song,Greg Kihn Band,1981,The Break Up Song by Greg Kihn Band,1,1,49,49
I'm No Angel,Gregg Allman,1987,I'm No Angel by Gregg Allman,1,1,17,17
Midnight Rider,Gregg Allman,1970,Midnight Rider by Gregg Allman,1,1,6,6
American Woman,Guess Who,1970,American Woman by Guess Who,1,1,80,80
Friends Of Mine,Guess Who,,Friends Of Mine by Guess Who,1,0,1,0
No Sugar Tonight / New Mother Nature,Guess Who,1970,No Sugar Tonight / New Mother Nature by Guess Who,1,1,11,11
No Time,Guess Who,,No Time by Guess Who,1,0,4,0
THESE EYES,Guess Who,1969,THESE EYES by Guess Who,1,1,1,1
Civil War,Guns N' Roses,1991,Civil War by Guns N' Roses,1,1,1,1
Don't Cry,Guns N' Roses,,Don't Cry by Guns N' Roses,1,0,3,0
Knockin' On Heaven's Door,Guns N' Roses,,Knockin' On Heaven's Door by Guns N' Roses,1,0,31,0
Live and Let Die,Guns N' Roses,,Live and Let Die by Guns N' Roses,1,0,29,0
Mr. Brownstone,Guns N' Roses,1987,Mr. Brownstone by Guns N' Roses,1,1,1,1
My Michelle,Guns N' Roses,1987,My Michelle by Guns N' Roses,1,1,1,1
November Rain,Guns N' Roses,1991,November Rain by Guns N' Roses,1,1,13,13
Paradise City,Guns N' Roses,1987,Paradise City by Guns N' Roses,1,1,75,75
Patience,Guns N' Roses,1988,Patience by Guns N' Roses,1,1,21,21
Sweet Child O' Mine,Guns N' Roses,1987,Sweet Child O' Mine by Guns N' Roses,1,1,85,85
Used To Love Her,Guns N' Roses,1988,Used To Love Her by Guns N' Roses,1,1,1,1
Welcome to the Jungle,Guns N' Roses,1987,Welcome to the Jungle by Guns N' Roses,1,1,74,74
You Could Be Mine,Guns N' Roses,,You Could Be Mine by Guns N' Roses,1,0,4,0
AS FAR AS YOU CAN SEE (AS MU,Gypsy,,AS FAR AS YOU CAN SEE (AS MU by Gypsy,1,0,1,0
Axel F Theme,Harold Faltermeyer,1984,Axel F Theme by Harold Faltermeyer,1,1,1,1
Cat's In The Cradle,Harry Chapin,1974,Cat's In The Cradle by Harry Chapin,1,1,4,4
W*O*L*D*,Harry Chapin,1974,W*O*L*D* by Harry Chapin,1,1,1,1
Jump into the Fire,Harry Nilsson,,Jump into the Fire by Harry Nilsson,1,0,3,0
Never Been Any Reason,Head East,1975,Never Been Any Reason by Head East,1,1,16,16
All I Wanna Do Is Make Love to You,Heart,,All I Wanna Do Is Make Love to You by Heart,1,0,2,0
Alone,Heart,1987,Alone by Heart,1,1,4,4
Barracuda,Heart,1977,Barracuda by Heart,1,1,113,113
Bebe le Strange,Heart,,Bebe le Strange by Heart,1,0,1,0
Crazy On You,Heart,1976,Crazy On You by Heart,1,1,125,125
Dog & Butterfly,Heart,,Dog & Butterfly by Heart,1,0,3,0
Dreamboat Annie,Heart,1976,Dreamboat Annie by Heart,1,1,3,3
Even It Up,Heart,,Even It Up by Heart,1,0,8,0
Heartless,Heart,,Heartless by Heart,1,0,3,0
How Can I Refuse,Heart,1983,How Can I Refuse by Heart,1,1,2,2
If Looks Could Kill,Heart,,If Looks Could Kill by Heart,1,0,2,0
Kick It Out,Heart,,Kick It Out by Heart,1,0,7,0
Little Queen,Heart,,Little Queen by Heart,1,0,1,0
Love Alive,Heart,,Love Alive by Heart,1,0,1,0
Magic Man,Heart,1976,Magic Man by Heart,1,1,115,115
Mistral Wind,Heart,,Mistral Wind by Heart,1,0,1,0
Never,Heart,,Never by Heart,1,0,3,0
Nothin' at All,Heart,,Nothin' at All by Heart,1,0,4,0
Rock And Roll,Heart,,Rock And Roll by Heart,1,0,1,0
Stairway To Heaven,Heart,,Stairway To Heaven by Heart,1,0,4,0
Straight On,Heart,1978,Straight On by Heart,1,1,36,36
Tell It Like It Is,Heart,,Tell It Like It Is by Heart,1,0,2,0
What About Love?,Heart,,What About Love? by Heart,1,0,3,0
Who Will You Run To,Heart,,Who Will You Run To by Heart,1,0,2,0
House Of Living,Heartsfield,,House Of Living by Heartsfield,1,0,1,0
Sangre Por Sangre,HellYeah,,Sangre Por Sangre by HellYeah,1,0,4,0
Grey Ghost,Henry Paul Band,1979,Grey Ghost by Henry Paul Band,1,1,1,1
Long Cool Woman,Hollies,1971,Long Cool Woman by Hollies,1,1,39,39
New Girl Now,Honeymoon Suite,,New Girl Now by Honeymoon Suite,1,0,2,0
ALL YOU ZOMBIES,Hooters,1985,ALL YOU ZOMBIES by Hooters,1,1,4,4
AND WE DANCED,Hooters,1985,AND WE DANCED by Hooters,1,1,4,4
I Want A New Drug,Huey Lewis & The News,1983,I Want A New Drug by Huey Lewis & The News,1,1,4,4
30 Days In the Hole,Humble Pie,1972,30 Days In the Hole by Humble Pie,1,1,2,2
Lust for Life,Iggy Pop,1977,Lust for Life by Iggy Pop,1,1,4,4
The Passenger,Iggy Pop,1977,The Passenger by Iggy Pop,1,1,1,1
Radioactive,Imagine Dragons,2012,Radioactive by Imagine Dragons,1,1,3,3
Devil Inside,INXS,1988,Devil Inside by INXS,1,1,5,5
Need You Tonight,INXS,1987,Need You Tonight by INXS,1,1,12,12
New Sensation,INXS,,New Sensation by INXS,1,0,2,0
What You Need,INXS,1985,What You Need by INXS,1,1,28,28
In A Gadda Da Vida,Iron Butterfly,1968,In A Gadda Da Vida by Iron Butterfly,1,1,1,1
Flight Of Icarus,Iron Maiden,1983,Flight Of Icarus by Iron Maiden,1,1,1,1
Run To The Hills,Iron Maiden,1982,Run To The Hills by Iron Maiden,1,1,27,27
The Number Of The Beast,Iron Maiden,1982,The Number Of The Beast by Iron Maiden,1,1,18,18
The Trooper,Iron Maiden,1983,The Trooper by Iron Maiden,1,1,3,3
Wasted Years,Iron Maiden,1986,Wasted Years by Iron Maiden,1,1,8,8
Centerfold,J. Geils Band,1981,Centerfold by J. Geils Band,1,1,78,78
Freeze-frame,J. Geils Band,1981,Freeze-frame by J. Geils Band,1,1,17,17
Give It To Me,J. Geils Band,1973,Give It To Me by J. Geils Band,1,1,28,28
Houseparty,J. Geils Band,,Houseparty by J. Geils Band,1,0,1,0
Looking For A Love,J. Geils Band,,Looking For A Love by J. Geils Band,1,0,1,0
Love Stinks,J. Geils Band,,Love Stinks by J. Geils Band,1,0,10,0
Must of Got Lost,J. Geils Band,,Must of Got Lost by J. Geils Band,1,0,10,0
Night Time,J. Geils Band,,Night Time by J. Geils Band,1,0,1,0
Whammer Jammer,J. Geils Band,,Whammer Jammer by J. Geils Band,1,0,2,0
Boulevard,Jackson Browne,,Boulevard by Jackson Browne,1,0,5,0
Doctor My Eyes,Jackson Browne,1972,Doctor My Eyes by Jackson Browne,1,1,9,9
Load Out/Stay,Jackson Browne,1977,Load Out/Stay by Jackson Browne,1,1,2,2
Redneck Friend,Jackson Browne,1973,Redneck Friend by Jackson Browne,1,1,1,1
Running On Empty,Jackson Browne,1977,Running On Empty by Jackson Browne,1,1,39,39
Somebody's Baby,Jackson Browne,1982,Somebody's Baby by Jackson Browne,1,1,7,7
Take It Easy,Jackson Browne,,Take It Easy by Jackson Browne,1,0,5,0
The Load-out/stay,Jackson Browne,1977,The Load-out/stay by Jackson Browne,1,1,21,21
The Road and the Sky,Jackson Browne,1977,The Road and the Sky by Jackson Browne,1,1,1,1
Funk #49,James Gang,1970,Funk #49 by James Gang,1,1,18,18
Walk Away,James Gang,,Walk Away by James Gang,1,0,10,0
YOU'VE GOT A FRIEND,JAMES TAYLOR,1971,YOU'VE GOT A FRIEND by JAMES TAYLOR,1,1,1,1
Been Caught Stealing,Jane's Addiction,1990,Been Caught Stealing by Jane's Addiction,1,1,3,3
Jane Says,Jane's Addiction,1988,Jane Says by Jane's Addiction,1,1,1,1
Get It While You Can,Janis Joplin,1971,Get It While You Can by Janis Joplin,1,1,1,1
Me and Bobby McGee,Janis Joplin,1971,Me and Bobby McGee by Janis Joplin,1,1,23,23
Move Over,Janis Joplin,1971,Move Over by Janis Joplin,1,1,2,2
Piece of My Heart,Janis Joplin,1968,Piece of My Heart by Janis Joplin,1,1,28,28
Summertime,Janis Joplin,,Summertime by Janis Joplin,1,0,3,0
Shakedown Cruise,Jay Ferguson,,Shakedown Cruise by Jay Ferguson,1,0,1,0
Thunder Island,Jay Ferguson,1978,Thunder Island by Jay Ferguson,1,1,3,3
Freeway Jam,Jeff Beck,1975,Freeway Jam by Jeff Beck,1,1,1,1
Rice Pudding,Jeff Beck,,Rice Pudding by Jeff Beck,1,0,1,0
Somebody to Love,Jefferson Airplane,1967,Somebody to Love by Jefferson Airplane,1,1,13,13
White Rabbit,Jefferson Airplane,1967,White Rabbit by Jefferson Airplane,1,1,23,23
Find Your Way Back,Jefferson Starship,,Find Your Way Back by Jefferson Starship,1,0,20,0
Jane,Jefferson Starship,1979,Jane by Jefferson Starship,1,1,32,32
Ride the Tiger,Jefferson Starship,,Ride the Tiger by Jefferson Starship,1,0,1,0
We Built This City,Jefferson Starship,1985,We Built This City by Jefferson Starship,1,1,3,3
Right Here Right Now,Jesus Jones,1991,Right Here Right Now by Jesus Jones,1,1,3,3
Are You Gonna Be My Girl,Jet,2003,Are You Gonna Be My Girl by Jet,1,1,1,1
Cold Hard Bitch,Jet,2004,Cold Hard Bitch by Jet,1,1,2,2
Aqualung,Jethro Tull,1971,Aqualung by Jethro Tull,1,1,21,21
Bungle In The Jungle,Jethro Tull,1974,Bungle In The Jungle by Jethro Tull,1,1,19,19
Cross-eyed Mary,Jethro Tull,1971,Cross-eyed Mary by Jethro Tull,1,1,12,12
Hymn 43,Jethro Tull,,Hymn 43 by Jethro Tull,1,0,1,0
Living In The Past,Jethro Tull,1969,Living In The Past by Jethro Tull,1,1,13,13
Locomotive Breath,Jethro Tull,1971,Locomotive Breath by Jethro Tull,1,1,53,53
Nothing Is Easy,Jethro Tull,,Nothing Is Easy by Jethro Tull,1,0,2,0
Teacher,Jethro Tull,1972,Teacher by Jethro Tull,1,1,17,17
Thick As A Brick,Jethro Tull,,Thick As A Brick by Jethro Tull,1,0,15,0
Too Old To Rock 'n' Roll,Jethro Tull,,Too Old To Rock 'n' Roll by Jethro Tull,1,0,10,0
TIME IN A BOTTLE,Jim Croce,1972,TIME IN A BOTTLE by Jim Croce,1,1,1,1
All Along the Watchtower,Jimi Hendrix,1968,All Along the Watchtower by Jimi Hendrix,1,1,141,141
Angel,Jimi Hendrix,1971,Angel by Jimi Hendrix,1,1,1,1
Are You Experienced?,Jimi Hendrix,1967,Are You Experienced? by Jimi Hendrix,1,1,4,4
Crosstown Traffic,Jimi Hendrix,1968,Crosstown Traffic by Jimi Hendrix,1,1,8,8
Dolly Dagger,Jimi Hendrix,1970,Dolly Dagger by Jimi Hendrix,1,1,3,3
Fire,Jimi Hendrix,1967,Fire by Jimi Hendrix,1,1,63,63
Foxey Lady,Jimi Hendrix,1967,Foxey Lady by Jimi Hendrix,1,1,50,50
Hey Joe,Jimi Hendrix,1966,Hey Joe by Jimi Hendrix,1,1,51,51
If 6 Was 9,Jimi Hendrix,,If 6 Was 9 by Jimi Hendrix,1,0,1,0
Like a Rolling Stone,Jimi Hendrix,,Like a Rolling Stone by Jimi Hendrix,1,0,1,0
Little Wing,Jimi Hendrix,1967,Little Wing by Jimi Hendrix,1,1,6,6
Manic Depression,Jimi Hendrix,1967,Manic Depression by Jimi Hendrix,1,1,7,7
Purple Haze,Jimi Hendrix,1967,Purple Haze by Jimi Hendrix,1,1,67,67
Red House,Jimi Hendrix,1967,Red House by Jimi Hendrix,1,1,4,4
Stone Free,Jimi Hendrix,1966,Stone Free by Jimi Hendrix,1,1,4,4
The Wind Cries Mary,Jimi Hendrix,1967,The Wind Cries Mary by Jimi Hendrix,1,1,21,21
Third Stone From The Sun,Jimi Hendrix,1967,Third Stone From The Sun by Jimi Hendrix,1,1,2,2
Voodoo Child (Slight Return),Jimi Hendrix,1968,Voodoo Child (Slight Return) by Jimi Hendrix,1,1,2,2
Margaritaville,Jimmy Buffett,1977,Margaritaville by Jimmy Buffett,1,1,17,17
Son of a Son of a Sailor,Jimmy Buffett,1978,Son of a Son of a Sailor by Jimmy Buffett,1,1,1,1
Why Don't We Get Drunk,Jimmy Buffett,1973,Why Don't We Get Drunk by Jimmy Buffett,1,1,2,2
Bad Reputation,Joan Jett,1981,Bad Reputation by Joan Jett,1,1,1,1
Crimson And Clover,Joan Jett,,Crimson And Clover by Joan Jett,1,0,6,0
I Hate Myself For Loving You,Joan Jett,1988,I Hate Myself For Loving You by Joan Jett,1,1,16,16
I Love Rock 'n Roll,Joan Jett,1981,I Love Rock 'n Roll by Joan Jett,1,1,82,82
Cry Me a River,Joe Cocker,,Cry Me a River by Joe Cocker,1,0,1,0
Feelin' Alright,Joe Cocker,,Feelin' Alright by Joe Cocker,1,0,33,0
The Letter,Joe Cocker,,The Letter by Joe Cocker,1,0,1,0
With A Little Help From My Friends,Joe Cocker,1968,With A Little Help From My Friends by Joe Cocker,1,1,9,9
You Can Leave Your Hat On (Live),Joe Cocker,,You Can Leave Your Hat On (Live) by Joe Cocker,1,0,1,0
Is She Really Going Out With Him?,Joe Jackson,1979,Is She Really Going Out With Him? by Joe Jackson,1,1,6,6
"Always With Me, Always With You",Joe Satriani,,"Always With Me, Always With You by Joe Satriani",1,0,5,0
Summer Song,Joe Satriani,,Summer Song by Joe Satriani,1,0,4,0
A Life Of Illusion,Joe Walsh,1981,A Life Of Illusion by Joe Walsh,1,1,5,5
All Night Long,Joe Walsh,1980,All Night Long by Joe Walsh,1,1,41,41
Analog Man,Joe Walsh,2012,Analog Man by Joe Walsh,1,1,1,1
Funk #49,Joe Walsh,2012,Funk #49 by Joe Walsh,1,1,4,4
In the City,Joe Walsh,1979,In the City by Joe Walsh,1,1,6,6
Life's Been Good,Joe Walsh,,Life's Been Good by Joe Walsh,1,0,91,0
Ordinary Average Guy,Joe Walsh,1991,Ordinary Average Guy by Joe Walsh,1,1,2,2
Rocky Mountain Way,Joe Walsh,1973,Rocky Mountain Way by Joe Walsh,1,1,70,70
The Confessor,Joe Walsh,,The Confessor by Joe Walsh,1,0,7,0
Turn To Stone,Joe Walsh,,Turn To Stone by Joe Walsh,1,0,2,0
On the Dark Side,John Cafferty,1983,On the Dark Side by John Cafferty,1,1,19,19
Centerfield,John Fogerty,1985,Centerfield by John Fogerty,1,1,11,11
The Old Man Down The Road,John Fogerty,1985,The Old Man Down The Road by John Fogerty,1,1,12,12
#9 Dream,John Lennon,1974,#9 Dream by John Lennon,1,1,2,2
Imagine,John Lennon,1971,Imagine by John Lennon,1,1,31,31
Instant Karma,John Lennon,1970,Instant Karma by John Lennon,1,1,21,21
Mind Games,John Lennon,,Mind Games by John Lennon,1,0,1,0
Watching the Wheels,John Lennon,1980,Watching the Wheels by John Lennon,1,1,14,14
Woman,John Lennon,1980,Woman by John Lennon,1,1,1,1
Again Tonight,John Mellencamp,,Again Tonight by John Mellencamp,1,0,1,0
Ain't Even Done With the Night,John Mellencamp,,Ain't Even Done With the Night by John Mellencamp,1,0,2,0
Authority Song,John Mellencamp,1983,Authority Song by John Mellencamp,1,1,20,20
Check It Out,John Mellencamp,,Check It Out by John Mellencamp,1,0,1,0
Cherry Bomb,John Mellencamp,,Cherry Bomb by John Mellencamp,1,0,1,0
Crumblin' Down,John Mellencamp,1983,Crumblin' Down by John Mellencamp,1,1,17,17
Hurts So Good,John Mellencamp,1982,Hurts So Good by John Mellencamp,1,1,40,40
I Need A Lover,John Mellencamp,1978,I Need A Lover by John Mellencamp,1,1,24,24
Jack & Diane,John Mellencamp,1982,Jack & Diane by John Mellencamp,1,1,73,73
Lonely Ol' Night,John Mellencamp,1985,Lonely Ol' Night by John Mellencamp,1,1,7,7
Paper in Fire,John Mellencamp,1987,Paper in Fire by John Mellencamp,1,1,1,1
Pink Houses,John Mellencamp,1984,Pink Houses by John Mellencamp,1,1,34,34
R.O.C.K. In the U.S.A.,John Mellencamp,1985,R.O.C.K. In the U.S.A. by John Mellencamp,1,1,4,4
Rain On The Scarecrow,John Mellencamp,1985,Rain On The Scarecrow by John Mellencamp,1,1,1,1
Small Town,John Mellencamp,1985,Small Town by John Mellencamp,1,1,55,55
What If I Came Knocking,John Mellencamp,,What If I Came Knocking by John Mellencamp,1,0,1,0
Illegal Smile,John Prine,,Illegal Smile by John Prine,1,0,1,0
I CAN SEE CLEARLY NOW,Johnny Nash,1972,I CAN SEE CLEARLY NOW by Johnny Nash,1,1,2,2
Brickyard Road,Johnny Van Zant,1990,Brickyard Road by Johnny Van Zant,1,1,1,1
Shanty,Jonathan Edwards,,Shanty by Jonathan Edwards,1,0,2,0
Roadrunner,Jonathan Richman,1977,Roadrunner by Jonathan Richman,1,1,1,1
Any Way You Want It,Journey,1980,Any Way You Want It by Journey,1,1,105,105
City of the Angels,Journey,,City of the Angels by Journey,1,0,4,0
Don't Stop Believin',Journey,1981,Don't Stop Believin' by Journey,1,1,105,105
Escape,Journey,,Escape by Journey,1,0,1,0
Faithfully,Journey,1983,Faithfully by Journey,1,1,14,14
Feeling That Way,Journey,1978,Feeling That Way by Journey,1,1,13,13
Just the Same Way,Journey,,Just the Same Way by Journey,1,0,4,0
Lights,Journey,1978,Lights by Journey,1,1,93,93
Look Into The Future,Journey,,Look Into The Future by Journey,1,0,1,0
"Lovin', Touchin' Squeezin'",Journey,1979,"Lovin', Touchin' Squeezin' by Journey",1,1,60,60
Only the Young,Journey,1985,Only the Young by Journey,1,1,3,3
Open Arms,Journey,1982,Open Arms by Journey,1,1,10,10
Send Her My Love,Journey,1983,Send Her My Love by Journey,1,1,1,1
Separate Ways (Worlds Apart),Journey,1983,Separate Ways (Worlds Apart) by Journey,1,1,100,100
Stone In Love,Journey,,Stone In Love by Journey,1,0,32,0
Wheel in the Sky,Journey,1978,Wheel in the Sky by Journey,1,1,114,114
Who's Crying Now,Journey,1981,Who's Crying Now by Journey,1,1,29,29
Breaking The Law,Judas Priest,1980,Breaking The Law by Judas Priest,1,1,7,7
Diamonds And Rust,Judas Priest,,Diamonds And Rust by Judas Priest,1,0,1,0
Electric Eye,Judas Priest,1982,Electric Eye by Judas Priest,1,1,1,1
Heading Out To The Highway,Judas Priest,,Heading Out To The Highway by Judas Priest,1,0,10,0
Hot Rockin',Judas Priest,,Hot Rockin' by Judas Priest,1,0,1,0
Living After Midnight,Judas Priest,1980,Living After Midnight by Judas Priest,1,1,32,32
The Ripper,Judas Priest,1976,The Ripper by Judas Priest,1,1,1,1
Turbo Lover,Judas Priest,,Turbo Lover by Judas Priest,1,0,1,0
You've Got Another Thing Comin',Judas Priest,,You've Got Another Thing Comin' by Judas Priest,1,0,26,0
Simple Man,Junkyard,,Simple Man by Junkyard,1,0,1,0
Carry On Wayward Son,Kansas,1976,Carry On Wayward Son by Kansas,1,1,134,134
Dust In The Wind,Kansas,1977,Dust In The Wind by Kansas,1,1,62,62
Play the Game Tonight,Kansas,1982,Play the Game Tonight by Kansas,1,1,1,1
Point of Know Return,Kansas,1977,Point of Know Return by Kansas,1,1,30,30
I'm Alright,Kenny Loggins,1980,I'm Alright by Kenny Loggins,1,1,5,5
Just Dropped In,Kenny Loggins,,Just Dropped In by Kenny Loggins,1,0,1,0
Blue On Black,Kenny Wayne Shepherd,,Blue On Black by Kenny Wayne Shepherd,1,0,15,0
"Somehow, Somewhere, Someway",Kenny Wayne Shepherd,,"Somehow, Somewhere, Someway by Kenny Wayne Shepherd",1,0,1,0
All Summer Long,Kid Rock,2007,All Summer Long by Kid Rock,1,1,8,8
Cowboy,Kid Rock,1998,Cowboy by Kid Rock,1,1,3,3
Let's Ride,Kid Rock,2012,Let's Ride by Kid Rock,1,1,1,1
If I Say,Kingofthehill,,If I Say by Kingofthehill,1,0,1,0
Sex On Fire,Kings of Leon,2008,Sex On Fire by Kings of Leon,1,1,1,1
Use Somebody,Kings of Leon,2008,Use Somebody by Kings of Leon,1,1,2,2
Beth,Kiss,1976,Beth by Kiss,1,1,2,2
Calling Dr. Love,Kiss,1976,Calling Dr. Love by Kiss,1,1,4,4
Christeen Sixteen,Kiss,,Christeen Sixteen by Kiss,1,0,1,0
Cold Gin,Kiss,1973,Cold Gin by Kiss,1,1,2,2
Detroit Rock City,Kiss,1976,Detroit Rock City by Kiss,1,1,27,27
Heaven's On Fire,Kiss,,Heaven's On Fire by Kiss,1,0,2,0
Lick It Up,Kiss,1983,Lick It Up by Kiss,1,1,4,4
Rock And Roll All Nite,Kiss,1975,Rock And Roll All Nite by Kiss,1,1,119,119
Shout It out Loud,Kiss,,Shout It out Loud by Kiss,1,0,5,0
Strutter,Kiss,1974,Strutter by Kiss,1,1,1,1
Tears Are Falling,Kiss,,Tears Are Falling by Kiss,1,0,1,0
