name,year,team,league,goose_eggs,broken_eggs,mehs,league_average_gpct,ppf,replacement_gpct,gwar,key_retro
Roy Thomas,1977,HOU,AL,2,0,0,0.776868,91,0.741868,0.2684573,thomr001
Joe Niekro,1977,HOU,AL,17,6,3,0.776868,91,0.741868,-0.0327408,niekj001
Roger Moret,1977,TEX,AL,3,0,1,0.762868,101,0.727868,0.424526,morer101
Steve Hargan,1977,TEX,AL,0,0,1,0.762868,101,0.727868,,hargs101
Larry Andersen,1977,CLE,AL,0,1,0,0.768468,97,0.7334679,-0.3814033,andel001
Mike Marshall,1977,TEX,AL,0,0,4,0.762868,101,0.727868,,marsm101
Steve Burke,1977,SEA,AL,1,1,0,0.762868,101,0.727868,-0.2369827,burks102
Scott McGregor,1977,BAL,AL,12,3,2,0.772668,94,0.737668,0.4861899,mcgrs001
Bill Castro,1977,MIL,AL,30,7,9,0.764268,100,0.729268,1.568884,castb101
Tippy Martinez,1977,BAL,AL,13,4,8,0.772668,94,0.737668,0.2390152,martt001
Bill Singer,1977,TOR,AL,0,0,0,0.760068,103,0.725068,,singb101
Eduardo Rodriguez,1977,MIL,AL,15,4,2,0.764268,100,0.729268,0.5948329,rodre102
Mike Bacsik,1977,TEX,AL,0,0,0,0.762868,101,0.727868,,bacsm101
Don Hood,1977,CLE,AL,9,2,4,0.768468,97,0.7334679,0.4845634,hoodd101
Bill Butler,1977,MIN,AL,0,0,1,0.765668,99,0.7306679,,butlb101
Tom Murphy,1977,TOR,AL,1,1,1,0.760068,103,0.725068,-0.2340707,murpt101
Ron Schueler,1977,MIN,AL,12,4,1,0.765668,99,0.7306679,0.1608427,schur101
Marty Pattin,1977,KCA,AL,6,1,1,0.764268,100,0.729268,0.4654647,pattm101
Bill Campbell,1977,BOS,AL,64,17,4,0.747468,112,0.712468,3.270849,campb001
Mark Littell,1977,KCA,AL,26,9,3,0.764268,100,0.729268,0.2473235,littm101
John Caneira,1977,CAL,AL,0,0,0,0.769868,96,0.7348679,,canej101
Dave LaRoche,1977,CAL,AL,25,9,3,0.769868,96,0.7348679,0.0075347,larod101
Jim Umbarger,1977,OAK,AL,0,0,0,0.767068,98,0.7320679,,umbaj101
Steve Foucault,1977,DET,AL,33,5,4,0.757268,105,0.7222679,2.887986,foucs101
Dave Giusti,1977,OAK,AL,15,4,5,0.767068,98,0.7320679,0.567169,giusd101
Rick Langford,1977,OAK,AL,4,0,0,0.767068,98,0.7320679,0.5572987,langr001
Al Fitzmorris,1977,CLE,AL,1,1,0,0.768468,97,0.7334679,-0.2428067,fitza101
Milt Wilcox,1977,DET,AL,3,1,0,0.757268,105,0.7222679,0.0576827,wilcm001
Rich Folkers,1977,MIL,AL,0,1,0,0.764268,100,0.729268,-0.3792193,folkr101
Mike Norris,1977,OAK,AL,0,0,0,0.767068,98,0.7320679,,norrm101
Don Kirkwood,1977,CHA,AL,0,2,1,0.762868,101,0.727868,-0.7569827,kirkd101
Bill Lee,1977,BOS,AL,0,1,1,0.747468,112,0.712468,-0.3704833,lee-b101
Ken Holtzman,1977,NYA,AL,0,0,0,0.768468,97,0.7334679,,holtk101
Tom Walker,1977,CAL,AL,0,0,0,0.769868,96,0.7348679,,walkt103
Chris Knapp,1977,CHA,AL,0,0,0,0.762868,101,0.727868,,knapc101
Dennis DeBarr,1977,TOR,AL,0,1,0,0.760068,103,0.725068,-0.3770353,debad101
Nelson Briles,1977,TEX,AL,0,1,1,0.762868,101,0.727868,-0.3784913,briln101
Larry Gura,1977,KCA,AL,17,7,7,0.764268,100,0.729268,-0.2612643,gural001
Fernando Arroyo,1977,DET,AL,2,1,0,0.757268,105,0.7222679,-0.0867379,arrof001
Jim Bibby,1977,CLE,AL,2,1,0,0.768468,97,0.7334679,-0.10421,bibbj001
Ken Clay,1977,NYA,AL,0,0,4,0.768468,97,0.7334679,,clayk101
Gary Beare,1977,MIL,AL,1,1,1,0.764268,100,0.729268,-0.2384387,bearg101
Dave Frost,1977,CHA,AL,0,0,0,0.762868,101,0.727868,,frosd101
Larry McCall,1977,NYA,AL,0,1,0,0.768468,97,0.7334679,-0.3814033,mccal101
Dave Pagan,1977,SEA,AL,3,1,0,0.762868,101,0.727868,0.0460346,pagad101
John Hiller,1977,DET,AL,32,9,9,0.757268,105,0.7222679,1.241247,hillj101
Tom Murphy,1977,BOS,AL,0,0,0,0.747468,112,0.712468,,murpt101
Bob Myrick,1977,NYN,NL,7,1,1,0.7698866,95,0.7348866,0.5828718,myrib101
Dave Giusti,1977,CHN,NL,9,3,2,0.7460866,112,0.7110866,0.2428198,giusd101
Mario Mendoza,1977,PIT,NL,0,0,0,0.7614866,101,0.7264866,,mendm101
Joey McLaughlin,1977,ATL,NL,0,0,0,0.7432866,114,0.7082866,,mclaj001
Brent Strom,1977,SDN,NL,0,2,0,0.7754866,91,0.7404866,-0.770106,strob101
Paul Moskau,1977,CIN,NL,0,0,0,0.7614866,101,0.7264866,,moskp101
Dave Wehrmeister,1977,SDN,NL,1,2,0,0.7754866,91,0.7404866,-0.635159,wehrd001
Santo Alcala,1977,MON,NL,6,4,0,0.7670866,97,0.7320865,-0.6868499,alcas101
Dave Heaverlo,1977,SFN,NL,10,2,5,0.7628866,100,0.7278866,0.6579878,heavd101
Tommy Toms,1977,SFN,NL,0,1,0,0.7628866,100,0.7278866,-0.378501,tomst101
Paul Siebert,1977,NYN,NL,4,1,1,0.7698866,95,0.7348866,0.1692949,siebp101
Jim Todd,1977,CHN,NL,0,2,1,0.7460866,112,0.7110866,-0.73953,toddj102
Dave Pagan,1977,PIT,NL,0,0,0,0.7614866,101,0.7264866,,pagad101
John D'Acquisto,1977,SLN,NL,0,0,0,0.7642866,99,0.7292866,,dacqj101
Woodie Fryman,1977,CIN,NL,3,1,0,0.7614866,101,0.7264866,0.0489079,frymw101
Don Stanhouse,1977,MON,NL,25,4,4,0.7670866,97,0.7320865,1.960135,stand101
Tim Jones,1977,PIT,NL,0,0,0,0.7614866,101,0.7264866,,jonet101
Skip Lockwood,1977,NYN,NL,43,12,4,0.7698866,95,0.7348866,1.342245,locks101
Angel Torres,1977,CIN,NL,0,0,0,0.7614866,101,0.7264866,,torra101
Mario Soto,1977,CIN,NL,0,0,0,0.7614866,101,0.7264866,,sotom001
Rick Sawyer,1977,SDN,NL,11,0,0,0.7754866,91,0.7404866,1.484417,sawyr101
Jackie Brown,1977,MON,NL,9,0,0,0.7670866,97,0.7320865,1.253835,browj109
Fred Holdsworth,1977,MON,NL,0,0,0,0.7670866,97,0.7320865,,holdf101
Rawly Eastwick,1977,SLN,NL,12,6,5,0.7642866,99,0.7292866,-0.5861219,eastr101
Doug Capilla,1977,CIN,NL,0,0,0,0.7614866,101,0.7264866,,capid101
Max Leon,1977,ATL,NL,3,3,0,0.7432866,114,0.7082866,-0.6498541,leonm101
Mike Garman,1977,LAN,NL,25,10,4,0.7656866,98,0.7306865,-0.2984948,garmm101
Bobby Castillo,1977,LAN,NL,0,0,1,0.7656866,98,0.7306865,,castr001
Duane Theiss,1977,ATL,NL,3,1,0,0.7432866,114,0.7082866,0.0867639,theid101
Ron Reed,1977,PHI,NL,33,7,2,0.7586866,103,0.7236866,2.107319,reedr001
John Sutton,1977,SLN,NL,0,0,1,0.7642866,99,0.7292866,,suttj101
Bruce Sutter,1977,CHN,NL,62,10,6,0.7460866,112,0.7110866,5.616919,suttb001
Dave Tomlin,1977,SDN,NL,18,6,7,0.7754866,91,0.7404866,0.1187277,tomld001
Randy Moffitt,1977,SFN,NL,32,8,11,0.7628866,100,0.7278866,1.49996,moffr101
Gerry Hannahs,1977,MON,NL,0,0,0,0.7670866,97,0.7320865,,hanng101
Terry Forster,1977,PIT,NL,3,2,2,0.7614866,101,0.7264866,-0.328865,forst001
Pete Falcone,1977,SLN,NL,5,1,0,0.7642866,99,0.7292866,0.3246259,falcp001
Santo Alcala,1977,CIN,NL,0,0,0,0.7614866,101,0.7264866,,alcas101
Dan Warthen,1977,PHI,NL,0,0,1,0.7586866,103,0.7236866,,wartd101
Willie Hernandez,1977,CHN,NL,26,8,7,0.7460866,112,0.7110866,0.9479896,hernw001
Preston Hanna,1977,ATL,NL,2,0,0,0.7432866,114,0.7082866,0.3033819,hannp101
Mike Davey,1977,ATL,NL,1,0,1,0.7432866,114,0.7082866,0.151691,davem101
Grant Jackson,1977,PIT,NL,19,4,3,0.7614866,101,0.7264866,1.191221,jackg101
Larry Landreth,1977,MON,NL,0,0,0,0.7670866,97,0.7320865,,landl101
Pete Broberg,1977,CHN,NL,1,2,3,0.7460866,112,0.7110866,-0.589295,brobp101
Rawly Eastwick,1977,CIN,NL,12,5,1,0.7614866,101,0.7264866,-0.1821411,eastr101
Don Collins,1977,ATL,NL,7,5,3,0.7432866,114,0.7082866,-0.7797084,colld101
John Montefusco,1977,SFN,NL,0,0,0,0.7628866,100,0.7278866,,montj001
Dave Roberts,1977,CHN,NL,4,0,2,0.7460866,112,0.7110866,0.6009399,robed101
Mike Krukow,1977,CHN,NL,0,0,0,0.7460866,112,0.7110866,,krukm001
Dennis Lamp,1977,CHN,NL,0,1,0,0.7460866,112,0.7110866,-0.369765,lampd001
Joe Hoerner,1977,CIN,NL,0,2,2,0.7614866,101,0.7264866,-0.755546,hoerj101
Kent Tekulve,1977,PIT,NL,33,8,7,0.7614866,101,0.7264866,1.671307,tekuk001
Mike Caldwell,1977,CIN,NL,1,0,0,0.7614866,101,0.7264866,0.142227,caldm001
Butch Metzger,1977,SDN,NL,0,0,2,0.7754866,91,0.7404866,,metzb101
Jackson Todd,1977,NYN,NL,6,1,0,0.7698866,95,0.7348866,0.4450129,toddj101
Jim Kaat,1977,PHI,NL,0,0,0,0.7586866,103,0.7236866,,kaatj101
Butch Metzger,1977,SLN,NL,17,5,1,0.7642866,99,0.7292866,0.4969616,metzb101
Rollie Fingers,1977,SDN,NL,61,18,8,0.7754866,91,0.7404866,1.300812,fingr001
Pedro Borbon,1977,CIN,NL,22,10,10,0.7614866,101,0.7264866,-0.6487364,borbp101
Clay Carroll,1977,SLN,NL,15,4,5,0.7642866,99,0.7292866,0.5946491,carrc103
Doug Capilla,1977,SLN,NL,0,0,0,0.7642866,99,0.7292866,,capid101
Jack Billingham,1977,CIN,NL,5,5,0,0.7614866,101,0.7264866,-1.17773,billj101
Charlie Williams,1977,SFN,NL,11,3,1,0.7628866,100,0.7278866,0.4209857,willc101
Dale Murray,1977,CIN,NL,11,5,3,0.7614866,101,0.7264866,-0.3243682,murrd001
Mike Marshall,1977,ATL,NL,1,0,0,0.7432866,114,0.7082866,0.151691,marsm101
Paul Siebert,1977,SDN,NL,0,0,1,0.7754866,91,0.7404866,,siebp101
Gary Lavelle,1977,SFN,NL,48,15,8,0.7628866,100,0.7278866,1.114437,laveg001
Jamie Easterly,1977,ATL,NL,7,2,1,0.7432866,114,0.7082866,0.3252189,eastj001
Larry Demery,1977,PIT,NL,9,1,1,0.7614866,101,0.7264866,0.9022697,demel101
Bob Apodaca,1977,NYN,NL,21,7,6,0.7698866,95,0.7348866,0.2200513,apodb101
Buddy Schultz,1977,SLN,NL,11,3,4,0.7642866,99,0.7292866,0.4107938,schub104
Charlie Hough,1977,LAN,NL,55,21,8,0.7656866,98,0.7306865,-0.276733,hougc001
Mike Beard,1977,ATL,NL,0,0,0,0.7432866,114,0.7082866,,bearm101
Rich Gossage,1977,PIT,NL,74,14,7,0.7614866,101,0.7264866,5.235974,gossr001
John D'Acquisto,1977,SDN,NL,0,0,0,0.7754866,91,0.7404866,,dacqj101
Stan Bahnsen,1977,MON,NL,0,0,0,0.7670866,97,0.7320865,,bahns101
Dan Spillner,1977,SDN,NL,21,12,9,0.7754866,91,0.7404866,-1.78675,spild001
Dan Warthen,1977,MON,NL,1,0,0,0.7670866,97,0.7320865,0.139315,wartd101
Ramon Hernandez,1977,CHN,NL,0,0,1,0.7460866,112,0.7110866,,hernr102
Joe Kerrigan,1977,MON,NL,31,9,13,0.7670866,97,0.7320865,0.8925995,kerrj101
Bill Atkinson,1977,MON,NL,26,3,3,0.7670866,97,0.7320865,2.480135,atkib101
Al Holland,1977,PIT,NL,0,0,0,0.7614866,101,0.7264866,,holla001
Larry Dierker,1977,SLN,NL,0,0,0,0.7642866,99,0.7292866,,dierl101
Larry Bradford,1977,ATL,NL,0,0,0,0.7432866,114,0.7082866,,bradl101
Tom Hume,1977,CIN,NL,0,1,0,0.7614866,101,0.7264866,-0.377773,humet001
Manny Sarmiento,1977,CIN,NL,0,1,0,0.7614866,101,0.7264866,-0.377773,sarmm101
Steve Hargan,1977,ATL,NL,5,2,0,0.7432866,114,0.7082866,0.0218369,hargs101
Lynn McGlothen,1977,SFN,NL,0,0,1,0.7628866,100,0.7278866,,mcgll101
Dan Schatzeder,1977,MON,NL,0,0,0,0.7670866,97,0.7320865,,schad001
Craig Swan,1977,NYN,NL,0,0,0,0.7698866,95,0.7348866,,swanc001
Nino Espinosa,1977,NYN,NL,1,0,0,0.7698866,95,0.7348866,0.137859,espin101
Bob Johnson,1977,ATL,NL,2,1,0,0.7432866,114,0.7082866,-0.064927,johnb103
Phil Niekro,1977,ATL,NL,0,0,1,0.7432866,114,0.7082866,,niekp001
Bob Shirley,1977,SDN,NL,6,3,0,0.7754866,91,0.7404866,-0.345477,shirb001
Steve Renko,1977,CHN,NL,0,0,0,0.7460866,112,0.7110866,,renks101
Will McEnaney,1977,MON,NL,28,12,10,0.7670866,97,0.7320865,-0.6674002,mcenw101
Stan Wall,1977,LAN,NL,5,3,2,0.7656866,98,0.7306865,-0.439656,walls101
Al Downing,1977,LAN,NL,1,1,1,0.7656866,98,0.7306865,-0.239914,downa101
Buzz Capra,1977,ATL,NL,5,2,0,0.7432866,114,0.7082866,0.0218369,caprb101
Bruce Kison,1977,PIT,NL,0,0,0,0.7614866,101,0.7264866,,kisob001
Tom Underwood,1977,PHI,NL,8,4,1,0.7586866,103,0.7236866,-0.3558041,undet001
Larry Biittner,1977,CHN,NL,0,0,0,0.7460866,112,0.7110866,,biitl101
Terry Cornutt,1977,SFN,NL,0,1,1,0.7628866,100,0.7278866,-0.378501,cornt101
Tom Underwood,1977,SLN,NL,2,0,1,0.7642866,99,0.7292866,0.281542,undet001
Hal Dues,1977,MON,NL,0,0,0,0.7670866,97,0.7320865,,duesh101
Tug McGraw,1977,PHI,NL,37,5,1,0.7586866,103,0.7236866,3.434685,mcgrt001
Rick Baldwin,1977,NYN,NL,2,1,1,0.7698866,95,0.7348866,-0.106423,baldr101
Donnie Moore,1977,CHN,NL,4,1,2,0.7460866,112,0.7110866,0.2311749,moord001
Victor Bernal,1977,SDN,NL,0,1,1,0.7754866,91,0.7404866,-0.385053,bernv101
Bob Owchinko,1977,SDN,NL,0,0,0,0.7754866,91,0.7404866,,owchb001
Burt Hooton,1977,LAN,NL,2,1,0,0.7656866,98,0.7306865,-0.099871,hootb001
Ray Sadecki,1977,NYN,NL,0,2,0,0.7698866,95,0.7348866,-0.764282,sader101
Wayne Twitchell,1977,PHI,NL,0,1,0,0.7586866,103,0.7236866,-0.376317,twitw101
Dick Ruthven,1977,ATL,NL,0,0,0,0.7432866,114,0.7082866,,ruthd001
Randy Jones,1977,SDN,NL,0,0,0,0.7754866,91,0.7404866,,joner101
Elias Sosa,1977,LAN,NL,6,1,0,0.7656866,98,0.7306865,0.460301,sosae101
Warren Brusstar,1977,PHI,NL,6,1,0,0.7586866,103,0.7236866,0.4857809,brusw001
Paul Reuschel,1977,CHN,NL,22,7,6,0.7460866,112,0.7110866,0.7168143,reusp101
Tom Griffin,1977,SDN,NL,6,1,0,0.7754866,91,0.7404866,0.4246289,grift101
Lance Rautzhan,1977,LAN,NL,11,4,3,0.7656866,98,0.7306865,0.0206451,rautl101
Eddie Solomon,1977,ATL,NL,0,0,1,0.7432866,114,0.7082866,,soloe101
Tom Walker,1977,MON,NL,4,1,1,0.7670866,97,0.7320865,0.176575,walkt103
Gene Garber,1977,PHI,NL,32,11,5,0.7586866,103,0.7236866,0.4583681,garbg001
Dave Campbell,1977,ATL,NL,25,10,4,0.7432866,114,0.7082866,0.1091845,campd102
Jeff Terpko,1977,MON,NL,2,1,0,0.7670866,97,0.7320865,-0.102055,terpj101
Dennis Lewallyn,1977,LAN,NL,4,1,0,0.7656866,98,0.7306865,0.180215,lewad101
Hank Webb,1977,LAN,NL,3,0,0,0.7656866,98,0.7306865,0.420129,webbh101
Manny Seoane,1977,PHI,NL,0,0,0,0.7586866,103,0.7236866,,seoam101
Steve Kline,1977,ATL,NL,1,1,0,0.7432866,114,0.7082866,-0.216618,klins101
Joe Henderson,1977,CIN,NL,0,2,0,0.7614866,101,0.7264866,-0.755546,hendj102
Frank LaCorte,1977,ATL,NL,1,1,0,0.7432866,114,0.7082866,-0.216618,lacof001
Odell Jones,1977,PIT,NL,4,3,0,0.7614866,101,0.7264866,-0.564411,joneo001
Randy Lerch,1977,PHI,NL,4,0,0,0.7586866,103,0.7236866,0.5747319,lercr001
Rick Camp,1977,ATL,NL,19,6,10,0.7432866,114,0.7082866,0.6722743,campr001
Dan Dumoulin,1977,CIN,NL,0,0,1,0.7614866,101,0.7264866,,dumod101
John Curtis,1977,SFN,NL,3,2,1,0.7628866,100,0.7278866,-0.332505,curtj001
Rick Reuschel,1977,CHN,NL,2,0,0,0.7460866,112,0.7110866,0.30047,reusr001
John Urrea,1977,SLN,NL,13,4,0,0.7642866,99,0.7292866,0.313107,urrej101
Fred Norman,1977,CIN,NL,2,0,0,0.7614866,101,0.7264866,0.284454,normf101
Ed Whitson,1977,PIT,NL,0,0,0,0.7614866,101,0.7264866,,white001
Al Hrabosky,1977,SLN,NL,23,6,7,0.7642866,99,0.7292866,0.962359,hraba101
Dave Freisleben,1977,SDN,NL,0,0,0,0.7754866,91,0.7404866,,freid101
John Pacella,1977,NYN,NL,0,0,0,0.7698866,95,0.7348866,,pacej001
Joe Niekro,1978,HOU,AL,1,0,0,0.7784796,92,0.7434796,0.1333906,niekj001
Jack Morris,1978,DET,AL,7,1,1,0.7630796,103,0.7280796,0.6111888,morrj001
Ken Brett,1978,CAL,AL,0,1,0,0.7728796,96,0.7378796,-0.3836974,bretk101
Jim Crawford,1978,DET,AL,5,2,1,0.7630796,103,0.7280796,-0.0502097,crawj102
Sheldon Burnside,1978,DET,AL,0,0,0,0.7630796,103,0.7280796,,burns101
Mark Bomback,1978,MIL,AL,0,0,0,0.7672796,100,0.7322796,,bombm101
Ken Holtzman,1978,NYA,AL,0,0,0,0.7728796,96,0.7378796,,holtk101
Gary Serum,1978,MIN,AL,3,0,1,0.7644796,102,0.7294796,0.4220118,serug101
Jim Slaton,1978,DET,AL,6,1,0,0.7630796,103,0.7280796,0.4697902,slatj001
John Flinn,1978,BAL,AL,1,1,1,0.7770796,93,0.7420796,-0.2517628,flinj101
Tippy Martinez,1978,BAL,AL,17,5,7,0.7770796,93,0.7420796,0.3506089,martt001
Jim Colborn,1978,KCA,AL,0,0,1,0.7644796,102,0.7294796,,colbj101
Reggie Cleveland,1978,TEX,AL,32,7,9,0.7672796,100,0.7322796,1.78937,clevr101
Steve Mingori,1978,KCA,AL,5,3,5,0.7644796,102,0.7294796,-0.4346352,mings101
Mike Norris,1978,OAK,AL,0,1,0,0.7728796,96,0.7378796,-0.3836974,norrm101
Dave Ford,1978,BAL,AL,0,0,0,0.7770796,93,0.7420796,,fordd101
Dave Heaverlo,1978,OAK,AL,31,8,8,0.7728796,96,0.7378796,1.155802,heavd101
Bob Kammeyer,1978,NYA,AL,0,0,0,0.7728796,96,0.7378796,,kammb101
Tom House,1978,SEA,AL,3,1,2,0.7658796,101,0.7308796,0.0397704,houst101
Jesse Jefferson,1978,TOR,AL,0,0,0,0.7616796,104,0.7266796,,jeffj101
Randy McGilberry,1978,KCA,AL,1,1,1,0.7644796,102,0.7294796,-0.2386588,mcgir101
Elias Sosa,1978,OAK,AL,36,8,7,0.7728796,96,0.7378796,1.837315,sosae101
Vern Ruhle,1978,HOU,AL,0,0,0,0.7784796,92,0.7434796,,ruhlv001
Doug Bird,1978,KCA,AL,15,6,7,0.7644796,102,0.7294796,-0.1659172,birdd101
Mike Paxton,1978,CLE,AL,4,1,0,0.7672796,100,0.7322796,0.1760731,paxtm101
Don Hood,1978,CLE,AL,0,0,1,0.7672796,100,0.7322796,,hoodd101
Steve McCatty,1978,OAK,AL,0,0,0,0.7728796,96,0.7378796,,mccas001
Mike Barlow,1978,CAL,AL,0,0,0,0.7728796,96,0.7378796,,barlm101
Wilbur Wood,1978,CHA,AL,0,0,0,0.7644796,102,0.7294796,,woodw103
Ken Clay,1978,NYA,AL,4,2,0,0.7728796,96,0.7378796,-0.2221842,clayk101
Mike Caldwell,1978,MIL,AL,0,0,0,0.7672796,100,0.7322796,,caldm001
Willie Mueller,1978,MIL,AL,1,1,1,0.7672796,100,0.7322796,-0.2415708,muelw101
Andy Hassler,1978,KCA,AL,0,0,0,0.7644796,102,0.7294796,,hassa001
Chris Knapp,1978,CAL,AL,0,0,0,0.7728796,96,0.7378796,,knapc101
John Montague,1978,SEA,AL,9,4,3,0.7658796,101,0.7308796,-0.260746,montj101
Dick Tidrow,1978,NYA,AL,0,0,0,0.7728796,96,0.7378796,,tidrd001
Enrique Romo,1978,SEA,AL,35,14,14,0.7658796,101,0.7308796,-0.4228119,romoe101
David Clyde,1978,CLE,AL,0,0,0,0.7672796,100,0.7322796,,clydd101
Rick Wise,1978,CLE,AL,0,0,0,0.7672796,100,0.7322796,,wiser101
Tom Buskey,1978,TOR,AL,2,1,0,0.7616796,104,0.7266796,-0.0936202,buskt101
Lerrin LaGrow,1978,CHA,AL,30,8,7,0.7644796,102,0.7294796,1.185483,lagrl101
Floyd Bannister,1978,HOU,AL,1,0,0,0.7784796,92,0.7434796,0.1333906,bannf001
Rawly Eastwick,1978,NYA,AL,4,0,1,0.7728796,96,0.7378796,0.5452105,eastr101
Doyle Alexander,1978,TEX,AL,0,0,0,0.7672796,100,0.7322796,,alexd001
Steve Burke,1978,SEA,AL,2,2,1,0.7658796,101,0.7308796,-0.4802296,burks102
Dick Drago,1978,BOS,AL,30,6,5,0.7532796,110,0.7182796,2.153805,dragd101
Don Kirkwood,1978,TOR,AL,0,0,0,0.7616796,104,0.7266796,,kirkd101
Bob Sykes,1978,DET,AL,9,2,2,0.7630796,103,0.7280796,0.5153846,sykeb101
Tom Underwood,1978,TOR,AL,0,1,0,0.7616796,104,0.7266796,-0.3778734,undet001
Andy Replogle,1978,MIL,AL,2,1,0,0.7672796,100,0.7322796,-0.1023561,repla101
Jim Wright,1978,BOS,AL,0,0,0,0.7532796,110,0.7182796,,wrigj103
Doc Medich,1978,TEX,AL,1,0,0,0.7672796,100,0.7322796,0.1392146,medid101
Sparky Lyle,1978,NYA,AL,36,11,6,0.7728796,96,0.7378796,0.6862239,lyles101
Alan Wirth,1978,OAK,AL,0,0,0,0.7728796,96,0.7378796,,wirta101
Dave Frost,1978,CAL,AL,0,0,0,0.7728796,96,0.7378796,,frosd101
Pete Redfern,1978,MIN,AL,0,0,0,0.7644796,102,0.7294796,,redfp101
Danny Darwin,1978,TEX,AL,0,0,0,0.7672796,100,0.7322796,,darwd001
Al Fitzmorris,1978,CLE,AL,0,0,0,0.7672796,100,0.7322796,,fitza101
Jon Matlack,1978,TEX,AL,1,0,0,0.7672796,100,0.7322796,0.1392146,matlj101
George Throop,1978,KCA,AL,0,0,0,0.7644796,102,0.7294796,,throg101
Dave Rajsich,1978,NYA,AL,0,0,0,0.7728796,96,0.7378796,,rajsd101
Lary Sorensen,1978,MIL,AL,1,0,0,0.7672796,100,0.7322796,0.1392146,sorel001
Jim Umbarger,1978,TEX,AL,10,2,1,0.7672796,100,0.7322796,0.6305752,umbaj101
Rick Williams,1978,HOU,AL,2,1,0,0.7784796,92,0.7434796,-0.1198282,willr101
Byron McLaughlin,1978,SEA,AL,0,0,1,0.7658796,101,0.7308796,,mclab102
Jim Colborn,1978,SEA,AL,0,0,0,0.7658796,101,0.7308796,,colbj101
Paul Lindblad,1978,TEX,AL,9,2,2,0.7672796,100,0.7322796,0.4913607,lindp101
Paul Lindblad,1978,NYA,AL,0,0,0,0.7728796,96,0.7378796,,lindp101
Rich Gale,1978,KCA,AL,1,0,0,0.7644796,102,0.7294796,0.1406706,galer001
Pete Broberg,1978,OAK,AL,5,0,0,0.7728796,96,0.7378796,0.6815131,brobp101
Jack Kucek,1978,CHA,AL,0,1,0,0.7644796,102,0.7294796,-0.3793294,kucej101
John Sutton,1978,MIN,AL,6,0,0,0.7644796,102,0.7294796,0.8440236,suttj101
Bruce Taylor,1978,DET,AL,0,0,0,0.7630796,103,0.7280796,,taylb101
Paul Mirabella,1978,TEX,AL,2,1,0,0.7672796,100,0.7322796,-0.1023561,mirap001
Joe Kerrigan,1978,BAL,AL,7,3,1,0.7770796,93,0.7420796,-0.2188141,kerrj101
Ken Forsch,1978,HOU,AL,24,9,6,0.7784796,92,0.7434796,-0.2781097,forsk001
Francisco Barrios,1978,CHA,AL,0,0,0,0.7644796,102,0.7294796,,barrf101
Glenn Abbott,1978,SEA,AL,0,0,0,0.7658796,101,0.7308796,,abbog001
Dan Warthen,1978,HOU,AL,0,0,2,0.7784796,92,0.7434796,,wartd101
Rich Gossage,1978,NYA,AL,62,9,12,0.7728796,96,0.7378796,4.997487,gossr001
Steve Baker,1978,DET,AL,3,1,2,0.7630796,103,0.7280796,0.0455944,bakes101
Gene Pentz,1978,HOU,AL,2,0,1,0.7784796,92,0.7434796,0.2667812,pentg101
Rick Waits,1978,CLE,AL,0,0,0,0.7672796,100,0.7322796,,waitr001
Andy Messersmith,1978,NYA,AL,0,0,0,0.7728796,96,0.7378796,,messa101
Dave Wallace,1978,TOR,AL,0,0,0,0.7616796,104,0.7266796,,walld103
Dave LaRoche,1978,CAL,AL,60,14,8,0.7728796,96,0.7378796,2.806394,larod101
Steve Busby,1978,KCA,AL,0,0,0,0.7644796,102,0.7294796,,busbs101
Bo McLaughlin,1978,HOU,AL,1,0,0,0.7784796,92,0.7434796,0.1333906,mclab101
Tim Stoddard,1978,BAL,AL,0,0,0,0.7770796,93,0.7420796,,stodt001
Ed Farmer,1978,MIL,AL,3,0,0,0.7672796,100,0.7322796,0.4176438,farme101
Mike Proly,1978,CHA,AL,6,0,0,0.7644796,102,0.7294796,0.8440236,prolm101
Don Stanhouse,1978,BAL,AL,40,9,10,0.7770796,93,0.7420796,1.891812,stand101
Rick Honeycutt,1978,SEA,AL,0,0,0,0.7658796,101,0.7308796,,honer001
Tom Burgmeier,1978,BOS,AL,9,4,3,0.7532796,110,0.7182796,-0.17557,burgt001
Rick Jones,1978,SEA,AL,0,0,0,0.7658796,101,0.7308796,,joner102
Rick Langford,1978,OAK,AL,2,0,1,0.7728796,96,0.7378796,0.2726052,langr001
Bob McClure,1978,MIL,AL,18,8,9,0.7672796,100,0.7322796,-0.5404199,mcclb001
Sid Monge,1978,CLE,AL,20,2,11,0.7672796,100,0.7322796,2.022722,mongs001
Paul Hartzell,1978,CAL,AL,15,6,4,0.7728796,96,0.7378796,-0.2576448,hartp001
Jim Clancy,1978,TOR,AL,0,0,0,0.7616796,104,0.7266796,,clanj001
Bill Castro,1978,MIL,AL,17,3,12,0.7672796,100,0.7322796,1.224292,castb101
Frank Riccelli,1978,HOU,AL,0,0,0,0.7784796,92,0.7434796,,riccf101
Larry Harlow,1978,BAL,AL,0,0,0,0.7770796,93,0.7420796,,harll101
Bob Lacey,1978,OAK,AL,33,11,15,0.7728796,96,0.7378796,0.2773153,laceb001
Dave Johnson,1978,MIN,AL,0,0,0,0.7644796,102,0.7294796,,johnd104
Jim Beattie,1978,NYA,AL,0,0,0,0.7728796,96,0.7378796,,beatj001
