person,dept,eow,cause
Patrolman Vernon Wilson Jones,"Franklin Police Department, VA","EOW: Thursday, May 12, 1932",Cause of Death: Gunfire
Cattle Inspector Joseph Calvin Dillman,"Arizona Livestock Sanitary Board, AZ","EOW: Saturday, May 14, 1932",Cause of Death: Gunfire
"Deputy Constable James S. ""Sol"" Saylor","Harlan County Constable's Office, KY","EOW: Sunday, May 15, 1932",Cause of Death: Gunfire
Patrolman Edward Francis Riphon,"Madison Police Department, WI","EOW: Monday, May 16, 1932",Cause of Death: Gunfire
Patrolman Clarence B. Campbell,"New Castle Police Department, PA","EOW: Monday, May 23, 1932",Cause of Death: Gunfire
Deputy Sheriff Jim Ray Carlton,"St. Francis County Sheriff's Office, AR","EOW: Wednesday, May 25, 1932",Cause of Death: Gunfire
Deputy Sheriff Charles Knapp,"Kent County Sheriff's Office, MI","EOW: Wednesday, May 25, 1932",Cause of Death: Gunfire
"City Marshal Ivie ""Ira"" Fowler","Jasper Police Department, FL","EOW: Friday, June 3, 1932",Cause of Death: Gunfire
"Captain Harry M. ""Mose"" Strauss","Bethlehem Police Department, PA","EOW: Friday, June 3, 1932",Cause of Death: Struck by vehicle
Patrolman James J. Burns,"New York City Police Department, NY","EOW: Saturday, June 4, 1932",Cause of Death: Motorcycle accident
Patrolman John Jackson Knorr,"Haddonfield Police Department, NJ","EOW: Tuesday, June 7, 1932",Cause of Death: Automobile accident
Officer Mervyn A. Reardon,"San Francisco Police Department, CA","EOW: Thursday, June 9, 1932",Cause of Death: Gunfire
Turnkey William G. Hunter,"Baltimore County Police Department, MD","EOW: Thursday, June 9, 1932",Cause of Death: Assault
Patrolman William Pierre Lancaster,"South Carolina Highway Patrol, SC","EOW: Thursday, June 9, 1932",Cause of Death: Motorcycle accident
Deputy James Willis Fuller,"Dallas County Sheriff's Department, TX","EOW: Monday, June 13, 1932",Cause of Death: Gunfire
Special Agent Jack Elmer Kenford,"United States Department of Justice - Bureau of Prohibition, US","EOW: Tuesday, June 14, 1932",Cause of Death: Explosion
Deputy Sheriff Stacy W. Baccala,"Plumas County Sheriff's Office, CA","EOW: Thursday, June 16, 1932",Cause of Death: Gunfire
Assistant Chief of Police Harry L. Bolin,"Newton Police Department, KS","EOW: Friday, June 17, 1932",Cause of Death: Automobile accident
Deputy Sheriff William Hamilton,"Floyd County Sheriff's Office, KY","EOW: Friday, June 17, 1932",Cause of Death: Gunfire
Sheriff Fred Kenney,"Cochise County Sheriff's Department, AZ","EOW: Friday, June 17, 1932",Cause of Death: Automobile accident
Patrolman Joseph P. Burke,"New York City Police Department, NY","EOW: Saturday, June 18, 1932",Cause of Death: Gunfire
Patrol Officer Thomas Reese,"Plymouth Borough Police Department, PA","EOW: Saturday, June 18, 1932",Cause of Death: Gunfire
Patrolman William George Gagler,"Chicago Police Department, IL","EOW: Sunday, June 19, 1932",Cause of Death: Gunfire
"Deputy Sheriff Elmo ""Slim"" Ferguson","Richland Parish Sheriff's Office, LA","EOW: Tuesday, June 21, 1932",Cause of Death: Gunfire
City Marshal Wiley Florence,"Purcell Police Department, OK","EOW: Tuesday, June 21, 1932",Cause of Death: Gunfire
Guard Leo George Nicholas,"Cook County Sheriff's Office - Department of Corrections, IL","EOW: Wednesday, June 22, 1932",Cause of Death: Gunfire
Policeman Earl F. Sturtevant,"Shannon Police Department, IL","EOW: Thursday, June 23, 1932",Cause of Death: Gunfire
Patrolman Nolan Eugene Tipton,"Philadelphia Police Department, PA","EOW: Saturday, June 25, 1932",Cause of Death: Motorcycle accident
Patrol Inspector Charles F. Inch,"United States Department of Labor - Immigration Service - United States Border Patrol, US","EOW: Sunday, June 26, 1932",Cause of Death: Struck by train
Prohibition Officer Ell Watkins,"West Virginia Department of Prohibition, WV","EOW: Monday, June 27, 1932",Cause of Death: Gunfire
"Sheriff William S. ""Buck"" Jones","Lee County Sheriff's Office, AL","EOW: Wednesday, June 29, 1932",Cause of Death: Gunfire
Trooper James Grady Sutton,"Illinois State Police, IL","EOW: Thursday, June 30, 1932",Cause of Death: Gunfire
Patrolman Charles A. Holt,"Springfield Police Department, OH","EOW: Thursday, June 30, 1932",Cause of Death: Gunfire
Chief of Police Daniel Law,"Harrisburg Police Department, IL","EOW: Friday, July 1, 1932",Cause of Death: Gunfire
Patrolman Willard S. Van Horn,"Elwood Police Department, IN","EOW: Friday, July 1, 1932",Cause of Death: Gunfire
Officer Richard A. Knabb,"Des Plaines Police Department, IL","EOW: Saturday, July 2, 1932",Cause of Death: Vehicular assault
Officer Elmer A. Swanson,"Metropolitan Police Department, DC","EOW: Tuesday, July 5, 1932",Cause of Death: Gunfire
Town Marshal Scott M. Vasbinder,"Newton Falls Police Department, OH","EOW: Tuesday, July 5, 1932",Cause of Death: Gunfire
Patrolman Fred Mueller,"Manitowoc Police Department, WI","EOW: Tuesday, July 5, 1932",Cause of Death: Gunfire
"Police Officer William H. ""Jack"" Hill","Bowie Police Department, TX","EOW: Wednesday, July 6, 1932",Cause of Death: Gunfire
Policeman Joseph C. Meiers,"Philadelphia Police Department, PA","EOW: Thursday, July 7, 1932",Cause of Death: Gunfire (Accidental)
Sergeant Homer Elder,"Pennsylvania Railroad Police Department, RR","EOW: Thursday, July 7, 1932",Cause of Death: Struck by train
Officer Edwin B. Crook,"California Highway Patrol, CA","EOW: Friday, July 8, 1932",Cause of Death: Vehicle pursuit
Marshal Jay N. Davis,"North Baltimore Police Department, OH","EOW: Friday, July 8, 1932",Cause of Death: Gunfire
Trooper James R. Herbert,"New Jersey State Police, NJ","EOW: Saturday, July 9, 1932",Cause of Death: Motorcycle accident
Patrolman George Zint,"Stratford Police Department, CT","EOW: Sunday, July 10, 1932",Cause of Death: Motorcycle accident
Policeman Jose S. Corales-Zaez,"Puerto Rico Police Department, PR","EOW: Sunday, July 10, 1932",Cause of Death: Gunfire
Chief of Police Hoover Hinton,"Dwale Police Department, KY","EOW: Monday, July 11, 1932",Cause of Death: Gunfire
Patrolman John D. Kennedy,"Nassau County Police Department, NY","EOW: Tuesday, July 12, 1932",Cause of Death: Gunfire
Inspector James L. Hodges,"Virginia Department of Prohibition Enforcement, VA","EOW: Tuesday, July 12, 1932",Cause of Death: Gunfire
Deputy Sheriff Marion Stapleton,"Menifee County Sheriff's Office, KY","EOW: Wednesday, July 13, 1932",Cause of Death: Gunfire
Deputy Sheriff Louis Batista Chiara,"Lander County Sheriff's Office, NV","EOW: Saturday, July 16, 1932",Cause of Death: Gunfire
Patrolman Walter J. Mashburn,"Chattanooga Police Department, TN","EOW: Saturday, July 16, 1932",Cause of Death: Gunfire
Rural Police Officer Elliott P. Harris,"York County Sheriff's Office, SC","EOW: Sunday, July 17, 1932",Cause of Death: Gunfire
Deputy Sheriff John Henry Collette,"Addison County Sheriff's Department, VT","EOW: Sunday, July 17, 1932",Cause of Death: Duty related illness
Agent Crockett Long,"Oklahoma State Bureau of Investigation, OK","EOW: Monday, July 18, 1932",Cause of Death: Gunfire
Patrolman Frank J. Cunningham,"Chicago Police Department, IL","EOW: Tuesday, July 19, 1932",Cause of Death: Gunfire
Marshal Edward Rich Cook,"Culver Police Department, IN","EOW: Tuesday, July 19, 1932",Cause of Death: Gunfire (Accidental)
Police Officer Joseph A. Burke,"Troy Police Department, NY","EOW: Wednesday, July 20, 1932",Cause of Death: Motorcycle accident
Officer Harold J. Koehncke,"Dolton Police Department, IL","EOW: Friday, July 22, 1932",Cause of Death: Gunfire
Deputy Constable Kelly Johnson,"Floyd County Constable's Office, KY","EOW: Friday, July 22, 1932",Cause of Death: Gunfire
Deputy Sheriff Stanley Clay Helton,"Menifee County Sheriff's Office, KY","EOW: Monday, July 25, 1932",Cause of Death: Gunfire
Special Deputy Ambrous Murphy Johnson,"Pulaski County Sheriff's Department, KY","EOW: Wednesday, July 27, 1932",Cause of Death: Gunfire
Patrolman Ernest Gough,"Leavenworth Police Department, KS","EOW: Friday, July 29, 1932",Cause of Death: Gunfire
Patrolman Edward F. O'Donnell,"Portland Police Department, ME","EOW: Saturday, July 30, 1932",Cause of Death: Struck by vehicle
Police Officer Jack Palmer,"Ridgefield Police Department, CT","EOW: Sunday, July 31, 1932",Cause of Death: Motorcycle accident
Special Agent Eugene Jackson,"United States Department of Justice - Bureau of Prohibition, US","EOW: Sunday, July 31, 1932",Cause of Death: Gunfire
Patrolman Edward C. Robertson,"Atlanta Police Department, GA","EOW: Monday, August 1, 1932",Cause of Death: Automobile accident
Patrolman Charles F. McGonagle,"Massachusetts State Police, MA","EOW: Tuesday, August 2, 1932",Cause of Death: Motorcycle accident
Policeman Isadore Reinheimer,"Philadelphia Police Department, PA","EOW: Tuesday, August 2, 1932",Cause of Death: Gunfire
Patrolman Harold Hagen,"Minneapolis Police Department, MN","EOW: Wednesday, August 3, 1932",Cause of Death: Motorcycle accident
Special Agent Eldon L. Smith,"Union Pacific Railroad Police Department, RR","EOW: Thursday, August 4, 1932",Cause of Death: Gunfire
Deputy Sheriff Rudolph A. Fischer,"Dakota County Sheriff's Office, MN","EOW: Friday, August 5, 1932",Cause of Death: Gunfire
Deputy Sheriff Eugene Clyde Moore,"Atoka County Sheriff's Office, OK","EOW: Friday, August 5, 1932",Cause of Death: Gunfire
Deputy Sheriff Frank Bowman,"Bell County Sheriff's Department, KY","EOW: Saturday, August 6, 1932",Cause of Death: Gunfire
Private Milo John Kennedy,"United States Department of the Interior - United States Park Police, US","EOW: Sunday, August 7, 1932",Cause of Death: Assault
Detective John Wopinski,"Flint Police Department, MI","EOW: Monday, August 8, 1932",Cause of Death: Gunfire
Detective John S. Buettner,"Cleveland Police Department, OH","EOW: Tuesday, August 9, 1932",Cause of Death: Gunfire
Patrolman Edward Keim,"Toledo Police Department, OH","EOW: Thursday, August 11, 1932",Cause of Death: Gunfire
Trooper Raymond J. Chippendale,"New York State Police, NY","EOW: Friday, August 12, 1932",Cause of Death: Motorcycle accident
Officer A. Edward Hinck,"California Highway Patrol, CA","EOW: Sunday, August 14, 1932",Cause of Death: Motorcycle accident
Officer George W. Shinault,"Metropolitan Police Department, DC","EOW: Sunday, August 14, 1932",Cause of Death: Gunfire
Deputy Constable Oscal Lovitt,"McCreary County Constable's Office, KY","EOW: Sunday, August 14, 1932",Cause of Death: Gunfire
Patrolman Thomas W. England,"Hillside Police Department, NJ","EOW: Tuesday, August 16, 1932",Cause of Death: Motorcycle accident
"Deputy Sheriff Harvey S. ""Harve"" Bolin","Lamb County Sheriff's Department, TX","EOW: Saturday, August 20, 1932",Cause of Death: Gunfire
Patrolman Fielden Collins,"Jefferson County Police Department, KY","EOW: Tuesday, August 23, 1932",Cause of Death: Struck by vehicle
Undersheriff H. Frank Whitsel,"Sweet Grass County Sheriff's Department, MT","EOW: Wednesday, August 24, 1932",Cause of Death: Gunfire
Special Deputy Claude B. Dail,"Pottawattamie County Sheriff's Office, IA","EOW: Thursday, August 25, 1932",Cause of Death: Gunfire (Accidental)
Officer Theodore A. Moore,"Maryland State Police, MD","EOW: Thursday, August 25, 1932",Cause of Death: Motorcycle accident
Officer Lawrence B. Hall,"Daytona Beach Police Department, FL","EOW: Sunday, August 28, 1932",Cause of Death: Gunfire
Special Agent Norman G. Fowler,"Union Pacific Railroad Police Department, RR","EOW: Monday, August 29, 1932",Cause of Death: Gunfire
"Deputy Sheriff Thomas Asbury ""Berry"" Quillin","Miller County Sheriff's Department, AR","EOW: Wednesday, August 31, 1932",Cause of Death: Gunfire
Police Officer Alexander Lang,"Lansing Police Department, MI","EOW: Friday, September 2, 1932",Cause of Death: Struck by vehicle
Patrolman Peter Frank DeCarlo,"New York City Police Department, NY","EOW: Saturday, September 3, 1932",Cause of Death: Gunfire
Constable Ben L. Northern,"Wilson County District Four Constable's Office, TN","EOW: Sunday, September 4, 1932",Cause of Death: Gunfire
Deputy Constable Millard E. Brown,"Wilson County District Four Constable's Office, TN","EOW: Sunday, September 4, 1932",Cause of Death: Gunfire
"Policeman Meyer Joseph ""Jack"" Lapine","Cook County Highway Police, IL","EOW: Monday, September 5, 1932",Cause of Death: Motorcycle accident
Patrolman Joseph A. Conrad,"Pennsylvania State Highway Patrol, PA","EOW: Tuesday, September 6, 1932",Cause of Death: Motorcycle accident
Special Officer Marion F. Marshall,"Lincoln Police Department, NE","EOW: Friday, September 9, 1932",Cause of Death: Gunfire
Patrolman Lawrence Marion Strock,"Charleston Police Department, SC","EOW: Saturday, September 10, 1932",Cause of Death: Gunfire
Sergeant Horace Edward Jones,"Cairo Police Department, IL","EOW: Monday, September 12, 1932",Cause of Death: Gunfire
Policeman Arthur Christian Back,"De Smet Police Department, SD","EOW: Tuesday, September 13, 1932",Cause of Death: Gunfire
Police Officer Ralph H. Ahner,"Seattle Police Department, WA","EOW: Tuesday, September 13, 1932",Cause of Death: Vehicle pursuit
Patrolman William Donald Paradine,"Pennsylvania Department of Conservation and Natural Resources - Bureau of State Parks, PA","EOW: Wednesday, September 14, 1932",Cause of Death: Motorcycle accident
Patrolman George B. Kruth,"Pennsylvania Department of Conservation and Natural Resources - Bureau of State Parks, PA","EOW: Thursday, September 15, 1932",Cause of Death: Motorcycle accident
Police Officer August E.  Labenz,"Philadelphia Police Department, PA","EOW: Thursday, September 15, 1932",Cause of Death: Gunfire
Patrolman Lester M. Chace,"Wareham Police Department, MA","EOW: Friday, September 16, 1932",Cause of Death: Struck by vehicle
Police Officer Albert Houston,"Newark Police Department, NJ","EOW: Friday, September 16, 1932",Cause of Death: Motorcycle accident
Deputy Sheriff Webster Reece,"Muskogee County Sheriff's Office, OK","EOW: Saturday, September 17, 1932",Cause of Death: Gunfire
Motorcycle Officer Joseph Lewis,"Woodbridge Police Department, NJ","EOW: Sunday, September 18, 1932",Cause of Death: Motorcycle accident
Special Deputy Sheriff Andrew McGinnis,"Muskogee County Sheriff's Office, OK","EOW: Sunday, September 18, 1932",Cause of Death: Gunfire
Deputy Sheriff George L. Mangold,"Bexar County Sheriff's Office, TX","EOW: Sunday, September 18, 1932",Cause of Death: Gunfire
Railroad Detective Landon J. Osborn,"Chesapeake and Ohio Railroad Police Department, RR","EOW: Monday, September 19, 1932",Cause of Death: Vehicular assault
Deputy J. Hurt Flippin,"Rogers County Sheriff's Office, OK","EOW: Monday, September 19, 1932",Cause of Death: Gunfire
Constable Frank Dixon,"Polk County Sheriff's Office, FL","EOW: Thursday, September 22, 1932",Cause of Death: Gunfire
Guard Charles Alton Edward Leonard,"Virginia Department of Corrections, VA","EOW: Thursday, September 22, 1932",Cause of Death: Assault
Special Agent James G. Harney,"United States Department of Justice - Bureau of Prohibition, US","EOW: Friday, September 23, 1932",Cause of Death: Gunfire
Patrolman Charles L. Farrell,"New York City Police Department, NY","EOW: Friday, September 23, 1932",Cause of Death: Automobile accident
Town Constable George Probeck,"Huntington Town Constable's Office, NY","EOW: Saturday, September 24, 1932",Cause of Death: Gunfire
Detective Sergeant Porter Williams,"Springfield Police Department, IL","EOW: Sunday, September 25, 1932",Cause of Death: Gunfire
Marshal Harry Rose,"Seven Hills Police Department, OH","EOW: Sunday, September 25, 1932",Cause of Death: Vehicle pursuit
Chief of Police George Woodbeck,"Hayward Police Department, WI","EOW: Sunday, September 25, 1932",Cause of Death: Vehicular assault
Patrolman Richard J. Keogh,"Chicago Police Department, IL","EOW: Tuesday, September 27, 1932",Cause of Death: Motorcycle accident
Inspector Joseph Baker,"United States Department of the Treasury - Customs Service, US","EOW: Tuesday, September 27, 1932",Cause of Death: Exposure to toxins
Special Agent Ballard White Turner,"United States Department of Justice - Bureau of Prohibition, US","EOW: Thursday, September 29, 1932",Cause of Death: Gunfire
Officer A. Claud Snider,"Tuscaloosa Police Department, AL","EOW: Friday, September 30, 1932",Cause of Death: Gunfire
Trooper Vincent A. Dunn,"New York State Police, NY","EOW: Friday, September 30, 1932",Cause of Death: Automobile accident
Mayor Stuart McGuire Sutherland,"Town of Clintwood, VA","EOW: Saturday, October 1, 1932",Cause of Death: Gunfire
Sheriff Ray Compton,"Rush County Sheriff's Department, IN","EOW: Monday, October 3, 1932",Cause of Death: Gunfire
Police Officer Thomas F. Steinacker,"Baltimore City Police Department, MD","EOW: Tuesday, October 4, 1932",Cause of Death: Accidental
Guard Frank B. Hanger,"Ohio Department of Rehabilitation and Correction, OH","EOW: Thursday, October 6, 1932",Cause of Death: Assault
Officer Charles Linton Phillips,"DeKalb County Police Department, GA","EOW: Friday, October 7, 1932",Cause of Death: Struck by vehicle
Chief of Police J. Dee Clark,"Flemingsburg Police Department, KY","EOW: Friday, October 7, 1932",Cause of Death: Gunfire
Chief of Police Jose A. Sotero-Lugo,"Puerto Rico Police Department, PR","EOW: Friday, October 7, 1932",Cause of Death: Gunfire
Policeman Domingo Montanez-Betancourt,"Puerto Rico Police Department, PR","EOW: Sunday, October 9, 1932",Cause of Death: Gunfire
Special Agent Howard Brooke Oursler,"United States Department of Justice - Bureau of Prohibition, US","EOW: Wednesday, October 12, 1932",Cause of Death: Gunfire
Special Agent Ernest B. Vlasich,"United States Department of Justice - Bureau of Prohibition, US","EOW: Friday, October 14, 1932",Cause of Death: Gunfire
Special Agent Frank Allen Mather,"United States Department of Justice - Bureau of Prohibition, US","EOW: Saturday, October 15, 1932",Cause of Death: Gunfire (Accidental)
Policeman Blucher Soyars,"Russellville Police Department, KY","EOW: Saturday, October 15, 1932",Cause of Death: Gunfire (Accidental)
Patrolman John Fink,"New York City Police Department, NY","EOW: Saturday, October 15, 1932",Cause of Death: Fire
Deputy Sheriff Jeff Walker Williams,"Tate County Sheriff's Office, MS","EOW: Sunday, October 16, 1932",Cause of Death: Gunfire
Game Protector Paul J. De Cuennois,"New York State Environmental Conservation Police, NY","EOW: Sunday, October 16, 1932",Cause of Death: Drowned
"Deputy Sheriff Alexander Stevens Downs, Jr","Nueces County Sheriff's Office, TX","EOW: Sunday, October 16, 1932",Cause of Death: Gunfire
Officer Clarence A. Jensen,"Santa Barbara Police Department, CA","EOW: Tuesday, October 18, 1932",Cause of Death: Vehicle pursuit
Deputy Sheriff Melvin Brackman,"Miller County Sheriff's Department, AR","EOW: Wednesday, October 19, 1932",Cause of Death: Gunfire
Chief of Police Edward Baltimore Vogel,"Walla Walla Police Department, WA","EOW: Wednesday, October 19, 1932",Cause of Death: Automobile accident
"Deputy Game Warden Herbert W. ""Bert"" Minnick","Spokane County Game Commission, WA","EOW: Wednesday, October 19, 1932",Cause of Death: Gunfire
Deputy Sheriff J. C. Crain,"Miller County Sheriff's Department, AR","EOW: Friday, October 21, 1932",Cause of Death: Gunfire
Trooper Leonard H. Watson,"Connecticut State Police, CT","EOW: Saturday, October 22, 1932",Cause of Death: Motorcycle accident
Detective Joseph P. Sullivan,"New Haven Police Department, CT","EOW: Sunday, October 23, 1932",Cause of Death: Vehicle pursuit
Patrolman Stan Hutchings,"Massena Police Department, NY","EOW: Sunday, October 23, 1932",Cause of Death: Motorcycle accident
City Warden William Ira Latham,"Birmingham Police Department, AL","EOW: Monday, October 24, 1932",Cause of Death: Automobile accident
Detective Samuel A. Smith,"Atlanta Police Department, GA","EOW: Monday, October 24, 1932",Cause of Death: Automobile accident
Officer Frank Edwards,"Tahlequah Police Department, OK","EOW: Tuesday, October 25, 1932",Cause of Death: Gunfire
Sergeant Edgar Harvey Tedder,"Oakland County Sheriff's Office, MI","EOW: Wednesday, November 2, 1932",Cause of Death: Gunfire
Undersheriff Frank J. Greenan,"Oakland County Sheriff's Office, MI","EOW: Wednesday, November 2, 1932",Cause of Death: Gunfire
Correction Officer John R. Hinson,"Texas Department of Criminal Justice, TX","EOW: Thursday, November 3, 1932",Cause of Death: Assault
Deputy Constable Booker Van Buren Wright,"Letcher County Constable's Office, KY","EOW: Monday, November 7, 1932",Cause of Death: Gunfire
Special Agent Buford A. French,"Atchison, Topeka and Santa Fe Railroad Police Department, RR","EOW: Friday, November 11, 1932",Cause of Death: Gunfire
Deputy Sheriff Fred McClanahan,"Saline County Sheriff's Department, IL","EOW: Friday, November 11, 1932",Cause of Death: Gunfire
Patrolman Neil Regan,"Covington Police Department, KY","EOW: Friday, November 11, 1932",Cause of Death: Gunfire
Deputy Sheriff Rudolph Goss Vejar,"Los Angeles County Sheriff's Department, CA","EOW: Saturday, November 12, 1932",Cause of Death: Gunfire
Special Agent Chester Arthur Mason,"United States Department of Justice - Bureau of Prohibition, US","EOW: Saturday, November 12, 1932",Cause of Death: Gunfire
Patrolman John J. Donnelly,"Margate City Police Department, NJ","EOW: Tuesday, November 15, 1932",Cause of Death: Vehicle pursuit
"Special Agent William Theodore ""Teddie"" Balding","United States Department of Justice - Bureau of Prohibition, US","EOW: Wednesday, November 16, 1932",Cause of Death: Automobile accident
Detective Victor Woodhead,"Rochester Police Department, NY","EOW: Thursday, November 17, 1932",Cause of Death: Gunfire
Special Officer Charles Burvel Graves,"Louisville and Nashville Railroad Police Department, RR","EOW: Friday, November 18, 1932",Cause of Death: Gunfire
Deputy Sheriff Frank H. Curtis,"Aroostook County Sheriff's Department, ME","EOW: Friday, November 18, 1932",Cause of Death: Gunfire
Patrolman Patrick Madden,"Chicago Police Department, IL","EOW: Sunday, November 20, 1932",Cause of Death: Gunfire
Patrolman Russell E. Greeley,"Buffalo Police Department, NY","EOW: Sunday, November 20, 1932",Cause of Death: Gunfire
Deputy Warden William J. McConnell,"New York City Department of Correction, NY","EOW: Saturday, November 26, 1932",Cause of Death: Gunfire
Deputy Sheriff James Bowlin,"Whitley County Sheriff's Department, KY","EOW: Sunday, December 4, 1932",Cause of Death: Gunfire
Inspector Herff Alexander Carnes,"United States Department of the Treasury - Customs Service, US","EOW: Sunday, December 4, 1932",Cause of Death: Gunfire
Police Officer Emil Carl Kehr,"Brentwood Borough Police Department, PA","EOW: Tuesday, December 6, 1932",Cause of Death: Motorcycle accident
Detective Michael G. Croskey,"Philadelphia Police Department, PA","EOW: Wednesday, December 7, 1932",Cause of Death: Stabbed
Patrolman Michael Moroso,"New York City Police Department, NY","EOW: Thursday, December 8, 1932",Cause of Death: Gunfire
Patrolman William D. Lundy,"Chicago Police Department, IL","EOW: Friday, December 9, 1932",Cause of Death: Gunfire
Patrolman John H. Gratton,"New York City Police Department, NY","EOW: Friday, December 9, 1932",Cause of Death: Vehicle pursuit
Deputy Sheriff Joe E. Edwards,"Madison County Sheriff's Office, TN","EOW: Saturday, December 10, 1932",Cause of Death: Gunfire
Sergeant Harry Linn Booton,"Des Moines Police Department, IA","EOW: Sunday, December 11, 1932",Cause of Death: Gunfire
Constable Robert Bunyan Sheppard,"Patrick County Sheriff's Office, VA","EOW: Sunday, December 11, 1932",Cause of Death: Gunfire
Patrolman Edgar J. Chatterton,"Berwyn Police Department, IL","EOW: Monday, December 12, 1932",Cause of Death: Gunfire
Sergeant Frank Svec,"Berwyn Police Department, IL","EOW: Monday, December 12, 1932",Cause of Death: Gunfire
Town Marshal George Wilson Reddick,"Ellis County Sheriff's Office, OK","EOW: Tuesday, December 13, 1932",Cause of Death: Gunfire
City Marshal Albert Suverkrubbe,"Fort Calhoun Police Department, NE","EOW: Wednesday, December 14, 1932",Cause of Death: Gunfire
Patrolman George L. Gerhard,"New York City Police Department, NY","EOW: Wednesday, December 14, 1932",Cause of Death: Gunfire
Deputy Sheriff Wendell Fay Dilworth,"Black Hawk County Sheriff's Office, IA","EOW: Friday, December 16, 1932",Cause of Death: Gunfire
Patrolman Ira Leon Evans,"Minneapolis Police Department, MN","EOW: Friday, December 16, 1932",Cause of Death: Gunfire
Deputy Sheriff Daniel E. Souders,"Hamilton County Sheriff's Office, OH","EOW: Friday, December 16, 1932",Cause of Death: Gunfire
Deputy Sheriff Audie Lee Gibson,"Hamilton County Sheriff's Department, TX","EOW: Friday, December 16, 1932",Cause of Death: Gunfire
Deputy Sheriff James T. Morgan,"Letcher County Sheriff's Department, KY","EOW: Sunday, December 18, 1932",Cause of Death: Heart attack
Patrolman Leo R. Gorski,"Minneapolis Police Department, MN","EOW: Sunday, December 18, 1932",Cause of Death: Gunfire
Town Marshal W. J. C. Davis,"Glen Allan Marshal's Office, MS","EOW: Sunday, December 18, 1932",Cause of Death: Gunfire
Patrolman William Howard Ritter,"Ashtabula Police Department, OH","EOW: Sunday, December 18, 1932",Cause of Death: Fall
Detective Lieutenant Paul T. Lee,"Los Angeles Police Department, CA","EOW: Tuesday, December 20, 1932",Cause of Death: Gunfire
Police Officer Paul Pawlowski,"Detroit Police Department, MI","EOW: Wednesday, December 21, 1932",Cause of Death: Struck by streetcar
Sheriff Luther Pannett,"Frederick County Sheriff's Office, VA","EOW: Wednesday, December 21, 1932",Cause of Death: Gunfire (Accidental)
Special Agent Arthur James Sanderson,"United States Department of Justice - Bureau of Prohibition, US","EOW: Thursday, December 29, 1932",Cause of Death: Automobile accident
Patrolman Joseph N. Duffy,"Cincinnati Police Department, OH","EOW: Thursday, December 29, 1932",Cause of Death: Fall
Police Officer Ellsworth W. Cordes,"Seattle Police Department, WA","EOW: Saturday, December 31, 1932",Cause of Death: Motorcycle accident
Deputy Sheriff Ewart W. Sanders,"Cleveland County Sheriff's Office, NC","EOW: Sunday, January 1, 1933",Cause of Death: Gunfire
Police Officer James H. Nerison,"Alhambra Police Department, CA","EOW: Tuesday, January 3, 1933",Cause of Death: Gunfire
Patrolman Irving Baker,"Warren Police Department, OH","EOW: Friday, January 6, 1933",Cause of Death: Assault
Deputy Malcolm Davis,"Tarrant County Sheriff's Department, TX","EOW: Friday, January 6, 1933",Cause of Death: Gunfire
Patrolman Walter Murphy,"New York City Police Department, NY","EOW: Saturday, January 7, 1933",Cause of Death: Gunfire
Patrolman Richard E. Fitzgerald,"Kansas City Police Department, MO","EOW: Tuesday, January 10, 1933",Cause of Death: Motorcycle accident
"Deputy Sheriff Crockett M. ""Jack"" Riddell","Jefferson County Sheriff's Office, KY","EOW: Friday, January 13, 1933",Cause of Death: Gunfire
Patrolman Edward J. Moore,"San Diego Police Department, CA","EOW: Sunday, January 15, 1933",Cause of Death: Gunfire
Officer Floyd A. Russell,"California Highway Patrol, CA","EOW: Sunday, January 15, 1933",Cause of Death: Vehicle pursuit
"Sheriff Roy F. ""Doc"" Holley","Lake County Sheriff's Department, IN","EOW: Monday, January 16, 1933",Cause of Death: Gunfire
Patrolman Maurice Marcusson,"Chicago Police Department, IL","EOW: Monday, January 23, 1933",Cause of Death: Gunfire
Patrolman Leroy Van Meter,"Kansas City Police Department, MO","EOW: Monday, January 23, 1933",Cause of Death: Gunfire
Sheriff John C. Moseley,"Swisher County Sheriff's Department, TX","EOW: Monday, January 23, 1933",Cause of Death: Gunfire
Officer Thomas C. Bisset,"California Highway Patrol, CA","EOW: Thursday, January 26, 1933",Cause of Death: Heart attack
Policeman Fred J. Dolan,"Philadelphia Police Department, PA","EOW: Thursday, January 26, 1933",Cause of Death: Gunfire
Constable Edward F. Ryan,"Watertown Police Department, CT","EOW: Friday, January 27, 1933",Cause of Death: Exposure to toxins
"Deputy Sheriff Joseph Hamilton Brown, Jr.","Wise County Sheriff's Office, TX","EOW: Friday, January 27, 1933",Cause of Death: Gunfire
Private James Francis Grove,"United States Department of the Interior - United States Park Police, US","EOW: Saturday, January 28, 1933",Cause of Death: Motorcycle accident
Patrolman Clyde E. Murtland,"Greensburg Police Department, PA","EOW: Monday, January 30, 1933",Cause of Death: Motorcycle accident
Patrolman Bailey Bell,"Leavenworth Police Department, KS","EOW: Saturday, February 4, 1933",Cause of Death: Gunfire
Sergeant Eugene Monahan,"New York City Police Department, NY","EOW: Saturday, February 4, 1933",Cause of Death: Gunfire
Sergeant Lester E. Jones,"Indianapolis Police Department, IN","EOW: Tuesday, February 7, 1933",Cause of Death: Gunfire
Officer Charles York,"Oklahoma City Police Department, OK","EOW: Wednesday, February 8, 1933",Cause of Death: Gunfire
