id,candidate,song,artist,sentiment,theme,album_release_date,line,url
331,Donald Trump,I Think I'm Swipa,Swipa,positive,money,2013,Getting these dollars call me Swipa Trump,http://genius.com/Swipa-i-think-im-swipa-lyrics
332,Donald Trump,I Need Dollas,T.I.,positive,money,2012,Used to want dough like JC but now I'm thinking Donald Trump,http://genius.com/Ti-i-need-dollas-lyrics
333,Donald Trump,Buku,Robb Bank$,positive,hotel,2015,I'm with my Mexican bitch at the Trump,http://genius.com/Robb-bank-buku-lyrics
334,Donald Trump,Gratitude,Talib Kweli,positive,hotel,2015,Joey made this beat in the Trump Tower,http://genius.com/Talib-kweli-gratitude-lyrics
335,Donald Trump,Fired,Tech N9ne,neutral,The Apprentice,2015,Donald Trump! (Fire that bitch!),http://genius.com/Tech-n9ne-fired-lyrics
336,Donald Trump,Wet Dollars,Tink,positive,hotel,2015,Downtown livin' at the Trump,http://genius.com/Tink-wet-dollars-lyrics
337,Donald Trump,Purpose,Young Thug,neutral,N/A,2015,"No Donald, I'd Trump that bitch",http://genius.com/Young-thug-purpose-lyrics
338,Donald Trump,Datpiff (freeverse series Ep. 4),Chris Webby,neutral,N/A,2016,You'll never see it like Donald Trump on a prayer mat,http://genius.com/Chris-webby-datpiff-freeverse-series-ep-4-lyrics
339,Donald Trump,Driving Gloves,The Alchemist,positive,money,2015,"Pockets Trump like I just struck the lottery, lotto",http://genius.com/Gangrene-driving-gloves-lyrics
340,Donald Trump,Gucci Comin Home,BIA,neutral,N/A,2016,Man if Gucci comin' home then we don't need no Donald Trump,http://genius.com/Bia-gucci-comin-home-lyrics
341,Donald Trump,Pimps (Free Stylin at the Fortune 500 Club),The Coup,positive,money,1994,Trump Trump check out the cash in my trunk / I am Donald Trump me think you mighta heard about me,http://genius.com/The-coup-pimps-free-stylin-at-the-fortune-500-club-lyrics
342,Donald Trump,World War 6,Boosie Badazz,neutral,political,2016,"If Trump wins, heÂês saying heÂês building the wall to stop the dope",http://genius.com/Boosie-badazz-world-war-6-lyrics
343,Donald Trump,Pop Style (Remix),Devvon Terrell,neutral,personal,2016,You want official like Donald Trump hair,http://genius.com/Devvon-terrell-pop-style-remix-lyrics
344,Donald Trump,Slenderman,Germ,neutral,N/A,2016,"That gives no fuck, like Trump and such",http://genius.com/Uicideboy-x-germ-slenderman-lyrics
345,Donald Trump,Misconceptions 3,Jgivens,neutral,political,2016,They shocked to see us like Donald Trump up in a taqueria,http://genius.com/Lecrae-misconceptions-3-lyrics
346,Donald Trump,Lost a Fan,KXNG Crooked,neutral,money,2016,"She homeless and they don't give a fuck / Gentrification, they laughin' getting rich as Trump",http://genius.com/Statik-kxng-lost-a-fan-lyrics
347,Donald Trump,FLEM,A$AP Ferg,negative,political,2016,"Trump win, I'm flying off the soil",http://genius.com/A-ap-ferg-flem-lyrics
348,Donald Trump,Living the Life,The Notorious B.I.G.,positive,money,2005,"Twenty seven cars and a twelve bedroom house, Now they call me Snoopy Trump",http://genius.com/The-notorious-big-living-the-life-lyrics
349,Donald Trump,Thought U Lost It,Caskey,negative,political,2016,Our country-fucked if I'm assessin' the candidates / If Donald Trump wins maybe a man of space,http://genius.com/Caskey-thought-u-lost-it-lyrics
350,Donald Trump,I Need,Croosh,negative,political,2016,I want to buy Donald Trump and sell him to El Chapo,http://genius.com/Croosh-i-need-lyrics
351,Donald Trump,Bad Boy on Death Row,Dave East,negative,N/A,2016,"Donald Trump ain't safe on my block, gotcha your wifey at IHOP",http://genius.com/Dave-east-bad-boy-on-death-row-lyrics
352,Donald Trump,CIT4DT,Dooley,negative,political,2016,We got a chopper in the trunk for Donald Trump,http://genius.com/Dooley-cit4dt-lyrics
353,Donald Trump,Hard (Freestyle),"Royce Da 5'9""",positive,hotel,2016,I'm flyer than Mos Def in a Trump tower surrounded by four chefs,http://genius.com/Royce-da-59-hard-freestyle-lyrics
354,Donald Trump,High Seas (C+),Tom Hobbes,positive,money,2013,And I'm all about that real estate so Donald Trump I feel you,http://genius.com/Tom-hobbes-high-seas-c-lyrics
355,Donald Trump,Priceless,Tory Lanez,positive,money,2014,I'm countin' money like I'm Donald Trump,http://genius.com/Tory-lanez-priceless-lyrics
356,Donald Trump,Billionaire,Twista,positive,money,2009,Donald Trump makin big money go-getter,http://genius.com/Twista-billionaire-lyrics
357,Donald Trump,Which Is Cool,Royce da 5â€™9â€ù,positive,hotel,2016,"Like Tommy Lee and Pam Anderson, I'm in the Trump Tower",http://genius.com/Royce-da-59-which-is-cool-lyrics
358,Donald Trump,My Speech (Queen's Speech Remix),Sik World,neutral,political,2016,Tryna battle me's dumb / Like a Mexican voting for Donald Trump,http://genius.com/Sik-world-my-speech-queens-speech-remix-lyrics
359,Donald Trump,Pocket Full of Stones,UGK,positive,N/A,1992,Fuck Black Caesar n----s call me Black Trump,http://genius.com/Ugk-pocket-full-of-stones-lyrics
360,Donald Trump,Nobody Speak,El-P,negative,personal,2016,Flame your crew quicker than Trump fucks his youngest,http://genius.com/Dj-shadow-nobody-speak-lyrics
361,Donald Trump,Look Me in My Eyes,Vado,positive,hotel,2014,"Having a bunch in the Plaza, top floor on the Trump",http://genius.com/Vado-look-me-in-my-eyes-lyrics
362,Donald Trump,Everything's a Go (Remix),Waka Flocka Flame,positive,money,2012,"Donald Trump bank account, you can call it that",http://genius.com/Waka-flocka-flame-everythings-a-go-remix-lyrics
363,Donald Trump,Wicked Freestyle,Jadakiss,negative,N/A,2016,Got the cuban sitting on the fuck Trump crewneck,http://genius.com/Fabolous-wicked-freestyle-lyrics
364,Donald Trump,Castle,Kevin Gates,negative,N/A,2016,I just told Donald Trump think about if you came from rubble,http://genius.com/Kevin-gates-castle-lyrics
365,Donald Trump,Cross 'Em Out and Put a 'K,Westside Connection,positive,money,1996,I smoke and make dough like Trump,http://genius.com/Westside-connection-cross-em-out-and-put-a-k-lyrics
366,Donald Trump,Muzzle Toe,Wu-Syndicate,positive,money,1999,"It's reg or not, pockets love Trump Donald",http://genius.com/Wu-syndicate-muzzle-toe-lyrics
367,Donald Trump,Red Drops,Limbz,negative,money,2016,My main problem with Trump is how he uses money as distortion / Shows that one man's cash can be everyone's misfortune,http://genius.com/Limbz-red-drops-lyrics
368,Donald Trump,No Smoke,Montana of 300,negative,N/A,2016,It's fuck all you n----s like Trump,http://genius.com/Montana-of-300-no-smoke-lyrics
369,Donald Trump,Out Here,The Weeknd,positive,hotel,2016,I'm out here in the Trump Tower,http://genius.com/The-weeknd-out-here-lyrics
370,Donald Trump,Come Again,Rockie Fresh,negative,political,2016,We fucking up if we let Trump in the office,http://genius.com/Rockie-fresh-come-again-lyrics
371,Donald Trump,Dope,T.I.,negative,N/A,2016,"Where I stay all they say is â€œFuck Trumpâ€ù, all day",http://genius.com/Ti-dope-lyrics
372,Donald Trump,Come Down (Remix),T.I.,negative,political,2016,"I fantasize shooting Trump down, A shot for every black man who got gunned down",http://genius.com/Anderson-paak-come-down-remix-lyrics
373,Donald Trump,Miss U,Young Thug,positive,money,2013,Feel like Donald Trump,http://genius.com/Young-thug-miss-u-lyrics
374,Donald Trump,On the Way,Young Thug,positive,money,2014,Bitches got bumps and I'm rich just like Donald Trump,http://genius.com/Mpa-duke-on-the-way-lyrics
375,Donald Trump,Digest It,Tiara,negative,political,2016,"The world gon' end real soon, especially if Trump gets elected",http://genius.com/Royce-da-59-digest-it-lyrics
376,Donald Trump,Constantly Hating,Young Thug,positive,money,2015,I've seen more holes than a golf course on Donald Trumps course,http://genius.com/Young-thug-constantly-hating-lyrics
377,Donald Trump,FDT (Fuck Donald Trump),YG & Nipsey Hussle,negative,political,2016,Fuck Donald Trump,http://genius.com/Yg-and-nipsey-hu-le-fdt-fuck-donald-trump-lyrics
378,Donald Trump,It's Goin' Down,Yung Joc,positive,money,2006,Boys from the hood call me black Donald Trump,http://genius.com/Yung-joc-its-goin-down-lyrics
