Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Abdul El-Sayed,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,-0.33000001,30.5,No,Nonwhite,No,No,No,No,Yes,No,,No,Yes,,,Yes,Yes,Yes,Yes,,,,
Gretchen Whitmer,MI,Governor of Michigan,Governor,Regular,8/7/18,Advanced,None,On the Ballot,-0.33000001,51.799999,Yes,White,No,No,Yes,No,No,No,,Yes,Yes,,,No,No,No,No,,,,
Shri Thanedar,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,-0.33000001,17.700001,No,Nonwhite,No,No,No,Yes,Yes,No,,No,Yes,,,No,No,No,No,,,,
Frank Accavitti Jr.,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,-29.58,32,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,
Kimberly Bizon,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-29.58,41.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Michael McCarthy (Michigan),MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,-29.58,26.9,No,,,,,No,,No,,,,,,,,,,,,,
Fayrouz Saad,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,19.5,No,Nonwhite,No,No,No,No,No,Yes,,,,,,,,Yes,,,,,
Haley Stevens,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-7.1799998,27,Yes,White,No,No,No,No,No,Yes,,,,,,,,No,,,,,
Nancy Skinner,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,10.4,No,White,No,No,No,No,No,No,,,,,,,,No,,,,,
Suneel Gupta,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,21.299999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,No,,,,,
Tim Greimel,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,-7.1799998,21.799999,No,White,No,No,Yes,No,No,No,,,,,,,,No,,,,,
Bill Wild,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,14,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Bill Wild,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,15.2,No,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Brenda Jones,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Advanced,None,On the Ballot,60.720001,37.700001,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Brenda Jones,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,29.200001,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Coleman Young II,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,12,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Ian Conyers,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,6.3000002,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Ian Conyers,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,11.2,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Rashida Tlaib,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Advanced,None,On the Ballot,60.720001,33.200001,Yes,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No
Rashida Tlaib,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,60.720001,35.900002,No,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No
Shanelle Jackson,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,60.720001,5.3000002,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,
Rob Davidson,MI,U.S. House Michigan District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-18.959999,100,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,Yes,,,
Cathy Albro,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-11.41,68.199997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Fred Wooden,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Lost,None,None,-11.41,31.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Jerry Hilliard,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-23.129999,66.400002,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Zigmond Kozicki,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Lost,None,None,-23.129999,33.599998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
David Benac,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,21.700001,No,White,No,No,No,No,No,No,,,Yes,,,,Yes,Yes,,,,,
George Franklin,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,28.1,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,,,,
Matt Longjohn,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-9.1800003,37.299999,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,
Rich Eichholz,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,-9.1800003,13,No,White,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,
Gretchen Driskell,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-16.059999,85.199997,Yes,White,No,No,Yes,No,No,No,Yes,Yes,,,,,No,,,,,,
Steven Friday,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Lost,None,None,-16.059999,14.8,No,White,Yes,No,No,No,No,No,No,No,,,,,Yes,,,,,,
Chris Smith,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Lost,None,None,-8.3299999,29.1,No,White,No,No,No,No,No,No,,No,,No,,,,,,,,,
Elissa Slotkin,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-8.3299999,70.900002,Yes,White,No,No,No,No,No,Yes,,Yes,,Yes,,,,,,,,,
Andy Levin,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Advanced,None,On the Ballot,7.1399999,52.5,Yes,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,
Ellen Lipton,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,7.1399999,42.400002,No,White,No,No,Yes,No,Yes,No,,Yes,Yes,,,,,,,,,,
Martin Brook,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,7.1399999,5.0999999,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,
Bill Haas,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,19.5,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,No,
Cort VanOstran,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-14.18,41.700001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,
John Messmer,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,9.6999998,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,
Mark Osmack,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,25.200001,No,White,Yes,No,No,No,No,No,,,Yes,,,,,,,,,Yes,
Robert Hazel,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,-14.18,4,No,White,No,No,No,No,No,No,,,,,,,,,,,,No,
Katy Geppert,MO,U.S. House Missouri District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-38.259998,100,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
Hallie Thompson,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Lost,None,None,-35.73,48.099998,No,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
Renee Hoagenson,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-35.73,51.900002,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Ed Andres,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,None,-31.610001,27.700001,No,,,,,No,,No,,,,,,,No,,,,,,
Henry Martin,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-31.610001,41.5,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,,,,,,
Winston Apple,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,None,-31.610001,30.799999,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,
Jamie Schoolcraft,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-46.130001,40.599998,Yes,White,Yes,No,Yes,No,Yes,No,,,Yes,,,,,Yes,,,,,
John Farmer de la Torre,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,21.700001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,No,,,,,
Kenneth Hatfield,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,22.299999,No,,,,,No,,No,,,No,,,,,No,,,,,
Vincent Jennings,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,-46.130001,15.4,No,,,,,No,,No,,,Yes,,,,,No,,,,,
Kathy Ellis,MO,U.S. House Missouri District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-51.810001,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Randy Wadkins,MS,U.S. House Mississippi District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.509998,100,Yes,,No,No,No,No,Yes,No,,,,,,,,,,,,,
Michael Aycox,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Lost,None,None,-26.129999,30.66,No,,Yes,Yes,No,No,No,No,,,,,,,,,,,,,
Michael Evans,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-26.129999,69.339996,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,
Jeramey Anderson,MS,U.S. House Mississippi District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-42.529999,100,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,Yes,,,
David Baria,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Advanced,Advanced,On the Ballot,-18.780001,30.98,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,
Howard Sherman,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Advanced,Lost,None,-18.780001,31.790001,No,White,No,No,No,No,No,No,,,,,,,,,,,,,
Jensen Bohren,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,3.21,No,,No,No,No,No,No,No,,,,,,,,,,,,,
Jerone Garland,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,4.8499999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,
Omeria Scott,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,24.200001,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,
Victor Maurice Jr.,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,4.96,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
Grant Kier,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,24.15,No,,No,No,No,No,Yes,No,,,No,,,,No,No,,,,,
Jared Pettinato,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,2.21,No,,No,No,No,No,No,No,,,No,,,,No,No,,,,,
John Heenan,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,31.709999,No,,No,No,No,Yes,No,No,,,No,,,,Yes,Yes,,,,,
John Meyer,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,3.3399999,No,,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,
Kathleen Williams,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.41,33.52,Yes,,No,No,Yes,No,No,No,,,Yes,,,,No,No,,,,,
Lynda Moss,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,5.0599999,No,,No,No,Yes,No,No,No,,,No,,,,No,No,,,,,
David Wilson Brown,NC,U.S. House North Carolina District 10,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-25.51,100,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Phillip Price,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-29.559999,40.59,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Scott Donaldson,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,None,None,-29.559999,28.27,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,
Steve Woodsmall,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,None,None,-29.559999,31.139999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,
Adam Coker,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Lost,None,None,-11.28,29.860001,No,White,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,
Kathy Manning,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-11.28,70.139999,Yes,White,No,No,No,No,No,No,Yes,Yes,No,,,,,,,,,,
Ken Romley,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,None,None,-12.98,32.299999,No,White,No,No,No,Yes,Yes,No,,,Yes,,,,,,,,,,
Linda Coleman,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-12.98,56,Yes,Nonwhite,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,
Wendy May,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,None,None,-12.98,11.7,No,White,Yes,Yes,No,No,No,No,,,Yes,,,,,,,,,,
Denise Adams,NC,U.S. House North Carolina District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-19.280001,54.400002,Yes,Nonwhite,No,No,Yes,No,No,No,,,No,,,,,No,,,Yes,,
Jenny Marshall,NC,U.S. House North Carolina District 5,Representative,Regular,5/8/18,Lost,None,None,-19.280001,45.599998,No,White,No,No,No,No,No,No,,,Yes,,,,,Yes,,,No,,
Gerald Wong,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Lost,None,None,-16.73,22.799999,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,No,,,
Ryan Watts,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-16.73,77.199997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,
Grayson Parker,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Lost,None,None,-18.98,33,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,
Kyle Horton,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-18.98,67,Yes,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
Frank McNeill,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-16.360001,56.099998,Yes,White,No,No,No,No,No,No,,,No,,,,,,,,,,
Marc Tiegel,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,None,None,-16.360001,20.9,No,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Scott Huffman,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,None,None,-16.360001,23,No,White,Yes,No,No,No,No,No,,,Yes,,,,,,,,,,
Christian Cano,NC,U.S. House North Carolina District 9,Representative,Regular,5/8/18,Lost,None,None,-14.13,17.200001,No,Nonwhite,No,Yes,No,No,No,No,No,,,,,,,,,No,,No,
Dan McCready,NC,U.S. House North Carolina District 9,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-14.13,82.800003,Yes,White,Yes,No,No,No,No,No,Yes,,,,,,,,,Yes,,Yes,
Mac Schneider,ND,U.S. House North Dakota At-large District,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-34.779999,100,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,
Bob Krist,NE,Governor of Nebraska,Governor,Regular,5/15/18,Advanced,None,On the Ballot,-26.76,59.810001,Yes,White,Yes,No,Yes,No,No,No,,,,,,,,,,,No,,
Tyler Davis,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,None,-26.76,11.39,No,White,No,No,No,No,No,No,,,,,,,,,,,No,,
Vanessa Ward,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,None,-26.76,28.799999,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,No,,
Dennis Crawford,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Lost,None,None,-22.66,33.900002,No,,No,No,No,No,No,No,,,Yes,,,,,,,,No,,
Jessica McClure,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-22.66,66.099998,Yes,,No,No,No,No,Yes,No,,,Yes,,,,,,,,No,,
Brad Ashford,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Lost,None,None,-5.98,48.360001,No,,No,No,Yes,No,No,No,Yes,,Yes,,,,,No,No,,No,,
Kara Eastman,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-5.98,51.639999,Yes,,No,No,No,No,No,No,No,,Yes,,,,,Yes,Yes,,Yes,,
Paul Theobald,NE,U.S. House Nebraska District 3,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-54.310001,100,Yes,,No,No,No,No,No,No,,,,,,,,,,,,,
Chris Janicek,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,20.219999,No,,No,No,No,No,No,No,,,,,,,,,,,,,
Frank Svoboda,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,11.37,No,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,
Jane Raybould,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Advanced,None,On the Ballot,-26.76,63.68,Yes,,No,No,Yes,No,No,No,,,,,,,,,,,,,
Larry Marvin,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,-26.76,4.7399998,No,,Yes,No,No,No,No,No,,,,,,,,,,,,,
Alison Heslin,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,2.7,No,,No,No,No,No,Yes,No,No,No,,No,,,,,,,,No,
Mark Washburne,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,3.4000001,No,,No,No,No,No,No,No,No,No,,No,,,,,,,,No,
Mikie Sherrill,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-4.6599998,77.5,Yes,,Yes,No,No,No,No,No,Yes,Yes,,Yes,,,,,,,,Yes,
Mitchell Cobert,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,1.9,No,,No,No,No,No,No,No,No,No,,No,,,,,,,,No,
Tamara Harris,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,-4.6599998,14.5,No,Nonwhite,No,No,No,Yes,No,No,No,No,,No,,,,,,,,No,
Jeff Van Drew,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-3.96,55.400002,Yes,White,No,No,Yes,No,No,No,Yes,,,,,,,,,No,,,
Nathan Kleinman,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,-3.96,8.6000004,No,,No,No,No,No,No,No,No,,,,,,,,,No,,,
Tanzie Youngblood,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,-3.96,19.200001,No,Nonwhite,No,No,No,No,No,No,No,,,,,,,,,Yes,,,
Will Cunningham,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,-3.96,16.799999,No,Nonwhite,No,Yes,No,No,No,No,No,,,,,,,,,No,,,
Andrew Kim,NJ,U.S. House New Jersey District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-6.0300002,100,Yes,Nonwhite,No,No,No,No,No,Yes,Yes,,,Yes,,,,,Yes,,Yes,,
Jim Keady,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Lost,None,None,-16.01,42.799999,No,White,No,No,Yes,No,No,No,,,,,,,Yes,,,,Yes,,
Josh Welle,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-16.01,57.200001,Yes,,Yes,No,No,No,No,No,,,,,,,No,,,,No,,
Goutam Jois,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,None,-3.26,14.1,No,Nonwhite,No,No,No,No,No,No,No,,,No,,,No,No,,,,,
Peter Jacob,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,None,-3.26,19.1,No,Nonwhite,No,No,No,No,No,No,No,,,No,,,Yes,Yes,,,,,
Tom Malinowski,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-3.26,66.800003,Yes,,No,No,No,No,No,Yes,Yes,,,Yes,,,No,No,,,,,
Jeff Apodaca,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,None,6.1599998,22.16,No,Nonwhite,No,No,No,Yes,No,No,,No,,,,,,,,,,,
Joseph Cervantes,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,None,6.1599998,11.47,No,Nonwhite,No,No,Yes,Yes,No,No,,No,,,,,,,,,,,
Michelle Lujan Grisham,NM,Governor of New Mexico,Governor,Regular,6/5/18,Advanced,None,On the Ballot,6.1599998,66.379997,Yes,Nonwhite,No,No,Yes,No,No,No,,Yes,,,,,,,,,,,
Antoinette Sedillo Lopez,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,20.610001,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,Yes,Yes,,,Yes,No,No
Damian Lara,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,3.29,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,No,No,,,No,No,No
Damon Martinez,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,25.809999,No,Nonwhite,Yes,No,No,No,No,No,,No,No,,No,,No,No,,,No,Yes,Yes
Debra Haaland,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,13.77,40.59,Yes,Nonwhite,No,No,No,No,No,Yes,,Yes,No,,Yes,,No,No,,,No,No,No
Patrick Davis,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,3.8,No,White,No,Yes,Yes,No,No,No,,No,Yes,,No,,No,No,,,No,No,No
Paul Moya,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,13.77,5.8899999,No,Nonwhite,No,No,No,No,No,No,,No,No,,No,,No,No,,,No,No,No
Madeline Hildebrandt,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,None,-11.88,27.379999,No,,Yes,No,No,No,No,No,No,No,,,,,Yes,,,,,,
Xochitl Torres Small,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-11.88,72.620003,Yes,Nonwhite,No,No,No,No,No,No,Yes,Yes,,,,,No,,,,,,
Asheesh Dewan,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,1.01,No,Nonwhite,No,No,No,No,No,No,,No,No,,,,,,,,No,,
Chris Giunchigliani,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,38.860001,No,,No,No,Yes,No,No,No,,Yes,Yes,,,,,,,,Yes,,
David Jones,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,1.73,No,,No,No,No,No,No,No,,No,No,,,,,,,,No,,
Henry Thorns,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,1.9,No,Nonwhite,No,No,No,No,Yes,No,,No,No,,,,,,,,No,,
John Bonaventura,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,2.99,No,,No,No,Yes,No,No,No,,No,No,,,,,,,,No,,
Steve Sisolak,NV,Governor of Nevada,Governor,Regular,6/12/18,Advanced,None,On the Ballot,0.94999999,50.029999,Yes,,No,No,Yes,No,No,No,,No,Yes,,,,,,,,No,,
Clint Koble,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-13.78,26.129999,Yes,,No,No,No,No,No,No,,,Yes,,,,No,,,,,,
Jack Schofield Jr.,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,7.5,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,
Jesse Hurley,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,8.04,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,
Patrick Fogarty,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,23.83,No,,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,,
Rick Shepherd,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,21.280001,No,,No,No,No,No,Yes,No,,,Yes,,,,No,,,,,,
Vance Alm,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,13.22,No,,Yes,No,No,No,No,No,,,No,,,,No,,,,,,
Eric Stoltz,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,7.2399998,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,
Guy Pinjuv,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,3.5,No,,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,
Jack Love,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,5.8000002,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,
Michael Weiss,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,8.1800003,No,,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,
Richard Hart,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,4.8499999,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,
