Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Gender,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?
Jeramey Anderson,MS,U.S. House Mississippi District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-42.529999,100,Yes,Nonwhite,No,No,Yes,No,No,No
David Baria,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Advanced,Advanced,On the Ballot,Male,-18.780001,30.98,Yes,White,No,No,Yes,No,No,No
Howard Sherman,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Advanced,Lost,None,Male,-18.780001,31.790001,No,White,No,No,No,No,No,No
Jensen Bohren,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,Male,-18.780001,3.21,No,,No,No,No,No,No,No
Jerone Garland,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,Male,-18.780001,4.8499999,No,Nonwhite,No,No,No,No,Yes,No
Omeria Scott,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,Female,-18.780001,24.200001,No,Nonwhite,No,No,Yes,No,No,No
Victor Maurice Jr.,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,Male,-18.780001,4.96,No,Nonwhite,Yes,No,No,No,No,No
Grant Kier,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,Male,-21.41,24.15,No,,No,No,No,No,Yes,No
Jared Pettinato,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,Male,-21.41,2.21,No,,No,No,No,No,No,No
John Heenan,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,Male,-21.41,31.709999,No,,No,No,No,Yes,No,No
John Meyer,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,Male,-21.41,3.3399999,No,,No,No,No,No,Yes,No
Kathleen Williams,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-21.41,33.52,Yes,,No,No,Yes,No,No,No
Lynda Moss,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,Female,-21.41,5.0599999,No,,No,No,Yes,No,No,No
David Wilson Brown,NC,U.S. House North Carolina District 10,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-25.51,100,Yes,White,No,No,No,No,No,No
Phillip Price,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-29.559999,40.59,Yes,White,No,No,No,No,No,No
Scott Donaldson,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,None,None,Male,-29.559999,28.27,No,White,No,No,No,No,Yes,No
Steve Woodsmall,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,None,None,Male,-29.559999,31.139999,No,White,Yes,No,No,No,No,No
Adam Coker,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Lost,None,None,Male,-11.28,29.860001,No,White,No,No,No,No,No,No
Kathy Manning,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-11.28,70.139999,Yes,White,No,No,No,No,No,No
Ken Romley,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,None,None,Male,-12.98,32.299999,No,White,No,No,No,Yes,Yes,No
Linda Coleman,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-12.98,56,Yes,Nonwhite,No,No,Yes,No,No,No
Wendy May,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,None,None,Female,-12.98,11.7,No,White,Yes,Yes,No,No,No,No
Denise Adams,NC,U.S. House North Carolina District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-19.280001,54.400002,Yes,Nonwhite,No,No,Yes,No,No,No
Jenny Marshall,NC,U.S. House North Carolina District 5,Representative,Regular,5/8/18,Lost,None,None,Female,-19.280001,45.599998,No,White,No,No,No,No,No,No
Gerald Wong,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Lost,None,None,Male,-16.73,22.799999,No,Nonwhite,No,No,No,No,No,No
Ryan Watts,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-16.73,77.199997,Yes,White,No,No,No,No,No,No
Grayson Parker,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Lost,None,None,Male,-18.98,33,No,White,No,No,No,No,Yes,No
Kyle Horton,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-18.98,67,Yes,White,No,No,No,No,Yes,No
Frank McNeill,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-16.360001,56.099998,Yes,White,No,No,No,No,No,No
Marc Tiegel,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,None,None,Male,-16.360001,20.9,No,White,No,No,No,No,No,No
Scott Huffman,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,None,None,Male,-16.360001,23,No,White,Yes,No,No,No,No,No
Christian Cano,NC,U.S. House North Carolina District 9,Representative,Regular,5/8/18,Lost,None,None,Male,-14.13,17.200001,No,Nonwhite,No,Yes,No,No,No,No
Dan McCready,NC,U.S. House North Carolina District 9,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-14.13,82.800003,Yes,White,Yes,No,No,No,No,No
Mac Schneider,ND,U.S. House North Dakota At-large District,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Male,-34.779999,100,Yes,,No,No,Yes,No,No,No
Bob Krist,NE,Governor of Nebraska,Governor,Regular,5/15/18,Advanced,None,On the Ballot,Male,-26.76,59.810001,Yes,White,Yes,No,Yes,No,No,No
Tyler Davis,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,None,Male,-26.76,11.39,No,White,No,No,No,No,No,No
Vanessa Ward,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,None,Female,-26.76,28.799999,No,Nonwhite,No,No,No,No,No,No
Dennis Crawford,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Lost,None,None,Male,-22.66,33.900002,No,,No,No,No,No,No,No
Jessica McClure,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,-22.66,66.099998,Yes,,No,No,No,No,Yes,No
Brad Ashford,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Lost,None,None,Male,-5.98,48.360001,No,,No,No,Yes,No,No,No
Kara Eastman,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,-5.98,51.639999,Yes,,No,No,No,No,No,No
Paul Theobald,NE,U.S. House Nebraska District 3,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Male,-54.310001,100,Yes,,No,No,No,No,No,No
Chris Janicek,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,Male,-26.76,20.219999,No,,No,No,No,No,No,No
Frank Svoboda,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,Male,-26.76,11.37,No,,Yes,No,Yes,No,No,No
Jane Raybould,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Advanced,None,On the Ballot,Female,-26.76,63.68,Yes,,No,No,Yes,No,No,No
Larry Marvin,NE,U.S. Senate Nebraska,Senator,Regular,5/15/18,Lost,None,None,Male,-26.76,4.7399998,No,,Yes,No,No,No,No,No
Alison Heslin,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,Female,-4.6599998,2.7,No,,No,No,No,No,Yes,No
Mark Washburne,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,Male,-4.6599998,3.4000001,No,,No,No,No,No,No,No
Mikie Sherrill,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-4.6599998,77.5,Yes,,Yes,No,No,No,No,No
Mitchell Cobert,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,Male,-4.6599998,1.9,No,,No,No,No,No,No,No
Tamara Harris,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,Female,-4.6599998,14.5,No,Nonwhite,No,No,No,Yes,No,No
Jeff Van Drew,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-3.96,55.400002,Yes,White,No,No,Yes,No,No,No
Nathan Kleinman,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,Male,-3.96,8.6000004,No,,No,No,No,No,No,No
Tanzie Youngblood,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,Female,-3.96,19.200001,No,Nonwhite,No,No,No,No,No,No
Will Cunningham,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,Male,-3.96,16.799999,No,Nonwhite,No,Yes,No,No,No,No
Andrew Kim,NJ,U.S. House New Jersey District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-6.0300002,100,Yes,Nonwhite,No,No,No,No,No,Yes
Jim Keady,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Lost,None,None,Male,-16.01,42.799999,No,White,No,No,Yes,No,No,No
Josh Welle,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-16.01,57.200001,Yes,,Yes,No,No,No,No,No
Goutam Jois,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,None,Male,-3.26,14.1,No,Nonwhite,No,No,No,No,No,No
Peter Jacob,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,None,Male,-3.26,19.1,No,Nonwhite,No,No,No,No,No,No
Tom Malinowski,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-3.26,66.800003,Yes,,No,No,No,No,No,Yes
Jeff Apodaca,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,None,Male,6.1599998,22.16,No,Nonwhite,No,No,No,Yes,No,No
Joseph Cervantes,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,None,Male,6.1599998,11.47,No,Nonwhite,No,No,Yes,Yes,No,No
Michelle Lujan Grisham,NM,Governor of New Mexico,Governor,Regular,6/5/18,Advanced,None,On the Ballot,Female,6.1599998,66.379997,Yes,Nonwhite,No,No,Yes,No,No,No
Antoinette Sedillo Lopez,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,Female,13.77,20.610001,No,Nonwhite,No,No,No,No,No,No
Damian Lara,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,Male,13.77,3.29,No,Nonwhite,No,No,No,No,No,No
Damon Martinez,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,Male,13.77,25.809999,No,Nonwhite,Yes,No,No,No,No,No
Debra Haaland,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,13.77,40.59,Yes,Nonwhite,No,No,No,No,No,Yes
Patrick Davis,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,Male,13.77,3.8,No,White,No,Yes,Yes,No,No,No
Paul Moya,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,Male,13.77,5.8899999,No,Nonwhite,No,No,No,No,No,No
Madeline Hildebrandt,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,None,Female,-11.88,27.379999,No,,Yes,No,No,No,No,No
Xochitl Torres Small,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-11.88,72.620003,Yes,Nonwhite,No,No,No,No,No,No
Asheesh Dewan,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,Male,0.94999999,1.01,No,Nonwhite,No,No,No,No,No,No
Chris Giunchigliani,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,Female,0.94999999,38.860001,No,,No,No,Yes,No,No,No
David Jones,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,Male,0.94999999,1.73,No,,No,No,No,No,No,No
Henry Thorns,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,Male,0.94999999,1.9,No,Nonwhite,No,No,No,No,Yes,No
John Bonaventura,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,Male,0.94999999,2.99,No,,No,No,Yes,No,No,No
Steve Sisolak,NV,Governor of Nevada,Governor,Regular,6/12/18,Advanced,None,On the Ballot,Male,0.94999999,50.029999,Yes,,No,No,Yes,No,No,No
Clint Koble,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Male,-13.78,26.129999,Yes,,No,No,No,No,No,No
Jack Schofield Jr.,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,Male,-13.78,7.5,No,,No,No,No,No,No,No
Jesse Hurley,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,Male,-13.78,8.04,No,,No,No,No,No,No,No
Patrick Fogarty,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,Male,-13.78,23.83,No,,No,No,No,No,Yes,No
Rick Shepherd,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,Male,-13.78,21.280001,No,,No,No,No,No,Yes,No
Vance Alm,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,Male,-13.78,13.22,No,,Yes,No,No,No,No,No
Eric Stoltz,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,Male,-3.0799999,7.2399998,No,,No,No,No,No,No,No
Guy Pinjuv,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,Male,-3.0799999,3.5,No,,No,No,No,No,Yes,No
Jack Love,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,Male,-3.0799999,5.8000002,No,,No,No,No,No,No,No
Michael Weiss,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,Male,-3.0799999,8.1800003,No,,No,No,No,No,Yes,No
Richard Hart,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,Male,-3.0799999,4.8499999,No,,No,No,No,No,No,No
Steve Schiffman,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,Male,-3.0799999,3.51,No,,No,No,No,No,No,No
Susie Lee,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Female,-3.0799999,66.910004,Yes,,No,No,No,No,No,No
Allison Stephens,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,Female,3.8199999,6.02,No,Nonwhite,No,No,Yes,No,No,No
Amy Vilela,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,Female,3.8199999,9.1999998,No,,No,No,No,No,No,No
John Anzalone,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,Male,3.8199999,5.8000002,No,,No,No,No,No,No,No
Patricia Spearman,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,Female,3.8199999,15.24,No,Nonwhite,Yes,Yes,Yes,No,No,No
Sid Zeller,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,Male,3.8199999,2,No,,Yes,No,No,No,No,No
Steven Horsford,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Male,3.8199999,61.740002,Yes,Nonwhite,No,No,Yes,No,No,No
Allen Rheinhart,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,Male,0.94999999,3.3299999,No,Nonwhite,No,No,No,No,No,No
Bobby Mahendra,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,Male,0.94999999,2.6700001,No,Nonwhite,No,No,No,No,No,No
Daniel Burleigh,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,Male,0.94999999,2.26,No,,No,No,No,No,No,No
David Drew Knight,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,Male,0.94999999,4.4299998,No,,No,No,No,No,No,No
Jacky Rosen,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Advanced,None,On the Ballot,Female,0.94999999,77.110001,Yes,,No,No,Yes,No,Yes,No
Jesse Sbaih,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,Male,0.94999999,3.1700001,No,Nonwhite,No,No,No,Yes,No,No
David Pechefsky,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,Male,-11.63,11.9,No,,No,No,No,No,No,No
Elaine DiMasi,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,Female,-11.63,5.9200001,No,,No,No,No,No,Yes,No
Kate Browning,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,Female,-11.63,30.32,No,White,No,No,Yes,No,No,No
Perry Gershon,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,-11.63,35.450001,Yes,,No,No,No,Yes,Yes,No
Vivian Viloria-Fisher,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,Female,-11.63,16.26,No,Nonwhite,No,No,Yes,No,No,No
Max Rose,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,-8.8100004,62.650002,Yes,,Yes,No,No,No,No,No
Michael DeVito Jr.,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,Male,-8.8100004,18.42,No,Nonwhite,Yes,No,No,No,No,No
Omar Vaid,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,Male,-8.8100004,8.4300003,No,Nonwhite,No,No,No,No,No,No
Paul Sperling,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,Male,-8.8100004,2.29,No,,No,No,No,No,No,No
Radhakrishna Mohan,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,Male,-8.8100004,3.78,No,Nonwhite,No,No,No,No,Yes,No
Zach Emig,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,Male,-8.8100004,1.26,No,,No,No,No,No,No,No
Antonio Delgado,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,-6.0799999,21.99,Yes,Nonwhite,No,No,No,No,No,No
Brian Flynn,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,Male,-6.0799999,13.18,No,White,No,No,No,Yes,No,No
David Clegg,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,Male,-6.0799999,11.08,No,,No,No,No,Yes,No,No
Erin Collier,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,Female,-6.0799999,4.8600001,No,,No,No,No,No,No,No
Gareth Rhodes,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,Male,-6.0799999,17.85,No,,No,No,No,No,No,No
Jeff Beals,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,Male,-6.0799999,13.18,No,,No,No,No,No,No,No
Pat Ryan,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,Male,-6.0799999,17.719999,No,,Yes,No,No,No,No,No
DuWayne Gregory,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Lost,None,None,Male,-8.2600002,41.639999,No,Nonwhite,Yes,No,Yes,No,No,No
Liuba Grechen Shirley,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Female,-8.2600002,57.98,Yes,,No,No,No,No,No,No
Dylan Ratigan,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,Male,-11.43,11.91,No,,No,No,No,No,No,No
Emily Martz,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,Female,-11.43,10.37,No,,No,No,No,No,No,No
Katie Wilson,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,Female,-11.43,11.68,No,,No,No,No,No,No,No
Patrick Nelson,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,Male,-11.43,9.1199999,No,White,No,No,No,No,Yes,No
Tedra Cobb,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Female,-11.43,56.009998,Yes,,No,No,Yes,No,No,No
Anthony Brindisi,NY,U.S. House New York District 22,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,-14.26,100,Yes,,No,No,Yes,No,No,No
Eddie Sundquist,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,Male,-13.93,6.4200001,No,,No,Yes,No,No,Yes,No
Ian Golden,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,Male,-13.93,13.44,No,,No,No,No,No,No,No
Linda Andrei,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,Female,-13.93,15.33,No,,No,No,No,No,Yes,No
Max Della Pia,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,Male,-13.93,32.400002,No,,Yes,No,No,No,No,No
Tracy Mitrano,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Female,-13.93,32.299999,Yes,,No,No,No,No,No,No
Dana Balter,NY,U.S. House New York District 24,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Female,4.1399999,62.380001,Yes,,No,No,No,No,No,No
Juanita Perez Williams,NY,U.S. House New York District 24,Representative,Regular,6/26/18,Lost,None,None,Female,4.1399999,37.23,No,Nonwhite,Yes,No,No,No,No,No
Adam McFadden,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,Male,14.62,17.450001,No,Nonwhite,No,No,Yes,No,No,No
Joseph Morelle,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,14.62,45.290001,Yes,,No,No,Yes,No,No,No
Rachel Barnhart,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,Female,14.62,19.77,No,,No,No,No,No,No,No
Robin Wilt,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,Female,14.62,17.35,No,Nonwhite,No,No,Yes,No,No,No
Nate McMurray,NY,U.S. House New York District 27,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,-24.01,100,Yes,White,No,No,Yes,No,No,No
Dennis J. Kucinich,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,Male,-7.8899999,22.98,No,White,No,No,Yes,No,No,No
Joseph Schiavoni,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,Male,-7.8899999,9.1700001,No,,No,No,Yes,No,No,No
Larry Ealy,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,Male,-7.8899999,1.02,No,Nonwhite,No,No,No,No,No,No
Paul Ray,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,Male,-7.8899999,1.38,No,,No,No,No,No,No,No
Richard Cordray,OH,Governor of Ohio,Governor,Regular,5/8/18,Advanced,None,On the Ballot,Male,-7.8899999,62.16,Yes,White,No,No,Yes,No,No,Yes
William O'Neill,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,Male,-7.8899999,3.29,No,White,Yes,No,Yes,No,No,No
Aftab Pureval,OH,U.S. House Ohio District 1,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-9.0100002,100,Yes,Nonwhite,No,No,Yes,No,No,No
Michael Milisits,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,Lost,None,None,Male,-8.4799995,7.4000001,No,,No,No,No,No,No,No
Robert Klepinger,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,Lost,None,None,Male,-8.4799995,25.6,No,,No,No,No,No,Yes,No
Theresa Gasper,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-8.4799995,67.019997,Yes,,No,No,No,No,No,No
Danny O'Connor,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-13.63,40.52,Yes,,No,No,Yes,No,No,No
Danny O'Connor,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Advanced,None,On the Ballot,Male,-13.63,40.939999,Yes,,No,No,Yes,No,No,No
Doug Wilson,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,Male,-13.63,3.9400001,No,,No,No,Yes,No,No,No
Doug Wilson,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,Male,-13.63,3.74,No,,No,No,Yes,No,No,No
Ed Albertson,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,Male,-13.63,8.0799999,No,,Yes,No,No,No,No,No
Ed Albertson,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,Male,-13.63,7.8600001,No,,Yes,No,No,No,No,No
Jackie Patton,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,Female,-13.63,13.58,No,,No,No,No,No,No,No
Jackie Patton,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,Female,-13.63,14.02,No,,No,No,No,No,No,No
John Peters,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,Male,-13.63,1.49,No,,No,No,No,No,No,No
John Russell,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,Male,-13.63,16.27,No,,No,No,No,No,No,No
John Russell,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,Male,-13.63,16.700001,No,,No,No,No,No,No,No
Zach Scott,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,Male,-13.63,16.1,No,,No,No,Yes,No,No,No
Zach Scott,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,Male,-13.63,16.76,No,,No,No,Yes,No,No,No
Betsy Rader,OH,U.S. House Ohio District 14,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-11.98,100,Yes,,No,No,No,No,No,No
Rick Neal,OH,U.S. House Ohio District 15,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-15.48,63.540001,Yes,,No,Yes,No,No,No,No
Rob Jarvis,OH,U.S. House Ohio District 15,Representative,Regular,5/8/18,Lost,None,None,Male,-15.48,36.459999,No,,No,No,No,No,No,No
Aaron Godfrey,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,Male,-17.030001,7.9099998,No,,No,No,No,No,Yes,No
Grant Goodrich,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,Male,-17.030001,28.059999,No,,Yes,No,No,No,No,No
John Wilson,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,Male,-17.030001,4.48,No,,No,No,No,No,No,No
Mark Dent,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,Male,-17.030001,9.3800001,No,,Yes,No,No,No,No,No
Susan Moran Palmer,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-17.030001,34.630001,Yes,,No,No,No,No,No,No
TJ Mulloy,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,Male,-17.030001,15.54,No,White,No,No,No,No,No,No
Janet Everhard,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,Lost,None,None,Female,-17.360001,34.400002,No,,No,No,No,No,No,No
