metro_area,holc_grade,white_pop,black_pop,hisp_pop,asian_pop,other_pop,total_pop,pct_white,pct_black,pct_hisp,pct_asian,pct_other,lq_white,lq_black,lq_hisp,lq_asian,lq_other,surr_area_white_pop,surr_area_black_pop,surr_area_hisp_pop,surr_area_asian_pop,surr_area_other_pop,surr_area_pct_white,surr_area_pct_black,surr_area_pct_hisp,surr_area_pct_asian,surr_area_pct_other
"Lima, OH",B,"5000","1925","358","27","802","8112",61.63,23.73,4.41,0.33,9.89,0.95,1.04,1.12,0.39,1.3,"32359","11403","1977","427","3794",64.77,22.82,3.96,0.85,7.59
"Lima, OH",C,"8466","3582","631","82","1244","14004",60.45,25.57,4.51,0.58,8.88,0.93,1.12,1.14,0.68,1.17,"32359","11403","1977","427","3794",64.77,22.82,3.96,0.85,7.59
"Lima, OH",D,"2046","1117","162","8","321","3653",56,30.57,4.44,0.22,8.78,0.86,1.34,1.12,0.25,1.16,"32359","11403","1977","427","3794",64.77,22.82,3.96,0.85,7.59
"Lincoln, NE",A,"21748","1368","2227","871","1723","27937",77.85,4.9,7.97,3.12,6.17,1.04,0.97,0.84,0.64,1.04,"167288","11353","21276","10856","13276",74.67,5.07,9.5,4.85,5.93
"Lincoln, NE",B,"24405","2258","4199","1602","2519","34983",69.76,6.46,12,4.58,7.2,0.93,1.27,1.26,0.95,1.21,"167288","11353","21276","10856","13276",74.67,5.07,9.5,4.85,5.93
"Lincoln, NE",C,"30964","3176","6178","2977","3209","46504",66.58,6.83,13.29,6.4,6.9,0.89,1.35,1.4,1.32,1.16,"167288","11353","21276","10856","13276",74.67,5.07,9.5,4.85,5.93
"Lincoln, NE",D,"3815","219","408","189","229","4861",78.49,4.5,8.39,3.9,4.72,1.05,0.89,0.88,0.8,0.8,"167288","11353","21276","10856","13276",74.67,5.07,9.5,4.85,5.93
"Little Rock-North Little Rock-Conway, AR",A,"7758","1683","358","131","573","10502",73.87,16.02,3.4,1.25,5.46,1.72,0.36,0.49,0.89,1.14,"35044","35864","5652","1148","3901",42.94,43.95,6.93,1.41,4.78
"Little Rock-North Little Rock-Conway, AR",B,"4541","3905","454","98","520","9518",47.71,41.03,4.77,1.03,5.47,1.11,0.93,0.69,0.73,1.14,"35044","35864","5652","1148","3901",42.94,43.95,6.93,1.41,4.78
"Little Rock-North Little Rock-Conway, AR",C,"2452","7501","518","76","523","11071",22.15,67.76,4.68,0.69,4.73,0.52,1.54,0.68,0.49,0.99,"35044","35864","5652","1148","3901",42.94,43.95,6.93,1.41,4.78
"Little Rock-North Little Rock-Conway, AR",D,"739","6785","301","40","342","8208",9,82.67,3.67,0.49,4.17,0.21,1.88,0.53,0.35,0.87,"35044","35864","5652","1148","3901",42.94,43.95,6.93,1.41,4.78
"Los Angeles-Long Beach-Anaheim, CA",A,"105689","12769","24966","31932","11471","186826",56.57,6.83,13.36,17.09,6.14,2.24,1.06,0.28,1.02,1.53,"2865758","732335","5415084","1901342","455077",25.21,6.44,47.63,16.72,4
"Los Angeles-Long Beach-Anaheim, CA",B,"247872","57465","228153","81961","32785","648236",38.24,8.86,35.2,12.64,5.06,1.52,1.38,0.74,0.76,1.26,"2865758","732335","5415084","1901342","455077",25.21,6.44,47.63,16.72,4
"Los Angeles-Long Beach-Anaheim, CA",C,"533108","205869","1233028","355088","91402","2418494",22.04,8.51,50.98,14.68,3.78,0.87,1.32,1.07,0.88,0.94,"2865758","732335","5415084","1901342","455077",25.21,6.44,47.63,16.72,4
"Los Angeles-Long Beach-Anaheim, CA",D,"172344","88680","741481","119721","38578","1160805",14.85,7.64,63.88,10.31,3.32,0.59,1.19,1.34,0.62,0.83,"2865758","732335","5415084","1901342","455077",25.21,6.44,47.63,16.72,4
"Louisville/Jefferson County, KY-IN",A,"17428","414","546","301","783","19473",89.5,2.13,2.81,1.55,4.02,1.64,0.07,0.39,0.61,0.76,"190102","106960","24986","8791","18560",54.41,30.61,7.15,2.52,5.31
"Louisville/Jefferson County, KY-IN",B,"21106","9441","1262","632","1662","34102",61.89,27.68,3.7,1.85,4.87,1.14,0.9,0.52,0.74,0.92,"190102","106960","24986","8791","18560",54.41,30.61,7.15,2.52,5.31
"Louisville/Jefferson County, KY-IN",C,"42462","31762","5173","1945","4932","86274",49.22,36.82,6,2.25,5.72,0.9,1.2,0.84,0.9,1.08,"190102","106960","24986","8791","18560",54.41,30.61,7.15,2.52,5.31
"Louisville/Jefferson County, KY-IN",D,"19738","21738","1805","835","2582","46698",42.27,46.55,3.87,1.79,5.53,0.78,1.52,0.54,0.71,1.04,"190102","106960","24986","8791","18560",54.41,30.61,7.15,2.52,5.31
"Lynchburg, VA",A,"1666","250","86","19","141","2161",77.09,11.57,3.97,0.86,6.51,1.43,0.34,0.9,0.71,1.05,"25277","16225","2066","565","2905",53.74,34.49,4.39,1.2,6.17
"Lynchburg, VA",B,"2073","527","144","29","258","3031",68.4,17.38,4.76,0.94,8.52,1.27,0.5,1.08,0.78,1.38,"25277","16225","2066","565","2905",53.74,34.49,4.39,1.2,6.17
"Lynchburg, VA",C,"3170","5021","363","79","631","9263",34.22,54.2,3.92,0.85,6.82,0.64,1.57,0.89,0.71,1.1,"25277","16225","2066","565","2905",53.74,34.49,4.39,1.2,6.17
"Lynchburg, VA",D,"411","1667","87","11","191","2367",17.35,70.43,3.68,0.44,8.08,0.32,2.04,0.84,0.37,1.31,"25277","16225","2066","565","2905",53.74,34.49,4.39,1.2,6.17
"Macon-Bibb County, GA",A,"312","47","6","6","26","398",78.46,11.77,1.57,1.58,6.62,3.42,0.17,0.37,1.97,1.94,"14914","44634","2799","522","2216",22.92,68.58,4.3,0.8,3.4
"Macon-Bibb County, GA",B,"1601","1043","89","30","111","2873",55.71,36.29,3.09,1.05,3.85,2.43,0.53,0.72,1.31,1.13,"14914","44634","2799","522","2216",22.92,68.58,4.3,0.8,3.4
"Macon-Bibb County, GA",C,"1712","3856","202","31","255","6055",28.27,63.67,3.34,0.51,4.21,1.23,0.93,0.78,0.63,1.24,"14914","44634","2799","522","2216",22.92,68.58,4.3,0.8,3.4
"Macon-Bibb County, GA",D,"2815","11500","708","124","570","15717",17.91,73.17,4.5,0.79,3.63,0.78,1.07,1.05,0.98,1.07,"14914","44634","2799","522","2216",22.92,68.58,4.3,0.8,3.4
"Madison, WI",A,"4782","79","230","207","330","5628",84.98,1.4,4.09,3.67,5.86,1.23,0.19,0.43,0.43,1.07,"132989","13987","18456","16335","10524",69.16,7.27,9.6,8.5,5.47
"Madison, WI",B,"9767","196","527","523","677","11690",83.55,1.68,4.51,4.47,5.79,1.21,0.23,0.47,0.53,1.06,"132989","13987","18456","16335","10524",69.16,7.27,9.6,8.5,5.47
"Madison, WI",C,"39031","1976","3338","5468","2946","52759",73.98,3.75,6.33,10.36,5.58,1.07,0.51,0.66,1.22,1.02,"132989","13987","18456","16335","10524",69.16,7.27,9.6,8.5,5.47
"Madison, WI",D,"9801","993","1358","1030","765","13947",70.27,7.12,9.74,7.39,5.48,1.02,0.98,1.01,0.87,1,"132989","13987","18456","16335","10524",69.16,7.27,9.6,8.5,5.47
"Manchester-Nashua, NH",A,"2367","95","179","112","143","2895",81.77,3.27,6.17,3.85,4.93,1.09,0.67,0.54,0.98,1.01,"89550","5865","13646","4716","5843",74.86,4.9,11.41,3.94,4.88
"Manchester-Nashua, NH",B,"4915","112","362","94","284","5766",85.23,1.94,6.27,1.63,4.92,1.14,0.4,0.55,0.41,1.01,"89550","5865","13646","4716","5843",74.86,4.9,11.41,3.94,4.88
"Manchester-Nashua, NH",C,"31977","2440","5977","1663","2283","44340",72.12,5.5,13.48,3.75,5.15,0.96,1.12,1.18,0.95,1.05,"89550","5865","13646","4716","5843",74.86,4.9,11.41,3.94,4.88
"Manchester-Nashua, NH",D,"10158","1475","3554","772","976","16935",59.98,8.71,20.99,4.56,5.77,0.8,1.78,1.84,1.16,1.18,"89550","5865","13646","4716","5843",74.86,4.9,11.41,3.94,4.88
"Memphis, TN-MS-AR",A,"8959","1235","441","271","467","11373",78.78,10.86,3.88,2.38,4.11,2.82,0.19,0.45,1.23,1.22,"59648","124683","18258","4124","7185",27.89,58.29,8.54,1.93,3.36
"Memphis, TN-MS-AR",B,"21832","13925","2309","1157","1859","41082",53.14,33.9,5.62,2.82,4.52,1.91,0.58,0.66,1.46,1.35,"59648","124683","18258","4124","7185",27.89,58.29,8.54,1.93,3.36
"Memphis, TN-MS-AR",C,"7395","31463","3961","707","1449","44975",16.44,69.96,8.81,1.57,3.22,0.59,1.2,1.03,0.82,0.96,"59648","124683","18258","4124","7185",27.89,58.29,8.54,1.93,3.36
"Memphis, TN-MS-AR",D,"6411","40967","1894","684","1541","51496",12.45,79.55,3.68,1.33,2.99,0.45,1.36,0.43,0.69,0.89,"59648","124683","18258","4124","7185",27.89,58.29,8.54,1.93,3.36
"Miami-Fort Lauderdale-Pompano Beach, FL",A,"15441","1002","19378","699","1765","38286",40.33,2.62,50.62,1.83,4.61,2.81,0.15,0.78,1.53,1.85,"160777","193809","723188","13318","27810",14.37,17.32,64.63,1.19,2.49
"Miami-Fort Lauderdale-Pompano Beach, FL",B,"21523","5111","44671","1305","2735","75345",28.57,6.78,59.29,1.73,3.63,1.99,0.39,0.92,1.45,1.46,"160777","193809","723188","13318","27810",14.37,17.32,64.63,1.19,2.49
"Miami-Fort Lauderdale-Pompano Beach, FL",C,"25997","14078","120894","2416","4752","168137",15.46,8.37,71.9,1.44,2.83,1.08,0.48,1.11,1.21,1.14,"160777","193809","723188","13318","27810",14.37,17.32,64.63,1.19,2.49
"Miami-Fort Lauderdale-Pompano Beach, FL",D,"5731","37805","75763","546","2004","121849",4.7,31.03,62.18,0.45,1.64,0.33,1.79,0.96,0.38,0.66,"160777","193809","723188","13318","27810",14.37,17.32,64.63,1.19,2.49
"Milwaukee-Waukesha, WI",A,"18562","4552","1236","702","1248","26301",70.58,17.31,4.7,2.67,4.74,1.36,0.75,0.31,0.52,1.04,"542455","242028","156702","53517","47372",52.06,23.23,15.04,5.14,4.55
"Milwaukee-Waukesha, WI",B,"56900","24711","9262","3411","4836","99120",57.41,24.93,9.34,3.44,4.88,1.1,1.07,0.62,0.67,1.07,"542455","242028","156702","53517","47372",52.06,23.23,15.04,5.14,4.55
"Milwaukee-Waukesha, WI",C,"99810","91603","50236","9649","12327","263626",37.86,34.75,19.06,3.66,4.68,0.73,1.5,1.27,0.71,1.03,"542455","242028","156702","53517","47372",52.06,23.23,15.04,5.14,4.55
"Milwaukee-Waukesha, WI",D,"55179","35108","47596","5823","7121","150828",36.58,23.28,31.56,3.86,4.72,0.7,1,2.1,0.75,1.04,"542455","242028","156702","53517","47372",52.06,23.23,15.04,5.14,4.55
"Minneapolis-St. Paul-Bloomington, MN-WI",A,"54422","2380","2850","2653","3780","66086",82.35,3.6,4.31,4.01,5.72,1.39,0.24,0.44,0.39,0.92,"750034","187333","124556","129699","78693",59.04,14.75,9.81,10.21,6.19
"Minneapolis-St. Paul-Bloomington, MN-WI",B,"142550","21767","21138","11676","14591","211722",67.33,10.28,9.98,5.51,6.89,1.14,0.7,1.02,0.54,1.11,"750034","187333","124556","129699","78693",59.04,14.75,9.81,10.21,6.19
"Minneapolis-St. Paul-Bloomington, MN-WI",C,"92973","53600","29830","30944","15626","222973",41.7,24.04,13.38,13.88,7.01,0.71,1.63,1.36,1.36,1.13,"750034","187333","124556","129699","78693",59.04,14.75,9.81,10.21,6.19
"Minneapolis-St. Paul-Bloomington, MN-WI",D,"39558","30475","9175","11681","6144","97032",40.77,31.41,9.46,12.04,6.33,0.69,2.13,0.96,1.18,1.02,"750034","187333","124556","129699","78693",59.04,14.75,9.81,10.21,6.19
"Mobile, AL",A,"220","54","8","1","10","294",74.86,18.49,2.77,0.36,3.52,2.42,0.29,1.32,0.75,1.06,"12761","25995","865","196","1367",30.99,63.12,2.1,0.48,3.32
"Mobile, AL",B,"1673","231","61","24","90","2079",80.5,11.12,2.92,1.14,4.32,2.6,0.18,1.39,2.4,1.3,"12761","25995","865","196","1367",30.99,63.12,2.1,0.48,3.32
"Mobile, AL",C,"5725","4362","297","54","432","10870",52.67,40.13,2.73,0.5,3.98,1.7,0.64,1.3,1.04,1.2,"12761","25995","865","196","1367",30.99,63.12,2.1,0.48,3.32
"Mobile, AL",D,"1468","10140","133","21","353","12115",12.12,83.7,1.1,0.18,2.91,0.39,1.33,0.52,0.37,0.88,"12761","25995","865","196","1367",30.99,63.12,2.1,0.48,3.32
"Montgomery, AL",A,"2581","593","101","31","156","3462",74.56,17.13,2.9,0.89,4.51,2.14,0.31,0.57,0.86,1.28,"26496","42303","3860","785","2676",34.81,55.57,5.07,1.03,3.52
"Montgomery, AL",B,"1648","1501","79","32","92","3351",49.18,44.79,2.35,0.95,2.74,1.41,0.81,0.46,0.92,0.78,"26496","42303","3860","785","2676",34.81,55.57,5.07,1.03,3.52
"Montgomery, AL",C,"4823","7477","1481","93","561","14433",33.41,51.8,10.26,0.64,3.88,0.96,0.93,2.02,0.62,1.1,"26496","42303","3860","785","2676",34.81,55.57,5.07,1.03,3.52
"Montgomery, AL",D,"3145","10738","876","161","431","15350",20.49,69.96,5.71,1.05,2.81,0.59,1.26,1.13,1.02,0.8,"26496","42303","3860","785","2676",34.81,55.57,5.07,1.03,3.52
"Muskegon, MI",A,"706","12","33","4","39","794",88.9,1.47,4.19,0.56,4.89,1.54,0.05,0.57,0.95,0.74,"40830","19405","5210","413","4671",57.89,27.51,7.39,0.59,6.62
"Muskegon, MI",B,"3614","2285","817","44","475","7234",49.95,31.59,11.29,0.6,6.57,0.86,1.15,1.53,1.03,0.99,"40830","19405","5210","413","4671",57.89,27.51,7.39,0.59,6.62
"Muskegon, MI",C,"4665","5043","1171","36","979","11894",39.22,42.4,9.84,0.3,8.23,0.68,1.54,1.33,0.52,1.24,"40830","19405","5210","413","4671",57.89,27.51,7.39,0.59,6.62
"Muskegon, MI",D,"7755","8234","1525","70","1340","18926",40.98,43.51,8.06,0.37,7.08,0.71,1.58,1.09,0.63,1.07,"40830","19405","5210","413","4671",57.89,27.51,7.39,0.59,6.62
"Nashville-Davidson--Murfreesboro--Franklin, TN",A,"27202","639","897","909","992","30639",88.78,2.09,2.93,2.97,3.24,1.56,0.08,0.28,0.93,0.78,"182676","81216","33753","10241","13290",56.88,25.29,10.51,3.19,4.14
"Nashville-Davidson--Murfreesboro--Franklin, TN",B,"29020","4289","2098","2656","1843","39906",72.72,10.75,5.26,6.66,4.62,1.28,0.42,0.5,2.09,1.12,"182676","81216","33753","10241","13290",56.88,25.29,10.51,3.19,4.14
"Nashville-Davidson--Murfreesboro--Franklin, TN",C,"19861","5473","1919","785","1333","29371",67.62,18.63,6.53,2.67,4.54,1.19,0.74,0.62,0.84,1.1,"182676","81216","33753","10241","13290",56.88,25.29,10.51,3.19,4.14
"Nashville-Davidson--Murfreesboro--Franklin, TN",D,"45131","29886","9290","2429","4133","90869",49.67,32.89,10.22,2.67,4.55,0.87,1.3,0.97,0.84,1.1,"182676","81216","33753","10241","13290",56.88,25.29,10.51,3.19,4.14
"New Castle, PA",A,"1274","96","59","11","108","1549",82.26,6.23,3.84,0.69,6.99,1.04,0.61,1.21,1.88,0.93,"24235","3146","975","113","2311",78.74,10.22,3.17,0.37,7.51
"New Castle, PA",B,"6151","814","169","32","638","7805",78.82,10.43,2.17,0.41,8.17,1,1.02,0.69,1.12,1.09,"24235","3146","975","113","2311",78.74,10.22,3.17,0.37,7.51
"New Castle, PA",C,"6084","1072","323","20","752","8252",73.73,12.99,3.92,0.24,9.12,0.94,1.27,1.24,0.65,1.21,"24235","3146","975","113","2311",78.74,10.22,3.17,0.37,7.51
"New Castle, PA",D,"1035","415","77","2","174","1702",60.8,24.36,4.53,0.09,10.21,0.77,2.38,1.43,0.25,1.36,"24235","3146","975","113","2311",78.74,10.22,3.17,0.37,7.51
"New Haven-Milford, CT",A,"4461","713","747","547","361","6828",65.33,10.44,10.94,8.01,5.29,1.09,0.84,0.57,1.92,1.23,"542154","112197","174360","37726","39057",59.87,12.39,19.26,4.17,4.31
"New Haven-Milford, CT",B,"18965","6682","7764","1428","1891","36731",51.63,18.19,21.14,3.89,5.15,0.86,1.47,1.1,0.93,1.19,"542154","112197","174360","37726","39057",59.87,12.39,19.26,4.17,4.31
"New Haven-Milford, CT",C,"47616","40240","51420","5311","7520","152107",31.3,26.46,33.81,3.49,4.94,0.52,2.14,1.76,0.84,1.15,"542154","112197","174360","37726","39057",59.87,12.39,19.26,4.17,4.31
"New Haven-Milford, CT",D,"8993","12524","17377","1449","1874","42217",21.3,29.67,41.16,3.43,4.44,0.36,2.39,2.14,0.82,1.03,"542154","112197","174360","37726","39057",59.87,12.39,19.26,4.17,4.31
"New Orleans-Metairie, LA",A,"6292","714","577","177","276","8036",78.3,8.88,7.19,2.2,3.43,1.81,0.23,0.59,0.91,0.81,"198792","175278","55631","11069","19404",43.2,38.09,12.09,2.41,4.22
"New Orleans-Metairie, LA",B,"15299","2735","2084","553","983","21654",70.65,12.63,9.63,2.55,4.54,1.64,0.33,0.8,1.06,1.08,"198792","175278","55631","11069","19404",43.2,38.09,12.09,2.41,4.22
"New Orleans-Metairie, LA",C,"48025","28576","8976","1414","4242","91233",52.64,31.32,9.84,1.55,4.65,1.22,0.82,0.81,0.64,1.1,"198792","175278","55631","11069","19404",43.2,38.09,12.09,2.41,4.22
"New Orleans-Metairie, LA",D,"29081","55441","7192","1199","4235","97149",29.93,57.07,7.4,1.23,4.36,0.69,1.5,0.61,0.51,1.03,"198792","175278","55631","11069","19404",43.2,38.09,12.09,2.41,4.22
"New York-Newark-Jersey City, NY-NJ-PA",A,"205702","31768","36632","24816","14949","313867",65.54,10.12,11.67,7.91,4.76,1.85,0.56,0.42,0.56,1.03,"5169444","2626933","4074221","2077111","675943",35.35,17.96,27.86,14.2,4.62
"New York-Newark-Jersey City, NY-NJ-PA",B,"752223","346677","503237","214336","86779","1903251",39.52,18.21,26.44,11.26,4.56,1.12,1.01,0.95,0.79,0.99,"5169444","2626933","4074221","2077111","675943",35.35,17.96,27.86,14.2,4.62
"New York-Newark-Jersey City, NY-NJ-PA",C,"1164087","894704","1492338","767862","239048","4558038",25.54,19.63,32.74,16.85,5.24,0.72,1.09,1.18,1.19,1.13,"5169444","2626933","4074221","2077111","675943",35.35,17.96,27.86,14.2,4.62
"New York-Newark-Jersey City, NY-NJ-PA",D,"914030","781692","1029074","339307","153671","3217775",28.41,24.29,31.98,10.54,4.78,0.8,1.35,1.15,0.74,1.03,"5169444","2626933","4074221","2077111","675943",35.35,17.96,27.86,14.2,4.62
"Ogden-Clearfield, UT",A,"4566","67","1016","60","322","6031",75.71,1.11,16.84,0.99,5.35,1.26,0.54,0.54,0.79,0.98,"50541","1743","26098","1055","4579",60.16,2.07,31.06,1.26,5.45
"Ogden-Clearfield, UT",B,"8139","342","5263","150","881","14775",55.09,2.32,35.62,1.01,5.96,0.92,1.12,1.15,0.81,1.09,"50541","1743","26098","1055","4579",60.16,2.07,31.06,1.26,5.45
"Ogden-Clearfield, UT",C,"9927","373","8464","277","1096","20136",49.3,1.85,42.04,1.37,5.44,0.82,0.89,1.35,1.09,1,"50541","1743","26098","1055","4579",60.16,2.07,31.06,1.26,5.45
"Ogden-Clearfield, UT",D,"9492","380","4788","240","756","15655",60.63,2.43,30.58,1.53,4.83,1.01,1.17,0.98,1.22,0.89,"50541","1743","26098","1055","4579",60.16,2.07,31.06,1.26,5.45
"Oklahoma City, OK",A,"11667","1930","2148","775","1909","18430",63.3,10.47,11.66,4.21,10.36,1.73,0.68,0.33,1.53,1.08,"94436","39686","92072","7108","24755",36.59,15.38,35.68,2.75,9.59
"Oklahoma City, OK",B,"7264","1236","7517","850","1875","18741",38.76,6.6,40.11,4.54,10,1.06,0.43,1.12,1.65,1.04,"94436","39686","92072","7108","24755",36.59,15.38,35.68,2.75,9.59
"Oklahoma City, OK",C,"12323","8075","19552","1214","3904","45068",27.34,17.92,43.38,2.69,8.66,0.75,1.17,1.22,0.98,0.9,"94436","39686","92072","7108","24755",36.59,15.38,35.68,2.75,9.59
"Oklahoma City, OK",D,"5052","3328","12078","239","1988","22685",22.27,14.67,53.24,1.05,8.77,0.61,0.95,1.49,0.38,0.91,"94436","39686","92072","7108","24755",36.59,15.38,35.68,2.75,9.59
"Omaha-Council Bluffs, NE-IA",A,"38591","4137","4707","2953","2937","53325",72.37,7.76,8.83,5.54,5.51,1.22,0.61,0.49,1.32,0.97,"274171","59096","84107","19376","26178",59.23,12.77,18.17,4.19,5.65
"Omaha-Council Bluffs, NE-IA",B,"73234","22628","32872","3931","8499","141164",51.88,16.03,23.29,2.78,6.02,0.88,1.26,1.28,0.67,1.06,"274171","59096","84107","19376","26178",59.23,12.77,18.17,4.19,5.65
"Omaha-Council Bluffs, NE-IA",C,"21495","7297","19256","1412","2454","51914",41.41,14.06,37.09,2.72,4.73,0.7,1.1,2.04,0.65,0.84,"274171","59096","84107","19376","26178",59.23,12.77,18.17,4.19,5.65
"Omaha-Council Bluffs, NE-IA",D,"14561","3625","7350","428","1540","27503",52.94,13.18,26.72,1.56,5.6,0.89,1.03,1.47,0.37,0.99,"274171","59096","84107","19376","26178",59.23,12.77,18.17,4.19,5.65
"Peoria, IL",A,"1891","304","119","41","124","2478",76.28,12.28,4.81,1.64,4.99,1.29,0.47,0.7,0.88,0.81,"69807","30777","8184","2193","7249",59.05,26.04,6.92,1.86,6.13
"Peoria, IL",B,"4522","1435","468","137","433","6995",64.65,20.52,6.69,1.95,6.19,1.09,0.79,0.97,1.05,1.01,"69807","30777","8184","2193","7249",59.05,26.04,6.92,1.86,6.13
"Peoria, IL",C,"13646","10521","3411","454","2171","30203",45.18,34.83,11.29,1.5,7.19,0.77,1.34,1.63,0.81,1.17,"69807","30777","8184","2193","7249",59.05,26.04,6.92,1.86,6.13
"Peoria, IL",D,"2791","6749","1198","30","687","11454",24.36,58.92,10.45,0.26,6,0.41,2.26,1.51,0.14,0.98,"69807","30777","8184","2193","7249",59.05,26.04,6.92,1.86,6.13
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",A,"39353","36088","9329","7290","4408","96470",40.79,37.41,9.67,7.56,4.57,0.81,1.43,0.81,1.01,1.06,"1716542","898482","411152","255332","147490",50.06,26.2,11.99,7.45,4.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",B,"192442","211220","96146","43182","26410","569401",33.8,37.1,16.89,7.58,4.64,0.68,1.42,1.41,1.02,1.08,"1716542","898482","411152","255332","147490",50.06,26.2,11.99,7.45,4.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",C,"104259","179683","79519","16407","15719","395587",26.36,45.42,20.1,4.15,3.97,0.53,1.73,1.68,0.56,0.92,"1716542","898482","411152","255332","147490",50.06,26.2,11.99,7.45,4.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",D,"210709","202592","83584","44126","23221","564232",37.34,35.91,14.81,7.82,4.12,0.75,1.37,1.24,1.05,0.96,"1716542","898482","411152","255332","147490",50.06,26.2,11.99,7.45,4.3
"Phoenix-Mesa-Chandler, AZ",A,"3000","193","856","151","259","4459",67.28,4.32,19.19,3.39,5.82,1.9,0.53,0.4,1.35,0.91,"55623","12810","74974","3961","10109",35.32,8.13,47.61,2.52,6.42
"Phoenix-Mesa-Chandler, AZ",B,"10946","1167","12625","637","1750","27126",40.35,4.3,46.54,2.35,6.45,1.14,0.53,0.98,0.93,1.01,"55623","12810","74974","3961","10109",35.32,8.13,47.61,2.52,6.42
"Phoenix-Mesa-Chandler, AZ",C,"10231","1663","10034","883","1841","24652",41.5,6.75,40.7,3.58,7.47,1.17,0.83,0.85,1.42,1.16,"55623","12810","74974","3961","10109",35.32,8.13,47.61,2.52,6.42
"Phoenix-Mesa-Chandler, AZ",D,"2518","2553","9668","368","819","15926",15.81,16.03,60.71,2.31,5.14,0.45,1.97,1.28,0.92,0.8,"55623","12810","74974","3961","10109",35.32,8.13,47.61,2.52,6.42
"Pittsburgh, PA",A,"25473","777","1236","3125","1496","32107",79.34,2.42,3.85,9.73,4.66,1.06,0.19,1.37,2.04,1.01,"903740","155986","33877","57618","55896",74.87,12.92,2.81,4.77,4.63
"Pittsburgh, PA",B,"121234","23918","5992","9270","9167","169582",71.49,14.1,3.53,5.47,5.41,0.95,1.09,1.26,1.15,1.17,"903740","155986","33877","57618","55896",74.87,12.92,2.81,4.77,4.63
"Pittsburgh, PA",C,"110738","42730","6521","6072","10195","176256",62.83,24.24,3.7,3.45,5.78,0.84,1.88,1.32,0.72,1.25,"903740","155986","33877","57618","55896",74.87,12.92,2.81,4.77,4.63
"Pittsburgh, PA",D,"52948","34640","3352","3127","5592","99658",53.13,34.76,3.36,3.14,5.61,0.71,2.69,1.2,0.66,1.21,"903740","155986","33877","57618","55896",74.87,12.92,2.81,4.77,4.63
"Portland-Vancouver-Hillsboro, OR-WA",A,"14353","232","973","811","1320","17689",81.14,1.31,5.5,4.59,7.46,1.2,0.29,0.49,0.59,0.87,"537516","35372","88663","61858","68272",67.9,4.47,11.2,7.81,8.62
"Portland-Vancouver-Hillsboro, OR-WA",B,"63944","2422","5525","3552","6957","82400",77.6,2.94,6.71,4.31,8.44,1.14,0.66,0.6,0.55,0.98,"537516","35372","88663","61858","68272",67.9,4.47,11.2,7.81,8.62
"Portland-Vancouver-Hillsboro, OR-WA",C,"125734","9895","20188","14595","17162","187575",67.03,5.28,10.76,7.78,9.15,0.99,1.18,0.96,1,1.06,"537516","35372","88663","61858","68272",67.9,4.47,11.2,7.81,8.62
"Portland-Vancouver-Hillsboro, OR-WA",D,"38716","3192","4796","3101","4857","54662",70.83,5.84,8.77,5.67,8.89,1.04,1.31,0.78,0.73,1.03,"537516","35372","88663","61858","68272",67.9,4.47,11.2,7.81,8.62
"Portsmouth, OH",A,"188","13","9","3","14","228",82.69,5.92,3.94,1.24,6.21,0.93,1.63,1.99,2.22,1.32,"26422","1080","588","166","1397",89.11,3.64,1.98,0.56,4.71
"Portsmouth, OH",B,"2264","153","49","36","149","2651",85.39,5.77,1.85,1.36,5.63,0.96,1.58,0.93,2.43,1.2,"26422","1080","588","166","1397",89.11,3.64,1.98,0.56,4.71
"Portsmouth, OH",C,"7373","382","270","34","479","8539",86.34,4.48,3.16,0.4,5.61,0.97,1.23,1.6,0.72,1.19,"26422","1080","588","166","1397",89.11,3.64,1.98,0.56,4.71
"Portsmouth, OH",D,"2831","260","80","13","221","3406",83.12,7.64,2.36,0.37,6.5,0.93,2.1,1.19,0.67,1.38,"26422","1080","588","166","1397",89.11,3.64,1.98,0.56,4.71
"Poughkeepsie-Newburgh-Middletown, NY",A,"1900","570","446","185","218","3319",57.24,17.18,13.44,5.56,6.57,1.33,0.62,0.68,1.66,1.08,"21681","13925","9905","1686","3054",43.14,27.71,19.71,3.36,6.08
"Poughkeepsie-Newburgh-Middletown, NY",B,"4454","2691","2149","178","604","10076",44.2,26.7,21.33,1.77,5.99,1.02,0.96,1.08,0.53,0.99,"21681","13925","9905","1686","3054",43.14,27.71,19.71,3.36,6.08
"Poughkeepsie-Newburgh-Middletown, NY",C,"4443","5659","3375","295","848","14620",30.39,38.71,23.09,2.02,5.8,0.7,1.4,1.17,0.6,0.95,"21681","13925","9905","1686","3054",43.14,27.71,19.71,3.36,6.08
"Poughkeepsie-Newburgh-Middletown, NY",D,"1615","1842","1129","88","318","4991",32.35,36.9,22.62,1.76,6.37,0.75,1.33,1.15,0.52,1.05,"21681","13925","9905","1686","3054",43.14,27.71,19.71,3.36,6.08
