title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Love Is the Devil: Study for a Portrait of Francis Bacon,http://www.imdb.com/title/tt0119577/,US/UK,1998,$343K,John Maybury,1,Francis Bacon,Artist,Known,White,0,Male,Derek Jacobi
Love Me or Leave Me,http://www.imdb.com/title/tt0048317/,US,1955,-,Charles Vidor,1,Ruth Etting,Singer,Unknown,,0,Female,Doris Day
Lovelace,http://www.imdb.com/title/tt1426329/,US,2013,$355K,"Rob Epstein, Jeffrey Friedman",1,Linda Lovelace,Actress,Known,White,0,Female,Amanda Seyfried
Low Down,http://www.imdb.com/title/tt1864405/,US,2014,$44.5K,Jeff Preiss,1,Joe Albany,Musician,Known,White,0,Male,John Hawkes
Lucky Luciano,http://www.imdb.com/title/tt0071782/,US,1973,-,Francesco Rosi,1,Charles Luciano,Criminal,Known,White,0,Male,Gian Maria VolontÃ©
Lust for Life,http://www.imdb.com/title/tt0049456/,US,1956,-,Vincente Minnelli,1,Vincent van Gogh,Artist,Known,White,0,Male,Kirk Douglas
Luther,http://www.imdb.com/title/tt0309820/,US,2003,$5.67M,Eric Till,1,Martin Luther,Historical,Known,White,0,Male,Joseph Fiennes
MacArthur,http://www.imdb.com/title/tt0076342/,US,1977,-,Joseph Sargent,1,Douglas MacArthur,Military,Known,White,0,Male,Gregory Peck
Machine Gun Preacher,http://www.imdb.com/title/tt1586752/,US,2011,$538K,Marc Forster,1,Sam Childers,Other,Known,White,0,Male,Gerard Butler
Machine-Gun Kelly,http://www.imdb.com/title/tt0051887/,US,1958,-,Roger Corman,1,George Kelly,Criminal,Unknown,,0,Male,Charles Bronson
Madame Curie,http://www.imdb.com/title/tt0036126/,US,1943,-,Mervyn LeRoy,2,Pierre Curie,Academic,Known,White,0,Male,Walter Pidgeon
Madame Curie,http://www.imdb.com/title/tt0036126/,US,1943,-,Mervyn LeRoy,2,Marie Curie,Academic,Known,White,0,Female,Greer Garson
Mahler,http://www.imdb.com/title/tt0071797/,UK,1974,-,Ken Russell,2,Gustav Mahler,Musician,Known,White,0,Male,Robert Powell
Mahler,http://www.imdb.com/title/tt0071797/,UK,1974,-,Ken Russell,2,Alma Mahler,Other,Unknown,,0,Female,Georgina Hale
Malcolm X,http://www.imdb.com/title/tt0104797/,US,1992,$48.2M,Spike Lee,1,Malcolm X,Activist,Known,African American,1,Male,Denzel Washington
Man of a Thousand Faces,http://www.imdb.com/title/tt0050681/,US,1957,-,Joseph Pevney,1,Lon Chaney,Actor,Known,White,0,Male,James Cagney
Man on the Moon,http://www.imdb.com/title/tt0125664/,US/UK,1999,$34.6M,Milos Forman,1,Andy Kaufman,Comedian,Unknown,,0,Male,Jim Carrey
Mandela: Long Walk to Freedom,http://www.imdb.com/title/tt2304771/,UK,2013,$8.32M,Justin Chadwick,1,Nelson Mandela,World leader,Known,African,1,Male,Idris Elba
Marie Antoinette,http://www.imdb.com/title/tt0030418/,US,1938,-,W.S. Van Dyke,1,Marie Antoinette,Historical,Known,White,0,Female,Norma Shearer
Marie Antoinette,http://www.imdb.com/title/tt0422720/,US,2006,$16M,Sofia Coppola,1,Marie Antoinette,Historical,Known,White,0,Female,Kirsten Dunst
Mary of Scotland,http://www.imdb.com/title/tt0027948/,US,1936,-,John Ford,1,"Mary Stuart, Queen of Scots",Historical,Known,White,0,Female,Katharine Hepburn
"Mary, Queen of Scots",http://www.imdb.com/title/tt0067402/,UK,1971,-,Charles Jarrott,1,"Mary Stuart, Queen of Scots",Historical,Known,White,0,Female,Vanessa Redgrave
Mask,http://www.imdb.com/title/tt0089560/,US,1985,$42.4M,Peter Bogdanovich,1,"Roy Lee ""Rocky"" Dennis",Other,Known,White,0,Male,Eric Stolz
Meetings with Remarkable Men,http://www.imdb.com/title/tt0079542/,UK,1979,-,Peter Brook,1,G.I. Gurdjieff ,Other,Known,White,0,Male,Dragan Maksimovic
Men of Honor,http://www.imdb.com/title/tt0203019/,US,2000,$48.8M,George Tillman Jr.,1,Carl Brashear,Athlete,Known,African American,1,Male,Cuba Gooding Jr
Mesmer,http://www.imdb.com/title/tt0110496/,Canada/UK,1994,-,Roger Spottiswoode,1,Franz Anton Mesmer,Medicine,Known,White,0,Male,Alan Rickman
Mesrine Part 1: Killer Instinct,http://www.imdb.com/title/tt1259014/,Canada,2008,$552K,Jean-FranÃ§ois Richet,1,Jacques Mesrine,Criminal,Known,White,0,Male,Vincent Cassel
Mesrine Part 2: Public Enemy #1,http://www.imdb.com/title/tt0411272/,Canada,2008,$275K,Jean-FranÃ§ois Richet,1,Jacques Mesrine,Criminal,Known,White,0,Male,Vincent Cassel
Michael Collins,http://www.imdb.com/title/tt0117039/,US/UK,1996,$11M,Neil Jordan,1,Michael Collins,Activist,Known,White,0,Male,Liam Neeson
Midnight Express,http://www.imdb.com/title/tt0077928/,US/UK,1978,$35M,Alan Parker,1,Billy Hayes,Criminal,Unknown,,0,Male,Brad Davis
Milk,http://www.imdb.com/title/tt1013753/,US,2008,$31.8M,Gus Van Sant,1,Harvey Milk,Activist,Known,White,0,Male,Sean Penn
Million Dollar Arm,http://www.imdb.com/title/tt1647668/,US,2014,$36.4M,Craig Gillespie,1,J. B. Bernstein,Athlete,Known,White,0,Male,Jon Hamm
Million Dollar Mermaid,http://www.imdb.com/title/tt0044903/,US,1952,-,Mervyn LeRoy,1,Annette Kellerman,Athlete,Known,White,0,Female,Esther Williams
Miracle,http://www.imdb.com/title/tt0349825/,US,2004,$64.4M,Gavin O'Connor,1,Herb Brooks ,Athlete,Unknown,,0,Male,Kurt Russell
Mishima: A Life in Four Chapters,http://www.imdb.com/title/tt0089603/,US,1985,$450K,Paul Schrader,1,Yukio Mishima,Author,Known,Asian,1,Male,Ken Ogata
Miss Potter,http://www.imdb.com/title/tt0482546/,US/UK,2006,$2.98M,Chris Noonan,1,Beatrix Potter,Author,Known,White,0,Female,RenÃ©e Zellweger
Mockingbird Don't Sing,http://www.imdb.com/title/tt0273822/,US,2001,-,Harry Bromley Davenport,1,Genie (pseudonym),Other,Unknown,,0,Female,Tarra Steele
Modigliani,http://www.imdb.com/title/tt0367188/,UK,2004,$195K,Mick Davis,1,Amedeo Modigliani,Artist,Known,White,0,Male,Andy Garcia
Mommie Dearest,http://www.imdb.com/title/tt0082766/,US,1981,-,Frank Perry,1,Joan Crawford,Actress,Known,White,0,Female,Faye Dunaway
Moneyball,http://www.imdb.com/title/tt1210166/,US,2011,$75.6M,Bennett Miller,1,Billy Beane,Athlete,Known,White,0,Male,Brad Pitt
Monsieur N.,http://www.imdb.com/title/tt0308595/,UK,2003,$16.8K,Antoine de Caunes,1,Napoleon Bonaparte,Historical,Known,White,0,Male,Philippe Torreton
Monster,http://www.imdb.com/title/tt0340855/,US,2003,$34.5M,Patty Jenkins,1,Aileen Wuornos,Criminal,Unknown,,0,Female,Charlize Theron
Moulin Rouge,http://www.imdb.com/title/tt0044926/,UK,1952,-,John Huston,1,Henri de Toulouse-Lautrec,Artist,Unknown,,0,Male,JosÃ© Ferrer
Mr. Nice,http://www.imdb.com/title/tt1183911/,UK,2010,-,Bernard Rose,1,Howard Marks,Criminal,Unknown,,0,Male,Rhys Ifans
Mr. Turner,http://www.imdb.com/title/tt2473794/,UK,2014,$3.96M,Mike Leigh,1,J.M.W. Turner,Artist,Known,White,0,Male,Timothy Spall
Mrs Brown,http://www.imdb.com/title/tt0119280/,US/UK,1997,$9.22M,John Madden,1,Victoria,Historical,Known,White,0,Female,Judi Dench
Mrs. Parker and the Vicious Circle,http://www.imdb.com/title/tt0110588/,US/Canada,1994,$2.14M,Alan Rudolph,1,Dorothy Parker,Author,Known,White,0,Female,Jennifer Jason Leigh
Muhammad: The Last Prophet,http://www.imdb.com/title/tt0430377/,US,2002,-,Richard Rich,1,Muhammad,Historical,Known,Middle Eastern,1,Male,
"Murder, Inc.",http://www.imdb.com/title/tt0054102/,US,1960,-,"Burt Balaban, Stuart Rosenberg",1,Burton Turkus,Other,Unknown,,0,Male,Henry Morgan
Music Within,http://www.imdb.com/title/tt0422783/,US,2007,$153K,Steven Sawalich,1,Richard Pimentel,Activist,Known,Multi racial,1,Male,Ron Livingston
My Childhood,http://www.imdb.com/title/tt0068983/,UK,1972,-,Bill Douglas,1,Bill Douglas,Other,Unknown,,0,Male,Stephen Archibald
My Dinner with Andre,http://www.imdb.com/title/tt0082783/,US,1981,$5.07K,Louis Malle,2,Andre Gregory,Actor,Known,White,0,Male,Andre Gregory
My Dinner with Andre,http://www.imdb.com/title/tt0082783/,US,1981,$5.07K,Louis Malle,2,Wallace Shawn,Actor,Known,White,0,Male,Wallace Shawn
My Left Foot,http://www.imdb.com/title/tt0097937/,UK,1989,$14.7M,Jim Sheridan,1,Christy Brown,Artist,Known,White,0,Male,Daniel Day-Lewis
My Life So Far,http://www.imdb.com/title/tt0120899/,US/UK,1999,$616K,Hugh Hudson,1,Denis Forman,Other,Known,White,0,Male,Robert Norman
My One and Only,http://www.imdb.com/title/tt1185431/,US,2009,$2.48M,Richard Loncraine,1,George Hamilton,Other,Known,White,0,Male,Logan Lerman
My Week with Marilyn,http://www.imdb.com/title/tt1655420/,US/UK,2011,$14.6M,Simon Curtis,1,Marilyn Monroe,Actress,Unknown,,0,Female,Michelle Williams
Ned Kelly,http://www.imdb.com/title/tt0277941/,US/UK,2003,$74.9K,Gregor Jordan,1,Ned Kelly,Criminal,Known,White,0,Male,Heath Ledger
Nicholas and Alexandra,http://www.imdb.com/title/tt0067483/,UK,1971,-,Franklin J. Schaffner,2,Tsarina Alexandra (Feodorovna),Historical,Known,White,0,Female,Janet Suzman
Nicholas and Alexandra,http://www.imdb.com/title/tt0067483/,UK,1971,-,Franklin J. Schaffner,2,Tsar Nicholas II,Historical,Known,White,0,Male,Michael Jayston
Night and Day,http://www.imdb.com/title/tt0038776/,US,1946,-,Michael Curtiz,1,Cole Porter,Musician,Unknown,,0,Male,Cary Grant
Nightwatching,http://www.imdb.com/title/tt0446750/,Canada/UK,2007,-,Peter Greenaway,1,Rembrandt,Artist,Known,White,0,Male,Martin Freeman
Nixon,http://www.imdb.com/title/tt0113987/,US,1995,$13.6M,Oliver Stone,1,Richard Milhous Nixon,World leader,Known,White,0,Male,Anthony Hopkins
Nora,http://www.imdb.com/title/tt0158033/,UK,2000,$12.3K,Pat Murphy,2,James Joyce,Author,Known,White,0,Male,Ewan McGregor
Nora,http://www.imdb.com/title/tt0158033/,UK,2000,$12.3K,Pat Murphy,2,Nora Barnacle,Other,Unknown,,0,Female,Susan Lynch
Nostradamus,http://www.imdb.com/title/tt0110689/,UK,1994,$364K,Roger Christian,1,Nostradamus,Historical,Unknown,,0,Male,TchÃ©ky Karyo
Notorious,http://www.imdb.com/title/tt0472198/,US,2009,$36.8M,George Tillman Jr.,1,Christopher Wallace (Biggie Smalls),Musician,Known,Caribbean,1,Male,Jamal Woolard
Nowhere Boy,http://www.imdb.com/title/tt1266029/,Canada/UK,2009,$1.45M,Sam Taylor-Johnson,1,John Lennon,Musician,Known,White,0,Male,Aaron Taylor-Johnson
October Sky,http://www.imdb.com/title/tt0132477/,US,1999,$32.5M,Joe Johnston,1,Homer Hickam,Other,Known,Multi racial,1,Male,Jake Gyllenhaal
One Chance,http://www.imdb.com/title/tt1196956/,US/UK,2013,$89.7K,David Frankel,1,Paul Potts,Musician,Unknown,,0,Male,James Corden
One Foot in Heaven,http://www.imdb.com/title/tt0033980/,US,1941,-,Irving Rapper,1,William Spence,Other,Known,White,0,Male,Fredric March
One Night with the King,http://www.imdb.com/title/tt0430431/,US,2006,$13.4M,Michael O. Sajbel,1,Hadassah (Esther),Historical,Known,Middle Eastern (White),0,Female,Tiffany Dupont
Open Water,http://www.imdb.com/title/tt0374102/,US,2003,$30.5M,Chris Kentis,2,Eileen Lonergan,Other,Unknown,,0,Female,Blanchard Ryan
Open Water,http://www.imdb.com/title/tt0374102/,US,2003,$30.5M,Chris Kentis,2,Tom Lonergan,Other,Unknown,,0,Male,Daniel Travis
Out of Africa,http://www.imdb.com/title/tt0089755/,US,1985,$87.1M,Sydney Pollack,1,Karen Blixen,Other,Known,White,0,Female,Meryl Streep
Pandaemonium,http://www.imdb.com/title/tt0210217/,UK,2000,-,Julien Temple,2,William Wordsworth,Author (poet),Unknown,,0,Male,John Hannah
Pandaemonium,http://www.imdb.com/title/tt0210217/,UK,2001,-,Julien Temple,2,Samuel Taylor Coleridge,Author (poet),Unknown,,0,Male,Linus Roache
Papillon,http://www.imdb.com/title/tt0070511/,US,1973,$53.3M,Franklin J. Schaffner,1,"Henri ""Papillon"" CharriÃ¨re",Criminal,Known,White,0,Male,Steve McQueen
Party Monster,http://www.imdb.com/title/tt0320244/,US,2003,$297K,"Fenton Bailey, Randy Barbato",1,Michael Alig,Criminal,Unknown,,0,Male,Macaulay Culkin
Patch Adams,http://www.imdb.com/title/tt0129290/,US,1998,$135M,Tom Shadyac,1,"Hunter Doherty ""Patch"" Adams",Medicine,Unknown,,0,Male,Robin Williams
Patton,http://www.imdb.com/title/tt0066206/,US,1970,-,Franklin J. Schaffner,1,George Patton,Military,Known,White,0,Male,George Scott
Patty Hearst,http://www.imdb.com/title/tt0095836/,US/UK,1988,$1.22M,Paul Schrader,1,Patty Hearst,Other,Known,White,0,Female,Natasha Richardson
Permanent Midnight,http://www.imdb.com/title/tt0120788/,US,1998,$1.17M,David Veloz,1,Jerry Stahl,Comedian,Known,White,0,Male,Ben Stiller
Persepolis,http://www.imdb.com/title/tt0808417/,US,2007,$4.44M,"Vincent Paronnaud, Marjane Satrapi",1,Marjane 'Marji' Satrapi,Activist,Known,Middle Eastern,1,Female,Chiara Mastroianni
Phantom Punch,http://www.imdb.com/title/tt1131747/,US,2008,-,Robert Townsend,1,Sonny Liston,Athlete,Known,African American,1,Male,Ving Rhames
Philomena,http://www.imdb.com/title/tt2431286/,US/UK,2013,$37.7M,Stephen Frears,1,Philomena Lee,Other,Known,White,0,Female,Judi Dench
Pierrepoint: The Last Hangman,http://www.imdb.com/title/tt0462477/,US/UK,2005,$21.8K,Adrian Shergold,1,Albert Pierrepoint,Other,Known,White,0,Male,Timothy Spall
PiÃ±ero,http://www.imdb.com/title/tt0261066/,US,2001,$1.42M,Leon Ichaso,1,Miguel PiÃ±ero,Actor,Known,Hispanic (Latin American),1,Male,Benjamin Bratt
Pollock,http://www.imdb.com/title/tt0183659/,US,2000,$8.6M,Ed Harris,1,Jackson Pollock,Artist,Known,White,0,Male,Ed Harris
Prefontaine,http://www.imdb.com/title/tt0119937/,US,1997,$532K,Steve James,1,Steve Prefontaine,Athlete,Known,White,0,Male,Jared Leto
Prick Up Your Ears,http://www.imdb.com/title/tt0093776/,UK,1987,$1.65M,Stephen Frears,2,Joe Orton,Author,Unknown,,0,Male,Gary Oldman
Prick Up Your Ears,http://www.imdb.com/title/tt0093776/,UK,1987,$1.65M,Stephen Frears,2,Kenneth Halliwell,Other,Unknown,,0,Male,Alfred Molina
Pride of the Marines,http://www.imdb.com/title/tt0038000/,US,1945,-,Delmer Daves,1,Al Schmid,Military,Known,White,0,Male,John Garfield
Private Parts,http://www.imdb.com/title/tt0119951/,US,1997,$41.2M,Betty Thomas,1,Howard Stern,Media,Known,White,0,Male,Howard Stern
PT 109,http://www.imdb.com/title/tt0057393/,US,1963,-,Leslie H. Martinson,1,John F. Kennedy,Military,Known,White,0,Male,Cliff Robertson
Public Enemies,http://www.imdb.com/title/tt1152836/,US,2009,$97M,Michael Mann,1,John Dillinger,Criminal,Unknown,,0,Male,Johnny Depp
Queen Christina,http://www.imdb.com/title/tt0024481/,US,1933,-,Rouben Mamoulian,1,"Christina, queen of Sweden",Historical,Known,White,0,Female,Greta Garbo
Quills,http://www.imdb.com/title/tt0180073/,US/UK,2000,$7.06M,Philip Kaufman,1,Marquis de Sade,Criminal,Known,White,0,Male,Geoffrey Rush
Quo Vadis,http://www.imdb.com/title/tt0043949/,US,1951,-,Mervyn LeRoy,2,Lygia,Historical,Known,White,0,Female,Deborah Kerr
Quo Vadis,http://www.imdb.com/title/tt0043949/,US,1951,-,Mervyn LeRoy,2,Marcus Vinicius,Historical,Known,White,0,Male,Robert Taylor
Radio,http://www.imdb.com/title/tt0316465/,US,2003,$52.3M,Michael Tollin,2,"James Robert ""Radio"" Kennedy",Athlete,Known,African American,1,Male,Cuba Gooding Jr
Radio,http://www.imdb.com/title/tt0316465/,US,2003,$52.3M,Michael Tollin,2,Harold Jones,Athlete,Unknown,,0,Male,Ed Harris
Ragamuffin,http://www.imdb.com/title/tt2412568/,US,2014,-,David Schultz,1,Rich Mullins,Singer,Known,White,0,Male,David Schultz
Raging Bull,http://www.imdb.com/title/tt0081398/,US,1980,$45.2K,Martin Scorsese,1,Jake LaMotta,Athlete,Known,White,0,Male,Robert De Niro
Rasputin: The Mad Monk,http://www.imdb.com/title/tt0059635/,UK,1966,-,Don Sharp,1,Grigori Rasputin,Other,Known,White,0,Male,Christopher Lee
Ray,http://www.imdb.com/title/tt0350258/,US,2004,$75.3M,Taylor Hackford,1,Ray Charles,Musician,Known,African American,1,Male,Jamie Foxx
Reach for the Sky,http://www.imdb.com/title/tt0049665/,UK,1956,-,Lewis Gilbert,1,Douglas Bader,Military,Unknown,,0,Male,Kenneth More
Reds,http://www.imdb.com/title/tt0082979/,US,1981,-,Warren Beatty,1,John Reed,Media,Known,White,0,Male,Warren Beaty
Regeneration,http://www.imdb.com/title/tt0005960/,US,1915,-,Raoul Walsh,1,Owen Kildare,Other,Known,White,0,Male,Rockliffe Fellowes
Rembrandt,http://www.imdb.com/title/tt0028167/,UK,1936,-,Alexander Korda,1,Rembrandt,Artist,Known,White,0,Male,Charles Laughton
Remember the Titans,http://www.imdb.com/title/tt0210945/,US,2000,$116M,Boaz Yakin,1,Herman Boone,Athlete,Known,African American,1,Male,Denzel Washington
Rescue Dawn,http://www.imdb.com/title/tt0462504/,US,2006,$5.48M,Werner Herzog,1,Dieter Dengler,Military,Known,White,0,Male,Christian Bale
Restoration,http://www.imdb.com/title/tt0114272/,US/UK,1995,$4.1M,Michael Hoffman,1,Charles II,Historical,Known,White,0,Male,Sam Neill
Reversal of Fortune,http://www.imdb.com/title/tt0100486/,US/UK,1990,$15.4M,Barbet Schroeder,2,Claus von BÃ_low,Other,Known,White,0,Male,Jeremy Irons
Reversal of Fortune,http://www.imdb.com/title/tt0100486/,US/UK,1990,$15.4M,Barbet Schroeder,2,Sunny von BÃ_low,Other,Known,White,0,Female,Glenn Close
Rhapsody in Blue,http://www.imdb.com/title/tt0038026/,US,1945,-,Irving Rapper,1,George Gershwin,Musician,Known,White,0,Male,Robert Alda
Richard III,http://www.imdb.com/title/tt0049674/,UK,1955,-,Laurence Olivier,1,Richard III of England,Historical,Known,White,0,Male,Laurence Olivier
Ricky 6,http://www.imdb.com/title/tt0156020/,US,2000,-,Peter Filardi,1,"Richard ""Ricky"" Kasso",Criminal,Unknown,,0,Male,Vincent Kartheiser
Riding in Cars with Boys,http://www.imdb.com/title/tt0200027/,US,2001,$29.8M,Penny Marshall,1,Beverly Donofrio,Other,Unknown,,0,Female,Drew Barrymore
Rise of the Footsoldier,http://www.imdb.com/title/tt0901507/,UK,2007,-,Julian Gilbey,1,Carlton Leach,Criminal,Unknown,,0,Male,Ricci Harnett
Rob Roy,http://www.imdb.com/title/tt0114287/,US/UK,1995,$31.6M,Michael Caton-Jones,1,Robert Roy MacGregor ,Other,Known,White,0,Male,Liam Neeson
Romero,http://www.imdb.com/title/tt0098219/,US,1989,$1.32M,John Duigan,1,Oscar Romero,Other,Known,Hispanic (Latin American),0,Male,Raul Julia
Rosewater,http://www.imdb.com/title/tt2752688/,US,2014,$3.09M,Jon Stewart,1,Maziar Bahari,Media,Known,Middle Eastern,1,Male,Gael GarcÃ_a Bernal
Rudy,http://www.imdb.com/title/tt0108002/,US,1993,$22.8M,David Anspaugh,1,Rudy Ruettiger,Athlete,Unknown,,0,Male,Sean Astin
Rush,http://www.imdb.com/title/tt1979320/,US/UK,2013,$26.9M,Ron Howard,2,James Hunt,Athlete,Known,White,0,Male,Chris Hemsworth
Rush,http://www.imdb.com/title/tt1979320/,US/UK,2013,$26.9M,Ron Howard,2,Niki Lauda,Athlete,Known,White,0,Male,Daniel BrÃ_hl
Saint Joan,http://www.imdb.com/title/tt0050928/,US,1957,-,Otto Preminger,1,Joan of Arc,Historical,Known,White,0,Female,Jean Seberg
Salome's Last Dance,http://www.imdb.com/title/tt0096029/,US/UK,1988,$331K,Ken Russell,1,Oscar Wilde,Author,Known,White,0,Male,Nickolas Grace
Santa Fe Trail,http://www.imdb.com/title/tt0033021/,US,1940,-,Michael Curtiz,1,John Brown ,Other,Known,White,0,Male,Raymond Massey
Savage Messiah,http://www.imdb.com/title/tt0069225/,UK,1972,-,Ken Russell,1,Henri Gaudier-Brzeska,Artist,Unknown,,0,Male,Scott Antony
Saving Mr. Banks,http://www.imdb.com/title/tt2140373/,US/UK,2013,$83.3M,John Lee Hancock,2,Walt Disney,Other,Known,White,0,Male,Tom Hanks
Saving Mr. Banks,http://www.imdb.com/title/tt2140373/,US/UK,2013,$83.3M,John Lee Hancock,2,P.L. Travers,Author,Known,White,0,Female,Emma Thompson
Schindler's List,http://www.imdb.com/title/tt0108052/,US,1993,$96.1M,Steven Spielberg,1,Oskar Schindler,Other,Known,White,0,Male,Liam Neeson
Scott of the Antarctic,http://www.imdb.com/title/tt0040761/,UK,1948,-,Charles Frend,1,Robert Falcon Scott,Other,Known,White,0,Male,John Mills
Searching for Bobby Fischer,http://www.imdb.com/title/tt0108065/,US,1993,$7.27M,Steven Zaillian,1,Josh Waitzkin,Other,Unknown,,0,Male,Max Pomeranc
Selena,http://www.imdb.com/title/tt0120094/,US,1997,$35.4M,Gregory Nava,1,Selena Quintanilla-Perez,Singer,Known,Hispanic (Latina),1,Female,Jennifer Lopez
Self Medicated,http://www.imdb.com/title/tt0341569/,US,2005,$98.8K,Monty Lapica,1,Monty Lapica,Other,Unknown,,0,Male,Monty Lapica
Selma,http://www.imdb.com/title/tt1020072/,US/UK,2014,$52.1M,Ava DuVernay,1,"Martin Luther King, Jr",Activist,Known,African American,1,Male,David Oyelowo
Sergeant York,http://www.imdb.com/title/tt0034167/,US,1941,$16.4M,Howard Hawks,1,Alvin C. York,Military,Known,White,0,Male,Gary Cooper
Serpico,http://www.imdb.com/title/tt0070666/,US,1973,-,Sidney Lumet,1,Frank Serpico,Other,Known,White,0,Male,Al Pacino
Set Fire to the Stars,http://www.imdb.com/title/tt3455740/,UK,2014,$3.27K,Andy Goddard,1,Dylan Thomas,Author (poet),Known,White,0,Male,Celyn Jones
Seven Years in Tibet,http://www.imdb.com/title/tt0120102/,US/UK,1997,$37.9M,Jean-Jacques Annaud,1,Heinrich Harrer,Other,Known,White,0,Male,Brad Pitt
Sex & Drugs & Rock & Roll,http://www.imdb.com/title/tt1393020/,UK,2010,-,Mat Whitecross,1,Ian Dury,Musician,Unknown,,0,Male,Andy Serkis
Shadowlands,http://www.imdb.com/title/tt0108101/,UK,1993,$25.8M,Richard Attenborough,2,C.S. Lewis,Author,Known,White,0,Male,Anthony Hopkins
Shadowlands,http://www.imdb.com/title/tt0108101/,UK,1993,$25.8M,Richard Attenborough,2,Joy Gresham,Author (poet),Known,White,0,Female,Debra Winger
Sid and Nancy,http://www.imdb.com/title/tt0091954/,UK,1986,$2.83M,Alex Cox,2,Sid Vicious,Singer,Unknown,,0,Male,Gary Oldman
Sid and Nancy,http://www.imdb.com/title/tt0091954/,UK,1986,$2.83M,Alex Cox,2,Nancy Spungen,Other,Unknown,,0,Female,Chloe Webb
Silkwood,http://www.imdb.com/title/tt0086312/,US,1983,$35.6M,Mike Nichols,1,Karen Silkwood,Activist,Unknown,,0,Female,Meryl Streep
Sister Kenny,http://www.imdb.com/title/tt0038948/,US,1946,-,Dudley Nichols,1,Elizabeth Kenny,Medicine,Known,White,0,Female,Rosalind Russell
Sixty Six,http://www.imdb.com/title/tt0493450/,UK,2006,$225K,Paul Weiland,1,Paul Weiland,Other,Unknown,,0,Male,Gregg Sulkin
Skin,http://www.imdb.com/title/tt0964586/,UK,2008,-,Anthony Fabian,1,Sandra Laing,Other,Known,African,1,Female,Sophie Okonedo
Somebody Up There Likes Me,http://www.imdb.com/title/tt0049778/,US,1956,-,Robert Wise,1,Rocky Graziano,Athlete,Known,White,0,Male,Paul Newman
Son of God,http://www.imdb.com/title/tt3210686/,US,2014,$59.7M,Christopher Spencer,1,Jesus,Historical,Known,Middle Eastern (White),0,Male,Diogo Morgado
Soul Surfer,http://www.imdb.com/title/tt1596346/,US,2011,$43.9M,Sean McNamara,1,Bethany Hamilton,Athlete,Unknown,,0,Female,AnnaSophia Robb
Spartacus,http://www.imdb.com/title/tt0054331/,US,1960,-,Stanley Kubrick,1,Spartacus,Historical,Unknown,,0,Male,Kirk Douglas
Spitfire,http://www.imdb.com/title/tt0034734/,UK,1942,-,Leslie Howard,1,R. J. Mitchell,Military,Known,White,0,Male,Leslie Howard
Squanto: A Warrior's Tale,http://www.imdb.com/title/tt0111271/,US,1994,$3.34M,Xavier Koller,1,Squanto,Historical,Known,Native American,1,Male,Adam Beach
Stander,http://www.imdb.com/title/tt0326208/,Canada/UK,2003,$19.1K,Bronwen Hughes,1,Andre Stander,Other,Known,White,0,Male,Thomas Jane
Star 80,http://www.imdb.com/title/tt0086355/,US,1983,$6.5M,Bob Fosse,1,Dorothy Stratten,Actress,Known,White,0,Female,Mariel Hemingway
Star!,http://www.imdb.com/title/tt0063642/,US,1968,$4M,Robert Wise,1,Gertrude Lawrence,Actress,Known,White,0,Female,Julie Andrews
Stars and Stripes Forever,http://www.imdb.com/title/tt0045187/,US,1952,-,Henry Koster,1,John Philip Sousa,Musician,Known,White,0,Male,Clifton Webb
Steal This Movie,http://www.imdb.com/title/tt0161216/,US,2000,$76.1K,Robert Greenwald,1,Abbie Hoffman,Activist,Known,White,0,Male,Vincent D'Onofrio
Stealing Sinatra,http://www.imdb.com/title/tt0311863/,US,2003,-,Ron Underwood,2,Barry Keenan,Criminal,Unknown,,0,Male,David Arquette
Stealing Sinatra,http://www.imdb.com/title/tt0311863/,US,2003,-,Ron Underwood,2,"Frank Sinatra, Jr.",Other,Known,White,0,Male,Thomas Ian Nicholas
Stoned,http://www.imdb.com/title/tt0426627/,UK,2005,-,Stephen Woolley,1,Brian Jones,Musician,Known,White,0,Male,Leo Gregory
Story of G.I. Joe,http://www.imdb.com/title/tt0038120/,US,1945,-,William A. Wellman,1,Ernie Pyle,Media,Unknown,,0,Male,Burgess Meredith
Strauss' Great Waltz,http://www.imdb.com/title/tt0024747/,UK,1934,-,Alfred Hitchcock,2,Johann Strauss I,Musician,Known,White,0,Male,Edmund Gwenn
Strauss' Great Waltz,http://www.imdb.com/title/tt0024747/,UK,1934,-,Alfred Hitchcock,2,Johann Strauss II,Musician,Known,White,0,Male,Esmond Knight
Sunrise at Campobello,http://www.imdb.com/title/tt0054354/,US,1960,-,Vincent J. Donehue,1,Franklin Roosevelt,World leader,Known,White,0,Male,Ralph Bellamy
Surviving Picasso,http://www.imdb.com/title/tt0117791/,US,1996,$1.99M,James Ivory,1,Francoise Gilot,Artist,Known,White,0,Female,Natascha McElhone
Sweet Dreams,http://www.imdb.com/title/tt0090110/,US,1985,-,Karel Reisz,1,Patsy Cline,Singer,Known,White,0,Female,Jessica Lange
Swimming Upstream,http://www.imdb.com/title/tt0326664/,US,2003,$47.2K,Russell Mulcahy,1,Tony Fingleton,Athlete,Unknown,,0,Male,Geoffrey Rush
