"food","characteristic","p_values"
"WHITERICEFREQ","readingMath",0.642392
"SOLID_FATS_M","Jewish",0.642405
"CANNEDFRUITFREQ","dog",0.642405
"GROUP_PUDDING_CUSTARD_FLAN_TOTAL_GRAMS","dog",0.642452
"F18D2CLA","cat",0.642461
"DT_M161","noCrash",0.642542
"PETUNIDIN","rash",0.642543
"VITAMINDYEARS","currently_smoke",0.642545
"MEATSUBSTITUTESFREQ","favCable",0.642603
"F18D1T","uhCrash",0.642611
"F18D2T","atheist",0.642807
"VAL_G","belly",0.642815
"BROWNRICEQUAN","noCrash",0.642844
"BROWNRICEQUAN","atheist",0.642844
"LATINO","smoke_rarely",0.642871
"SUP_B6","yesCrash",0.642896
"GROUP_MEAT_SUBSTITUTES_VEGETABLE_MEATS_TOTAL_GRAMS","yesCrash",0.642906
"WHITERICEFREQ","Dems",0.642929
"GROUP_SHREDDED_WHEAT_TOTAL_GRAMS","uhCrash",0.643009
"AVOCADOFREQ","never_smoked",0.64314
"AVOCADOFREQ","ever_smoked",0.64314
"M_SOY_ND","Dems",0.64315
"REGULARCOFFEETYPE","right_hand",0.643276
"LEMONADEQUAN","never_smoked",0.643305
"LEMONADEQUAN","ever_smoked",0.643305
"T_FLAVONOLS","Jewish",0.643437
"OTHERFRUITJUICESQUAN","diabetes",0.643504
"BEANSFREQ","Dems",0.643567
"STID7","atheist",0.643621
"GROUP_ALCOHOLICBEVERAGES_TOTAL_KCAL","quit_smoking",0.643638
"HOTDOGTYPE","uhCrash",0.643821
"G_TOTAL","cancer",0.644135
"PSGTOT","cancer",0.644135
"GROUP_OTHER_FRESH_FRUIT_FRUIT_SALAD_TOTAL_GRAMS","neutralCable",0.644208
"ORANGEJUICEQUAN","yesCrash",0.644217
"DT_NITROGEN","uhCrash",0.644325
"LACS","right_hand",0.644329
"GROUP_POPCORN_LOW_FAT_LIGHT_TOTAL_GRAMS","heart_disease",0.644337
"PUMPKINPIEFREQ","Dems",0.644576
"BUTTERFREQ","cancer",0.644576
"SAUCEICECREAMFREQ","cancer",0.644668
"GROUP_CHEERIOS_PLAIN_OR_MULTI_GRAIN_TOTAL_GRAMS","belly",0.644693
"GROUP_CHEERIOS_PLAIN_OR_MULTI_GRAIN_TOTAL_GRAMS","currently_smoke",0.644693
"RAWTOMATOESFREQ","quit_smoking",0.644723
"SALMONQUAN","belly",0.64488
"MELONSQUAN","neutralCable",0.645048
"VITAMINB6AMOUNT","smoke_rarely",0.645061
"SPAGHETTITYPE","yesCrash",0.64514
"DT_SFAT","rash",0.645173
"REFRIEDBEANSFREQ","dog",0.645205
"DT_MFAT","cancer",0.645209
"GROUP_SALAD_DRESSING_OIL_AND_VINEGAR_TOTAL_GRAMS","heart_disease",0.645299
"JOBWALKTIME","smoke_rarely",0.64536
"PAC_7","Dems",0.645378
"F17D1","neutralCable",0.645402
"BUTTERQUAN","yesCrash",0.645448
"VITAMINB12AMOUNT","right_hand",0.645503
"GROUP_PEANUT_BUTTER_NUT_BUTTER_TOTAL_GRAMS","cat",0.645519
"PRENATALVITSAMOUNT","smoke_often",0.645623
"PRENATALVITSAMOUNT","Jewish",0.645623
"GREENSALADFREQ","smoke_rarely",0.645668
"VITK1D","never_smoked",0.645676
"VITK1D","ever_smoked",0.645676
"VITAMINDQUAN","uhCrash",0.645678
"BCOMPLEXTYPEVITSYEARS","neutralCable",0.64568
"DT_LUTZE","cat",0.645714
"EPICATEGC","currently_smoke",0.645747
"YOGURTQUAN","cat",0.64584
"DT_MOIS","ever_smoked",0.645869
"DT_MOIS","never_smoked",0.645869
"BACONSAUSAGEFREQ","rash",0.645869
"COCKTAILSQUAN","dog",0.645887
"F17D1","left_hand",0.646054
"TORTILLASFREQ","right_hand",0.646078
"GROUP_BAGELS_MULTIGRAIN_TOTAL_GRAMS","right_hand",0.646138
"JOBSTANDFREQ","left_hand",0.646311
"DT_S080","unfavCable",0.646365
"BACONSAUSAGEQUAN","left_hand",0.646367
"THR_G","unfavCable",0.64649
"SALSAFREQ","smoke_rarely",0.646629
"F16D1C","Jewish",0.64665
"BANANASFREQ","atheist",0.646683
"BANANASFREQ","noCrash",0.646683
"GROUP_BROWN_RICE_DISHES_WITH_TOTAL_GRAMS","diabetes",0.646751
"IRONAMOUNT","uhCrash",0.646756
"FATRNM","uhCrash",0.646891
"DT_IRON","noCrash",0.646985
"DT_S120","rash",0.647042
"GROUP_COOKIES_LOW_SUGAR_TOTAL_GRAMS","right_hand",0.647088
"GNSTEIN","diabetes",0.647193
"LUNCHMEATFREQ","ever_smoked",0.647207
"LUNCHMEATFREQ","never_smoked",0.647207
"COCKTAILSFREQ","noCrash",0.647232
"HAMBURGERFREQ","Dems",0.647281
"DT_MAGN","smoke_often",0.647328
"COUMESTROL","currently_smoke",0.647389
"DT_RET","smoke_often",0.647445
"GROUP_OTHER_NOODLES_WHOLE_GRAIN_TOTAL_GRAMS","smoke_rarely",0.647477
"DT_NIAC","unfavCable",0.647495
"F_JUICE","neutralCable",0.647569
"GROUP_VEGETABLE_SOUP_TOTAL_GRAMS","unfavCable",0.64759
"BERRIESQUAN","Jewish",0.647603
"BERRIESQUAN","smoke_often",0.647603
"CREAMCHEESEFREQ","neutralCable",0.647688
"IRONAMOUNT","atheist",0.647803
"PASTRIESQUAN","mathReading",0.647847
"THR_G","belly",0.647855
"GROUP_BAGELS_WHOLEGRAIN_TOTAL_GRAMS","diabetes",0.647885
"DT_MOIS","cancer",0.647934
"V_TOTAL","smoke_often",0.647945
"SLOWWALKFREQ","smoke_rarely",0.647977
"BISCUITFREQ","yesCrash",0.64799
"ICECREAMFREQ","uhCrash",0.648007
"HOTTEAQUAN","right_hand",0.648039
"HYP","left_hand",0.648064
"F17D0","cat",0.648095
"V_STARCHY_TOTAL","belly",0.648144
"CARROTSQUAN","yesCrash",0.648194
"CEREALBARSFREQ","belly",0.648349
"GROUP_SAUSAGE_BACON_TOTAL_GRAMS","left_hand",0.648357
"F18D1T","Jewish",0.648416
"CRACKERSTYPE","rash",0.648491
"SOLID_FATS","Jewish",0.648567
"KAEMF","currently_smoke",0.648597
"F22D0","favCable",0.648603
"CREAMCHEESEQUAN","smoke_rarely",0.648623
"JOBWALKFREQ","smoke_rarely",0.648623
"GROUP_LOW_FAT_1_PCT_MILK_TOTAL_GRAMS","left_hand",0.648654
"GROUP_LOW_FAT_1_PCT_MILK_TOTAL_GRAMS","yesCrash",0.648654
"GROUP_RAW_TOMATOES_TOTAL_GRAMS","dog",0.648682
"CHOCOLATECANDYQUAN","dog",0.648683
"LIVERFREQ","rash",0.648727
"GROUP_ICE_TEA_HOME_SUGAR_TOTAL_GRAMS","smoke_rarely",0.648802
"GROUP_OTHER_NOT_WHOLEGRAIN_UNSWEETENED_CEREAL_TOTAL_GRAMS","never_smoked",0.648823
"GROUP_OTHER_NOT_WHOLEGRAIN_UNSWEETENED_CEREAL_TOTAL_GRAMS","ever_smoked",0.648823
"D_CHEESE","unfavCable",0.648876
"ICECREAMTYPE","dog",0.64895
"G_TOTAL","noCrash",0.648978
"PSGTOT","noCrash",0.648978
"DDZEIN","cat",0.648979
"CALCIUMYEARS","diabetes",0.649038
"WINEQUAN","mathReading",0.649047
"OXALIC_ACID","noCrash",0.649116
"LIGHTHOUSEFREQ","belly",0.649191
"GROUP_COOK_FAT_CANOLA_SAFFLOWER_OILS_TOTAL_GRAMS","quit_smoking",0.649225
"POPSICLESFREQ","heart_disease",0.649296
"F20D3N6","cat",0.649358
"GROUP_BISCUITS_SCONES_CROISSANTS_TOTAL_GRAMS","belly",0.649375
"TOCTRD","belly",0.649421
"OTHERBREADSFREQ","smoke_rarely",0.64947
"PUDDINGQUAN","right_hand",0.649585
"SPAGHETTITYPE","atheist",0.649585
"SOMEJUICEFREQ","right_hand",0.649585
"F_JUICE","belly",0.649646
"T_FLAVONOIDS","belly",0.649665
"DT_RIBO","Jewish",0.649741
"GROUP_GRANOLA_TOTAL_GRAMS","currently_smoke",0.649781
"SWEETPOTATOESQUAN","unfavCable",0.649814
"GRITSQUAN","readingMath",0.649816
"GROUP_A_SUGBEV_TOTAL_GRAMS","neutralCable",0.649884
"FATRNP","noCrash",0.64991
"GROUP_LATTE_CAPPUCCINO_1_PCT_OR_2_PCT_MILK_TOTAL_GRAMS","belly",0.64992
"GROUP_LATTE_CAPPUCCINO_1_PCT_OR_2_PCT_MILK_TOTAL_GRAMS","currently_smoke",0.64992
"GROUP_OTHER_SOUP_TOTAL_GRAMS","unfavCable",0.649942
"POTATOESFREQ","ever_smoked",0.649957
"POTATOESFREQ","never_smoked",0.649957
"F20D3N6","currently_smoke",0.649983
"V_REDOR_OTHER","unfavCable",0.650019
"LUNCHMEATQUAN","uhCrash",0.650074
"LUNCHMEATQUAN","neutralCable",0.650074
"PICKLESQUAN","smoke_rarely",0.650076
"SLOWWALKTIME","smoke_rarely",0.650076
"MYRIC","readingMath",0.650143
"BETN_C","belly",0.650185
"GROUP_OJ_GRAPEFRUIT_JUICE_NOT_CALCIUM_FORTIFIED_TOTAL_GRAMS","left_hand",0.650271
"PUDDINGFREQ","readingMath",0.650331
"FATONMEATTYPE","noCrash",0.650369
"VITD_IU","Jewish",0.650401
"CORNCHIPSQUAN","quit_smoking",0.650406
"SHREDDEDWHEATTYPE","neutralCable",0.650584
"DECAFHOTTEATYPE","uhCrash",0.650584
"FROSTEDFLAKESTYPE","uhCrash",0.650584
"OTHERUNSWEETCEREALTYPE","neutralCable",0.650584
"FROSTEDFLAKESTYPE","neutralCable",0.650584
"TOFUQUAN","uhCrash",0.650584
"EATFISH","uhCrash",0.650584
"DT_VB12","rash",0.65059
"PRENATALVITSAMOUNT","uhCrash",0.650679
"BACONSAUSAGEFREQ","left_hand",0.650693
"DT_CHLN","atheist",0.650734
"GROUP_CREAM_CHEESE_SOUR_CREAM_DIP_TOTAL_GRAMS","dog",0.65074
"GROUP_A_SUGBEV_TOTAL_FREQUENCY","uhCrash",0.650769
"FATRNM","diabetes",0.651021
"GROUP_MEAT_SUBSTITUTES_VEGETABLE_MEATS_TOTAL_GRAMS","right_hand",0.651046
"CANNEDFRUITQUAN","Dems",0.651088
"F15D0","unfavCable",0.651128
"DT_VITD","Jewish",0.651165
"DT_THEO","rash",0.651184
"CREAMCHEESEFREQ","atheist",0.651293
"POPCORNQUAN","Dems",0.65132
"F_TOTAL","cat",0.651357
"PSFRUIT","cat",0.651357
"GROUP_SHELLFISH_EXCEPT_OYSTERS_TOTAL_GRAMS","smoke_often",0.65147
"WINETYPE","belly",0.651598
"JOBSTANDTIME","noCrash",0.651612
"GROUP_MEAT_SUBSTITUTES_VEGETABLE_MEATS_TOTAL_GRAMS","currently_smoke",0.651612
"M_SOY_ND","cancer",0.651658
"VITAMINCAMOUNT","cancer",0.651673
"DT_VB12","dog",0.651731
"VEALLAMBGAMEQUAN","diabetes",0.651771
"BROCCOLIFREQ","Dems",0.651797
"GL","Jewish",0.651807
"HYP","favCable",0.65183
"GROUP_SOLID_COUNT","cat",0.65188
"GROUP_HIGH_OMEGA3_FISH_TOTAL_GRAMS","unfavCable",0.651894
"HESPT","favCable",0.651922
"DT_MAGN","neutralCable",0.651928
"TOCTRD","currently_smoke",0.652023
"GROUP_OTHER_CRACKERS_PRETZELS_LOW_FAT_TOTAL_GRAMS","right_hand",0.65203
"DT_MFAT","cat",0.652052
"SOLID_FATS","cancer",0.652079
"GROUP_HIGH_OMEGA3_FISH_TOTAL_GRAMS","cancer",0.652185
"DT_ZINC","currently_smoke",0.652189
"SUP_EPA","favCable",0.65221
"SUP_DHA","favCable",0.652213
"MN","smoke_often",0.652217
"HISTN_G","noCrash",0.652292
"IRONYEARS","Dems",0.652328
"JAMFREQ","unfavCable",0.652382
"GROUP_CEREAL_GRANOLA_BARS_TOTAL_GRAMS","Jewish",0.652409
"GROUP_MELONS_YEAR_ROUND_TOTAL_GRAMS","belly",0.652437
"OTHERSOUPFREQ","uhCrash",0.652485
"LENTILSOUPFREQ","right_hand",0.652497
"VITAMINEQUAN","cancer",0.652564
"GROUP_MARGARINE_AT_TABLE_TOTAL_GRAMS","smoke_rarely",0.652568
"GROUP_REDUCED_FAT_2_PCT_MILK_TOTAL_GRAMS","Jewish",0.652626
"GROUP_WINE_WHITE_TOTAL_GRAMS","belly",0.652689
"BREAKFASTSANDWICHQUAN","belly",0.652689
"GRAPENUTSTYPE","belly",0.652689
"GROUP_WINE_WHITE_TOTAL_GRAMS","currently_smoke",0.652689
"CHEXWHEATTYPE","currently_smoke",0.652689
"FROSTEDMINIWHEATSTYPE","currently_smoke",0.652689
"GRAPENUTSTYPE","currently_smoke",0.652689
"SPECIALKPLAINTYPE","currently_smoke",0.652689
"COOKINGFATHALF","currently_smoke",0.652689
"ASIAN","currently_smoke",0.652689
"CHEXWHEATTYPE","belly",0.652689
"DECAFCOFFEETYPE","currently_smoke",0.652689
"DECAFCOFFEETYPE","belly",0.652689
"FROSTEDMINIWHEATSTYPE","belly",0.652689
"GROUP_COOK_FAT_BUTTER_MARGARINE_BLEND_TOTAL_GRAMS","currently_smoke",0.652689
"CORNFLAKESTYPE","belly",0.652689
"FISHOILTYPE","Jewish",0.652689
"JOBLIFTTIME","Jewish",0.652689
"COOKINGFATHALF","belly",0.652689
"WHITE","belly",0.652689
"ASIAN","belly",0.652689
"GROUP_COOK_FAT_BUTTER_MARGARINE_BLEND_TOTAL_GRAMS","belly",0.652689
"SPECIALKPLAINTYPE","belly",0.652689
"VARIETYMEATQUAN","belly",0.652689
"BREAKFASTSANDWICHQUAN","currently_smoke",0.652689
"PUMPKINPIEQUAN","currently_smoke",0.652689
"PEACHESQUAN","currently_smoke",0.652689
"CREAMINTEA","smoke_often",0.652689
"BIKESWIMFREQ","yesCrash",0.652831
"ORANGESQUAN","left_hand",0.652831
"MN","Jewish",0.65284
"CHOLNFR","heart_disease",0.652858
"V_REDOR_TOTAL","cat",0.652881
"PSVEGORN","cat",0.652881
"BEERTYPE","neutralCable",0.652926
"LOWMINS","rash",0.65296
"PAC_4","ever_smoked",0.653094
"PAC_4","never_smoked",0.653094
"GROUP_YOGURT_SWEET_NON_FAT_TOTAL_GRAMS","smoke_rarely",0.653291
"DT_NITROGEN","unfavCable",0.653298
"PF_SOY","cancer",0.653325
"GROUP_OJ_CALCIUM_FORTIFIED_TOTAL_GRAMS","left_hand",0.653515
"FOLICACIDAMOUNT","dog",0.653607
"OTHERCRACKERSFREQ","unfavCable",0.653616
"GNSTEIN","yesCrash",0.65373
"DT_THEO","yesCrash",0.653765
"GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS","favCable",0.653812
"DT_MOIS","yesCrash",0.653858
"F20D0","mathReading",0.653873
"FLD","belly",0.653916
"GROUP_CHOCOLATE_SAUCE_TOPPINGS_TOTAL_GRAMS","left_hand",0.653928
"GNSTEIN","cat",0.653961
"PF_SEAFD_LOW","neutralCable",0.653964
"VITAMINAAMOUNT","left_hand",0.653993
"GROUP_FRENCH_FRIES_FRIED_POTATOES_TOTAL_GRAMS","Dems",0.654049
"SWEETPOTATOESFREQ","atheist",0.654154
"GROUP_AVOCADO_GUACAMOLE_TOTAL_GRAMS","neutralCable",0.654219
"BETN_C","currently_smoke",0.654286
"WATERQUAN","atheist",0.654399
"WATERQUAN","right_hand",0.654399
"A_BEV_KC","quit_smoking",0.654413
"GROUP_A_SUGBEV_TOTAL_KCAL","yesCrash",0.654476
"TACOQUAN","quit_smoking",0.654614
"T_ISOFLAVONES","yesCrash",0.654644
"JOBWALKTIME","atheist",0.654713
"DT_TFAT","cat",0.654714
"GROUP_POULTRY_UNCOATED_TOTAL_GRAMS","rash",0.654802
"COFFEEDRINKSFREQ","diabetes",0.654852
"GROUP_OTHER_EGGS_OR_OMELETS_TOTAL_GRAMS","currently_smoke",0.654874
"GROUP_FRIED_OR_COATED_CHIX_NO_SKIN_TOTAL_GRAMS","atheist",0.654875
"COFFEEDRINKSKIND","mathReading",0.654905
"ASP_G","dog",0.654929
"FRIEDORBREADEDCHICKENFREQ","smoke_rarely",0.654963
"PRENATALVITSAMOUNT","Dems",0.654978
"KCAL_EXPENDITURE_ALL","Dems",0.655087
"STEAKQUAN","quit_smoking",0.655133
"OTHERVEGGIESQUAN","dog",0.655154
"BUNSTYPE","yesCrash",0.655161
"SPAGHETTIFREQ","yesCrash",0.655221
"PROTEINBARSTYPE","left_hand",0.655221
"VITAMINCAMOUNT","belly",0.655244
"RIBSQUAN","uhCrash",0.655349
"BAGELQUAN","unfavCable",0.655469
"DT_S060","never_smoked",0.655512
"DT_S060","ever_smoked",0.655512
"CHOLNFR","readingMath",0.655558
"DDZEIN","right_hand",0.655613
"DT_M221","noCrash",0.65567
"MAYOFREQ","atheist",0.655822
"GROUP_MELONS_YEAR_ROUND_TOTAL_GRAMS","yesCrash",0.655851
"CHOCOLATECANDYFREQ","right_hand",0.655942
"RIBSFREQ","dog",0.655961
"MAYOQUAN","dog",0.65597
"GROUP_MUSTARD_BBQ_SAUCE_SOY_SAUCE_ETC_TOTAL_GRAMS","smoke_rarely",0.656014
"CHEERIOSHONNUTTYPE","dog",0.656052
"CEREALBARSQUAN","dog",0.656052
"ANTIOXIDANTCOMBOAMOUNT","left_hand",0.656079
"FOLICACIDYEARS","currently_smoke",0.656084
"SWEETPOTATOESFREQ","diabetes",0.656099
"TOFUQUAN","belly",0.656153
"DT_P184","smoke_rarely",0.656183
"T_FLAVANONES","ever_smoked",0.656256
"T_FLAVANONES","never_smoked",0.656256
"GROUP_CHEERIOS_HONEY_NUT_FLAVORS_TOTAL_GRAMS","smoke_rarely",0.656258
"TORTILLASTYPE","quit_smoking",0.656261
"GROUP_ANY_OTHER_VEGETABLE_TOTAL_GRAMS","rash",0.656271
"TORTILLASTYPE","cancer",0.656288
"TORTILLASFREQ","unfavCable",0.656295
"GROUP_SODA_SUGAR_NO_CAFFEINE_TOTAL_GRAMS","left_hand",0.656362
"GROUP_SODA_SUGAR_NO_CAFFEINE_TOTAL_GRAMS","yesCrash",0.656362
"GROUP_SALAD_DRESSING_FAT_FREE_TOTAL_GRAMS","noCrash",0.656382
"DT_M221","right_hand",0.656411
"WALNUTSQUAN","Dems",0.656547
"GROUP_FROSTED_MINI_WHEATS_TOTAL_GRAMS","belly",0.65663
"GROUP_FROSTED_MINI_WHEATS_TOTAL_GRAMS","currently_smoke",0.65663
"GREENBEANSQUAN","cat",0.656756
"GROUP_ENERGY_DRINKS_LOW_SUGAR_TOTAL_GRAMS","rash",0.656897
"MEALREPLACEMENTDRINKSTYPE","mathReading",0.656932
"GROUP_PICKLES_SAUERKRAUT_KIMCHI_TOTAL_GRAMS","smoke_rarely",0.657026
"STEAKFREQ","Dems",0.657035
"TEASUGARTEASPOONS","readingMath",0.657083
"ORANGESQUAN","noCrash",0.657193
"GROUP_POPSICLES_SHERBET_ICES_JELLO_TOTAL_GRAMS","mathReading",0.657265
"GROUP_ALCOHOLICBEVERAGES_TOTAL_GRAMS","yesCrash",0.657282
"GROUP_BANANAS_TOTAL_GRAMS","unfavCable",0.657287
"GROUP_OTHER_CRACKERS_PRETZELS_LOW_FAT_TOTAL_GRAMS","smoke_rarely",0.657349
"F18D2I","atheist",0.657357
"GROUP_MILKY_COFFEE_DRINK_ANY_KIND_TOTAL_GRAMS","rash",0.657376
"ZINCAMOUNT","noCrash",0.657466
"EPICATEGC3G","belly",0.657549
"WINEQUAN","diabetes",0.657561
"SUP_B1","smoke_rarely",0.657564
"GROUP_HAMBURGER_PATTY_TOTAL_GRAMS","cancer",0.657574
"PICKLESFREQ","cancer",0.657585
"T_FLAVANONES","currently_smoke",0.657637
"DT_ACARO","belly",0.657686
"CREAMCHEESEQUAN","cancer",0.657697
"MEATBALLSQUAN","cancer",0.657737
"GREENBEANSFREQ","smoke_rarely",0.657799
"SNACKS","Jewish",0.657841
"OTHERFRESHFRUITFREQ","noCrash",0.657873
"GROUP_SALAD_DRESSING_FAT_FREE_TOTAL_GRAMS","left_hand",0.657877
"GROUP_SALAD_DRESSING_FAT_FREE_TOTAL_GRAMS","yesCrash",0.657877
"BUTTERFREQ","mathReading",0.657914
"VITAMINB12AMOUNT","Dems",0.657925
"GROUP_BREAKFAST_SANDWICH_WITH_EGG_OR_MEAT_TOTAL_GRAMS","Jewish",0.658114
"GROUP_YOGURT_SWEET_FULL_FAT_TOTAL_GRAMS","smoke_often",0.658168
"GROUP_YOGURT_SWEET_FULL_FAT_TOTAL_GRAMS","Jewish",0.658168
"EXERGYMFREQ","rash",0.658305
"DRIEDFRUITFREQ","dog",0.658336
"GROUP_SOLID_COUNT","smoke_rarely",0.658359
"GROUP_LATTE_CAPPUCCINO_SOY_MILK_TOTAL_GRAMS","left_hand",0.65838
"GROUP_LATTE_CAPPUCCINO_SOY_MILK_TOTAL_GRAMS","yesCrash",0.65838
"CHILDCAREFREQ","cancer",0.658416
"GROUP_LUNCH_MEATS_POULTRY_LOW_FAT_TOTAL_GRAMS","smoke_often",0.658422
"FATOILFREQ","cat",0.658442
"V_REDOR_TOTAL","rash",0.658499
"PSVEGORN","rash",0.658499
"PHYTIC_ACID","atheist",0.65851
"SER_G","uhCrash",0.658668
"DT_ZINC","cancer",0.65871
"ILE_G","readingMath",0.658719
"PAC_1","atheist",0.658747
"POTATOESQUAN","never_smoked",0.658773
"POTATOESQUAN","ever_smoked",0.658773
"GROUP_STEAK_ROAST_TOTAL_GRAMS","smoke_often",0.658789
"GROUP_STEAK_ROAST_TOTAL_GRAMS","Jewish",0.658789
"TACOFREQ","Dems",0.65883
"GROUP_FROSTED_FLAKES_TOTAL_GRAMS","yesCrash",0.658906
"OTHERCRACKERSFREQ","Jewish",0.658907
"F17D0","smoke_rarely",0.658913
"ICECREAMFREQ","mathReading",0.658916
"HISTN_G","cat",0.658932
"TOFUFREQ","neutralCable",0.65894
"GROUP_SODA_SUGAR_CAFFEINE_TOTAL_GRAMS","readingMath",0.65896
"GROUP_SODA_DIET_CAFFEINE_TOTAL_GRAMS","heart_disease",0.658984
"SWEETPOTATOESQUAN","belly",0.659046
"FOL_DFE","readingMath",0.65905
"THR_G","readingMath",0.659144
"CHOLNGPC","mathReading",0.659156
"GROUP_SOLID_COUNT","noCrash",0.659193
"GLY_G","unfavCable",0.659266
"GROUP_BREAD_WHOLE_GRAIN_TOTAL_GRAMS","readingMath",0.659266
"HOTTEAFREQ","noCrash",0.659481
"EGGROLLFREQ","quit_smoking",0.659512
"GLUS","unfavCable",0.659545
"DT_FOLAC","right_hand",0.659557
"GROUP_HIGH_PROTEIN_DRINKS_LOW_CARB_TOTAL_GRAMS","currently_smoke",0.65959
"GROUP_HIGH_PROTEIN_DRINKS_LOW_CARB_TOTAL_GRAMS","belly",0.65959
"GROUP_COOKIES_REGULAR_TOTAL_GRAMS","favCable",0.659753
"POTATOESQUAN","smoke_rarely",0.659822
"VITAMINEYEARS","smoke_rarely",0.659822
"ZINCYEARS","smoke_rarely",0.659822
"GROUP_PORK_CHOPS_ROAST_HAM_TOTAL_GRAMS","mathReading",0.659877
"SAUCEICECREAMQUAN","Dems",0.659922
"THR_G","uhCrash",0.659972
"TOCTRG","quit_smoking",0.660004
"A_NUT_S","Dems",0.660028
"REGULARHOTTEATYPE","unfavCable",0.660096
"GROUP_WINE_RED_TOTAL_GRAMS","yesCrash",0.660117
"GROUP_YOGURT_PLAIN_LOW_FAT_TOTAL_GRAMS","Dems",0.660122
"GROUP_TOFU_OR_TEMPEH_TOTAL_GRAMS","unfavCable",0.66015
"T_FLAVONOIDS","diabetes",0.66022
"F16D1C","rash",0.660228
"GROUP_CHEESE_LOW_FAT_TOTAL_GRAMS","smoke_rarely",0.660242
"GROUP_WALNUTS_FLAX_SEEDS_TOTAL_GRAMS","currently_smoke",0.660258
"GROUP_BUTTER_AT_TABLE_TOTAL_GRAMS","currently_smoke",0.66026
"REGULARCOFFEETYPE","cat",0.660306
"CHOLNGPC","left_hand",0.660419
"F13D0","dog",0.660426
"PEANUTBUTTERFREQ","neutralCable",0.660525
"SODAQUAN","readingMath",0.660531
"DT_VITK","heart_disease",0.660569
"TORTILLASTYPE","left_hand",0.660602
"MYRIC","never_smoked",0.660698
"MYRIC","ever_smoked",0.660698
"GROUP_OTHER_WHOLE_GRAIN_CEREAL_TOTAL_GRAMS","left_hand",0.660716
"GROUP_OTHER_CRACKERS_PRETZELS_LOW_FAT_TOTAL_GRAMS","left_hand",0.66086
"MELONSFREQ","noCrash",0.660889
"MEALS","diabetes",0.661008
"OTHERVEGGIESFREQ","belly",0.661013
"TOCTRD","unfavCable",0.661071
"V_DRKGR","left_hand",0.661139
"PSVEGDKG","left_hand",0.661139
"GROUP_YOGURT_SWEET_FULL_FAT_TOTAL_GRAMS","smoke_rarely",0.661155
"COLDCEREALQUAN","left_hand",0.661315
"GROUP_TORTILLAS_CORN_TOTAL_GRAMS","Dems",0.66137
"PICKLESFREQ","favCable",0.661393
"GROUP_HOT_TEA_DECAF_TOTAL_GRAMS","currently_smoke",0.66142
"GROUP_HOT_TEA_DECAF_TOTAL_GRAMS","belly",0.66142
"SITSTR","noCrash",0.661448
"SOLID_FATS_M","cancer",0.66145
"F22D0","atheist",0.661496
"GROUP_SALAD_DRESSING_LOW_FAT_TOTAL_GRAMS","heart_disease",0.661529
"HYP","quit_smoking",0.661636
"GROUP_HOT_TEA_BOTH_KINDS_TOTAL_GRAMS","smoke_often",0.661649
"GROUP_OJ_GRAPEFRUIT_JUICE_NOT_CALCIUM_FORTIFIED_TOTAL_GRAMS","cancer",0.661778
"GREENBEANSQUAN","unfavCable",0.661897
"THEARBIGN","uhCrash",0.661922
"GROUP_CHOCOLATE_SAUCE_TOPPINGS_TOTAL_GRAMS","Jewish",0.661944
"GROUP_YOGURT_PLAIN_LOW_FAT_TOTAL_GRAMS","dog",0.661973
"COCKTAILSQUAN","belly",0.662039
"WHITE","dog",0.662091
"GROUP_COOK_FAT_BUTTER_MARGARINE_BLEND_TOTAL_GRAMS","dog",0.662091
"CHEXWHEATTYPE","dog",0.662091
"FROSTEDMINIWHEATSTYPE","dog",0.662091
"CORNFLAKESTYPE","dog",0.662091
"COOKINGFATHALF","dog",0.662091
"SPECIALKPLAINTYPE","dog",0.662091
"ASIAN","dog",0.662091
"BREAKFASTSANDWICHQUAN","dog",0.662091
"PEACHESQUAN","dog",0.662091
"GROUP_OTHER_100_PCT_JUICE_AND_BLENDS_TOTAL_GRAMS","heart_disease",0.662152
"ANTIOXIDANTCOMBOAMOUNT","dog",0.662208
"FRIEDORBREADEDCHICKENFREQ","yesCrash",0.662269
"FRIEDORBREADEDCHICKENQUAN","currently_smoke",0.662289
"POPCORNQUAN","mathReading",0.662342
"DT_TRFAT","never_smoked",0.662385
"DT_TRFAT","ever_smoked",0.662385
"PF_SEAFD_HI","neutralCable",0.662411
"GROUP_CHEERIOS_HONEY_NUT_FLAVORS_TOTAL_GRAMS","never_smoked",0.662428
"GROUP_CHEERIOS_HONEY_NUT_FLAVORS_TOTAL_GRAMS","ever_smoked",0.662428
"GROUP_EGG_ROLLS_WANTONS_DUMPLINGS_SAMOSAS_TOTAL_GRAMS","rash",0.662438
"CYS_G","atheist",0.662452
"DT_P182","ever_smoked",0.66247
"DT_P182","never_smoked",0.66247
"CORNBREADFREQ","cat",0.662521
"GROUP_BEAN_SPLIT_PEA_LENTIL_SOUP_TOTAL_GRAMS","Jewish",0.662532
"DT_ACARO","diabetes",0.66255
"DT_TRFAT","diabetes",0.662571
"GROUP_BREAKFAST_PASTRY_MUFFINS_QUICK_BREAD_TOTAL_GRAMS","never_smoked",0.662617
"GROUP_BREAKFAST_PASTRY_MUFFINS_QUICK_BREAD_TOTAL_GRAMS","ever_smoked",0.662617
"F15D1","noCrash",0.662668
