RespondentID,"In your opinion, which sentence is more gramatically correct?","Prior to reading about it above, had you heard of the serial (or Oxford) comma?","How much, if at all, do you care about the use (or lack thereof) of the serial (or Oxford) comma in grammar?",How would you write the following sentence?,"When faced with using the word ""data"", have you ever spent time considering if the word was a singular or plural noun?","How much, if at all, do you care about the debate over the use of the word ""data"" as a singluar or plural noun?","In your opinion, how important or unimportant is proper use of grammar?",Gender,Age,Household Income,Education,Location (Census Region)
3290098463,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,,,,,
3290097197,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,> 60,"$100,000 - $149,999",Bachelor degree,Mountain
3290095517,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Male,> 60,,Bachelor degree,East South Central
3290094405,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,> 60,,Graduate degree,South Atlantic
3290088495,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Some,Very important,Female,> 60,,Some college or Associate degree,Pacific
3290085563,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,45-60,"$50,000 - $99,999",Bachelor degree,New England
3290074701,"It's important for a person to be honest, kind and loyal.",,,,,,,,,,,
3290073282,"It's important for a person to be honest, kind and loyal.",,,,,,,,,,,
3290066647,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central
3290063320,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,,,,,,
3290063216,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Male,45-60,"$25,000 - $49,999",Bachelor degree,Pacific
3290051893,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3290049937,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,"$0 - $24,999",Some college or Associate degree,East North Central
3290049717,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,30-44,"$150,000+",Bachelor degree,Pacific
3290048674,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,30-44,,,West South Central
3290047857,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,> 60,,Graduate degree,South Atlantic
3290046601,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,> 60,,Bachelor degree,South Atlantic
3290044489,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,18-29,"$0 - $24,999",High school degree,East North Central
3290042982,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,> 60,,Bachelor degree,South Atlantic
3290039455,"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,30-44,,Bachelor degree,East North Central
3290039060,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Mountain
3290035984,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3290034870,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,> 60,,Bachelor degree,Pacific
3290032571,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,> 60,,,Pacific
3290031829,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,30-44,"$25,000 - $49,999",Graduate degree,Pacific
3290029805,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central
3290023935,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,30-44,,Graduate degree,West North Central
3290021809,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central
3290021040,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Female,> 60,"$0 - $24,999",Bachelor degree,Middle Atlantic
3290020650,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,30-44,,Bachelor degree,East North Central
3290013308,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Some,Somewhat important,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Mountain
3290013036,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,30-44,"$0 - $24,999",Some college or Associate degree,East North Central
3290011204,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3290010254,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3290008324,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,> 60,,Graduate degree,Mountain
3290007844,"It's important for a person to be honest, kind, and loyal.",,,,,,,,,,,
3290007275,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3290005316,"It's important for a person to be honest, kind, and loyal.",,,,,,,,,,,
3290001368,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Neither important nor unimportant (neutral),Male,> 60,,High school degree,Mountain
3290000316,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,> 60,"$25,000 - $49,999",High school degree,West South Central
3289997175,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
3289994229,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,30-44,"$100,000 - $149,999",Graduate degree,East South Central
3289991718,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not at all,Very important,Male,> 60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3289987109,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3289984898,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3289982081,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,,Graduate degree,New England
3289979473,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Pacific
3289978318,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central
3289977653,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,,,,,,
3289976141,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic
3289974256,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3289973762,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Somewhat important,Female,45-60,"$150,000+",Graduate degree,New England
3289973456,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Female,45-60,,Some college or Associate degree,South Atlantic
3289972518,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
3289971576,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
3289970917,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,,,,,,
3289970848,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,,,,,
3289967014,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,> 60,,Bachelor degree,South Atlantic
3289963746,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Mountain
3289962668,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Pacific
3289959700,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,> 60,"$100,000 - $149,999",Bachelor degree,West South Central
3289959136,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,> 60,"$100,000 - $149,999",High school degree,Mountain
3289957395,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
3289955916,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Somewhat important,Male,> 60,"$50,000 - $99,999",Graduate degree,Mountain
3289954676,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,18-29,,Some college or Associate degree,Middle Atlantic
3289954457,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Female,> 60,"$25,000 - $49,999",Bachelor degree,East South Central
3289952452,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
3289951479,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Neither important nor unimportant (neutral),Female,> 60,"$25,000 - $49,999",Some college or Associate degree,West North Central
3289947973,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3289947006,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not much,Very important,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific
3289946696,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Male,18-29,,Some college or Associate degree,Pacific
3289946664,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,30-44,"$0 - $24,999",Bachelor degree,East North Central
3289946232,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central
3289944285,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
3289944211,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3289942505,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$100,000 - $149,999",Bachelor degree,Pacific
3289942442,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3289941018,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,45-60,"$50,000 - $99,999",Graduate degree,East South Central
3289940847,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,,,,,,
3289939239,"It's important for a person to be honest, kind, and loyal.",Yes,Some,,Yes,Not much,Somewhat important,Female,18-29,,Bachelor degree,South Atlantic
3289937985,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Female,> 60,,Graduate degree,Pacific
3289935427,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,30-44,,Graduate degree,South Atlantic
3289935352,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,30-44,"$100,000 - $149,999",Bachelor degree,New England
3289935273,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3289934414,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",No,A lot,Very important,Male,> 60,,Bachelor degree,New England
3289934137,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not much,Somewhat important,Female,> 60,"$0 - $24,999",High school degree,West South Central
3289930307,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,45-60,"$150,000+",Some college or Associate degree,East South Central
3289929424,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,45-60,,Bachelor degree,East North Central
3289928231,"It's important for a person to be honest, kind and loyal.",,,,,,,,,,,
3289925635,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,A lot,Very important,Female,> 60,,Some college or Associate degree,Pacific
3289922542,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
3289922168,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,> 60,"$0 - $24,999",High school degree,Pacific
3289918265,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,30-44,"$150,000+",Bachelor degree,West South Central
3289916838,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Male,45-60,"$0 - $24,999",Bachelor degree,New England
3289916112,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,> 60,,High school degree,Pacific
3289914920,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,> 60,"$150,000+",Graduate degree,South Atlantic
3289914710,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,45-60,"$50,000 - $99,999",Bachelor degree,West South Central
3289914640,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Somewhat important,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central
3289908389,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,45-60,"$50,000 - $99,999",Bachelor degree,West North Central
3289908295,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Female,45-60,"$100,000 - $149,999",Bachelor degree,Mountain
3289908275,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,30-44,,Bachelor degree,East South Central
3289906603,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic
3289904979,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England
3289900843,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3289900679,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,> 60,"$25,000 - $49,999",Graduate degree,South Atlantic
3289893315,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,> 60,"$25,000 - $49,999",Bachelor degree,Mountain
3289891849,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,> 60,"$150,000+",Graduate degree,Middle Atlantic
3289891303,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Some,Very important,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central
3289891132,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$100,000 - $149,999",Graduate degree,New England
3289888813,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,> 60,"$25,000 - $49,999",Graduate degree,South Atlantic
3289888227,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,30-44,"$0 - $24,999",High school degree,Pacific
3289882502,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Female,> 60,"$150,000+",Graduate degree,East North Central
3289878715,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Male,> 60,"$150,000+",Graduate degree,South Atlantic
3289876747,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Female,> 60,"$25,000 - $49,999",High school degree,East South Central
3289876612,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,30-44,"$150,000+",Bachelor degree,New England
3289876553,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,> 60,"$100,000 - $149,999",Bachelor degree,Pacific
3289873442,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,Male,30-44,"$50,000 - $99,999",Bachelor degree,Pacific
3289872805,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3289866509,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$150,000+",Graduate degree,Pacific
3289866387,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,45-60,"$50,000 - $99,999",High school degree,Middle Atlantic
3289861372,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,45-60,,Some college or Associate degree,East North Central
3289859602,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3289857044,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,30-44,,Bachelor degree,Middle Atlantic
3289847832,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3289843930,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,> 60,,Some college or Associate degree,West South Central
3289842221,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,> 60,"$150,000+",Graduate degree,East North Central
3289841557,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,18-29,"$0 - $24,999",Some college or Associate degree,West South Central
3289835561,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$150,000+",Graduate degree,West North Central
3289834205,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,45-60,"$150,000+",Some college or Associate degree,East South Central
3289825723,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,> 60,"$50,000 - $99,999",Bachelor degree,Mountain
3289820591,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Somewhat important,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Pacific
3289818795,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,> 60,,Graduate degree,
3289818075,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,> 60,"$150,000+",High school degree,New England
3289815296,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
3289814169,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
3289811131,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",No,A lot,Very important,Male,> 60,"$50,000 - $99,999",Bachelor degree,West South Central
3289808233,"It's important for a person to be honest, kind, and loyal.",,,,,,,,,,,
3289807489,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,18-29,"$100,000 - $149,999",Bachelor degree,West South Central
3289804312,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$150,000+",Bachelor degree,New England
3289801203,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,> 60,"$150,000+",Bachelor degree,Pacific
3289799600,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,30-44,,Some college or Associate degree,East North Central
3289798764,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
3289798400,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,30-44,"$25,000 - $49,999",High school degree,Middle Atlantic
3289795789,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,30-44,"$25,000 - $49,999",Bachelor degree,West North Central
